homo_sapiens,pan_troglodytes
ENSG00000143376,ENSPTRG00000016952,49.2983
ENSG00000143376,ENSPTRG00000042501,48.8532
ENSG00000159409,ENSPTRG00000003199,48.8651
ENSG00000159409,ENSPTRG00000018884,48.6445
ENSG00000159409,ENSPTRG00000000132,48.7725
ENSG00000159409,ENSPTRG00000014077,47.7444
ENSG00000178796,ENSPTRG00000042089,48.9978
ENSG00000240510,ENSPTRG00000030818,49.4886
ENSG00000143436,ENSPTRG00000016979,48.8426
ENSG00000143436,ENSPTRG00000007618,48.5261
ENSG00000143450,ENSPTRG00000000041,48.9412
ENSG00000143450,ENSPTRG00000007627,48.834
ENSG00000143450,ENSPTRG00000028737,48.5224
ENSG00000143450,ENSPTRG00000030824,49.5485
ENSG00000143450,ENSPTRG00000034369,49.5298
ENSG00000143450,ENSPTRG00000000041,48.9412
ENSG00000182134,ENSPTRG00000003212,48.2744
ENSG00000182134,ENSPTRG00000005859,48.4723
ENSG00000182134,ENSPTRG00000004554,48.5127
ENSG00000182134,ENSPTRG00000005859,48.6732
ENSG00000182134,ENSPTRG00000023831,49.3049
ENSG00000182134,ENSPTRG00000004554,48.6994
ENSG00000182134,ENSPTRG00000032588,48.5915
ENSG00000182134,ENSPTRG00000040663,48.5888
ENSG00000162989,ENSPTRG00000017067,48.576
ENSG00000162989,ENSPTRG00000028315,48.7671
ENSG00000153234,ENSPTRG00000000072,49.5104
ENSG00000153234,ENSPTRG00000028298,49.2808
ENSG00000153234,ENSPTRG00000014102,49.9653
ENSG00000153234,ENSPTRG00000016741,48.5879
ENSG00000153234,ENSPTRG00000003184,48.6314
ENSG00000153234,ENSPTRG00000000124,47.8842
ENSG00000153234,ENSPTRG00000007616,48.2178
ENSG00000153234,ENSPTRG00000003389,48.9547
ENSG00000153234,ENSPTRG00000000050,49.5335
ENSG00000213171,ENSPTRG00000007545,48.5943
ENSG00000143365,ENSPTRG00000003107,48.3607
ENSG00000143365,ENSPTRG00000020062,48.0734
ENSG00000143365,ENSPTRG00000033940,48.2373
ENSG00000224153,ENSPTRG00000004015,48.3616
ENSG00000225556,ENSPTRG00000031045,46.8981
ENSG00000182580,ENSPTRG00000000221,46.3645
ENSG00000196407,ENSPTRG00000000150,45.825
ENSG00000196407,ENSPTRG00000005738,48.6284
ENSG00000159445,ENSPTRG00000017050,48.0438
ENSG00000159445,ENSPTRG00000018992,47.5894
ENSG00000115159,ENSPTRG00000000124,49.5614
ENSG00000115159,ENSPTRG00000020019,48.8536
ENSG00000115159,ENSPTRG00000023331,48.84
ENSG00000115159,ENSPTRG00000023331,48.227
ENSG00000115159,ENSPTRG00000007702,48.8526
ENSG00000115159,ENSPTRG00000016919,48.5302
ENSG00000197747,ENSPTRG00000022476,49.6672
ENSG00000197747,ENSPTRG00000019956,49.8377
ENSG00000163191,ENSPTRG00000014644,49.1582
ENSG00000182898,ENSPTRG00000020084,48.5984
ENSG00000177383,ENSPTRG00000021763,46.401
ENSG00000159450,ENSPTRG00000000238,47.913
ENSG00000215853,ENSPTRG00000003349,48.6131
ENSG00000156931,ENSPTRG00000016915,48.9124
ENSG00000156931,ENSPTRG00000009860,49.0574
ENSG00000156931,ENSPTRG00000022501,48.582
ENSG00000156931,ENSPTRG00000021813,49.0678
ENSG00000156931,ENSPTRG00000021857,49.9244
ENSG00000156931,ENSPTRG00000013809,48.2696
ENSG00000156931,ENSPTRG00000013809,48.4797
ENSG00000156931,ENSPTRG00000041367,49.7297
ENSG00000156931,ENSPTRG00000016915,48.9796
ENSG00000156931,ENSPTRG00000016915,48.9598
ENSG00000197915,ENSPTRG00000019945,48.6543
ENSG00000143631,ENSPTRG00000016735,48.9684
ENSG00000143520,ENSPTRG00000013889,47.961
ENSG00000143536,ENSPTRG00000007553,48.1598
ENSG00000186207,ENSPTRG00000004015,48.7179
ENSG00000169509,ENSPTRG00000003174,47.7143
ENSG00000185966,ENSPTRG00000000081,48.6088
ENSG00000163202,ENSPTRG00000031327,47.7977
ENSG00000244057,ENSPTRG00000042077,49.1765
ENSG00000187238,ENSPTRG00000031451,46.875
ENSG00000185962,ENSPTRG00000031451,46.6667
ENSG00000187223,ENSPTRG00000000239,48.6043
ENSG00000159455,ENSPTRG00000018992,48.5294
ENSG00000159455,ENSPTRG00000018992,48.5997
ENSG00000187180,ENSPTRG00000019963,48.6971
ENSG00000187173,ENSPTRG00000003175,48.8176
ENSG00000187170,ENSPTRG00000028742,47.4702
ENSG00000187170,ENSPTRG00000013903,48.7113
ENSG00000198854,ENSPTRG00000014117,48.2
ENSG00000198854,ENSPTRG00000004015,48.1278
ENSG00000203786,ENSPTRG00000014072,48.5533
ENSG00000240386,ENSPTRG00000000276,47.9933
ENSG00000186226,ENSPTRG00000000081,46.9565
ENSG00000186226,ENSPTRG00000014611,48.8983
ENSG00000172155,ENSPTRG00000039081,48.3721
ENSG00000197084,ENSPTRG00000014150,46.7626
ENSG00000196734,ENSPTRG00000020011,49.3415
ENSG00000186844,ENSPTRG00000028760,47.4026
ENSG00000186844,ENSPTRG00000028769,47.84
ENSG00000235942,ENSPTRG00000028731,49.2038
ENSG00000136542,ENSPTRG00000013810,48.7117
ENSG00000163206,ENSPTRG00000000124,49.4194
ENSG00000163207,ENSPTRG00000000067,46.4468
ENSG00000163207,ENSPTRG00000007681,46.3524
ENSG00000184148,ENSPTRG00000000023,48.8404
ENSG00000169474,ENSPTRG00000003182,48.1481
ENSG00000169474,ENSPTRG00000028731,48.6862
ENSG00000163209,ENSPTRG00000019956,48.0707
ENSG00000163209,ENSPTRG00000022474,49.0888
ENSG00000163209,ENSPTRG00000022474,48.3249
ENSG00000163209,ENSPTRG00000028792,47.1193
ENSG00000136541,ENSPTRG00000017068,48.3786
ENSG00000136541,ENSPTRG00000017068,48.3777
ENSG00000136541,ENSPTRG00000040529,48.8764
ENSG00000136541,ENSPTRG00000017052,48.0591
ENSG00000136541,ENSPTRG00000031254,49.4915
ENSG00000136541,ENSPTRG00000016726,48.9276
ENSG00000136541,ENSPTRG00000028845,49.1007
ENSG00000136541,ENSPTRG00000013809,48.4848
ENSG00000136541,ENSPTRG00000003379,49.1968
ENSG00000169469,ENSPTRG00000028731,49.5161
ENSG00000169469,ENSPTRG00000039053,48.6486
ENSG00000163216,ENSPTRG00000034369,47.3607
ENSG00000163216,ENSPTRG00000040212,47.5703
ENSG00000163216,ENSPTRG00000040212,48.375
ENSG00000163216,ENSPTRG00000042377,48.9848
ENSG00000241794,ENSPTRG00000034369,48.0959
ENSG00000196805,ENSPTRG00000034369,47.5645
ENSG00000196805,ENSPTRG00000034369,47.5831
ENSG00000196805,ENSPTRG00000042298,49.3827
ENSG00000203785,ENSPTRG00000034369,48.5549
ENSG00000203785,ENSPTRG00000034369,47.9351
ENSG00000244094,ENSPTRG00000018992,48.1645
ENSG00000115165,ENSPTRG00000009890,49.0265
ENSG00000115165,ENSPTRG00000022495,49.1413
ENSG00000115165,ENSPTRG00000038816,48.3066
ENSG00000115165,ENSPTRG00000000063,49.2777
ENSG00000115165,ENSPTRG00000041924,48.8388
ENSG00000159516,ENSPTRG00000007623,48.5915
ENSG00000203784,ENSPTRG00000019964,49.1396
ENSG00000203783,ENSPTRG00000021741,49.5525
ENSG00000203782,ENSPTRG00000040153,46.9106
ENSG00000159527,ENSPTRG00000005722,48.5934
ENSG00000163218,ENSPTRG00000030823,48.7713
ENSG00000163218,ENSPTRG00000019048,48.9095
ENSG00000163220,ENSPTRG00000016706,48.7002
ENSG00000123612,ENSPTRG00000019124,48.9217
ENSG00000123612,ENSPTRG00000009884,49.0482
ENSG00000123612,ENSPTRG00000017066,48.4252
ENSG00000123612,ENSPTRG00000005789,48.5676
ENSG00000163221,ENSPTRG00000021699,49.4186
ENSG00000143546,ENSPTRG00000028774,47.8011
ENSG00000143546,ENSPTRG00000028774,48.6869
ENSG00000184330,ENSPTRG00000022519,49.4924
ENSG00000184330,ENSPTRG00000022519,49.5693
ENSG00000184330,ENSPTRG00000038816,49.8982
ENSG00000197364,ENSPTRG00000040367,50.8333
ENSG00000197364,ENSPTRG00000021728,49.6614
ENSG00000197364,ENSPTRG00000040367,50.8333
ENSG00000143556,ENSPTRG00000029512,50.1044
ENSG00000143556,ENSPTRG00000029512,49.7738
ENSG00000197956,ENSPTRG00000007715,47.807
ENSG00000197956,ENSPTRG00000007715,47.8455
ENSG00000187068,ENSPTRG00000028811,49.4323
ENSG00000196420,ENSPTRG00000041690,49.1549
ENSG00000196420,ENSPTRG00000021851,48.8142
ENSG00000196420,ENSPTRG00000041690,49.1549
ENSG00000115170,ENSPTRG00000016902,48.4729
ENSG00000115170,ENSPTRG00000020085,48.8711
ENSG00000115170,ENSPTRG00000003257,49.3282
ENSG00000115170,ENSPTRG00000028774,49.5292
ENSG00000115170,ENSPTRG00000024355,48.6891
ENSG00000115170,ENSPTRG00000019956,48.5816
ENSG00000115170,ENSPTRG00000000282,48.3636
ENSG00000115170,ENSPTRG00000019956,48.694
ENSG00000115170,ENSPTRG00000018994,48.5495
ENSG00000196154,ENSPTRG00000039924,48.6911
ENSG00000196154,ENSPTRG00000028731,49.2933
ENSG00000196154,ENSPTRG00000018992,48.6667
ENSG00000196154,ENSPTRG00000013918,48.2109
ENSG00000113790,ENSPTRG00000018991,48.8312
ENSG00000113790,ENSPTRG00000014667,49.0105
ENSG00000113790,ENSPTRG00000028817,48.7805
ENSG00000188015,ENSPTRG00000007644,48.3645
ENSG00000188015,ENSPTRG00000003175,47.8411
ENSG00000196754,ENSPTRG00000014175,49.499
ENSG00000196754,ENSPTRG00000042298,49.0066
ENSG00000196754,ENSPTRG00000005710,48.7965
ENSG00000196754,ENSPTRG00000028774,46.8582
ENSG00000007001,ENSPTRG00000017039,49.2571
ENSG00000007001,ENSPTRG00000018925,49.1007
ENSG00000073803,ENSPTRG00000021673,49.1374
ENSG00000073803,ENSPTRG00000013891,48.8491
ENSG00000073803,ENSPTRG00000040646,49.0291
ENSG00000073803,ENSPTRG00000018855,48.8593
ENSG00000073803,ENSPTRG00000017052,50.1901
ENSG00000073803,ENSPTRG00000040862,49.7423
ENSG00000073803,ENSPTRG00000000100,48.3421
ENSG00000073803,ENSPTRG00000014659,49.2231
ENSG00000073803,ENSPTRG00000018965,49.2811
ENSG00000073803,ENSPTRG00000009849,49.3243
ENSG00000073803,ENSPTRG00000014659,49.0085
ENSG00000153237,ENSPTRG00000019080,48.0141
ENSG00000153237,ENSPTRG00000016925,48.1173
ENSG00000153237,ENSPTRG00000003390,48.3621
ENSG00000153237,ENSPTRG00000021668,48.6524
ENSG00000163510,ENSPTRG00000021725,48.9939
ENSG00000163510,ENSPTRG00000019003,49.0803
ENSG00000163510,ENSPTRG00000019091,48.613
ENSG00000170035,ENSPTRG00000000242,48.4386
ENSG00000170035,ENSPTRG00000034402,48.4122
ENSG00000115232,ENSPTRG00000032586,48.3963
ENSG00000115232,ENSPTRG00000020006,48.6751
ENSG00000115232,ENSPTRG00000016892,48.9372
ENSG00000144283,ENSPTRG00000016731,45.3869
ENSG00000144283,ENSPTRG00000014071,49.0885
ENSG00000163900,ENSPTRG00000019058,49.2748
ENSG00000163900,ENSPTRG00000003141,48.2075
ENSG00000188452,ENSPTRG00000019124,48.4726
ENSG00000188452,ENSPTRG00000005696,48.4124
ENSG00000188452,ENSPTRG00000003292,48.8722
ENSG00000188452,ENSPTRG00000005745,48.2409
ENSG00000188452,ENSPTRG00000003292,48.8506
ENSG00000163898,ENSPTRG00000003258,48.2365
ENSG00000163898,ENSPTRG00000013785,49.201
ENSG00000163898,ENSPTRG00000030816,50.096
ENSG00000163898,ENSPTRG00000028290,48.0469
ENSG00000163331,ENSPTRG00000021699,49.0942
ENSG00000163331,ENSPTRG00000013918,48.5294
ENSG00000163331,ENSPTRG00000032588,48.495
ENSG00000163904,ENSPTRG00000019963,49.2027
ENSG00000163904,ENSPTRG00000000079,49.2916
ENSG00000163904,ENSPTRG00000031254,49.5082
ENSG00000163904,ENSPTRG00000028288,48.5769
ENSG00000163904,ENSPTRG00000005696,49.2656
ENSG00000162992,ENSPTRG00000019050,47.7209
ENSG00000115183,ENSPTRG00000009833,49.4779
ENSG00000115183,ENSPTRG00000017002,49.6173
ENSG00000138434,ENSPTRG00000018880,48.1942
ENSG00000138434,ENSPTRG00000018880,48.2578
ENSG00000138434,ENSPTRG00000018880,48.1652
ENSG00000138434,ENSPTRG00000021706,48.9751
ENSG00000138434,ENSPTRG00000040646,48.7544
ENSG00000138434,ENSPTRG00000021649,49.1299
ENSG00000138434,ENSPTRG00000018991,48.9661
ENSG00000196151,ENSPTRG00000005745,48.9017
ENSG00000196151,ENSPTRG00000021673,48.9902
ENSG00000196151,ENSPTRG00000004550,48.7859
ENSG00000196151,ENSPTRG00000005745,48.1771
ENSG00000196151,ENSPTRG00000004550,48.1875
ENSG00000150722,ENSPTRG00000019004,48.036
ENSG00000150722,ENSPTRG00000018996,48.1051
ENSG00000150722,ENSPTRG00000003390,48.6603
ENSG00000150722,ENSPTRG00000003379,48.1262
ENSG00000073792,ENSPTRG00000003391,50.4067
ENSG00000073792,ENSPTRG00000003391,50.2335
ENSG00000073792,ENSPTRG00000017010,50.1367
ENSG00000073792,ENSPTRG00000016896,50.4765
ENSG00000115252,ENSPTRG00000017069,48.6182
ENSG00000115252,ENSPTRG00000021834,49.0167
ENSG00000115252,ENSPTRG00000018953,48.2
ENSG00000115252,ENSPTRG00000034101,48.6569
ENSG00000115252,ENSPTRG00000009893,48.8699
ENSG00000115252,ENSPTRG00000003194,48.3459
ENSG00000115252,ENSPTRG00000021762,48.694
ENSG00000115252,ENSPTRG00000023354,48.9616
ENSG00000115252,ENSPTRG00000019057,48.5232
ENSG00000123636,ENSPTRG00000017038,49.0817
ENSG00000123636,ENSPTRG00000017038,48.9564
ENSG00000123636,ENSPTRG00000021699,49.3482
ENSG00000123636,ENSPTRG00000021649,49.2868
ENSG00000123636,ENSPTRG00000005728,49.3103
ENSG00000123636,ENSPTRG00000041209,50.5051
ENSG00000123636,ENSPTRG00000021713,49.0625
ENSG00000123636,ENSPTRG00000016935,49.1235
ENSG00000123636,ENSPTRG00000018957,49.1013
ENSG00000077232,ENSPTRG00000013790,48.5015
ENSG00000077232,ENSPTRG00000019057,48.2325
ENSG00000162998,ENSPTRG00000013799,49.494
ENSG00000061676,ENSPTRG00000020015,47.9607
ENSG00000061676,ENSPTRG00000017062,48.186
ENSG00000162999,ENSPTRG00000016949,49.7762
ENSG00000162999,ENSPTRG00000009876,48.976
ENSG00000163002,ENSPTRG00000013809,49.6753
ENSG00000163002,ENSPTRG00000017069,49.7872
ENSG00000163002,ENSPTRG00000017086,48.3673
ENSG00000163002,ENSPTRG00000019961,49.1228
ENSG00000163002,ENSPTRG00000005790,48.7446
ENSG00000163002,ENSPTRG00000019057,48.3374
ENSG00000170396,ENSPTRG00000020015,48.5288
ENSG00000188738,ENSPTRG00000017070,50.0289
ENSG00000188738,ENSPTRG00000017070,50
ENSG00000188738,ENSPTRG00000004554,49.4497
ENSG00000065548,ENSPTRG00000005696,48.6436
ENSG00000065548,ENSPTRG00000022501,48.5825
ENSG00000065548,ENSPTRG00000009856,49.228
ENSG00000213953,ENSPTRG00000032576,45.614
ENSG00000138448,ENSPTRG00000018970,48.3784
ENSG00000138448,ENSPTRG00000013795,48.2978
ENSG00000138448,ENSPTRG00000021696,49.0268
ENSG00000138448,ENSPTRG00000028817,48.3696
ENSG00000144369,ENSPTRG00000013793,48.1526
ENSG00000163012,ENSPTRG00000017054,48.1588
ENSG00000064989,ENSPTRG00000017069,47.934
ENSG00000064989,ENSPTRG00000017069,47.8844
ENSG00000064989,ENSPTRG00000021829,48.8407
ENSG00000064989,ENSPTRG00000028731,49.5327
ENSG00000064989,ENSPTRG00000013809,49.577
ENSG00000003436,ENSPTRG00000005751,48.4242
ENSG00000003436,ENSPTRG00000028316,49.2679
ENSG00000003436,ENSPTRG00000028817,47.8894
ENSG00000003436,ENSPTRG00000016898,49.3298
ENSG00000003436,ENSPTRG00000019106,49.4485
ENSG00000003436,ENSPTRG00000031254,48.4404
ENSG00000003436,ENSPTRG00000016726,49.7512
ENSG00000003436,ENSPTRG00000000125,48.9768
ENSG00000003436,ENSPTRG00000000282,49.278
ENSG00000003436,ENSPTRG00000022495,50.219
ENSG00000003436,ENSPTRG00000003258,48.4028
ENSG00000144366,ENSPTRG00000019038,48.392
ENSG00000144366,ENSPTRG00000021668,48.5465
ENSG00000144366,ENSPTRG00000013869,46.4577
ENSG00000144366,ENSPTRG00000003389,49.9142
ENSG00000144366,ENSPTRG00000009883,48.5249
ENSG00000144366,ENSPTRG00000014572,47.9952
ENSG00000144366,ENSPTRG00000021706,48.2788
ENSG00000144366,ENSPTRG00000017066,48.1481
ENSG00000144366,ENSPTRG00000017054,48.499
ENSG00000144366,ENSPTRG00000018957,48.3102
ENSG00000144366,ENSPTRG00000013897,49.4133
ENSG00000174325,ENSPTRG00000040645,48.3124
ENSG00000168542,ENSPTRG00000014637,49.1791
ENSG00000168542,ENSPTRG00000031451,46.6418
ENSG00000168542,ENSPTRG00000034434,48.9194
ENSG00000204262,ENSPTRG00000005773,49.374
ENSG00000115368,ENSPTRG00000009829,48.6486
ENSG00000138449,ENSPTRG00000021706,48.7798
ENSG00000138449,ENSPTRG00000016687,48.4223
ENSG00000138449,ENSPTRG00000016923,48.8176
ENSG00000138449,ENSPTRG00000041916,48.8294
ENSG00000138449,ENSPTRG00000040155,49.7608
ENSG00000138381,ENSPTRG00000019003,48.449
ENSG00000138381,ENSPTRG00000013809,49.9118
ENSG00000138381,ENSPTRG00000028288,48.3886
ENSG00000151687,ENSPTRG00000017079,48.458
ENSG00000151687,ENSPTRG00000017079,48.4172
ENSG00000151687,ENSPTRG00000021782,48.4892
ENSG00000151687,ENSPTRG00000017079,48.4772
ENSG00000151687,ENSPTRG00000019025,48.5279
ENSG00000128694,ENSPTRG00000009893,48.382
ENSG00000128694,ENSPTRG00000042329,48.1949
ENSG00000128694,ENSPTRG00000005875,49.5784
ENSG00000128694,ENSPTRG00000034337,49.3122
ENSG00000128694,ENSPTRG00000031433,48.7965
ENSG00000128694,ENSPTRG00000021853,49.5423
ENSG00000128699,ENSPTRG00000013915,49.1787
ENSG00000128699,ENSPTRG00000040740,48.4398
ENSG00000128699,ENSPTRG00000013847,48.8127
ENSG00000128699,ENSPTRG00000017066,49.2232
ENSG00000128699,ENSPTRG00000018954,50.056
ENSG00000128699,ENSPTRG00000000125,49.6718
ENSG00000260355,ENSPTRG00000009876,47.6429
ENSG00000262942,ENSPTRG00000009893,34.7482
ENSG00000231145,ENSPTRG00000039305,56.25
ENSG00000262327,ENSPTRG00000016744,49.0257
ENSG00000262327,ENSPTRG00000041924,48.9677
ENSG00000262327,ENSPTRG00000019106,48.4704
ENSG00000064933,ENSPTRG00000018989,48.2481
ENSG00000064933,ENSPTRG00000024207,46.0149
ENSG00000064933,ENSPTRG00000009873,49.4643
ENSG00000064933,ENSPTRG00000019004,48.0859
ENSG00000064933,ENSPTRG00000031441,44.6203
ENSG00000064933,ENSPTRG00000020014,48.8568
ENSG00000064933,ENSPTRG00000009829,48.1755
ENSG00000064933,ENSPTRG00000009883,48.6405
ENSG00000064933,ENSPTRG00000009893,48.1189
ENSG00000064933,ENSPTRG00000013870,48.0815
ENSG00000064933,ENSPTRG00000018954,49.1487
ENSG00000064933,ENSPTRG00000019931,48.2404
ENSG00000064933,ENSPTRG00000009829,47.8751
ENSG00000262599,ENSPTRG00000021645,49.4106
ENSG00000262599,ENSPTRG00000005684,49.7022
ENSG00000263042,ENSPTRG00000003350,48.8076
ENSG00000263042,ENSPTRG00000021649,49.0164
ENSG00000262771,ENSPTRG00000013921,48.9083
ENSG00000262771,ENSPTRG00000021857,48.8994
ENSG00000262771,ENSPTRG00000000124,49.1405
ENSG00000262771,ENSPTRG00000016706,49.8413
ENSG00000262771,ENSPTRG00000013809,49.5
ENSG00000262771,ENSPTRG00000021649,49.1124
ENSG00000262771,ENSPTRG00000000124,49.3617
ENSG00000262771,ENSPTRG00000016726,49.2476
ENSG00000259991,ENSPTRG00000003320,43.3431
ENSG00000261383,ENSPTRG00000003320,44.3086
ENSG00000261345,ENSPTRG00000007674,47.8998
ENSG00000261417,ENSPTRG00000007557,48.1148
ENSG00000261417,ENSPTRG00000042236,46.9484
ENSG00000262860,ENSPTRG00000021706,49.0196
ENSG00000262860,ENSPTRG00000007612,49.2056
ENSG00000262860,ENSPTRG00000016949,49.4186
ENSG00000262860,ENSPTRG00000031254,48.9855
ENSG00000187699,ENSPTRG00000000124,49.177
ENSG00000187699,ENSPTRG00000031433,48.8978
ENSG00000187699,ENSPTRG00000028731,48.9474
ENSG00000187699,ENSPTRG00000003184,47.467
ENSG00000187699,ENSPTRG00000017067,48.4758
ENSG00000187699,ENSPTRG00000031023,48.2659
ENSG00000260380,ENSPTRG00000013817,49.8138
ENSG00000260380,ENSPTRG00000005734,49.0066
ENSG00000260380,ENSPTRG00000021674,49.1914
ENSG00000259808,ENSPTRG00000000101,47.381
ENSG00000259808,ENSPTRG00000000101,47.5528
ENSG00000260384,ENSPTRG00000007610,48.0429
ENSG00000260384,ENSPTRG00000007610,47.1708
ENSG00000138379,ENSPTRG00000004554,48.2732
ENSG00000260155,ENSPTRG00000028773,45.6464
ENSG00000260155,ENSPTRG00000033888,46.2781
ENSG00000260155,ENSPTRG00000007626,46.6019
ENSG00000261755,ENSPTRG00000028773,45.503
ENSG00000260376,ENSPTRG00000040153,45.5183
ENSG00000198130,ENSPTRG00000038829,50.5051
ENSG00000198130,ENSPTRG00000005861,47.8685
ENSG00000198130,ENSPTRG00000013797,48.066
ENSG00000198130,ENSPTRG00000022501,48.4778
ENSG00000198130,ENSPTRG00000031254,49.004
ENSG00000198130,ENSPTRG00000021690,49.5108
