homo_sapiens,pongo_abelii
ENSG00000157827,ENSPPYG00000017871,48.5471
ENSG00000163882,ENSPPYG00000020258,48.6681
ENSG00000163882,ENSPPYG00000018949,47.6077
ENSG00000163882,ENSPPYG00000017768,48.5915
ENSG00000163882,ENSPPYG00000018959,48.4812
ENSG00000163882,ENSPPYG00000019660,48.6626
ENSG00000163882,ENSPPYG00000018055,48.9467
ENSG00000163882,ENSPPYG00000018997,48.9254
ENSG00000163882,ENSPPYG00000020044,49.0888
ENSG00000163882,ENSPPYG00000018997,48.5993
ENSG00000196504,ENSPPYG00000017925,49.006
ENSG00000196504,ENSPPYG00000019247,47.349
ENSG00000196504,ENSPPYG00000019934,48.3221
ENSG00000196504,ENSPPYG00000019361,48.7755
ENSG00000090534,ENSPPYG00000018915,49.0027
ENSG00000090534,ENSPPYG00000019988,47.907
ENSG00000090534,ENSPPYG00000019718,47.8799
ENSG00000090539,ENSPPYG00000019788,47.6285
ENSG00000090539,ENSPPYG00000019788,47.1927
ENSG00000090539,ENSPPYG00000020860,47.7971
ENSG00000090539,ENSPPYG00000019946,46.3277
ENSG00000090539,ENSPPYG00000017430,48.0678
ENSG00000177917,ENSPPYG00000018373,48.9362
ENSG00000159377,ENSPPYG00000020583,49.0664
ENSG00000177519,ENSPPYG00000018983,48.3345
ENSG00000144278,ENSPPYG00000019213,48.9884
ENSG00000144278,ENSPPYG00000018583,48.0392
ENSG00000144278,ENSPPYG00000020174,48.5913
ENSG00000144278,ENSPPYG00000019491,48.6799
ENSG00000144278,ENSPPYG00000020176,48.8636
ENSG00000144278,ENSPPYG00000018883,48.503
ENSG00000143442,ENSPPYG00000019187,49.8212
ENSG00000143442,ENSPPYG00000020456,49.9245
ENSG00000143442,ENSPPYG00000019187,50.0991
ENSG00000143442,ENSPPYG00000020631,49.2624
ENSG00000143442,ENSPPYG00000020222,49.3998
ENSG00000143442,ENSPPYG00000020422,49.1041
ENSG00000143442,ENSPPYG00000019818,48.7882
ENSG00000143442,ENSPPYG00000020052,48.3636
ENSG00000143442,ENSPPYG00000019561,48.1229
ENSG00000143442,ENSPPYG00000020655,43.7628
ENSG00000143442,ENSPPYG00000020916,49.7487
ENSG00000143442,ENSPPYG00000020456,49.969
ENSG00000143442,ENSPPYG00000017664,48.9396
ENSG00000143375,ENSPPYG00000020012,47.1631
ENSG00000143375,ENSPPYG00000020012,47.8778
ENSG00000143375,ENSPPYG00000020434,48.0246
ENSG00000143375,ENSPPYG00000017362,48.7134
ENSG00000143375,ENSPPYG00000020346,46.9543
ENSG00000143367,ENSPPYG00000017929,47.8624
ENSG00000143367,ENSPPYG00000017929,47.9973
ENSG00000143367,ENSPPYG00000017929,47.8734
ENSG00000143367,ENSPPYG00000017929,48.0395
ENSG00000143367,ENSPPYG00000018981,48.1041
ENSG00000143376,ENSPPYG00000017746,50.1484
ENSG00000143376,ENSPPYG00000017746,49.4651
ENSG00000143376,ENSPPYG00000019247,46.3303
ENSG00000159409,ENSPPYG00000019353,48.6938
ENSG00000159409,ENSPPYG00000018947,49.0758
ENSG00000159409,ENSPPYG00000019630,48.5679
ENSG00000159409,ENSPPYG00000019824,47.2932
ENSG00000178796,ENSPPYG00000019948,48.1069
ENSG00000240510,ENSPPYG00000019914,49.6023
ENSG00000143436,ENSPPYG00000019247,47.608
ENSG00000143436,ENSPPYG00000017510,48.1859
ENSG00000143450,ENSPPYG00000018959,47.7647
ENSG00000143450,ENSPPYG00000018959,48.1481
ENSG00000143450,ENSPPYG00000020194,49.3404
ENSG00000143450,ENSPPYG00000019978,49.2099
ENSG00000143450,ENSPPYG00000017575,47.6489
ENSG00000143450,ENSPPYG00000018959,47.6471
ENSG00000182134,ENSPPYG00000017891,48.6195
ENSG00000182134,ENSPPYG00000019253,49.0758
ENSG00000182134,ENSPPYG00000019105,48.796
ENSG00000182134,ENSPPYG00000019253,49.0731
ENSG00000182134,ENSPPYG00000018635,49.1756
ENSG00000182134,ENSPPYG00000019105,48.9523
ENSG00000182134,ENSPPYG00000017573,48.4155
ENSG00000182134,ENSPPYG00000020779,49.0869
ENSG00000162989,ENSPPYG00000018827,49.0341
ENSG00000162989,ENSPPYG00000019922,48.3105
ENSG00000153234,ENSPPYG00000020489,49.6256
ENSG00000153234,ENSPPYG00000020234,49.3944
ENSG00000153234,ENSPPYG00000020408,49.7915
ENSG00000153234,ENSPPYG00000019988,48.6455
ENSG00000153234,ENSPPYG00000019988,48.1859
ENSG00000153234,ENSPPYG00000017575,46.3252
ENSG00000153234,ENSPPYG00000017462,47.4257
ENSG00000153234,ENSPPYG00000019147,48.6063
ENSG00000153234,ENSPPYG00000019774,49.3306
ENSG00000213171,ENSPPYG00000019598,48.7126
ENSG00000143365,ENSPPYG00000019626,48.6885
ENSG00000143365,ENSPPYG00000019529,48.0275
ENSG00000143365,ENSPPYG00000019397,48.3233
ENSG00000224153,ENSPPYG00000018799,47.6836
ENSG00000225556,ENSPPYG00000020258,46.4428
ENSG00000182580,ENSPPYG00000018411,48.3003
ENSG00000196407,ENSPPYG00000019630,48.5817
ENSG00000196407,ENSPPYG00000019798,48.5037
ENSG00000159445,ENSPPYG00000018809,49.7686
ENSG00000159445,ENSPPYG00000018835,47.2784
ENSG00000115159,ENSPPYG00000017575,47.3684
ENSG00000115159,ENSPPYG00000019213,48.6813
ENSG00000115159,ENSPPYG00000017945,48.7586
ENSG00000115159,ENSPPYG00000020302,48.3521
ENSG00000115159,ENSPPYG00000019265,48.8016
ENSG00000115159,ENSPPYG00000017883,48.5817
ENSG00000197747,ENSPPYG00000018493,49.0017
ENSG00000197747,ENSPPYG00000017915,48.8636
ENSG00000163191,ENSPPYG00000019716,48.4848
ENSG00000182898,ENSPPYG00000019283,48.5984
ENSG00000177383,ENSPPYG00000019167,49.0184
ENSG00000159450,ENSPPYG00000017486,49.1739
ENSG00000215853,ENSPPYG00000019487,48.8932
ENSG00000156931,ENSPPYG00000020527,49.0521
ENSG00000156931,ENSPPYG00000020527,48.782
ENSG00000156931,ENSPPYG00000019906,48.4587
ENSG00000156931,ENSPPYG00000020815,49.4915
ENSG00000156931,ENSPPYG00000020366,49.6218
ENSG00000156931,ENSPPYG00000020779,48.816
ENSG00000156931,ENSPPYG00000018763,47.6351
ENSG00000156931,ENSPPYG00000020653,50.8108
ENSG00000156931,ENSPPYG00000017621,48.9994
ENSG00000156931,ENSPPYG00000017621,49.0192
ENSG00000197915,ENSPPYG00000020699,48.9348
ENSG00000143631,ENSPPYG00000020222,48.9684
ENSG00000143520,ENSPPYG00000018547,48.6955
ENSG00000143536,ENSPPYG00000020517,46.9506
ENSG00000186207,ENSPPYG00000020926,49.0842
ENSG00000169509,ENSPPYG00000017754,47.8571
ENSG00000185966,ENSPPYG00000018475,48.6088
ENSG00000163202,ENSPPYG00000019217,48.124
ENSG00000244057,ENSPPYG00000018041,47.7647
ENSG00000187238,ENSPPYG00000019119,47.9167
ENSG00000185962,ENSPPYG00000019119,46.2963
ENSG00000187223,ENSPPYG00000020236,47.4548
ENSG00000159455,ENSPPYG00000020236,48.366
ENSG00000159455,ENSPPYG00000020236,48.5997
ENSG00000187180,ENSPPYG00000020236,47.7199
ENSG00000187173,ENSPPYG00000019946,48.1419
ENSG00000187170,ENSPPYG00000019389,48.6607
ENSG00000187170,ENSPPYG00000019361,48.7113
ENSG00000198854,ENSPPYG00000020864,48
ENSG00000198854,ENSPPYG00000020864,48.0176
ENSG00000203786,ENSPPYG00000018423,48.1966
ENSG00000240386,ENSPPYG00000019946,47.8261
ENSG00000186226,ENSPPYG00000017543,47.4783
ENSG00000186226,ENSPPYG00000019247,48.1356
ENSG00000172155,ENSPPYG00000019361,46.2791
ENSG00000197084,ENSPPYG00000017754,46.7626
ENSG00000196734,ENSPPYG00000019157,49.5171
ENSG00000186844,ENSPPYG00000019792,47.2727
ENSG00000186844,ENSPPYG00000019946,46.72
ENSG00000235942,ENSPPYG00000017496,48.4076
ENSG00000136542,ENSPPYG00000019201,48.9548
ENSG00000163206,ENSPPYG00000019600,49.1613
ENSG00000163207,ENSPPYG00000019770,46.5397
ENSG00000163207,ENSPPYG00000019770,46.1538
ENSG00000184148,ENSPPYG00000019389,48.1583
ENSG00000169474,ENSPPYG00000017794,46.6667
ENSG00000169474,ENSPPYG00000017706,48.5317
ENSG00000163209,ENSPPYG00000020882,47.5884
ENSG00000163209,ENSPPYG00000019535,48.5194
ENSG00000163209,ENSPPYG00000020525,48.934
ENSG00000163209,ENSPPYG00000020052,47.3251
ENSG00000136541,ENSPPYG00000018617,48.9059
ENSG00000136541,ENSPPYG00000017530,48.8564
ENSG00000136541,ENSPPYG00000019247,47.4318
ENSG00000136541,ENSPPYG00000020128,47.6895
ENSG00000136541,ENSPPYG00000020128,47.2881
ENSG00000136541,ENSPPYG00000020611,48.7936
ENSG00000136541,ENSPPYG00000017573,47.6619
ENSG00000136541,ENSPPYG00000019185,48.6532
ENSG00000136541,ENSPPYG00000020470,47.6908
ENSG00000169469,ENSPPYG00000017706,48.5484
ENSG00000169469,ENSPPYG00000017372,48.6486
ENSG00000163216,ENSPPYG00000019175,48.0938
ENSG00000163216,ENSPPYG00000020607,48.4655
ENSG00000163216,ENSPPYG00000018527,48.125
ENSG00000163216,ENSPPYG00000020148,48.0964
ENSG00000241794,ENSPPYG00000017508,47.9549
ENSG00000196805,ENSPPYG00000017543,47.9943
ENSG00000196805,ENSPPYG00000020004,48.4894
ENSG00000196805,ENSPPYG00000018439,48.1481
ENSG00000203785,ENSPPYG00000019239,47.8324
ENSG00000203785,ENSPPYG00000020004,48.2301
ENSG00000244094,ENSPPYG00000019177,47.8708
ENSG00000115165,ENSPPYG00000019570,49.292
ENSG00000115165,ENSPPYG00000017516,47.424
ENSG00000115165,ENSPPYG00000017539,48.3066
ENSG00000115165,ENSPPYG00000020779,47.9936
ENSG00000115165,ENSPPYG00000019247,47.1995
ENSG00000159516,ENSPPYG00000020052,48.9437
ENSG00000203784,ENSPPYG00000018399,48.3748
ENSG00000203783,ENSPPYG00000019247,48.9015
ENSG00000203782,ENSPPYG00000018223,47.0732
ENSG00000159527,ENSPPYG00000019752,48.6786
ENSG00000163218,ENSPPYG00000020082,49.1966
ENSG00000163218,ENSPPYG00000018985,48.8004
ENSG00000163220,ENSPPYG00000019784,48.7002
ENSG00000123612,ENSPPYG00000019401,49.0399
ENSG00000123612,ENSPPYG00000019439,39.2497
ENSG00000123612,ENSPPYG00000019247,48.4252
ENSG00000123612,ENSPPYG00000019439,45.0366
ENSG00000163221,ENSPPYG00000017575,48.4496
ENSG00000143546,ENSPPYG00000018805,47.9924
ENSG00000143546,ENSPPYG00000019029,47.8788
ENSG00000184330,ENSPPYG00000018621,49.677
ENSG00000184330,ENSPPYG00000018621,49.546
ENSG00000184330,ENSPPYG00000020022,49.8982
ENSG00000197364,ENSPPYG00000017869,49.7917
ENSG00000197364,ENSPPYG00000017575,46.9526
ENSG00000197364,ENSPPYG00000017869,49.7917
ENSG00000143556,ENSPPYG00000019229,48.643
ENSG00000143556,ENSPPYG00000017575,47.5113
ENSG00000197956,ENSPPYG00000017754,48.538
ENSG00000197956,ENSPPYG00000019628,48.8856
ENSG00000187068,ENSPPYG00000018457,49.517
ENSG00000196420,ENSPPYG00000019628,48.169
ENSG00000196420,ENSPPYG00000020739,48.2213
ENSG00000196420,ENSPPYG00000019628,48.169
ENSG00000115170,ENSPPYG00000019321,49.2282
ENSG00000115170,ENSPPYG00000020619,49.0795
ENSG00000115170,ENSPPYG00000019439,47.7447
ENSG00000115170,ENSPPYG00000017786,48.9642
ENSG00000115170,ENSPPYG00000019782,49.0637
ENSG00000115170,ENSPPYG00000019946,48.0496
ENSG00000115170,ENSPPYG00000018256,48.3636
ENSG00000115170,ENSPPYG00000019816,48.5075
ENSG00000115170,ENSPPYG00000020619,49.1087
ENSG00000196154,ENSPPYG00000019716,48.6911
ENSG00000196154,ENSPPYG00000019998,48.9399
ENSG00000196154,ENSPPYG00000020803,49.5
ENSG00000196154,ENSPPYG00000017786,48.3992
ENSG00000113790,ENSPPYG00000019257,48.7532
ENSG00000113790,ENSPPYG00000018113,49.1657
ENSG00000113790,ENSPPYG00000018883,48.0183
ENSG00000188015,ENSPPYG00000017500,48.3645
ENSG00000188015,ENSPPYG00000019015,48.1865
ENSG00000196754,ENSPPYG00000019107,48.998
ENSG00000196754,ENSPPYG00000017575,48.1236
ENSG00000196754,ENSPPYG00000018919,47.2648
ENSG00000196754,ENSPPYG00000020344,48.2944
ENSG00000007001,ENSPPYG00000017790,49.077
ENSG00000007001,ENSPPYG00000018645,49.1457
ENSG00000073803,ENSPPYG00000019265,49.7323
ENSG00000073803,ENSPPYG00000017849,48.9587
ENSG00000073803,ENSPPYG00000020366,49.3528
ENSG00000073803,ENSPPYG00000017664,48.8593
ENSG00000073803,ENSPPYG00000018579,49.0494
ENSG00000073803,ENSPPYG00000017575,41.2371
ENSG00000073803,ENSPPYG00000018503,48.1675
ENSG00000073803,ENSPPYG00000019395,49.2562
ENSG00000073803,ENSPPYG00000018515,49.9595
ENSG00000073803,ENSPPYG00000018837,47.7027
ENSG00000073803,ENSPPYG00000017849,48.8669
ENSG00000153237,ENSPPYG00000017639,48.5266
ENSG00000153237,ENSPPYG00000017390,48.1173
ENSG00000153237,ENSPPYG00000018759,48.1897
ENSG00000153237,ENSPPYG00000019247,48.0304
ENSG00000163510,ENSPPYG00000019401,48.5976
ENSG00000163510,ENSPPYG00000020174,48.4532
ENSG00000163510,ENSPPYG00000020483,49.1331
ENSG00000170035,ENSPPYG00000019247,48.0029
ENSG00000170035,ENSPPYG00000020404,48.7362
ENSG00000115232,ENSPPYG00000019139,48.9665
ENSG00000115232,ENSPPYG00000017839,48.6035
ENSG00000115232,ENSPPYG00000018383,48.0676
ENSG00000144283,ENSPPYG00000019285,49.5413
ENSG00000144283,ENSPPYG00000017784,49.381
ENSG00000163900,ENSPPYG00000017903,48.7443
ENSG00000163900,ENSPPYG00000018043,49.0566
ENSG00000188452,ENSPPYG00000019582,48.7531
ENSG00000188452,ENSPPYG00000018587,48.9072
ENSG00000188452,ENSPPYG00000019247,47.5188
ENSG00000188452,ENSPPYG00000018789,49.1354
ENSG00000188452,ENSPPYG00000019247,47.0546
ENSG00000163898,ENSPPYG00000018431,48.8326
ENSG00000163898,ENSPPYG00000017730,49.2978
ENSG00000163898,ENSPPYG00000019229,49.1363
ENSG00000163898,ENSPPYG00000020937,47.2656
ENSG00000163331,ENSPPYG00000018699,47.8261
ENSG00000163331,ENSPPYG00000018579,48.7132
ENSG00000163331,ENSPPYG00000019716,48.3278
ENSG00000163904,ENSPPYG00000017537,48.6333
ENSG00000163904,ENSPPYG00000018457,49.6764
ENSG00000163904,ENSPPYG00000020753,47.8689
ENSG00000163904,ENSPPYG00000019159,49.0987
ENSG00000163904,ENSPPYG00000019503,49.3076
ENSG00000162992,ENSPPYG00000020801,49.6844
ENSG00000115183,ENSPPYG00000020250,49.6118
ENSG00000115183,ENSPPYG00000019610,49.5894
ENSG00000138434,ENSPPYG00000018873,49.1068
ENSG00000138434,ENSPPYG00000018873,49.003
ENSG00000138434,ENSPPYG00000018815,48.9473
ENSG00000138434,ENSPPYG00000017871,48.4488
ENSG00000138434,ENSPPYG00000017539,48.3986
ENSG00000138434,ENSPPYG00000019962,48.0589
ENSG00000138434,ENSPPYG00000020527,48.7275
ENSG00000196151,ENSPPYG00000018489,49.1109
ENSG00000196151,ENSPPYG00000019499,48.2085
ENSG00000196151,ENSPPYG00000018819,48.6755
ENSG00000196151,ENSPPYG00000019245,48.6458
ENSG00000196151,ENSPPYG00000017917,48.8125
ENSG00000150722,ENSPPYG00000020625,48.6352
ENSG00000150722,ENSPPYG00000019137,49.3276
ENSG00000150722,ENSPPYG00000019247,48.7468
ENSG00000150722,ENSPPYG00000019237,49.1124
ENSG00000073792,ENSPPYG00000019051,49.9729
ENSG00000073792,ENSPPYG00000019618,49.8249
ENSG00000073792,ENSPPYG00000019618,49.4075
ENSG00000073792,ENSPPYG00000019145,50.2978
ENSG00000115252,ENSPPYG00000018755,48.2497
ENSG00000115252,ENSPPYG00000017730,48.2793
ENSG00000115252,ENSPPYG00000019265,48.75
ENSG00000115252,ENSPPYG00000020779,48.2295
ENSG00000115252,ENSPPYG00000019970,48.4179
ENSG00000115252,ENSPPYG00000019970,48.2042
ENSG00000115252,ENSPPYG00000019247,48.3209
ENSG00000115252,ENSPPYG00000017662,44.7636
ENSG00000115252,ENSPPYG00000020779,48.5835
ENSG00000123636,ENSPPYG00000020491,48.6721
ENSG00000123636,ENSPPYG00000020491,48.4136
ENSG00000123636,ENSPPYG00000018699,47.8585
ENSG00000123636,ENSPPYG00000020128,47.8605
ENSG00000123636,ENSPPYG00000020753,47.4138
ENSG00000123636,ENSPPYG00000020737,49.1582
ENSG00000123636,ENSPPYG00000018129,48.5938
ENSG00000123636,ENSPPYG00000020491,48.6261
ENSG00000123636,ENSPPYG00000020491,48.7189
ENSG00000077232,ENSPPYG00000018747,48.805
ENSG00000077232,ENSPPYG00000019265,48.1726
ENSG00000162998,ENSPPYG00000018631,49.5889
ENSG00000061676,ENSPPYG00000017921,48.4406
ENSG00000061676,ENSPPYG00000018827,48.9878
ENSG00000162999,ENSPPYG00000020493,49.5971
ENSG00000162999,ENSPPYG00000019974,48.5703
ENSG00000163002,ENSPPYG00000020753,49.513
ENSG00000163002,ENSPPYG00000017575,47.8723
ENSG00000163002,ENSPPYG00000019247,47.3469
ENSG00000163002,ENSPPYG00000017575,45.9064
ENSG00000163002,ENSPPYG00000019265,49.0508
ENSG00000163002,ENSPPYG00000018561,48.8916
ENSG00000170396,ENSPPYG00000017710,49.1684
ENSG00000188738,ENSPPYG00000017567,50.481
ENSG00000188738,ENSPPYG00000017567,50.646
ENSG00000188738,ENSPPYG00000020547,49.0462
ENSG00000065548,ENSPPYG00000019511,48.4097
ENSG00000065548,ENSPPYG00000020747,48.7113
ENSG00000065548,ENSPPYG00000020112,48.5922
ENSG00000213953,ENSPPYG00000018603,57.8947
ENSG00000138448,ENSPPYG00000017746,48.3215
ENSG00000138448,ENSPPYG00000017746,48.2544
ENSG00000138448,ENSPPYG00000020519,48.9964
ENSG00000138448,ENSPPYG00000018577,47.8261
ENSG00000144369,ENSPPYG00000017861,48.6853
ENSG00000163012,ENSPPYG00000019159,48.3501
ENSG00000064989,ENSPPYG00000017867,48.1086
ENSG00000064989,ENSPPYG00000017867,48.1141
ENSG00000064989,ENSPPYG00000017881,48.8407
ENSG00000064989,ENSPPYG00000019185,48.5981
ENSG00000064989,ENSPPYG00000020104,48.9002
ENSG00000003436,ENSPPYG00000018815,48.8901
ENSG00000003436,ENSPPYG00000019247,48.1481
ENSG00000003436,ENSPPYG00000018883,48.6172
ENSG00000003436,ENSPPYG00000018557,48.7042
ENSG00000003436,ENSPPYG00000018391,48.989
ENSG00000003436,ENSPPYG00000020176,48.9908
ENSG00000003436,ENSPPYG00000018071,49.3781
ENSG00000003436,ENSPPYG00000019531,49.2497
ENSG00000003436,ENSPPYG00000017760,48.1949
ENSG00000003436,ENSPPYG00000020430,48.1752
ENSG00000003436,ENSPPYG00000017530,48.8628
ENSG00000144366,ENSPPYG00000017569,48.6947
ENSG00000144366,ENSPPYG00000019247,48.3285
ENSG00000144366,ENSPPYG00000017821,46.0188
ENSG00000144366,ENSPPYG00000017780,48.542
ENSG00000144366,ENSPPYG00000020180,48.5249
ENSG00000144366,ENSPPYG00000020162,47.9054
ENSG00000144366,ENSPPYG00000020162,48.1095
ENSG00000144366,ENSPPYG00000019247,47.4235
ENSG00000144366,ENSPPYG00000019970,48.2402
ENSG00000144366,ENSPPYG00000017925,48.9027
ENSG00000144366,ENSPPYG00000019185,49.0222
ENSG00000174325,ENSPPYG00000020470,49.7589
ENSG00000168542,ENSPPYG00000019557,49.7384
ENSG00000168542,ENSPPYG00000019151,47.7612
ENSG00000168542,ENSPPYG00000020569,49.5525
ENSG00000204262,ENSPPYG00000019610,49.4891
ENSG00000115368,ENSPPYG00000017933,48.7597
ENSG00000138449,ENSPPYG00000017905,48.925
ENSG00000138449,ENSPPYG00000017619,48.4223
ENSG00000138449,ENSPPYG00000019836,48.6486
ENSG00000138449,ENSPPYG00000019113,47.8261
ENSG00000138449,ENSPPYG00000019866,45.933
ENSG00000138381,ENSPPYG00000018809,48.6122
ENSG00000138381,ENSPPYG00000020791,48.1481
ENSG00000138381,ENSPPYG00000018645,48.2044
ENSG00000151687,ENSPPYG00000020697,48.6621
ENSG00000151687,ENSPPYG00000020697,48.7588
ENSG00000151687,ENSPPYG00000019451,48.4892
ENSG00000151687,ENSPPYG00000020697,48.5917
ENSG00000151687,ENSPPYG00000019451,48.6028
ENSG00000128694,ENSPPYG00000020900,48.9655
ENSG00000128694,ENSPPYG00000017545,48.5108
ENSG00000128694,ENSPPYG00000018240,49.1287
ENSG00000128694,ENSPPYG00000018327,48.7831
ENSG00000128694,ENSPPYG00000018807,49.3435
ENSG00000128694,ENSPPYG00000018807,49.1991
ENSG00000128699,ENSPPYG00000019265,48.88
ENSG00000128699,ENSPPYG00000018695,48.477
ENSG00000128699,ENSPPYG00000019247,48.9886
ENSG00000128699,ENSPPYG00000019247,47.2608
ENSG00000128699,ENSPPYG00000018759,48.8242
ENSG00000128699,ENSPPYG00000018327,49.2341
ENSG00000260355,ENSPPYG00000017394,47.4697
ENSG00000262942,ENSPPYG00000019970,30.3905
ENSG00000231145,ENSPPYG00000018603,64.5833
ENSG00000262327,ENSPPYG00000017530,49.5713
ENSG00000262327,ENSPPYG00000019247,48.3871
ENSG00000262327,ENSPPYG00000020651,49.1396
ENSG00000064933,ENSPPYG00000019149,48.3101
ENSG00000064933,ENSPPYG00000017545,47.4495
ENSG00000064933,ENSPPYG00000017668,49.1071
ENSG00000064933,ENSPPYG00000017903,48.7657
ENSG00000064933,ENSPPYG00000017953,49.1561
ENSG00000064933,ENSPPYG00000017655,49.2178
ENSG00000064933,ENSPPYG00000017933,48.2531
ENSG00000064933,ENSPPYG00000017575,43.2024
ENSG00000064933,ENSPPYG00000019159,48.1654
ENSG00000064933,ENSPPYG00000017939,48.2614
ENSG00000064933,ENSPPYG00000020531,48.3541
ENSG00000064933,ENSPPYG00000020625,48.506
ENSG00000064933,ENSPPYG00000018815,48.3264
ENSG00000262599,ENSPPYG00000018065,6.59265
ENSG00000262599,ENSPPYG00000020136,49.4315
ENSG00000263042,ENSPPYG00000019141,49.755
ENSG00000263042,ENSPPYG00000020230,48.6885
ENSG00000262771,ENSPPYG00000019189,49.1994
ENSG00000262771,ENSPPYG00000020306,47.956
ENSG00000262771,ENSPPYG00000020470,47.8261
ENSG00000262771,ENSPPYG00000017676,48.4127
ENSG00000262771,ENSPPYG00000020224,48.6667
ENSG00000262771,ENSPPYG00000019185,49.1124
ENSG00000262771,ENSPPYG00000017575,47.4468
ENSG00000262771,ENSPPYG00000019189,49.1108
ENSG00000259991,ENSPPYG00000018127,43.6346
ENSG00000261383,ENSPPYG00000019992,44.5908
ENSG00000261345,ENSPPYG00000020852,47.9769
ENSG00000261417,ENSPPYG00000019810,48.1148
ENSG00000261417,ENSPPYG00000017575,47.8873
ENSG00000262860,ENSPPYG00000020162,48.7923
ENSG00000262860,ENSPPYG00000020587,49.6028
ENSG00000262860,ENSPPYG00000018501,49.4186
ENSG00000262860,ENSPPYG00000020737,49.5652
ENSG00000187699,ENSPPYG00000017575,47.3251
ENSG00000187699,ENSPPYG00000019932,48.3968
ENSG00000187699,ENSPPYG00000020803,48.9474
ENSG00000187699,ENSPPYG00000019139,47.9528
ENSG00000187699,ENSPPYG00000017530,48.8724
ENSG00000187699,ENSPPYG00000018835,48.1214
ENSG00000260380,ENSPPYG00000019427,48.324
ENSG00000260380,ENSPPYG00000017937,47.8146
ENSG00000260380,ENSPPYG00000019960,49.4609
ENSG00000259808,ENSPPYG00000020902,48.5714
ENSG00000259808,ENSPPYG00000020902,48.8964
ENSG00000260384,ENSPPYG00000020819,47.8099
ENSG00000260384,ENSPPYG00000018185,47.1708
ENSG00000138379,ENSPPYG00000017933,48.2353
ENSG00000260155,ENSPPYG00000019826,46.5699
ENSG00000260155,ENSPPYG00000019804,46.2079
ENSG00000260155,ENSPPYG00000020004,46.7638
ENSG00000261755,ENSPPYG00000019826,46.1026
ENSG00000260376,ENSPPYG00000019810,46.4536
ENSG00000198130,ENSPPYG00000017575,44.697
ENSG00000198130,ENSPPYG00000018809,48.2745
ENSG00000198130,ENSPPYG00000018455,48.4786
ENSG00000198130,ENSPPYG00000018327,48.5948
ENSG00000198130,ENSPPYG00000018783,48.2072
ENSG00000198130,ENSPPYG00000020793,48.5323
