homo_sapiens,macaca_mulatta
ENSG00000143442,ENSMMUG00000013710,49.6586
ENSG00000143442,ENSMMUG00000001307,49.7736
ENSG00000143442,ENSMMUG00000013710,49.7027
ENSG00000143442,ENSMMUG00000008422,49.5325
ENSG00000143442,ENSMMUG00000017246,49.2186
ENSG00000143442,ENSMMUG00000002805,49.1283
ENSG00000143442,ENSMMUG00000012739,49.3151
ENSG00000143442,ENSMMUG00000001612,48
ENSG00000143442,ENSMMUG00000016045,47.6109
ENSG00000143442,ENSMMUG00000013904,46.8303
ENSG00000143442,ENSMMUG00000018997,50.2513
ENSG00000143442,ENSMMUG00000001307,49.9226
ENSG00000143442,ENSMMUG00000008422,48.9075
ENSG00000143375,ENSMMUG00000032565,47.8723
ENSG00000143375,ENSMMUG00000015396,48.3871
ENSG00000143375,ENSMMUG00000023021,48.3758
ENSG00000143375,ENSMMUG00000009293,49.2241
ENSG00000143375,ENSMMUG00000010727,46.4467
ENSG00000143367,ENSMMUG00000022568,49.2446
ENSG00000143367,ENSMMUG00000013667,49.1514
ENSG00000143367,ENSMMUG00000013667,49.2252
ENSG00000143367,ENSMMUG00000008207,49.0624
ENSG00000143367,ENSMMUG00000023099,47.9909
ENSG00000143376,ENSMMUG00000008825,50.3826
ENSG00000143376,ENSMMUG00000010169,50.2571
ENSG00000143376,ENSMMUG00000001554,48.4709
ENSG00000159409,ENSMMUG00000017277,49.1649
ENSG00000159409,ENSMMUG00000000323,49.045
ENSG00000159409,ENSMMUG00000017277,48.8134
ENSG00000159409,ENSMMUG00000003561,48.1955
ENSG00000178796,ENSMMUG00000032525,48.1069
ENSG00000240510,ENSMMUG00000017669,49.6023
ENSG00000143436,ENSMMUG00000005498,48.8426
ENSG00000143436,ENSMMUG00000004046,48.6395
ENSG00000143450,ENSMMUG00000005501,48.5882
ENSG00000143450,ENSMMUG00000020513,48.9712
ENSG00000143450,ENSMMUG00000014258,50.1319
ENSG00000143450,ENSMMUG00000013600,49.5485
ENSG00000143450,ENSMMUG00000013971,49.5298
ENSG00000143450,ENSMMUG00000005501,48.5882
ENSG00000182134,ENSMMUG00000008429,48.4469
ENSG00000182134,ENSMMUG00000021581,48.5854
ENSG00000182134,ENSMMUG00000020529,48.8669
ENSG00000182134,ENSMMUG00000004274,48.6005
ENSG00000182134,ENSMMUG00000017276,49.1756
ENSG00000182134,ENSMMUG00000004274,48.7717
ENSG00000182134,ENSMMUG00000011379,48.7676
ENSG00000182134,ENSMMUG00000004664,48.6442
ENSG00000162989,ENSMMUG00000004530,49.3328
ENSG00000162989,ENSMMUG00000016679,48.8584
ENSG00000153234,ENSMMUG00000015656,49.424
ENSG00000153234,ENSMMUG00000011104,49.4322
ENSG00000153234,ENSMMUG00000000126,49.5483
ENSG00000153234,ENSMMUG00000005304,48.8184
ENSG00000153234,ENSMMUG00000002023,49.077
ENSG00000153234,ENSMMUG00000008206,49.8886
ENSG00000153234,ENSMMUG00000001612,47.9208
ENSG00000153234,ENSMMUG00000032454,49.1289
ENSG00000153234,ENSMMUG00000001557,49.1278
ENSG00000213171,ENSMMUG00000000323,49.0974
ENSG00000143365,ENSMMUG00000017423,48.7869
ENSG00000143365,ENSMMUG00000017277,48.1651
ENSG00000143365,ENSMMUG00000017277,47.9794
ENSG00000224153,ENSMMUG00000000551,48.3616
ENSG00000225556,ENSMMUG00000005304,46.8981
ENSG00000182580,ENSMMUG00000000286,47.4268
ENSG00000196407,ENSMMUG00000012710,47.3831
ENSG00000196407,ENSMMUG00000008256,48.1297
ENSG00000159445,ENSMMUG00000016238,49.4321
ENSG00000159445,ENSMMUG00000008622,48.9891
ENSG00000115159,ENSMMUG00000032457,49.1228
ENSG00000115159,ENSMMUG00000004188,48.7847
ENSG00000115159,ENSMMUG00000004045,48.8807
ENSG00000115159,ENSMMUG00000014066,48.3104
ENSG00000115159,ENSMMUG00000005066,48.4447
ENSG00000115159,ENSMMUG00000011801,48.6849
ENSG00000197747,ENSMMUG00000015264,49.0017
ENSG00000197747,ENSMMUG00000019495,49.026
ENSG00000163191,ENSMMUG00000021679,49.6633
ENSG00000182898,ENSMMUG00000004663,48.8759
ENSG00000177383,ENSMMUG00000012771,45.9845
ENSG00000159450,ENSMMUG00000015761,47.8261
ENSG00000215853,ENSMMUG00000003041,48.4169
ENSG00000156931,ENSMMUG00000005461,48.8126
ENSG00000156931,ENSMMUG00000012957,48.8456
ENSG00000156931,ENSMMUG00000018950,48.4587
ENSG00000156931,ENSMMUG00000022583,49.0254
ENSG00000156931,ENSMMUG00000004218,49.1679
ENSG00000156931,ENSMMUG00000004798,48.0874
ENSG00000156931,ENSMMUG00000001738,48.6486
ENSG00000156931,ENSMMUG00000032532,49.7297
ENSG00000156931,ENSMMUG00000005461,48.7815
ENSG00000156931,ENSMMUG00000005461,48.7815
ENSG00000197915,ENSMMUG00000013668,48.8205
ENSG00000143631,ENSMMUG00000008247,49.0155
ENSG00000143520,ENSMMUG00000010245,48.7941
ENSG00000143536,ENSMMUG00000004336,47.5289
ENSG00000186207,ENSMMUG00000022138,48.9621
ENSG00000169509,ENSMMUG00000022138,48
ENSG00000185966,ENSMMUG00000001612,49.0998
ENSG00000163202,ENSMMUG00000032498,48.6134
ENSG00000244057,ENSMMUG00000002729,48.9412
ENSG00000187238,ENSMMUG00000013971,47.9167
ENSG00000185962,ENSMMUG00000032397,47.037
ENSG00000187223,ENSMMUG00000018157,49.0969
ENSG00000159455,ENSMMUG00000032565,48.6928
ENSG00000159455,ENSMMUG00000032565,48.7644
ENSG00000187180,ENSMMUG00000032565,49.0228
ENSG00000187173,ENSMMUG00000017276,49.3243
ENSG00000187170,ENSMMUG00000001612,48.5119
ENSG00000187170,ENSMMUG00000002333,49.2268
ENSG00000198854,ENSMMUG00000008534,48.4
ENSG00000198854,ENSMMUG00000001620,48.0176
ENSG00000203786,ENSMMUG00000001620,48.0777
ENSG00000240386,ENSMMUG00000032498,47.4916
ENSG00000186226,ENSMMUG00000032378,47.4783
ENSG00000186226,ENSMMUG00000015264,49.661
ENSG00000172155,ENSMMUG00000021258,46.5116
ENSG00000197084,ENSMMUG00000032480,47.7698
ENSG00000196734,ENSMMUG00000016681,48.9903
ENSG00000186844,ENSMMUG00000022138,47.7922
ENSG00000186844,ENSMMUG00000001612,47.36
ENSG00000235942,ENSMMUG00000016929,49.2038
ENSG00000136542,ENSMMUG00000011076,49.2465
ENSG00000163206,ENSMMUG00000023060,48.7742
ENSG00000163207,ENSMMUG00000020059,47.4222
ENSG00000163207,ENSMMUG00000023099,47.3449
ENSG00000184148,ENSMMUG00000020513,47.3397
ENSG00000169474,ENSMMUG00000032397,48.1481
ENSG00000169474,ENSMMUG00000008622,49.3045
ENSG00000163209,ENSMMUG00000002859,48.7138
ENSG00000163209,ENSMMUG00000002360,48.5194
ENSG00000163209,ENSMMUG00000015266,48.934
ENSG00000163209,ENSMMUG00000032380,47.7366
ENSG00000136541,ENSMMUG00000021298,48.6686
ENSG00000136541,ENSMMUG00000021298,48.5106
ENSG00000136541,ENSMMUG00000022902,47.9936
ENSG00000136541,ENSMMUG00000014258,47.6895
ENSG00000136541,ENSMMUG00000004218,47.6271
ENSG00000136541,ENSMMUG00000032459,48.5255
ENSG00000136541,ENSMMUG00000008046,48.5612
ENSG00000136541,ENSMMUG00000032541,48.3165
ENSG00000136541,ENSMMUG00000032423,48.5944
ENSG00000169469,ENSMMUG00000002859,48.871
ENSG00000169469,ENSMMUG00000023059,48.6486
ENSG00000163216,ENSMMUG00000005453,48.6804
ENSG00000163216,ENSMMUG00000020513,48.4655
ENSG00000163216,ENSMMUG00000013356,48.75
ENSG00000163216,ENSMMUG00000008256,48.6041
ENSG00000241794,ENSMMUG00000005453,48.0959
ENSG00000196805,ENSMMUG00000006866,48.8539
ENSG00000196805,ENSMMUG00000013938,48.1873
ENSG00000196805,ENSMMUG00000000673,47.8395
ENSG00000203785,ENSMMUG00000032559,49.2775
ENSG00000203785,ENSMMUG00000013938,48.5251
ENSG00000244094,ENSMMUG00000021679,48.605
ENSG00000115165,ENSMMUG00000010999,48.8496
ENSG00000115165,ENSMMUG00000023060,48.4808
ENSG00000115165,ENSMMUG00000002986,48.3066
ENSG00000115165,ENSMMUG00000020044,49.2777
ENSG00000115165,ENSMMUG00000009295,48.7022
ENSG00000159516,ENSMMUG00000032342,49.1197
ENSG00000203784,ENSMMUG00000013415,49.1396
ENSG00000203783,ENSMMUG00000014258,49.227
ENSG00000203782,ENSMMUG00000009476,46.6667
ENSG00000159527,ENSMMUG00000032317,48.7639
ENSG00000163218,ENSMMUG00000032424,48.8658
ENSG00000163218,ENSMMUG00000021120,48.9095
ENSG00000163220,ENSMMUG00000008945,48.0069
ENSG00000123612,ENSMMUG00000014235,48.5968
ENSG00000123612,ENSMMUG00000004051,49.0482
ENSG00000123612,ENSMMUG00000009482,49.1339
ENSG00000123612,ENSMMUG00000022663,48.6342
ENSG00000163221,ENSMMUG00000002333,48.8372
ENSG00000143546,ENSMMUG00000002986,47.9924
ENSG00000143546,ENSMMUG00000001001,47.6768
ENSG00000184330,ENSMMUG00000032333,49.7
ENSG00000184330,ENSMMUG00000032333,49.6391
ENSG00000184330,ENSMMUG00000032522,49.6945
ENSG00000197364,ENSMMUG00000022619,49.7917
ENSG00000197364,ENSMMUG00000000585,50.1129
ENSG00000197364,ENSMMUG00000022619,49.7917
ENSG00000143556,ENSMMUG00000000585,49.2693
ENSG00000143556,ENSMMUG00000002333,49.5475
ENSG00000197956,ENSMMUG00000017277,48.0994
ENSG00000197956,ENSMMUG00000017277,47.8455
ENSG00000187068,ENSMMUG00000020849,49.1781
ENSG00000196420,ENSMMUG00000016929,48.4507
ENSG00000196420,ENSMMUG00000021258,48.0237
ENSG00000196420,ENSMMUG00000016929,48.4507
ENSG00000115170,ENSMMUG00000020066,49.2611
ENSG00000115170,ENSMMUG00000009801,49.4616
ENSG00000115170,ENSMMUG00000007345,49.0403
ENSG00000115170,ENSMMUG00000017015,48.2109
ENSG00000115170,ENSMMUG00000006616,48.8764
ENSG00000115170,ENSMMUG00000002333,48.0496
ENSG00000115170,ENSMMUG00000017276,48.7273
ENSG00000115170,ENSMMUG00000032555,49.6269
ENSG00000115170,ENSMMUG00000007922,49.2485
ENSG00000196154,ENSMMUG00000003082,48.1675
ENSG00000196154,ENSMMUG00000003082,48.4099
ENSG00000196154,ENSMMUG00000021679,49.3333
ENSG00000196154,ENSMMUG00000032340,48.5876
ENSG00000113790,ENSMMUG00000006969,49.0649
ENSG00000113790,ENSMMUG00000023635,48.9329
ENSG00000113790,ENSMMUG00000014382,49.3902
ENSG00000188015,ENSMMUG00000017405,48.2477
ENSG00000188015,ENSMMUG00000008945,47.323
ENSG00000196754,ENSMMUG00000011519,48.998
ENSG00000196754,ENSMMUG00000032359,48.3444
ENSG00000196754,ENSMMUG00000002333,48.14
ENSG00000196754,ENSMMUG00000002333,48.2944
ENSG00000007001,ENSMMUG00000012622,48.3566
ENSG00000007001,ENSMMUG00000014055,49.1007
ENSG00000073803,ENSMMUG00000000682,49.4943
ENSG00000073803,ENSMMUG00000013603,48.9222
ENSG00000073803,ENSMMUG00000000856,48.7055
ENSG00000073803,ENSMMUG00000010404,49.0811
ENSG00000073803,ENSMMUG00000004797,49.4297
ENSG00000073803,ENSMMUG00000032445,47.9381
ENSG00000073803,ENSMMUG00000009054,48.3421
ENSG00000073803,ENSMMUG00000009801,48.9587
ENSG00000073803,ENSMMUG00000013753,49.7671
ENSG00000073803,ENSMMUG00000021984,48.5135
ENSG00000073803,ENSMMUG00000017881,48.796
ENSG00000153237,ENSMMUG00000021412,48.4305
ENSG00000153237,ENSMMUG00000022081,47.6813
ENSG00000153237,ENSMMUG00000018782,48.2759
ENSG00000153237,ENSMMUG00000012796,49.067
ENSG00000163510,ENSMMUG00000004328,48.689
ENSG00000163510,ENSMMUG00000009037,48.4532
ENSG00000163510,ENSMMUG00000004328,48.3703
ENSG00000170035,ENSMMUG00000016045,48.7291
ENSG00000170035,ENSMMUG00000016045,49.5139
ENSG00000115232,ENSMMUG00000004960,49.0378
ENSG00000115232,ENSMMUG00000010404,49.0571
ENSG00000115232,ENSMMUG00000022667,48.6957
ENSG00000144283,ENSMMUG00000012894,49.8009
ENSG00000144283,ENSMMUG00000008751,49.5611
ENSG00000163900,ENSMMUG00000018785,49.6993
ENSG00000163900,ENSMMUG00000020833,48.9623
ENSG00000188452,ENSMMUG00000010911,48.5973
ENSG00000188452,ENSMMUG00000004382,48.4536
ENSG00000188452,ENSMMUG00000018777,48.7218
ENSG00000188452,ENSMMUG00000004793,48.5391
ENSG00000188452,ENSMMUG00000014467,49.1379
ENSG00000163898,ENSMMUG00000003317,48.8574
ENSG00000163898,ENSMMUG00000010394,49.6368
ENSG00000163898,ENSMMUG00000020179,49.3282
ENSG00000163898,ENSMMUG00000002548,47.6562
ENSG00000163331,ENSMMUG00000015861,48.7319
ENSG00000163331,ENSMMUG00000004798,49.2647
ENSG00000163331,ENSMMUG00000008256,49.8328
ENSG00000163904,ENSMMUG00000009801,49.0888
ENSG00000163904,ENSMMUG00000020849,49.7289
ENSG00000163904,ENSMMUG00000021984,48.1967
ENSG00000163904,ENSMMUG00000006864,49.3359
ENSG00000163904,ENSMMUG00000013603,49.0978
ENSG00000162992,ENSMMUG00000012484,49.1935
ENSG00000115183,ENSMMUG00000005292,49.2771
ENSG00000115183,ENSMMUG00000005292,49.2693
ENSG00000138434,ENSMMUG00000011497,48.7961
ENSG00000138434,ENSMMUG00000011497,48.5398
ENSG00000138434,ENSMMUG00000011497,48.6866
ENSG00000138434,ENSMMUG00000016391,48.9197
ENSG00000138434,ENSMMUG00000004548,49.2883
ENSG00000138434,ENSMMUG00000021850,48.996
ENSG00000138434,ENSMMUG00000003049,48.9926
ENSG00000196151,ENSMMUG00000022667,48.9017
ENSG00000196151,ENSMMUG00000012762,48.7948
ENSG00000196151,ENSMMUG00000012391,48.6203
ENSG00000196151,ENSMMUG00000003040,48.8021
ENSG00000196151,ENSMMUG00000020392,49.3125
ENSG00000150722,ENSMMUG00000013204,48.3356
ENSG00000150722,ENSMMUG00000015014,49.3888
ENSG00000150722,ENSMMUG00000010501,49.0061
ENSG00000150722,ENSMMUG00000006966,48.7179
ENSG00000073792,ENSMMUG00000003041,49.8373
ENSG00000073792,ENSMMUG00000003041,50.0584
ENSG00000073792,ENSMMUG00000004663,49.7417
ENSG00000073792,ENSMMUG00000004663,50.3276
ENSG00000115252,ENSMMUG00000014606,48.9458
ENSG00000115252,ENSMMUG00000005959,48.9676
ENSG00000115252,ENSMMUG00000013327,48.3
ENSG00000115252,ENSMMUG00000002207,47.1917
ENSG00000115252,ENSMMUG00000013327,48.5183
ENSG00000115252,ENSMMUG00000010911,48.4877
ENSG00000115252,ENSMMUG00000002207,47.5124
ENSG00000115252,ENSMMUG00000004045,49.0941
ENSG00000115252,ENSMMUG00000002207,47.5588
ENSG00000123636,ENSMMUG00000011498,49.2306
ENSG00000123636,ENSMMUG00000011498,49.5235
ENSG00000123636,ENSMMUG00000002333,48.4171
ENSG00000123636,ENSMMUG00000004438,48.6529
ENSG00000123636,ENSMMUG00000014258,47.931
ENSG00000123636,ENSMMUG00000002333,50
ENSG00000123636,ENSMMUG00000032365,50.1562
ENSG00000123636,ENSMMUG00000011498,49.1483
ENSG00000123636,ENSMMUG00000011498,49.1778
ENSG00000077232,ENSMMUG00000017323,48.8809
ENSG00000077232,ENSMMUG00000023574,48.8316
ENSG00000162998,ENSMMUG00000021412,48.988
ENSG00000061676,ENSMMUG00000004530,48.1788
ENSG00000061676,ENSMMUG00000004530,48.4466
ENSG00000162999,ENSMMUG00000014259,49.3286
ENSG00000162999,ENSMMUG00000017323,48.8601
ENSG00000163002,ENSMMUG00000002859,48.7013
ENSG00000163002,ENSMMUG00000020179,47.8723
ENSG00000163002,ENSMMUG00000000682,49.0476
ENSG00000163002,ENSMMUG00000000834,50
ENSG00000163002,ENSMMUG00000020530,48.9284
ENSG00000163002,ENSMMUG00000020530,48.83
ENSG00000170396,ENSMMUG00000004530,48.7846
ENSG00000188738,ENSMMUG00000006362,52.742
ENSG00000188738,ENSMMUG00000006362,52.8498
ENSG00000188738,ENSMMUG00000007601,48.6794
ENSG00000065548,ENSMMUG00000032510,48.1759
ENSG00000065548,ENSMMUG00000018027,47.2938
ENSG00000065548,ENSMMUG00000018782,48.8647
ENSG00000213953,ENSMMUG00000032533,68.4211
ENSG00000138448,ENSMMUG00000003317,48.8478
ENSG00000138448,ENSMMUG00000011076,48.9208
ENSG00000138448,ENSMMUG00000003049,48.9659
ENSG00000138448,ENSMMUG00000003992,48.913
ENSG00000144369,ENSMMUG00000012987,48.5994
ENSG00000163012,ENSMMUG00000014935,48.2066
ENSG00000064989,ENSMMUG00000017323,47.8177
ENSG00000064989,ENSMMUG00000017323,47.8461
ENSG00000064989,ENSMMUG00000032544,48.4375
ENSG00000064989,ENSMMUG00000032559,48.9097
ENSG00000064989,ENSMMUG00000001738,48.9002
ENSG00000003436,ENSMMUG00000014258,48.4516
ENSG00000003436,ENSMMUG00000021188,48.3204
ENSG00000003436,ENSMMUG00000016254,49.345
ENSG00000003436,ENSMMUG00000032341,47.6318
ENSG00000003436,ENSMMUG00000032341,47.886
ENSG00000003436,ENSMMUG00000032449,48.9908
ENSG00000003436,ENSMMUG00000009032,49.3781
ENSG00000003436,ENSMMUG00000017359,49.1132
ENSG00000003436,ENSMMUG00000020152,49.278
ENSG00000003436,ENSMMUG00000017881,49.4891
ENSG00000003436,ENSMMUG00000014258,48.7094
ENSG00000144366,ENSMMUG00000013221,48.619
ENSG00000144366,ENSMMUG00000019569,48.6192
ENSG00000144366,ENSMMUG00000010421,48.7147
ENSG00000144366,ENSMMUG00000023281,47.6844
ENSG00000144366,ENSMMUG00000007924,48.2197
ENSG00000144366,ENSMMUG00000012899,47.8755
ENSG00000144366,ENSMMUG00000017842,48.307
ENSG00000144366,ENSMMUG00000021413,47.5845
ENSG00000144366,ENSMMUG00000010763,48.4472
ENSG00000144366,ENSMMUG00000022574,49.0104
ENSG00000144366,ENSMMUG00000019573,48.8918
ENSG00000174325,ENSMMUG00000000473,48.7946
ENSG00000168542,ENSMMUG00000007205,48.7101
ENSG00000168542,ENSMMUG00000009012,47.0149
ENSG00000168542,ENSMMUG00000007235,47.9808
ENSG00000204262,ENSMMUG00000007205,48.9423
ENSG00000115368,ENSMMUG00000016776,48.7227
ENSG00000138449,ENSMMUG00000022281,48.2278
ENSG00000138449,ENSMMUG00000012871,48.7864
ENSG00000138449,ENSMMUG00000032388,49.1554
ENSG00000138449,ENSMMUG00000014066,47.8261
ENSG00000138449,ENSMMUG00000004335,49.2823
ENSG00000138381,ENSMMUG00000032322,48.7347
ENSG00000138381,ENSMMUG00000004438,49.03
ENSG00000138381,ENSMMUG00000004045,49.0792
ENSG00000151687,ENSMMUG00000012957,48.6168
ENSG00000151687,ENSMMUG00000012957,48.6905
ENSG00000151687,ENSMMUG00000014255,48.5859
ENSG00000151687,ENSMMUG00000018006,48.8207
ENSG00000151687,ENSMMUG00000014255,48.7026
ENSG00000128694,ENSMMUG00000016981,48.7533
ENSG00000128694,ENSMMUG00000012622,48.6011
ENSG00000128694,ENSMMUG00000032512,49.1849
ENSG00000128694,ENSMMUG00000032355,48.8889
ENSG00000128694,ENSMMUG00000021739,49.5624
ENSG00000128694,ENSMMUG00000004262,49.4279
ENSG00000128699,ENSMMUG00000022667,49.0791
ENSG00000128699,ENSMMUG00000013204,48.5141
ENSG00000128699,ENSMMUG00000018782,48.6368
ENSG00000128699,ENSMMUG00000018782,48.9779
ENSG00000128699,ENSMMUG00000004262,49.0482
ENSG00000128699,ENSMMUG00000032506,49.6718
ENSG00000260355,ENSMMUG00000020849,48.2779
ENSG00000262942,ENSMMUG00000013327,33.7861
ENSG00000231145,ENSMMUG00000032533,62.5
ENSG00000262327,ENSMMUG00000022281,49.2076
ENSG00000262327,ENSMMUG00000001484,48.7742
ENSG00000262327,ENSMMUG00000014161,48.8528
ENSG00000064933,ENSMMUG00000014235,48.3721
ENSG00000064933,ENSMMUG00000015095,49.1498
ENSG00000064933,ENSMMUG00000017423,48.9286
ENSG00000064933,ENSMMUG00000022097,47.9428
ENSG00000064933,ENSMMUG00000010157,48.8397
ENSG00000064933,ENSMMUG00000021739,49.4585
ENSG00000064933,ENSMMUG00000021412,47.9425
ENSG00000064933,ENSMMUG00000032526,49.2447
ENSG00000064933,ENSMMUG00000010911,47.5615
ENSG00000064933,ENSMMUG00000002292,48.3813
ENSG00000064933,ENSMMUG00000000379,48.2406
ENSG00000064933,ENSMMUG00000010911,48.2736
ENSG00000064933,ENSMMUG00000022097,47.6871
ENSG00000262599,ENSMMUG00000003317,49.7944
ENSG00000262599,ENSMMUG00000010580,49.4857
ENSG00000263042,ENSMMUG00000012899,49.3956
ENSG00000263042,ENSMMUG00000017881,47.541
ENSG00000262771,ENSMMUG00000000856,49.0539
ENSG00000262771,ENSMMUG00000008046,48.4277
ENSG00000262771,ENSMMUG00000000473,49.0394
ENSG00000262771,ENSMMUG00000007592,49.5238
ENSG00000262771,ENSMMUG00000002986,48.3333
ENSG00000262771,ENSMMUG00000032400,48.9645
ENSG00000262771,ENSMMUG00000032353,48.7234
ENSG00000262771,ENSMMUG00000009336,49.1108
ENSG00000259991,ENSMMUG00000013213,47.619
ENSG00000261383,ENSMMUG00000013213,47.9774
ENSG00000261345,ENSMMUG00000019663,48.2466
ENSG00000261417,ENSMMUG00000005026,48.2787
ENSG00000261417,ENSMMUG00000032427,48.5915
ENSG00000262860,ENSMMUG00000012899,48.8491
ENSG00000262860,ENSMMUG00000016617,49.2498
ENSG00000262860,ENSMMUG00000014259,49.2248
ENSG00000262860,ENSMMUG00000017359,49.7101
ENSG00000187699,ENSMMUG00000015861,47.3251
ENSG00000187699,ENSMMUG00000019573,48.6974
ENSG00000187699,ENSMMUG00000017883,48.0702
ENSG00000187699,ENSMMUG00000023423,48.7162
ENSG00000187699,ENSMMUG00000023652,49.1698
ENSG00000187699,ENSMMUG00000021906,49.1329
ENSG00000260380,ENSMMUG00000018782,48.7896
ENSG00000260380,ENSMMUG00000021850,48.4768
ENSG00000260380,ENSMMUG00000008046,48.7871
ENSG00000259808,ENSMMUG00000009482,48.6667
ENSG00000259808,ENSMMUG00000018633,48.7044
ENSG00000260384,ENSMMUG00000032424,47.6701
ENSG00000260384,ENSMMUG00000016975,48.022
ENSG00000138379,ENSMMUG00000013603,47.8558
ENSG00000260155,ENSMMUG00000013179,47.2955
ENSG00000260155,ENSMMUG00000013708,47.6124
ENSG00000260155,ENSMMUG00000032454,47.7346
ENSG00000261755,ENSMMUG00000005304,47.5017
ENSG00000260376,ENSMMUG00000013590,46.9992
ENSG00000198130,ENSMMUG00000001689,48.9899
ENSG00000198130,ENSMMUG00000013221,48.3557
ENSG00000198130,ENSMMUG00000022667,48.5817
ENSG00000198130,ENSMMUG00000004262,48.3607
ENSG00000198130,ENSMMUG00000032399,48.6056
ENSG00000198130,ENSMMUG00000012384,48.728
