homo_sapiens,gorilla_gorilla
ENSG00000156931,ENSGGOG00000024958,47.4662
ENSG00000156931,ENSGGOG00000027128,49.1892
ENSG00000156931,ENSGGOG00000005644,49.1183
ENSG00000156931,ENSGGOG00000014261,49.0985
ENSG00000197915,ENSGGOG00000010255,48.3425
ENSG00000143631,ENSGGOG00000011755,47.5955
ENSG00000143520,ENSGGOG00000003533,48.4214
ENSG00000143536,ENSGGOG00000016381,47.5289
ENSG00000186207,ENSGGOG00000009907,48.2295
ENSG00000169509,ENSGGOG00000016620,48.4286
ENSG00000185966,ENSGGOG00000026262,45.3355
ENSG00000163202,ENSGGOG00000026262,44.6982
ENSG00000244057,ENSGGOG00000026262,4
ENSG00000187238,ENSGGOG00000002199,2.08333
ENSG00000185962,ENSGGOG00000028365,2.59259
ENSG00000187223,ENSGGOG00000025532,43.1856
ENSG00000159455,ENSGGOG00000025532,44.1176
ENSG00000159455,ENSGGOG00000025532,43.8221
ENSG00000187180,ENSGGOG00000025532,42.9967
ENSG00000187173,ENSGGOG00000025532,45.1014
ENSG00000187170,ENSGGOG00000025532,43.006
ENSG00000187170,ENSGGOG00000026262,37.3711
ENSG00000198854,ENSGGOG00000002991,10.7
ENSG00000198854,ENSGGOG00000002991,1.65198
ENSG00000203786,ENSGGOG00000003499,2.65557
ENSG00000240386,ENSGGOG00000011546,44.1472
ENSG00000186226,ENSGGOG00000025532,28.5217
ENSG00000186226,ENSGGOG00000023965,48.8983
ENSG00000172155,ENSGGOG00000011546,27.907
ENSG00000197084,ENSGGOG00000025532,36.8345
ENSG00000196734,ENSGGOG00000014310,49.6049
ENSG00000186844,ENSGGOG00000025532,47.1429
ENSG00000186844,ENSGGOG00000011546,45.92
ENSG00000235942,ENSGGOG00000008319,48.8854
ENSG00000136542,ENSGGOG00000002249,49.0034
ENSG00000163206,ENSGGOG00000006919,49.1613
ENSG00000163207,ENSGGOG00000011998,46.4468
ENSG00000163207,ENSGGOG00000016381,47.0471
ENSG00000184148,ENSGGOG00000009215,48.2947
ENSG00000169474,ENSGGOG00000022724,41.1111
ENSG00000169474,ENSGGOG00000008319,46.677
ENSG00000163209,ENSGGOG00000022456,47.4277
ENSG00000163209,ENSGGOG00000012466,48.4055
ENSG00000163209,ENSGGOG00000004849,48.4264
ENSG00000163209,ENSGGOG00000025093,46.2963
ENSG00000136541,ENSGGOG00000024850,48.6159
ENSG00000136541,ENSGGOG00000024850,48.5638
ENSG00000136541,ENSGGOG00000005564,48.3949
ENSG00000136541,ENSGGOG00000028368,48.244
ENSG00000136541,ENSGGOG00000005419,48.6441
ENSG00000136541,ENSGGOG00000006919,47.8552
ENSG00000136541,ENSGGOG00000012493,48.0216
ENSG00000136541,ENSGGOG00000028037,48.6532
ENSG00000136541,ENSGGOG00000008053,48.1928
ENSG00000169469,ENSGGOG00000026151,47.7419
ENSG00000169469,ENSGGOG00000022724,42.3423
ENSG00000163216,ENSGGOG00000008319,47.9472
ENSG00000163216,ENSGGOG00000009907,48.3376
ENSG00000163216,ENSGGOG00000001025,48
ENSG00000163216,ENSGGOG00000001644,48.731
ENSG00000241794,ENSGGOG00000025718,47.9549
ENSG00000196805,ENSGGOG00000000720,47.9943
ENSG00000196805,ENSGGOG00000008319,48.6405
ENSG00000196805,ENSGGOG00000022724,34.2593
ENSG00000203785,ENSGGOG00000025718,48.9884
ENSG00000203785,ENSGGOG00000025718,48.0826
ENSG00000244094,ENSGGOG00000022086,47.8708
ENSG00000115165,ENSGGOG00000034932,48.9823
ENSG00000115165,ENSGGOG00000005222,48.6129
ENSG00000115165,ENSGGOG00000022427,48.3066
ENSG00000115165,ENSGGOG00000027577,49.2777
ENSG00000115165,ENSGGOG00000022789,48.9071
ENSG00000159516,ENSGGOG00000026705,48.7676
ENSG00000203784,ENSGGOG00000027966,48.1836
ENSG00000203783,ENSGGOG00000023439,49.4711
ENSG00000203782,ENSGGOG00000004545,31.7886
ENSG00000159527,ENSGGOG00000008579,48.5081
ENSG00000163218,ENSGGOG00000006624,49.2439
ENSG00000163218,ENSGGOG00000010812,48.5278
ENSG00000163220,ENSGGOG00000028521,47.487
ENSG00000123612,ENSGGOG00000001257,49.1285
ENSG00000123612,ENSGGOG00000024118,48.8802
ENSG00000123612,ENSGGOG00000012299,48.5039
ENSG00000123612,ENSGGOG00000007030,49.1006
ENSG00000163221,ENSGGOG00000028529,48.8372
ENSG00000143546,ENSGGOG00000016528,47.9924
ENSG00000143546,ENSGGOG00000024175,48.4848
ENSG00000184330,ENSGGOG00000004406,49.7462
ENSG00000184330,ENSGGOG00000004406,49.6158
ENSG00000184330,ENSGGOG00000027959,48.8798
ENSG00000197364,ENSGGOG00000025529,48.5417
ENSG00000197364,ENSGGOG00000024014,48.5327
ENSG00000197364,ENSGGOG00000025529,48.5417
ENSG00000143556,ENSGGOG00000005438,49.0605
ENSG00000143556,ENSGGOG00000014859,49.3213
ENSG00000197956,ENSGGOG00000011289,47.807
ENSG00000197956,ENSGGOG00000011289,48.4398
ENSG00000187068,ENSGGOG00000014223,49.9237
ENSG00000196420,ENSGGOG00000014428,50
ENSG00000196420,ENSGGOG00000005438,48.6166
ENSG00000196420,ENSGGOG00000014428,50
ENSG00000115170,ENSGGOG00000023191,49.4253
ENSG00000115170,ENSGGOG00000034921,49.149
ENSG00000115170,ENSGGOG00000016685,49.3762
ENSG00000115170,ENSGGOG00000028036,48.2109
ENSG00000115170,ENSGGOG00000008066,49.6255
ENSG00000115170,ENSGGOG00000016102,48.5816
ENSG00000115170,ENSGGOG00000025946,48.3636
ENSG00000115170,ENSGGOG00000007410,48.3209
ENSG00000115170,ENSGGOG00000012775,48.9689
ENSG00000196154,ENSGGOG00000012231,48.6911
ENSG00000196154,ENSGGOG00000012231,48.7633
ENSG00000196154,ENSGGOG00000021943,48.3333
ENSG00000196154,ENSGGOG00000022216,48.2109
ENSG00000113790,ENSGGOG00000025049,48.9351
ENSG00000113790,ENSGGOG00000008556,48.8165
ENSG00000113790,ENSGGOG00000024544,49.5427
ENSG00000188015,ENSGGOG00000025009,48.5981
ENSG00000188015,ENSGGOG00000022289,48.3592
ENSG00000196754,ENSGGOG00000016094,49.1984
ENSG00000196754,ENSGGOG00000026592,47.4614
ENSG00000196754,ENSGGOG00000024931,48.3589
ENSG00000196754,ENSGGOG00000022427,48.6535
ENSG00000007001,ENSGGOG00000016192,48.9869
ENSG00000007001,ENSGGOG00000015371,49.1007
ENSG00000073803,ENSGGOG00000003797,49.9703
ENSG00000073803,ENSGGOG00000004273,49.1414
ENSG00000073803,ENSGGOG00000025346,49.3528
ENSG00000073803,ENSGGOG00000012775,49.1445
ENSG00000073803,ENSGGOG00000023066,49.4297
ENSG00000073803,ENSGGOG00000028062,47.6804
ENSG00000073803,ENSGGOG00000008884,47.8185
ENSG00000073803,ENSGGOG00000000347,49.157
ENSG00000073803,ENSGGOG00000015271,50.0911
ENSG00000073803,ENSGGOG00000028052,48.5135
ENSG00000073803,ENSGGOG00000004273,49.4334
ENSG00000153237,ENSGGOG00000006202,49.007
ENSG00000153237,ENSGGOG00000028407,48.5533
ENSG00000153237,ENSGGOG00000024270,48.0172
ENSG00000153237,ENSGGOG00000025393,48.5833
ENSG00000163510,ENSGGOG00000006202,49.2683
ENSG00000163510,ENSGGOG00000016735,49.1221
ENSG00000163510,ENSGGOG00000028211,48.8558
ENSG00000170035,ENSGGOG00000001546,17.5018
ENSG00000170035,ENSGGOG00000001546,26.3772
ENSG00000115232,ENSGGOG00000016534,48.9665
ENSG00000115232,ENSGGOG00000006754,48.8183
ENSG00000115232,ENSGGOG00000027478,49.1787
ENSG00000144283,ENSGGOG00000001712,49.7144
ENSG00000144283,ENSGGOG00000028534,49.6286
ENSG00000163900,ENSGGOG00000034830,49.664
ENSG00000163900,ENSGGOG00000017143,49.1509
ENSG00000188452,ENSGGOG00000008196,48.8155
ENSG00000188452,ENSGGOG00000013267,48.9072
ENSG00000188452,ENSGGOG00000026274,48.6466
ENSG00000188452,ENSGGOG00000015649,48.6583
ENSG00000188452,ENSGGOG00000026036,49.2816
ENSG00000163898,ENSGGOG00000016206,49.9503
ENSG00000163898,ENSGGOG00000015371,49.54
ENSG00000163898,ENSGGOG00000025219,49.3282
ENSG00000163898,ENSGGOG00000028215,46.875
ENSG00000163331,ENSGGOG00000025841,48.3696
ENSG00000163331,ENSGGOG00000022355,48.5294
ENSG00000163331,ENSGGOG00000023689,48.495
ENSG00000163904,ENSGGOG00000024500,48.861
ENSG00000163904,ENSGGOG00000003712,50.4985
ENSG00000163904,ENSGGOG00000027924,49.3443
ENSG00000163904,ENSGGOG00000015371,48.482
ENSG00000163904,ENSGGOG00000013016,48.9299
ENSG00000162992,ENSGGOG00000003070,48.5975
ENSG00000115183,ENSGGOG00000015734,49.3574
ENSG00000115183,ENSGGOG00000015734,49.3389
ENSG00000138434,ENSGGOG00000000118,48.8932
ENSG00000138434,ENSGGOG00000000118,48.721
ENSG00000138434,ENSGGOG00000005644,48.7267
ENSG00000138434,ENSGGOG00000022961,48.615
ENSG00000138434,ENSGGOG00000027378,48.0427
ENSG00000138434,ENSGGOG00000025576,48.1928
ENSG00000138434,ENSGGOG00000002243,48.8335
ENSG00000196151,ENSGGOG00000026675,49.1632
ENSG00000196151,ENSGGOG00000023785,49.2508
ENSG00000196151,ENSGGOG00000024118,48.7307
ENSG00000196151,ENSGGOG00000021937,49.2188
ENSG00000196151,ENSGGOG00000022136,48.625
ENSG00000150722,ENSGGOG00000006202,49.1678
ENSG00000150722,ENSGGOG00000024241,49.6333
ENSG00000150722,ENSGGOG00000024920,49.0061
ENSG00000150722,ENSGGOG00000015683,48.5207
ENSG00000073792,ENSGGOG00000006838,50.3525
ENSG00000073792,ENSGGOG00000022699,50.2335
ENSG00000073792,ENSGGOG00000034818,50.4406
ENSG00000073792,ENSGGOG00000014436,50.5063
ENSG00000115252,ENSGGOG00000026926,48.8229
ENSG00000115252,ENSGGOG00000022136,48.8692
ENSG00000115252,ENSGGOG00000016296,48.55
ENSG00000115252,ENSGGOG00000024241,48.4737
ENSG00000115252,ENSGGOG00000009780,48.6188
ENSG00000115252,ENSGGOG00000026860,48.4405
ENSG00000115252,ENSGGOG00000024241,48.5697
ENSG00000115252,ENSGGOG00000015371,48.8732
ENSG00000115252,ENSGGOG00000003797,48.704
ENSG00000123636,ENSGGOG00000003533,49.0568
ENSG00000123636,ENSGGOG00000003533,49.0288
ENSG00000123636,ENSGGOG00000028267,47.1136
ENSG00000123636,ENSGGOG00000027924,49.1284
ENSG00000123636,ENSGGOG00000027924,48.1034
ENSG00000123636,ENSGGOG00000005419,49.1582
ENSG00000123636,ENSGGOG00000022289,49.375
ENSG00000123636,ENSGGOG00000003533,49.1608
ENSG00000123636,ENSGGOG00000003533,49.2416
ENSG00000077232,ENSGGOG00000026926,48.6533
ENSG00000077232,ENSGGOG00000005185,48.592
ENSG00000162998,ENSGGOG00000003070,49.9051
ENSG00000061676,ENSGGOG00000002467,48.5496
ENSG00000061676,ENSGGOG00000014267,48.8475
ENSG00000162999,ENSGGOG00000026059,49.239
ENSG00000162999,ENSGGOG00000026926,49.2079
ENSG00000163002,ENSGGOG00000024271,49.513
ENSG00000163002,ENSGGOG00000025722,49.3617
ENSG00000163002,ENSGGOG00000000006,48.2313
ENSG00000163002,ENSGGOG00000026178,50
ENSG00000163002,ENSGGOG00000022969,48.4997
ENSG00000163002,ENSGGOG00000022136,49.2611
ENSG00000170396,ENSGGOG00000034879,48.8913
ENSG00000188738,ENSGGOG00000009561,50.5869
ENSG00000188738,ENSGGOG00000009561,50.7457
ENSG00000188738,ENSGGOG00000028211,49.5598
ENSG00000065548,ENSGGOG00000016192,48.5968
ENSG00000065548,ENSGGOG00000006954,48.5825
ENSG00000065548,ENSGGOG00000026990,49.228
ENSG00000213953,ENSGGOG00000025652,52.6316
ENSG00000138448,ENSGGOG00000016656,49.0185
ENSG00000138448,ENSGGOG00000016656,48.8049
ENSG00000138448,ENSGGOG00000008196,49.2092
ENSG00000138448,ENSGGOG00000010632,48.913
ENSG00000144369,ENSGGOG00000014223,48.8916
ENSG00000163012,ENSGGOG00000026860,48.5414
ENSG00000064989,ENSGGOG00000026926,48.5742
ENSG00000064989,ENSGGOG00000026926,48.6119
ENSG00000064989,ENSGGOG00000026860,48.4879
ENSG00000064989,ENSGGOG00000025576,48.5981
ENSG00000064989,ENSGGOG00000026068,48.5618
ENSG00000003436,ENSGGOG00000006202,49.0545
ENSG00000003436,ENSGGOG00000010080,49.0956
ENSG00000003436,ENSGGOG00000025576,48.9083
ENSG00000003436,ENSGGOG00000010080,48.4361
ENSG00000003436,ENSGGOG00000010080,48.8051
ENSG00000003436,ENSGGOG00000028036,48.9908
ENSG00000003436,ENSGGOG00000027633,49.7512
ENSG00000003436,ENSGGOG00000027633,48.704
ENSG00000003436,ENSGGOG00000025346,49.278
ENSG00000003436,ENSGGOG00000028067,49.1971
ENSG00000003436,ENSGGOG00000024850,49.0672
ENSG00000144366,ENSGGOG00000028407,49.073
ENSG00000144366,ENSGGOG00000025393,48.7645
ENSG00000144366,ENSGGOG00000013717,49.0282
ENSG00000144366,ENSGGOG00000024574,48.7136
ENSG00000144366,ENSGGOG00000028133,48.118
ENSG00000144366,ENSGGOG00000006202,48.1448
ENSG00000144366,ENSGGOG00000006202,48.6456
ENSG00000144366,ENSGGOG00000026274,48.4702
ENSG00000144366,ENSGGOG00000026846,48.0849
ENSG00000144366,ENSGGOG00000027530,48.8892
ENSG00000144366,ENSGGOG00000025576,48.8918
ENSG00000174325,ENSGGOG00000024910,48.9875
ENSG00000168542,ENSGGOG00000014572,49.6662
ENSG00000168542,ENSGGOG00000005217,48.5075
ENSG00000168542,ENSGGOG00000000438,49.8799
ENSG00000204262,ENSGGOG00000012110,49.4891
ENSG00000115368,ENSGGOG00000010070,49.204
ENSG00000138449,ENSGGOG00000002578,49.0413
ENSG00000138449,ENSGGOG00000010930,48.7864
ENSG00000138449,ENSGGOG00000022289,48.1419
ENSG00000138449,ENSGGOG00000024852,47.4916
ENSG00000138449,ENSGGOG00000025032,48.8038
ENSG00000138381,ENSGGOG00000010070,48.7347
ENSG00000138381,ENSGGOG00000024958,49.03
ENSG00000138381,ENSGGOG00000022123,49.1713
ENSG00000151687,ENSGGOG00000012686,48.6848
ENSG00000151687,ENSGGOG00000012686,48.645
ENSG00000151687,ENSGGOG00000025049,48.6584
ENSG00000151687,ENSGGOG00000012686,48.7291
ENSG00000151687,ENSGGOG00000025049,48.6277
ENSG00000128694,ENSGGOG00000023227,48.1698
ENSG00000128694,ENSGGOG00000016192,49.0072
ENSG00000128694,ENSGGOG00000007800,49.1287
ENSG00000128694,ENSGGOG00000027005,48.5714
ENSG00000128694,ENSGGOG00000027842,49.6718
ENSG00000128694,ENSGGOG00000002720,49.3135
ENSG00000128699,ENSGGOG00000022123,49.328
ENSG00000128699,ENSGGOG00000025558,48.8113
ENSG00000128699,ENSGGOG00000026990,48.5488
ENSG00000128699,ENSGGOG00000026274,48.9779
ENSG00000128699,ENSGGOG00000010632,49.3841
ENSG00000128699,ENSGGOG00000027005,49.2341
ENSG00000260355,ENSGGOG00000003736,47.7198
ENSG00000262942,ENSGGOG00000023227,34.7482
ENSG00000231145,ENSGGOG00000027373,58.3333
ENSG00000262327,ENSGGOG00000022699,49.8311
ENSG00000262327,ENSGGOG00000007836,49.1613
ENSG00000262327,ENSGGOG00000008052,48.7572
ENSG00000064933,ENSGGOG00000006202,48.8062
ENSG00000064933,ENSGGOG00000002309,49.203
ENSG00000064933,ENSGGOG00000025346,49.4643
ENSG00000064933,ENSGGOG00000028211,48.3005
ENSG00000064933,ENSGGOG00000026696,49.1561
ENSG00000064933,ENSGGOG00000027923,49.3381
ENSG00000064933,ENSGGOG00000008953,48.6025
ENSG00000064933,ENSGGOG00000028429,49.8489
ENSG00000064933,ENSGGOG00000023227,48.2582
ENSG00000064933,ENSGGOG00000006443,47.8417
ENSG00000064933,ENSGGOG00000022804,49.2622
ENSG00000064933,ENSGGOG00000028211,48.3732
ENSG00000064933,ENSGGOG00000024815,48.5145
ENSG00000262599,ENSGGOG00000015734,49.5477
ENSG00000262599,ENSGGOG00000028130,49.8105
ENSG00000263042,ENSGGOG00000034921,49.2649
ENSG00000263042,ENSGGOG00000024958,48.5246
ENSG00000262771,ENSGGOG00000016645,48.3261
ENSG00000262771,ENSGGOG00000025346,49.0566
ENSG00000262771,ENSGGOG00000015683,49.4439
ENSG00000262771,ENSGGOG00000027924,48.4127
ENSG00000262771,ENSGGOG00000025346,49.1667
ENSG00000262771,ENSGGOG00000024544,48.5207
ENSG00000262771,ENSGGOG00000025219,49.5745
ENSG00000262771,ENSGGOG00000024272,48.4268
ENSG00000259991,ENSGGOG00000009254,34.3052
ENSG00000261383,ENSGGOG00000009254,34.8071
ENSG00000261345,ENSGGOG00000014406,47.2832
ENSG00000261417,ENSGGOG00000003008,48.1967
ENSG00000261417,ENSGGOG00000024427,48.3568
ENSG00000262860,ENSGGOG00000008196,50.1279
ENSG00000262860,ENSGGOG00000023218,49.1174
ENSG00000262860,ENSGGOG00000028288,49.1279
ENSG00000262860,ENSGGOG00000002110,50
ENSG00000187699,ENSGGOG00000014627,48.1481
ENSG00000187699,ENSGGOG00000027005,48.8978
ENSG00000187699,ENSGGOG00000025346,48.5965
ENSG00000187699,ENSGGOG00000006624,48.5774
ENSG00000187699,ENSGGOG00000006754,48.6989
ENSG00000187699,ENSGGOG00000011276,48.5549
ENSG00000260380,ENSGGOG00000008053,49.4413
ENSG00000260380,ENSGGOG00000007804,48.7417
ENSG00000260380,ENSGGOG00000005222,48.3827
ENSG00000259808,ENSGGOG00000016192,49.0952
ENSG00000259808,ENSGGOG00000034932,49.2322
ENSG00000260384,ENSGGOG00000013018,48.1827
ENSG00000260384,ENSGGOG00000014343,47.4211
ENSG00000138379,ENSGGOG00000024815,48.9943
ENSG00000260155,ENSGGOG00000002509,47.2296
ENSG00000260155,ENSGGOG00000010879,46.7697
ENSG00000260155,ENSGGOG00000013031,18.123
ENSG00000261755,ENSGGOG00000010879,47.2352
ENSG00000260376,ENSGGOG00000027642,46.4536
ENSG00000198130,ENSGGOG00000000301,48.9899
ENSG00000198130,ENSGGOG00000028407,49.0459
ENSG00000198130,ENSGGOG00000005564,49.2522
ENSG00000198130,ENSGGOG00000022804,49.1803
ENSG00000198130,ENSGGOG00000024271,48.2072
ENSG00000198130,ENSGGOG00000028529,48.3366
