pan_troglodytes,gorilla_gorilla
ENSPTRG00000003143,ENSGGOG00000008892,48.3513
ENSPTRG00000013785,ENSGGOG00000007800,48.4681
ENSPTRG00000003137,ENSGGOG00000027446,48.3673
ENSPTRG00000003138,ENSGGOG00000014406,47.2659
ENSPTRG00000017044,ENSGGOG00000014989,49.2643
ENSPTRG00000017044,ENSGGOG00000014436,49.6863
ENSPTRG00000018954,ENSGGOG00000025576,48.8
ENSPTRG00000005687,ENSGGOG00000026696,49.2009
ENSPTRG00000000100,ENSGGOG00000025722,48.9083
ENSPTRG00000003139,ENSGGOG00000001853,47.5862
ENSPTRG00000018955,ENSGGOG00000001257,48.9765
ENSPTRG00000003140,ENSGGOG00000010812,5.73823
ENSPTRG00000018953,ENSGGOG00000003797,49.1657
ENSPTRG00000000098,ENSGGOG00000026860,49.0711
ENSPTRG00000000099,ENSGGOG00000016587,49.4794
ENSPTRG00000023465,ENSGGOG00000005680,47.9896
ENSPTRG00000004015,ENSGGOG00000016620,23.0126
ENSPTRG00000005691,ENSGGOG00000014267,50.424
ENSPTRG00000022613,ENSGGOG00000022698,48.7074
ENSPTRG00000018959,ENSGGOG00000012100,49.2828
ENSPTRG00000023446,ENSGGOG00000009450,48.1264
ENSPTRG00000013791,ENSGGOG00000013016,47.9602
ENSPTRG00000017039,ENSGGOG00000016542,48.7977
ENSPTRG00000017039,ENSGGOG00000023634,48.9914
ENSPTRG00000017041,ENSGGOG00000022961,49.4013
ENSPTRG00000013790,ENSGGOG00000022961,48.396
ENSPTRG00000028760,ENSGGOG00000016620,10.6416
ENSPTRG00000028760,ENSGGOG00000016620,19.3548
ENSPTRG00000042077,ENSGGOG00000026988,47.1074
ENSPTRG00000013786,ENSGGOG00000023554,48.9186
ENSPTRG00000003160,ENSGGOG00000009037,46.4126
ENSPTRG00000005695,ENSGGOG00000012299,49.1512
ENSPTRG00000003123,ENSGGOG00000022833,46.501
ENSPTRG00000040750,ENSGGOG00000016620,26.1006
ENSPTRG00000017032,ENSGGOG00000014709,48.7635
ENSPTRG00000022501,ENSGGOG00000027171,49.1329
ENSPTRG00000018950,ENSGGOG00000016192,48.7642
ENSPTRG00000003125,ENSGGOG00000009450,47.993
ENSPTRG00000021627,ENSGGOG00000010812,48.9118
ENSPTRG00000021627,ENSGGOG00000023823,48.8948
ENSPTRG00000028794,ENSGGOG00000026385,48.3333
ENSPTRG00000022487,ENSGGOG00000001069,48.755
ENSPTRG00000018951,ENSGGOG00000016296,35.9526
ENSPTRG00000000090,ENSGGOG00000008323,47.7265
ENSPTRG00000005681,ENSGGOG00000014267,48.7579
ENSPTRG00000031248,ENSGGOG00000005954,48.97
ENSPTRG00000017054,ENSGGOG00000007800,48.8218
ENSPTRG00000005683,ENSGGOG00000034932,49.6958
ENSPTRG00000030844,ENSGGOG00000012496,48.2242
ENSPTRG00000022861,ENSGGOG00000009528,47.2885
ENSPTRG00000041621,ENSGGOG00000003587,47.8954
ENSPTRG00000040196,ENSGGOG00000025700,48.1836
ENSPTRG00000016672,ENSGGOG00000011811,48.1885
ENSPTRG00000018833,ENSGGOG00000012276,49.7479
ENSPTRG00000016673,ENSGGOG00000010879,45.7724
ENSPTRG00000016674,ENSGGOG00000001828,49.7183
ENSPTRG00000016677,ENSGGOG00000025865,48.4193
ENSPTRG00000028688,ENSGGOG00000004198,2.38932
ENSPTRG00000028788,ENSGGOG00000015683,48.5463
ENSPTRG00000018855,ENSGGOG00000034992,13.296
ENSPTRG00000016680,ENSGGOG00000034992,48.5069
ENSPTRG00000018856,ENSGGOG00000007551,48.3802
ENSPTRG00000018857,ENSGGOG00000003710,49.4798
ENSPTRG00000018858,ENSGGOG00000024427,47.6608
ENSPTRG00000016682,ENSGGOG00000009528,47.6007
ENSPTRG00000018859,ENSGGOG00000006271,47.552
ENSPTRG00000016685,ENSGGOG00000028613,47.8492
ENSPTRG00000018860,ENSGGOG00000005626,48.619
ENSPTRG00000016686,ENSGGOG00000034992,48.0094
ENSPTRG00000016687,ENSGGOG00000027617,47.5309
ENSPTRG00000016689,ENSGGOG00000013267,49.2469
ENSPTRG00000039053,ENSGGOG00000023165,49.4624
ENSPTRG00000016691,ENSGGOG00000026899,47.619
ENSPTRG00000018861,ENSGGOG00000015820,7.3311
ENSPTRG00000016692,ENSGGOG00000014406,47.4474
ENSPTRG00000018864,ENSGGOG00000023005,48.4185
ENSPTRG00000016694,ENSGGOG00000005923,47.7053
ENSPTRG00000018865,ENSGGOG00000008892,46.9632
ENSPTRG00000016695,ENSGGOG00000014343,47.8774
ENSPTRG00000018866,ENSGGOG00000034992,48.4939
ENSPTRG00000016696,ENSGGOG00000005626,46.8358
ENSPTRG00000016698,ENSGGOG00000016873,49.005
ENSPTRG00000018868,ENSGGOG00000009450,48.4583
ENSPTRG00000016699,ENSGGOG00000010879,46.6667
ENSPTRG00000016701,ENSGGOG00000005746,49.4539
ENSPTRG00000018869,ENSGGOG00000000082,48.6443
ENSPTRG00000018870,ENSGGOG00000012303,49.3948
ENSPTRG00000016705,ENSGGOG00000024581,49.6721
ENSPTRG00000016706,ENSGGOG00000006391,46.8635
ENSPTRG00000016706,ENSGGOG00000006391,48.0519
ENSPTRG00000018871,ENSGGOG00000016587,48.4389
ENSPTRG00000042236,ENSGGOG00000028583,46.4387
ENSPTRG00000016708,ENSGGOG00000027794,47.9112
ENSPTRG00000028783,ENSGGOG00000027984,47.619
ENSPTRG00000016709,ENSGGOG00000001083,47.3149
ENSPTRG00000016710,ENSGGOG00000009450,49.3966
ENSPTRG00000018872,ENSGGOG00000001091,48.6218
ENSPTRG00000018875,ENSGGOG00000014343,47.0481
ENSPTRG00000018876,ENSGGOG00000007706,46.6584
ENSPTRG00000016711,ENSGGOG00000001069,49.6147
ENSPTRG00000018877,ENSGGOG00000016587,47.663
ENSPTRG00000016713,ENSGGOG00000024270,48.1986
ENSPTRG00000033811,ENSGGOG00000024792,49.2232
ENSPTRG00000016715,ENSGGOG00000025069,49.7329
ENSPTRG00000018878,ENSGGOG00000010913,48.8709
ENSPTRG00000016716,ENSGGOG00000005445,49.16
ENSPTRG00000016717,ENSGGOG00000005746,49.9482
ENSPTRG00000018880,ENSGGOG00000022961,46.7038
ENSPTRG00000018882,ENSGGOG00000012500,49.7195
ENSPTRG00000034032,ENSGGOG00000013318,49.055
ENSPTRG00000016720,ENSGGOG00000016192,49.0333
ENSPTRG00000016721,ENSGGOG00000008196,49.0909
ENSPTRG00000016722,ENSGGOG00000011428,16.181
ENSPTRG00000016724,ENSGGOG00000016542,49.2141
ENSPTRG00000019931,ENSGGOG00000028407,48.2275
ENSPTRG00000040862,ENSGGOG00000025646,47.9853
ENSPTRG00000018884,ENSGGOG00000008323,47.3456
ENSPTRG00000019933,ENSGGOG00000013267,48.8315
ENSPTRG00000016725,ENSGGOG00000016654,49.09
ENSPTRG00000018886,ENSGGOG00000010255,48.2281
ENSPTRG00000019935,ENSGGOG00000006942,49.4449
ENSPTRG00000018889,ENSGGOG00000014343,46.0496
ENSPTRG00000018890,ENSGGOG00000006624,49.0535
ENSPTRG00000018890,ENSGGOG00000006624,49.0442
ENSPTRG00000019937,ENSGGOG00000001828,48.318
ENSPTRG00000023452,ENSGGOG00000004169,47.5359
ENSPTRG00000019941,ENSGGOG00000028402,49.4953
ENSPTRG00000019942,ENSGGOG00000005746,48.9313
ENSPTRG00000016726,ENSGGOG00000027346,48.9221
ENSPTRG00000016727,ENSGGOG00000010545,49.8269
ENSPTRG00000031045,ENSGGOG00000010879,45.1204
ENSPTRG00000019944,ENSGGOG00000009450,49.4303
ENSPTRG00000016728,ENSGGOG00000004537,49.3953
ENSPTRG00000019945,ENSGGOG00000013493,49.5925
ENSPTRG00000040452,ENSGGOG00000026094,48.8372
ENSPTRG00000016729,ENSGGOG00000001194,46.5993
ENSPTRG00000040212,ENSGGOG00000022216,48.7805
ENSPTRG00000016731,ENSGGOG00000014267,49.687
ENSPTRG00000019946,ENSGGOG00000014989,49.1439
ENSPTRG00000019947,ENSGGOG00000014451,48.4751
ENSPTRG00000016734,ENSGGOG00000012522,48.7775
ENSPTRG00000019949,ENSGGOG00000014267,48.7203
ENSPTRG00000019950,ENSGGOG00000012775,49.078
ENSPTRG00000019951,ENSGGOG00000023296,49.4553
ENSPTRG00000034369,ENSGGOG00000027695,47.2727
ENSPTRG00000034369,ENSGGOG00000025931,46.9388
ENSPTRG00000034369,ENSGGOG00000016102,38.8582
ENSPTRG00000034369,ENSGGOG00000025931,46.5347
ENSPTRG00000019953,ENSGGOG00000026391,46.4646
ENSPTRG00000031042,ENSGGOG00000024024,48.0702
ENSPTRG00000032577,ENSGGOG00000012349,46.5278
ENSPTRG00000019956,ENSGGOG00000016102,2.67261
ENSPTRG00000034312,ENSGGOG00000027065,45.2278
ENSPTRG00000019965,ENSGGOG00000026726,48.2143
ENSPTRG00000019964,ENSGGOG00000016528,47.3684
ENSPTRG00000019963,ENSGGOG00000028353,48.3627
ENSPTRG00000019963,ENSGGOG00000027361,48.7465
ENSPTRG00000019963,ENSGGOG00000024036,50
ENSPTRG00000019963,ENSGGOG00000014627,49.359
ENSPTRG00000019963,ENSGGOG00000025613,47.9371
ENSPTRG00000018892,ENSGGOG00000026577,47.5641
ENSPTRG00000019962,ENSGGOG00000016372,44.9123
ENSPTRG00000039445,ENSGGOG00000024378,45.3453
ENSPTRG00000019961,ENSGGOG00000023195,50.165
ENSPTRG00000016735,ENSGGOG00000010255,49.3052
ENSPTRG00000039924,ENSGGOG00000008066,44.7791
ENSPTRG00000041322,ENSGGOG00000012302,48.1481
ENSPTRG00000019960,ENSGGOG00000025319,48.9426
ENSPTRG00000000008,ENSGGOG00000009275,47.091
ENSPTRG00000031040,ENSGGOG00000028062,49.3573
ENSPTRG00000032576,ENSGGOG00000013729,49.2063
ENSPTRG00000018894,ENSGGOG00000015536,49.2768
ENSPTRG00000040625,ENSGGOG00000008319,47.7633
ENSPTRG00000031024,ENSGGOG00000026385,48.4444
ENSPTRG00000042326,ENSGGOG00000027785,47.619
ENSPTRG00000042326,ENSGGOG00000025009,47.4576
ENSPTRG00000000009,ENSGGOG00000016452,47.4958
ENSPTRG00000004634,ENSGGOG00000027808,47.8853
ENSPTRG00000000017,ENSGGOG00000010879,45.7912
ENSPTRG00000000017,ENSGGOG00000010879,45.0941
ENSPTRG00000034337,ENSGGOG00000027065,48.5535
ENSPTRG00000034221,ENSGGOG00000013094,49.7717
ENSPTRG00000034363,ENSGGOG00000027474,49.5726
ENSPTRG00000039292,ENSGGOG00000027300,46.0094
ENSPTRG00000022785,ENSGGOG00000026726,48.3146
ENSPTRG00000031031,ENSGGOG00000023502,48.9627
ENSPTRG00000031030,ENSGGOG00000026041,47.0085
ENSPTRG00000031029,ENSGGOG00000026921,49.3671
ENSPTRG00000024081,ENSGGOG00000007745,47.8085
ENSPTRG00000020006,ENSGGOG00000001257,48.6494
ENSPTRG00000000023,ENSGGOG00000025998,45.1163
ENSPTRG00000000024,ENSGGOG00000005626,47.2802
ENSPTRG00000000025,ENSGGOG00000001501,47.5248
ENSPTRG00000020008,ENSGGOG00000026915,48.3607
ENSPTRG00000041473,ENSGGOG00000025397,48.4881
ENSPTRG00000020009,ENSGGOG00000014572,48.6768
ENSPTRG00000019432,ENSGGOG00000028067,48.9209
ENSPTRG00000020011,ENSGGOG00000007560,48.6688
ENSPTRG00000000027,ENSGGOG00000027785,48.0808
ENSPTRG00000020012,ENSGGOG00000015635,49.2451
ENSPTRG00000041444,ENSGGOG00000024118,48.3256
ENSPTRG00000000028,ENSGGOG00000025865,48.3117
ENSPTRG00000018920,ENSGGOG00000005564,49.6537
ENSPTRG00000018919,ENSGGOG00000026860,38.9657
ENSPTRG00000023396,ENSGGOG00000022969,40.0682
ENSPTRG00000040153,ENSGGOG00000026899,42.1105
ENSPTRG00000018917,ENSGGOG00000006271,48.1811
ENSPTRG00000018915,ENSGGOG00000005680,48.8022
ENSPTRG00000000029,ENSGGOG00000022246,48.0159
ENSPTRG00000041491,ENSGGOG00000009331,46.1538
ENSPTRG00000000033,ENSGGOG00000011132,47.1683
ENSPTRG00000000031,ENSGGOG00000005923,47.1924
ENSPTRG00000016736,ENSGGOG00000027092,49.559
ENSPTRG00000039081,ENSGGOG00000024012,47.8992
ENSPTRG00000000034,ENSGGOG00000015635,48.9247
ENSPTRG00000016738,ENSGGOG00000023206,48.4993
ENSPTRG00000033718,ENSGGOG00000016587,48.7694
ENSPTRG00000033718,ENSGGOG00000016587,48.1399
ENSPTRG00000033718,ENSGGOG00000016587,48.0637
ENSPTRG00000020013,ENSGGOG00000025217,48.6327
ENSPTRG00000016739,ENSGGOG00000022698,49.2986
ENSPTRG00000020014,ENSGGOG00000003617,48.9041
ENSPTRG00000041651,ENSGGOG00000024378,44.5513
ENSPTRG00000000035,ENSGGOG00000016493,46.9677
ENSPTRG00000020015,ENSGGOG00000002467,48.934
ENSPTRG00000000037,ENSGGOG00000007745,48.1505
ENSPTRG00000018910,ENSGGOG00000016192,49.3082
ENSPTRG00000018910,ENSGGOG00000016192,49.3986
ENSPTRG00000020016,ENSGGOG00000002467,48.8262
ENSPTRG00000016741,ENSGGOG00000010879,46.8835
ENSPTRG00000016742,ENSGGOG00000023628,48.0182
ENSPTRG00000016743,ENSGGOG00000016534,48.4043
ENSPTRG00000000038,ENSGGOG00000005626,48.9657
ENSPTRG00000020019,ENSGGOG00000026926,48.9352
ENSPTRG00000028666,ENSGGOG00000010925,48.8678
ENSPTRG00000018907,ENSGGOG00000010087,46.3588
ENSPTRG00000018907,ENSGGOG00000000082,49.6109
ENSPTRG00000016744,ENSGGOG00000006202,49.3968
ENSPTRG00000016745,ENSGGOG00000011755,49.5452
ENSPTRG00000018906,ENSGGOG00000015626,47.8023
ENSPTRG00000000040,ENSGGOG00000024792,48.5481
ENSPTRG00000020020,ENSGGOG00000004206,48.452
ENSPTRG00000000041,ENSGGOG00000027058,47.2705
ENSPTRG00000000041,ENSGGOG00000003008,47.1171
ENSPTRG00000023374,ENSGGOG00000013018,2.34768
ENSPTRG00000000044,ENSGGOG00000014343,48.0814
ENSPTRG00000000047,ENSGGOG00000014343,46.054
ENSPTRG00000000048,ENSGGOG00000002509,48.0708
ENSPTRG00000020021,ENSGGOG00000002484,49.3245
ENSPTRG00000018904,ENSGGOG00000025378,49.6022
ENSPTRG00000000049,ENSGGOG00000014937,49.8546
ENSPTRG00000000050,ENSGGOG00000014343,48.008
ENSPTRG00000018905,ENSGGOG00000024905,48.21
ENSPTRG00000018903,ENSGGOG00000024900,49.4424
ENSPTRG00000020022,ENSGGOG00000021937,49.2147
ENSPTRG00000000051,ENSGGOG00000005224,48.1397
ENSPTRG00000018902,ENSGGOG00000028407,49.1705
ENSPTRG00000020023,ENSGGOG00000001712,49.1941
ENSPTRG00000016748,ENSGGOG00000008039,49.6905
ENSPTRG00000017091,ENSGGOG00000023474,49.2465
ENSPTRG00000000052,ENSGGOG00000015441,48.5606
ENSPTRG00000042298,ENSGGOG00000026385,46.7172
ENSPTRG00000042298,ENSGGOG00000027262,49.0421
ENSPTRG00000041927,ENSGGOG00000016192,48.7547
ENSPTRG00000040333,ENSGGOG00000026971,48.227
ENSPTRG00000020025,ENSGGOG00000005564,48.9888
ENSPTRG00000042168,ENSGGOG00000017143,47.8505
ENSPTRG00000018921,ENSGGOG00000010070,49.4953
ENSPTRG00000017090,ENSGGOG00000001822,49.4297
ENSPTRG00000024233,ENSGGOG00000009024,47.5788
ENSPTRG00000028844,ENSGGOG00000016537,48.5228
ENSPTRG00000028844,ENSGGOG00000017143,48.4574
ENSPTRG00000028844,ENSGGOG00000017143,48.0613
ENSPTRG00000028844,ENSGGOG00000017143,48.4574
ENSPTRG00000000053,ENSGGOG00000022833,48.1221
ENSPTRG00000038829,ENSGGOG00000023986,47.2843
ENSPTRG00000017088,ENSGGOG00000015683,48.9796
ENSPTRG00000018897,ENSGGOG00000005177,50.0651
ENSPTRG00000017087,ENSGGOG00000014267,47.5
ENSPTRG00000020026,ENSGGOG00000003533,48.1498
ENSPTRG00000017086,ENSGGOG00000024920,48.8962
ENSPTRG00000040367,ENSGGOG00000022327,48.6022
ENSPTRG00000040367,ENSGGOG00000028353,48.3787
ENSPTRG00000040367,ENSGGOG00000024351,48.1236
ENSPTRG00000000054,ENSGGOG00000008323,48.2149
ENSPTRG00000017085,ENSGGOG00000004006,49.0357
ENSPTRG00000042084,ENSGGOG00000022517,48.136
ENSPTRG00000028810,ENSGGOG00000002929,48.4375
ENSPTRG00000028773,ENSGGOG00000010879,44.8868
ENSPTRG00000000055,ENSGGOG00000014406,47.9292
ENSPTRG00000017084,ENSGGOG00000022136,49.5459
ENSPTRG00000022523,ENSGGOG00000008196,48.3861
ENSPTRG00000017083,ENSGGOG00000005563,48.7013
ENSPTRG00000018925,ENSGGOG00000005564,48.6471
ENSPTRG00000034434,ENSGGOG00000001418,49.5731
ENSPTRG00000017082,ENSGGOG00000022789,48.2406
ENSPTRG00000017081,ENSGGOG00000022961,48.6449
ENSPTRG00000033888,ENSGGOG00000026899,46.2121
ENSPTRG00000028811,ENSGGOG00000002467,48.9583
ENSPTRG00000020027,ENSGGOG00000014802,49.427
ENSPTRG00000000059,ENSGGOG00000010169,48.6721
ENSPTRG00000017079,ENSGGOG00000022699,49.0406
ENSPTRG00000018926,ENSGGOG00000022699,48.7937
ENSPTRG00000020028,ENSGGOG00000015371,48.8131
ENSPTRG00000020028,ENSGGOG00000007800,49.309
ENSPTRG00000028812,ENSGGOG00000028250,46.729
ENSPTRG00000041367,ENSGGOG00000013914,46.7949
ENSPTRG00000041367,ENSGGOG00000026725,47.5177
ENSPTRG00000028815,ENSGGOG00000011399,47.9675
ENSPTRG00000023210,ENSGGOG00000022961,48.2759
ENSPTRG00000028845,ENSGGOG00000021979,47.973
ENSPTRG00000020029,ENSGGOG00000024920,49.0509
ENSPTRG00000041855,ENSGGOG00000016654,48.7238
ENSPTRG00000020031,ENSGGOG00000014816,49.5258
ENSPTRG00000018927,ENSGGOG00000024544,49.4876
ENSPTRG00000041789,ENSGGOG00000006443,48.6211
ENSPTRG00000017074,ENSGGOG00000004406,49.2506
ENSPTRG00000040033,ENSGGOG00000023273,49.1726
ENSPTRG00000040033,ENSGGOG00000028225,47.9798
ENSPTRG00000000060,ENSGGOG00000014343,47.5914
ENSPTRG00000022495,ENSGGOG00000025841,48.8038
ENSPTRG00000033798,ENSGGOG00000015371,48.4571
ENSPTRG00000018929,ENSGGOG00000000438,49.6307
ENSPTRG00000034101,ENSGGOG00000000128,48.091
ENSPTRG00000041690,ENSGGOG00000012231,47.927
ENSPTRG00000000063,ENSGGOG00000027411,49.1379
ENSPTRG00000000063,ENSGGOG00000022766,48.5549
ENSPTRG00000039984,ENSGGOG00000027808,36.2915
ENSPTRG00000018931,ENSGGOG00000000614,49.5809
ENSPTRG00000040529,ENSGGOG00000027065,48.5549
ENSPTRG00000000064,ENSGGOG00000014343,48.1743
ENSPTRG00000017073,ENSGGOG00000001083,47.7356
ENSPTRG00000039933,ENSGGOG00000009641,47.3588
ENSPTRG00000017072,ENSGGOG00000002460,49.1186
ENSPTRG00000041259,ENSGGOG00000027804,56.6667
ENSPTRG00000042391,ENSGGOG00000009641,47.3588
ENSPTRG00000020034,ENSGGOG00000012401,48.8372
ENSPTRG00000033978,ENSGGOG00000004553,49.6454
ENSPTRG00000017070,ENSGGOG00000009561,49.3871
ENSPTRG00000038816,ENSGGOG00000023032,48.5507
ENSPTRG00000042310,ENSGGOG00000022257,48.8621
ENSPTRG00000020035,ENSGGOG00000025049,50.0584
ENSPTRG00000018934,ENSGGOG00000024866,48.7757
ENSPTRG00000000062,ENSGGOG00000027808,46.4338
ENSPTRG00000018935,ENSGGOG00000012718,48.3967
ENSPTRG00000042377,ENSGGOG00000011951,48.6172
ENSPTRG00000042377,ENSGGOG00000028309,43.299
ENSPTRG00000042377,ENSGGOG00000027038,47.7778
ENSPTRG00000042377,ENSGGOG00000024293,48.227
ENSPTRG00000042377,ENSGGOG00000028309,45.0172
ENSPTRG00000042377,ENSGGOG00000028309,45.1389
ENSPTRG00000020038,ENSGGOG00000022961,49.2924
ENSPTRG00000039962,ENSGGOG00000027804,56.6667
ENSPTRG00000042104,ENSGGOG00000005217,46.3918
ENSPTRG00000039119,ENSGGOG00000016654,48.5967
ENSPTRG00000018936,ENSGGOG00000010362,49.7157
ENSPTRG00000020039,ENSGGOG00000012775,49.2219
ENSPTRG00000000067,ENSGGOG00000016381,47.3467
ENSPTRG00000000068,ENSGGOG00000014406,48.2264
ENSPTRG00000000069,ENSGGOG00000024915,48.8015
ENSPTRG00000017069,ENSGGOG00000024850,48.721
ENSPTRG00000017069,ENSGGOG00000023325,48.3254
ENSPTRG00000018937,ENSGGOG00000026860,49.0082
ENSPTRG00000028774,ENSGGOG00000028558,46.8677
ENSPTRG00000017068,ENSGGOG00000006202,48.4304
ENSPTRG00000003102,ENSGGOG00000006624,48.5259
ENSPTRG00000000070,ENSGGOG00000001891,47.9701
ENSPTRG00000017067,ENSGGOG00000002467,49.2764
ENSPTRG00000017067,ENSGGOG00000024432,49.0272
ENSPTRG00000039028,ENSGGOG00000009641,47.3588
ENSPTRG00000039977,ENSGGOG00000028309,43.299
ENSPTRG00000017066,ENSGGOG00000008052,48.9058
ENSPTRG00000018938,ENSGGOG00000023474,48.9343
ENSPTRG00000041008,ENSGGOG00000024293,49.4993
ENSPTRG00000003103,ENSGGOG00000007551,48.5499
ENSPTRG00000024207,ENSGGOG00000016198,48.6454
ENSPTRG00000039973,ENSGGOG00000025201,48.3796
ENSPTRG00000039973,ENSGGOG00000023032,48.5507
ENSPTRG00000000072,ENSGGOG00000025462,48.8484
ENSPTRG00000024214,ENSGGOG00000016656,49.1739
ENSPTRG00000039663,ENSGGOG00000022789,48.8621
ENSPTRG00000003104,ENSGGOG00000014406,48.3399
ENSPTRG00000032489,ENSGGOG00000023445,21.1765
ENSPTRG00000032588,ENSGGOG00000009003,47.7083
ENSPTRG00000032588,ENSGGOG00000009003,48.5043
ENSPTRG00000000075,ENSGGOG00000015536,48.5086
ENSPTRG00000039391,ENSGGOG00000017143,48.4821
ENSPTRG00000020040,ENSGGOG00000000347,49.1124
ENSPTRG00000028850,ENSGGOG00000021979,47.7477
ENSPTRG00000028850,ENSGGOG00000025880,49.0741
ENSPTRG00000003106,ENSGGOG00000028132,49.482
ENSPTRG00000028847,ENSGGOG00000028250,46.729
ENSPTRG00000017064,ENSGGOG00000022673,49.5104
ENSPTRG00000022519,ENSGGOG00000013122,48.6602
ENSPTRG00000003107,ENSGGOG00000014406,46.3629
ENSPTRG00000018941,ENSGGOG00000015979,49.3968
ENSPTRG00000028772,ENSGGOG00000024808,47.2826
ENSPTRG00000042132,ENSGGOG00000026899,46.4752
ENSPTRG00000003110,ENSGGOG00000009907,48.7603
ENSPTRG00000020042,ENSGGOG00000026440,49.9829
ENSPTRG00000003111,ENSGGOG00000024050,49.4118
ENSPTRG00000003112,ENSGGOG00000023290,48.7624
ENSPTRG00000020043,ENSGGOG00000004995,47.735
ENSPTRG00000003113,ENSGGOG00000007745,48.0215
ENSPTRG00000017063,ENSGGOG00000001822,49.1706
ENSPTRG00000017063,ENSGGOG00000001822,49.1706
ENSPTRG00000003115,ENSGGOG00000003700,46.9957
ENSPTRG00000020044,ENSGGOG00000014572,49.5997
ENSPTRG00000031254,ENSGGOG00000026263,49.187
ENSPTRG00000018942,ENSGGOG00000008196,48.7219
ENSPTRG00000012467,ENSGGOG00000006271,47.9971
ENSPTRG00000012467,ENSGGOG00000006271,47.7727
ENSPTRG00000018943,ENSGGOG00000016656,48.8908
ENSPTRG00000000076,ENSGGOG00000026860,49.8321
ENSPTRG00000005670,ENSGGOG00000027344,46.4135
ENSPTRG00000000078,ENSGGOG00000016587,48.7128
ENSPTRG00000005671,ENSGGOG00000022136,49.2447
ENSPTRG00000017062,ENSGGOG00000025049,48.7548
ENSPTRG00000041973,ENSGGOG00000013846,47.5827
ENSPTRG00000003117,ENSGGOG00000016198,47.8401
