pan_troglodytes,pongo_abelii
ENSPTRG00000016729,ENSPPYG00000019988,45.9259
ENSPTRG00000040212,ENSPPYG00000019716,48.7805
ENSPTRG00000016731,ENSPPYG00000019275,49.687
ENSPTRG00000019946,ENSPPYG00000018317,22.5428
ENSPTRG00000019947,ENSPPYG00000020495,49.1002
ENSPTRG00000016734,ENSPPYG00000018573,49.363
ENSPTRG00000019949,ENSPPYG00000019213,48.7384
ENSPTRG00000019950,ENSPPYG00000020408,48.9362
ENSPTRG00000019951,ENSPPYG00000018907,48.1481
ENSPTRG00000034369,ENSPPYG00000018325,33.6364
ENSPTRG00000034369,ENSPPYG00000019025,32.9932
ENSPTRG00000034369,ENSPPYG00000018325,47.3297
ENSPTRG00000034369,ENSPPYG00000019025,22.4422
ENSPTRG00000019953,ENSPPYG00000018633,49.4949
ENSPTRG00000031042,ENSPPYG00000019025,28.4211
ENSPTRG00000032577,ENSPPYG00000018569,49.3056
ENSPTRG00000019956,ENSPPYG00000019005,40.7572
ENSPTRG00000034312,ENSPPYG00000019011,21.4751
ENSPTRG00000019965,ENSPPYG00000018339,45.5357
ENSPTRG00000019964,ENSPPYG00000017575,47.8261
ENSPTRG00000019963,ENSPPYG00000018511,48.2368
ENSPTRG00000019963,ENSPPYG00000019531,48.7465
ENSPTRG00000019963,ENSPPYG00000017575,46.4286
ENSPTRG00000019963,ENSPPYG00000017575,48.7179
ENSPTRG00000019963,ENSPPYG00000020052,48.723
ENSPTRG00000018892,ENSPPYG00000019738,48.5023
ENSPTRG00000019962,ENSPPYG00000018335,2.45614
ENSPTRG00000039445,ENSPPYG00000018921,45.3453
ENSPTRG00000019961,ENSPPYG00000017575,44.8845
ENSPTRG00000016735,ENSPPYG00000018313,49.596
ENSPTRG00000039924,ENSPPYG00000019361,46.5863
ENSPTRG00000041322,ENSPPYG00000019247,47.5891
ENSPTRG00000019960,ENSPPYG00000018333,31.7221
ENSPTRG00000000008,ENSPPYG00000019988,46.6119
ENSPTRG00000031040,ENSPPYG00000017575,44.9871
ENSPTRG00000032576,ENSPPYG00000018719,50.7937
ENSPTRG00000018894,ENSPPYG00000018967,49.43
ENSPTRG00000040625,ENSPPYG00000020122,48.3405
ENSPTRG00000031024,ENSPPYG00000017575,48.4444
ENSPTRG00000042326,ENSPPYG00000019922,10.6383
ENSPTRG00000042326,ENSPPYG00000019922,21.0169
ENSPTRG00000000009,ENSPPYG00000019810,47.4958
ENSPTRG00000004634,ENSPPYG00000018331,6.5233
ENSPTRG00000000017,ENSPPYG00000019988,45.5219
ENSPTRG00000000017,ENSPPYG00000019988,44.6237
ENSPTRG00000034337,ENSPPYG00000019011,8.05031
ENSPTRG00000034221,ENSPPYG00000019031,3.19635
ENSPTRG00000034363,ENSPPYG00000019996,5.12821
ENSPTRG00000039292,ENSPPYG00000018339,46.4789
ENSPTRG00000022785,ENSPPYG00000018689,46.4419
ENSPTRG00000031031,ENSPPYG00000019539,46.473
ENSPTRG00000031030,ENSPPYG00000018343,3.84615
ENSPTRG00000031029,ENSPPYG00000018339,47.2574
ENSPTRG00000024081,ENSPPYG00000020860,47.3028
ENSPTRG00000020006,ENSPPYG00000018373,37.0092
ENSPTRG00000000023,ENSPPYG00000017977,46.0465
ENSPTRG00000000024,ENSPPYG00000019788,47.3096
ENSPTRG00000000025,ENSPPYG00000019830,47.9648
ENSPTRG00000020008,ENSPPYG00000017575,46.9945
ENSPTRG00000041473,ENSPPYG00000018375,42.5995
ENSPTRG00000020009,ENSPPYG00000020631,48.3226
ENSPTRG00000019432,ENSPPYG00000020856,49.0647
ENSPTRG00000020011,ENSPPYG00000018997,47.7103
ENSPTRG00000000027,ENSPPYG00000019121,47.6768
ENSPTRG00000020012,ENSPPYG00000018379,26.0963
ENSPTRG00000041444,ENSPPYG00000018629,48.0947
ENSPTRG00000000028,ENSPPYG00000019672,49.0909
ENSPTRG00000018920,ENSPPYG00000017883,49.3873
ENSPTRG00000018919,ENSPPYG00000019511,40.0922
ENSPTRG00000023396,ENSPPYG00000019511,38.3632
ENSPTRG00000040153,ENSPPYG00000018945,46.0552
ENSPTRG00000018917,ENSPPYG00000019694,48.2554
ENSPTRG00000018915,ENSPPYG00000019247,48.3915
ENSPTRG00000000029,ENSPPYG00000020196,48.0159
ENSPTRG00000041491,ENSPPYG00000020743,43.5897
ENSPTRG00000000033,ENSPPYG00000019640,47.0065
ENSPTRG00000000031,ENSPPYG00000019988,46.9534
ENSPTRG00000016736,ENSPPYG00000020605,49.2319
ENSPTRG00000039081,ENSPPYG00000020751,47.0588
ENSPTRG00000000034,ENSPPYG00000018875,48.4639
ENSPTRG00000016738,ENSPPYG00000019247,48.2947
ENSPTRG00000033718,ENSPPYG00000018513,47.8627
ENSPTRG00000033718,ENSPPYG00000019756,48.0907
ENSPTRG00000033718,ENSPPYG00000018157,48.0147
ENSPTRG00000020013,ENSPPYG00000018381,13.082
ENSPTRG00000016739,ENSPPYG00000018925,50.0893
ENSPTRG00000020014,ENSPPYG00000017655,47.6712
ENSPTRG00000041651,ENSPPYG00000019169,45.9936
ENSPTRG00000000035,ENSPPYG00000018949,46.5806
ENSPTRG00000020015,ENSPPYG00000018735,48.006
ENSPTRG00000000037,ENSPPYG00000019738,48.4013
ENSPTRG00000018910,ENSPPYG00000018483,48.7631
ENSPTRG00000018910,ENSPPYG00000018483,48.8402
ENSPTRG00000020016,ENSPPYG00000018735,48.1269
ENSPTRG00000016741,ENSPPYG00000019988,46.2737
ENSPTRG00000016742,ENSPPYG00000020238,47.9532
ENSPTRG00000016743,ENSPPYG00000019790,48.9362
ENSPTRG00000000038,ENSPPYG00000020860,49.398
ENSPTRG00000020019,ENSPPYG00000017921,48.2547
ENSPTRG00000028666,ENSPPYG00000019551,48.6413
ENSPTRG00000018907,ENSPPYG00000018411,49.778
ENSPTRG00000018907,ENSPPYG00000020328,49.927
ENSPTRG00000016744,ENSPPYG00000019582,49.0257
ENSPTRG00000016745,ENSPPYG00000019537,49.3583
ENSPTRG00000018906,ENSPPYG00000018909,49.4823
ENSPTRG00000000040,ENSPPYG00000019089,48.0944
ENSPTRG00000020020,ENSPPYG00000020414,41.9505
ENSPTRG00000000041,ENSPPYG00000019758,46.7742
ENSPTRG00000000041,ENSPPYG00000020202,46.8468
ENSPTRG00000023374,ENSPPYG00000020258,47.3449
ENSPTRG00000000044,ENSPPYG00000017504,48.7286
ENSPTRG00000000047,ENSPPYG00000018311,46.6251
ENSPTRG00000000048,ENSPPYG00000019988,47.6281
ENSPTRG00000020021,ENSPPYG00000017859,49.6159
ENSPTRG00000018904,ENSPPYG00000019141,49.1871
ENSPTRG00000000049,ENSPPYG00000017664,49.7254
ENSPTRG00000000050,ENSPPYG00000020076,47.9582
ENSPTRG00000018905,ENSPPYG00000019247,47.3349
ENSPTRG00000018903,ENSPPYG00000020876,48.7918
ENSPTRG00000020022,ENSPPYG00000019453,49.6859
ENSPTRG00000000051,ENSPPYG00000018513,47.437
ENSPTRG00000018902,ENSPPYG00000017903,49.4882
ENSPTRG00000020023,ENSPPYG00000019501,49.1941
ENSPTRG00000016748,ENSPPYG00000019259,49.803
ENSPTRG00000017091,ENSPPYG00000018815,49.1499
ENSPTRG00000000052,ENSPPYG00000020088,48.4848
ENSPTRG00000042298,ENSPPYG00000020751,46.4646
ENSPTRG00000042298,ENSPPYG00000019950,48.659
ENSPTRG00000041927,ENSPPYG00000019511,48.6703
ENSPTRG00000040333,ENSPPYG00000019902,46.0993
ENSPTRG00000020025,ENSPPYG00000018391,30.7116
ENSPTRG00000042168,ENSPPYG00000018043,47.757
ENSPTRG00000018921,ENSPPYG00000020174,48.7477
ENSPTRG00000017090,ENSPPYG00000019213,48.9998
ENSPTRG00000024233,ENSPPYG00000018049,47.5019
ENSPTRG00000028844,ENSPPYG00000020691,48.3438
ENSPTRG00000028844,ENSPPYG00000020691,48.1851
ENSPTRG00000028844,ENSPPYG00000019131,47.9711
ENSPTRG00000028844,ENSPPYG00000020691,48.2759
ENSPTRG00000000053,ENSPPYG00000018985,47.4178
ENSPTRG00000038829,ENSPPYG00000020466,48.2428
ENSPTRG00000017088,ENSPPYG00000020838,48.688
ENSPTRG00000018897,ENSPPYG00000019299,49.5445
ENSPTRG00000017087,ENSPPYG00000017959,49.2446
ENSPTRG00000020026,ENSPPYG00000020491,48.7551
ENSPTRG00000017086,ENSPPYG00000019247,47.3426
ENSPTRG00000040367,ENSPPYG00000017456,48.8172
ENSPTRG00000040367,ENSPPYG00000019628,47.7302
ENSPTRG00000040367,ENSPPYG00000017456,48.5651
ENSPTRG00000000054,ENSPPYG00000017430,48.0346
ENSPTRG00000017085,ENSPPYG00000018815,49.1071
ENSPTRG00000042084,ENSPPYG00000019055,48.4649
ENSPTRG00000028810,ENSPPYG00000017726,49.2188
ENSPTRG00000028773,ENSPPYG00000019810,44.1842
ENSPTRG00000000055,ENSPPYG00000019768,47.4547
ENSPTRG00000017084,ENSPPYG00000019265,48.89
ENSPTRG00000022523,ENSPPYG00000018815,48.1304
ENSPTRG00000017083,ENSPPYG00000019205,48.6175
ENSPTRG00000018925,ENSPPYG00000017651,48.5908
ENSPTRG00000034434,ENSPPYG00000018787,49.8862
ENSPTRG00000017082,ENSPPYG00000019511,47.9207
ENSPTRG00000017081,ENSPPYG00000020649,48.7008
ENSPTRG00000033888,ENSPPYG00000019804,45.8333
ENSPTRG00000028811,ENSPPYG00000020218,48.6187
ENSPTRG00000020027,ENSPPYG00000018393,29.0298
ENSPTRG00000000059,ENSPPYG00000019740,48.2656
ENSPTRG00000017079,ENSPPYG00000017724,48.739
ENSPTRG00000018926,ENSPPYG00000017788,17.9735
ENSPTRG00000020028,ENSPPYG00000018809,48.6836
ENSPTRG00000020028,ENSPPYG00000019265,48.8115
ENSPTRG00000028812,ENSPPYG00000017575,45.4829
ENSPTRG00000041367,ENSPPYG00000020593,50
ENSPTRG00000041367,ENSPPYG00000017388,50.3546
ENSPTRG00000028815,ENSPPYG00000018783,48.374
ENSPTRG00000023210,ENSPPYG00000017724,48.72
ENSPTRG00000028845,ENSPPYG00000017575,45.4955
ENSPTRG00000020029,ENSPPYG00000018395,35.5353
ENSPTRG00000041855,ENSPPYG00000018240,48.6103
ENSPTRG00000020031,ENSPPYG00000019309,49.4147
ENSPTRG00000018927,ENSPPYG00000019483,49.4876
ENSPTRG00000041789,ENSPPYG00000019584,48.741
ENSPTRG00000017074,ENSPPYG00000018755,49.2717
ENSPTRG00000040033,ENSPPYG00000017575,47.2813
ENSPTRG00000040033,ENSPPYG00000020916,48.9899
ENSPTRG00000000060,ENSPPYG00000019768,47.7698
ENSPTRG00000022495,ENSPPYG00000019906,7.01754
ENSPTRG00000033798,ENSPPYG00000020509,48.4089
ENSPTRG00000018929,ENSPPYG00000017784,23.085
ENSPTRG00000034101,ENSPPYG00000020543,40.4552
ENSPTRG00000041690,ENSPPYG00000017690,48.4245
ENSPTRG00000000063,ENSPPYG00000020004,48.7069
ENSPTRG00000000063,ENSPPYG00000017376,48.5549
ENSPTRG00000039984,ENSPPYG00000018159,47.2583
ENSPTRG00000018931,ENSPPYG00000020711,49.6647
ENSPTRG00000040529,ENSPPYG00000018589,47.8805
ENSPTRG00000000064,ENSPPYG00000019988,47.7032
ENSPTRG00000017073,ENSPPYG00000019988,47.0012
ENSPTRG00000039933,ENSPPYG00000017706,47.7231
ENSPTRG00000017072,ENSPPYG00000020142,49.2393
ENSPTRG00000041259,ENSPPYG00000018603,53.3333
ENSPTRG00000042391,ENSPPYG00000017706,47.7231
ENSPTRG00000020034,ENSPPYG00000018397,36.3585
ENSPTRG00000033978,ENSPPYG00000019373,48.9362
ENSPTRG00000017070,ENSPPYG00000017567,49.4388
ENSPTRG00000038816,ENSPPYG00000019361,47.1014
ENSPTRG00000042310,ENSPPYG00000019247,46.4525
ENSPTRG00000020035,ENSPPYG00000019656,49.6615
ENSPTRG00000018934,ENSPPYG00000020140,48.9716
ENSPTRG00000000062,ENSPPYG00000019804,46.6521
ENSPTRG00000018935,ENSPPYG00000017925,48.6839
ENSPTRG00000042377,ENSPPYG00000017754,48.0349
ENSPTRG00000042377,ENSPPYG00000020912,47.7663
ENSPTRG00000042377,ENSPPYG00000018975,47.7778
ENSPTRG00000042377,ENSPPYG00000018975,47.6596
ENSPTRG00000042377,ENSPPYG00000017428,47.4227
ENSPTRG00000042377,ENSPPYG00000019027,48.6111
ENSPTRG00000020038,ENSPPYG00000018639,49.2924
ENSPTRG00000039962,ENSPPYG00000018603,53.3333
ENSPTRG00000042104,ENSPPYG00000017428,47.7663
ENSPTRG00000039119,ENSPPYG00000020771,43.763
ENSPTRG00000018936,ENSPPYG00000019305,49.7157
ENSPTRG00000020039,ENSPPYG00000020882,49.2896
ENSPTRG00000000067,ENSPPYG00000019770,47.5528
ENSPTRG00000000068,ENSPPYG00000018373,48.566
ENSPTRG00000000069,ENSPPYG00000018035,49.394
ENSPTRG00000017069,ENSPPYG00000017808,47.9934
ENSPTRG00000017069,ENSPPYG00000019345,47.8469
ENSPTRG00000018937,ENSPPYG00000020509,48.089
ENSPTRG00000028774,ENSPPYG00000019726,47.3318
ENSPTRG00000017068,ENSPPYG00000020906,48.4608
ENSPTRG00000003102,ENSPPYG00000019964,24.0637
ENSPTRG00000000070,ENSPPYG00000017577,47.2222
ENSPTRG00000017067,ENSPPYG00000018735,48.4827
ENSPTRG00000017067,ENSPPYG00000017530,48.5825
ENSPTRG00000039028,ENSPPYG00000017706,47.7231
ENSPTRG00000039977,ENSPPYG00000020912,47.4227
ENSPTRG00000017066,ENSPPYG00000018705,48.7155
ENSPTRG00000018938,ENSPPYG00000020759,48.9343
ENSPTRG00000041008,ENSPPYG00000019373,49.0701
ENSPTRG00000003103,ENSPPYG00000019830,48.2635
ENSPTRG00000024207,ENSPPYG00000017545,45.9964
ENSPTRG00000039973,ENSPPYG00000019361,47.6852
ENSPTRG00000039973,ENSPPYG00000019361,47.1014
ENSPTRG00000000072,ENSPPYG00000020408,48.9515
ENSPTRG00000024214,ENSPPYG00000018857,49.361
ENSPTRG00000039663,ENSPPYG00000019247,46.3855
ENSPTRG00000003104,ENSPPYG00000019966,7.98419
ENSPTRG00000032489,ENSPPYG00000019950,48.6275
ENSPTRG00000032588,ENSPPYG00000020052,49.1667
ENSPTRG00000032588,ENSPPYG00000019361,48.7179
ENSPTRG00000000075,ENSPPYG00000018967,48.2819
ENSPTRG00000039391,ENSPPYG00000020691,48.3036
ENSPTRG00000020040,ENSPPYG00000017929,49.4412
ENSPTRG00000028850,ENSPPYG00000017575,45.4955
ENSPTRG00000028850,ENSPPYG00000017804,49.0741
ENSPTRG00000003106,ENSPPYG00000019968,31.8708
ENSPTRG00000028847,ENSPPYG00000017575,45.4829
ENSPTRG00000017064,ENSPPYG00000017615,49.3268
ENSPTRG00000022519,ENSPPYG00000020162,48.7406
ENSPTRG00000003107,ENSPPYG00000019768,46.8026
ENSPTRG00000018941,ENSPPYG00000019606,49.4587
ENSPTRG00000028772,ENSPPYG00000018923,47.1467
ENSPTRG00000042132,ENSPPYG00000019640,47.3455
ENSPTRG00000003110,ENSPPYG00000020868,48.6423
ENSPTRG00000020042,ENSPPYG00000018405,17.7194
ENSPTRG00000003111,ENSPPYG00000018523,49.5294
ENSPTRG00000003112,ENSPPYG00000020741,49.0099
ENSPTRG00000020043,ENSPPYG00000020356,48.188
ENSPTRG00000003113,ENSPPYG00000018947,47.2166
ENSPTRG00000017063,ENSPPYG00000017861,49.0557
ENSPTRG00000017063,ENSPPYG00000017861,49.0557
ENSPTRG00000003115,ENSPPYG00000019804,47.3534
ENSPTRG00000020044,ENSPPYG00000018407,34.7567
ENSPTRG00000031254,ENSPPYG00000020176,47.3577
ENSPTRG00000018942,ENSPPYG00000020906,48.8466
ENSPTRG00000012467,ENSPPYG00000020036,41.9886
ENSPTRG00000012467,ENSPPYG00000020036,44.7005
ENSPTRG00000018943,ENSPPYG00000020605,48.8908
ENSPTRG00000000076,ENSPPYG00000019265,49.5444
ENSPTRG00000005670,ENSPPYG00000019950,10.9705
ENSPTRG00000000078,ENSPPYG00000020194,48.5866
ENSPTRG00000005671,ENSPPYG00000019265,48.7009
ENSPTRG00000017062,ENSPPYG00000018735,48.5872
ENSPTRG00000041973,ENSPPYG00000018123,47.4131
ENSPTRG00000003117,ENSPPYG00000019826,47.5822
