pan_troglodytes,homo_sapiens
ENSPTRG00000019953,ENSG00000231145,60.6061
ENSPTRG00000031042,ENSG00000138449,47.0175
ENSPTRG00000032577,ENSG00000138068,47.9167
ENSPTRG00000019956,ENSG00000263040,48.3296
ENSPTRG00000034312,ENSG00000115841,48.1562
ENSPTRG00000019965,ENSG00000263040,49.7024
ENSPTRG00000019964,ENSG00000143398,48.7414
ENSPTRG00000019963,ENSG00000159445,48.8665
ENSPTRG00000019963,ENSG00000159445,49.4429
ENSPTRG00000019963,ENSG00000228804,50.2551
ENSPTRG00000019963,ENSG00000159352,49.1453
ENSPTRG00000019963,ENSG00000145012,48.5265
ENSPTRG00000018892,ENSG00000261236,47.5641
ENSPTRG00000019962,ENSG00000143442,50.1754
ENSPTRG00000039445,ENSG00000261201,45.3453
ENSPTRG00000019961,ENSG00000260119,50.165
ENSPTRG00000016735,ENSG00000173898,48.842
ENSPTRG00000039924,ENSG00000263079,46.3855
ENSPTRG00000041322,ENSG00000143393,48.7771
ENSPTRG00000019960,ENSG00000185962,50.7553
ENSPTRG00000000008,ENSG00000260376,47.5702
ENSPTRG00000031040,ENSG00000263040,48.072
ENSPTRG00000032576,ENSG00000213953,41.2698
ENSPTRG00000018894,ENSG00000257339,49.2939
ENSPTRG00000040625,ENSG00000196420,48.6291
ENSPTRG00000031024,ENSG00000159352,49.1111
ENSPTRG00000042326,ENSG00000175505,47.923
ENSPTRG00000042326,ENSG00000262972,47.3446
ENSPTRG00000000009,ENSG00000175505,47.5793
ENSPTRG00000004634,ENSG00000260789,47.4552
ENSPTRG00000000017,ENSG00000261678,46.1953
ENSPTRG00000000017,ENSG00000261678,45.3629
ENSPTRG00000034337,ENSG00000144278,49.0566
ENSPTRG00000034221,ENSG00000156931,51.5982
ENSPTRG00000034363,ENSG00000138449,51.7094
ENSPTRG00000039292,ENSG00000143442,48.8263
ENSPTRG00000022785,ENSG00000154175,50.9363
ENSPTRG00000031031,ENSG00000156931,50.2075
ENSPTRG00000031030,ENSG00000228253,52.5641
ENSPTRG00000031029,ENSG00000156931,51.4768
ENSPTRG00000024081,ENSG00000172830,47.5388
ENSPTRG00000020006,ENSG00000080819,48.3709
ENSPTRG00000000023,ENSG00000261539,45.8915
ENSPTRG00000000024,ENSG00000172508,47.045
ENSPTRG00000000025,ENSG00000261236,47.5981
ENSPTRG00000020008,ENSG00000187238,49.7268
ENSPTRG00000041473,ENSG00000115252,48.8064
ENSPTRG00000020009,ENSG00000143379,48.9269
ENSPTRG00000019432,ENSG00000135241,48.777
ENSPTRG00000020011,ENSG00000135655,48.2428
ENSPTRG00000000027,ENSG00000135454,48.4848
ENSPTRG00000020012,ENSG00000186226,49.1014
ENSPTRG00000041444,ENSG00000113966,48.9607
ENSPTRG00000000028,ENSG00000261694,49.0909
ENSPTRG00000018920,ENSG00000163002,49.5471
ENSPTRG00000018919,ENSG00000262942,39.7337
ENSPTRG00000023396,ENSG00000187699,48.5081
ENSPTRG00000040153,ENSG00000135454,46.0552
ENSPTRG00000018917,ENSG00000261042,48.1069
ENSPTRG00000018915,ENSG00000260753,48.9391
ENSPTRG00000000029,ENSG00000138449,49.2063
ENSPTRG00000041491,ENSG00000138068,50.7692
ENSPTRG00000000033,ENSG00000261694,47.2492
ENSPTRG00000000031,ENSG00000260789,46.7145
ENSPTRG00000016736,ENSG00000262022,48.4495
ENSPTRG00000039081,ENSG00000260283,48.1793
ENSPTRG00000000034,ENSG00000261042,49.1551
ENSPTRG00000016738,ENSG00000143436,49.1814
ENSPTRG00000033718,ENSG00000263310,47.0855
ENSPTRG00000033718,ENSG00000260789,47.4994
ENSPTRG00000033718,ENSG00000260789,47.3284
ENSPTRG00000020013,ENSG00000075790,49.2979
ENSPTRG00000016739,ENSG00000143458,49.6302
ENSPTRG00000020014,ENSG00000081320,47.3973
ENSPTRG00000041651,ENSG00000090539,43.5897
ENSPTRG00000000035,ENSG00000186844,46.9677
ENSPTRG00000020015,ENSG00000144366,47.379
ENSPTRG00000000037,ENSG00000172830,48.2445
ENSPTRG00000018910,ENSG00000118600,48.5115
ENSPTRG00000018910,ENSG00000118600,48.6254
ENSPTRG00000020016,ENSG00000144366,48.027
ENSPTRG00000016741,ENSG00000238035,47.561
ENSPTRG00000016742,ENSG00000143889,47.4984
ENSPTRG00000016743,ENSG00000260873,48.6998
ENSPTRG00000000038,ENSG00000172830,49.0275
ENSPTRG00000020019,ENSG00000136536,48.1449
ENSPTRG00000028666,ENSG00000115828,48.5507
ENSPTRG00000018907,ENSG00000260164,49.9334
ENSPTRG00000018907,ENSG00000114859,50.0486
ENSPTRG00000016744,ENSG00000143889,48.7164
ENSPTRG00000016745,ENSG00000159450,49.595
ENSPTRG00000018906,ENSG00000260245,49.4042
ENSPTRG00000000040,ENSG00000143416,48.0944
ENSPTRG00000020020,ENSG00000115252,49.3808
ENSPTRG00000000041,ENSG00000262972,46.8983
ENSPTRG00000000041,ENSG00000262666,47.2072
ENSPTRG00000023374,ENSG00000260155,47.1772
ENSPTRG00000000044,ENSG00000261539,47.9889
ENSPTRG00000000047,ENSG00000173621,46.6771
ENSPTRG00000000048,ENSG00000260376,47.6281
ENSPTRG00000020021,ENSG00000187068,49.6954
ENSPTRG00000018904,ENSG00000182134,49.3601
ENSPTRG00000000049,ENSG00000262446,50.0162
ENSPTRG00000000050,ENSG00000261539,47.8088
ENSPTRG00000018905,ENSG00000266093,48.7669
ENSPTRG00000018903,ENSG00000261371,48.9777
ENSPTRG00000020022,ENSG00000170035,49.5288
ENSPTRG00000000051,ENSG00000263310,47.6023
ENSPTRG00000018902,ENSG00000064933,48.288
ENSPTRG00000020023,ENSG00000135655,49.1209
ENSPTRG00000016748,ENSG00000163159,49.8593
ENSPTRG00000017091,ENSG00000138386,49.2272
ENSPTRG00000000052,ENSG00000261132,48.2576
ENSPTRG00000042298,ENSG00000159352,48.2323
ENSPTRG00000042298,ENSG00000169469,47.5096
ENSPTRG00000041927,ENSG00000064989,48.4593
ENSPTRG00000040333,ENSG00000138068,53.9007
ENSPTRG00000020025,ENSG00000003436,48.0899
ENSPTRG00000042168,ENSG00000258518,48.3178
ENSPTRG00000018921,ENSG00000049323,49.3832
ENSPTRG00000017090,ENSG00000162980,48.818
ENSPTRG00000024233,ENSG00000187939,47.3482
ENSPTRG00000028844,ENSG00000257339,48.3438
ENSPTRG00000028844,ENSG00000258518,48.7296
ENSPTRG00000028844,ENSG00000258518,48.6925
ENSPTRG00000028844,ENSG00000258518,48.6388
ENSPTRG00000000053,ENSG00000175182,47.8873
ENSPTRG00000038829,ENSG00000185962,47.2843
ENSPTRG00000017088,ENSG00000262773,48.5909
ENSPTRG00000018897,ENSG00000115233,49.3709
ENSPTRG00000017087,ENSG00000115419,48.6331
ENSPTRG00000020026,ENSG00000138448,48.915
ENSPTRG00000017086,ENSG00000150722,48.3238
ENSPTRG00000040367,ENSG00000187170,49.0323
ENSPTRG00000040367,ENSG00000260155,48.3787
ENSPTRG00000040367,ENSG00000187170,49.8896
ENSPTRG00000000054,ENSG00000261297,47.9264
ENSPTRG00000017085,ENSG00000105865,48.9643
ENSPTRG00000042084,ENSG00000111490,48.136
ENSPTRG00000028810,ENSG00000151689,49.2188
ENSPTRG00000028773,ENSG00000260789,46.9165
ENSPTRG00000000055,ENSG00000143412,47.7567
ENSPTRG00000017084,ENSG00000188452,48.4864
ENSPTRG00000022523,ENSG00000198673,48.0026
ENSPTRG00000017083,ENSG00000151687,48.5966
ENSPTRG00000018925,ENSG00000115841,48.5908
ENSPTRG00000034434,ENSG00000144810,49.1747
ENSPTRG00000017082,ENSG00000115263,49.0723
ENSPTRG00000017081,ENSG00000262742,14.0263
ENSPTRG00000033888,ENSG00000260789,46.2879
ENSPTRG00000028811,ENSG00000144366,48.8225
ENSPTRG00000020027,ENSG00000136560,49.1215
ENSPTRG00000000059,ENSG00000260220,48.103
ENSPTRG00000017079,ENSG00000172209,48.4101
ENSPTRG00000018926,ENSG00000064933,48.4922
ENSPTRG00000020028,ENSG00000156976,48.9858
ENSPTRG00000020028,ENSG00000115841,48.8668
ENSPTRG00000028812,ENSG00000169469,49.5327
ENSPTRG00000041367,ENSG00000138068,50.641
ENSPTRG00000041367,ENSG00000138068,51.773
ENSPTRG00000028815,ENSG00000143442,49.5935
ENSPTRG00000023210,ENSG00000262742,49.0857
ENSPTRG00000028845,ENSG00000080822,49.5495
ENSPTRG00000020029,ENSG00000262249,48.9749
ENSPTRG00000041855,ENSG00000055332,48.8372
ENSPTRG00000020031,ENSG00000061987,49.4489
ENSPTRG00000018927,ENSG00000136560,48.0234
ENSPTRG00000041789,ENSG00000262773,49.1007
ENSPTRG00000017074,ENSG00000136536,49.1661
ENSPTRG00000040033,ENSG00000257561,49.8818
ENSPTRG00000040033,ENSG00000156931,50.5051
ENSPTRG00000000060,ENSG00000261042,47.2346
ENSPTRG00000022495,ENSG00000198130,48.6443
ENSPTRG00000033798,ENSG00000262101,48.3124
ENSPTRG00000018929,ENSG00000253276,48.7234
ENSPTRG00000034101,ENSG00000232382,48.8253
ENSPTRG00000041690,ENSG00000196154,47.927
ENSPTRG00000000063,ENSG00000115170,48.9943
ENSPTRG00000000063,ENSG00000261417,48.9403
ENSPTRG00000039984,ENSG00000238035,47.3304
ENSPTRG00000018931,ENSG00000262872,49.4971
ENSPTRG00000040529,ENSG00000163904,48.6513
ENSPTRG00000000064,ENSG00000248643,48.7633
ENSPTRG00000017073,ENSG00000173020,47.246
ENSPTRG00000039933,ENSG00000143409,48.0874
ENSPTRG00000017072,ENSG00000144366,48.9495
ENSPTRG00000041259,ENSG00000213953,50
ENSPTRG00000042391,ENSG00000143409,48.0874
ENSPTRG00000020034,ENSG00000262773,48.8372
ENSPTRG00000033978,ENSG00000261371,48.6525
ENSPTRG00000017070,ENSG00000115760,49.2733
ENSPTRG00000038816,ENSG00000196950,48.5507
ENSPTRG00000042310,ENSG00000105835,48.7282
ENSPTRG00000020035,ENSG00000153234,49.5447
ENSPTRG00000018934,ENSG00000188452,48.9226
ENSPTRG00000000062,ENSG00000238035,46.6521
ENSPTRG00000018935,ENSG00000138448,48.2771
ENSPTRG00000042377,ENSG00000123297,48.1805
ENSPTRG00000042377,ENSG00000260119,47.7663
ENSPTRG00000042377,ENSG00000261125,47.3611
ENSPTRG00000042377,ENSG00000261125,47.234
ENSPTRG00000042377,ENSG00000260119,49.8282
ENSPTRG00000042377,ENSG00000168542,49.3056
ENSPTRG00000020038,ENSG00000151690,49.1589
ENSPTRG00000039962,ENSG00000213953,50
ENSPTRG00000042104,ENSG00000168542,49.4845
ENSPTRG00000039119,ENSG00000080224,48.3888
ENSPTRG00000018936,ENSG00000061987,49.2418
ENSPTRG00000020039,ENSG00000261972,49.7294
ENSPTRG00000000067,ENSG00000257961,48.068
ENSPTRG00000000068,ENSG00000163141,46.566
ENSPTRG00000000069,ENSG00000259958,49.1786
ENSPTRG00000017069,ENSG00000144366,48.0404
ENSPTRG00000017069,ENSG00000228804,48.3254
ENSPTRG00000018937,ENSG00000115271,47.7987
ENSPTRG00000028774,ENSG00000255738,49.1879
ENSPTRG00000017068,ENSG00000162980,48.156
ENSPTRG00000003102,ENSG00000261577,48.6853
ENSPTRG00000000070,ENSG00000175505,48.2906
ENSPTRG00000017067,ENSG00000005249,48.226
ENSPTRG00000017067,ENSG00000162980,48.249
ENSPTRG00000039028,ENSG00000143409,48.0874
ENSPTRG00000039977,ENSG00000260119,47.7663
ENSPTRG00000017066,ENSG00000189056,48.4301
ENSPTRG00000018938,ENSG00000061676,48.9701
ENSPTRG00000041008,ENSG00000261125,47.9256
ENSPTRG00000003103,ENSG00000261042,47.9413
ENSPTRG00000024207,ENSG00000168386,48.9464
ENSPTRG00000039973,ENSG00000143416,48.1481
ENSPTRG00000039973,ENSG00000196950,48.5507
ENSPTRG00000000072,ENSG00000261345,49.5703
ENSPTRG00000024214,ENSG00000064989,49.1428
ENSPTRG00000039663,ENSG00000105835,48.7952
ENSPTRG00000003104,ENSG00000261297,47.9447
ENSPTRG00000032489,ENSG00000138068,48.6275
ENSPTRG00000032588,ENSG00000257370,50.2083
ENSPTRG00000032588,ENSG00000257370,50.641
ENSPTRG00000000075,ENSG00000260383,48.6656
ENSPTRG00000039391,ENSG00000257339,48.5714
ENSPTRG00000020040,ENSG00000188452,49.2768
ENSPTRG00000028850,ENSG00000080822,49.5495
ENSPTRG00000028850,ENSG00000143442,52.3148
ENSPTRG00000003106,ENSG00000090512,49.2992
ENSPTRG00000028847,ENSG00000169469,49.5327
ENSPTRG00000017064,ENSG00000143376,49.4492
ENSPTRG00000022519,ENSG00000162980,48.4995
ENSPTRG00000003107,ENSG00000261297,46.3629
ENSPTRG00000018941,ENSG00000135407,45.9016
ENSPTRG00000028772,ENSG00000186844,47.5543
ENSPTRG00000042132,ENSG00000263250,47.8677
ENSPTRG00000003110,ENSG00000261230,48.9965
ENSPTRG00000020042,ENSG00000259919,49.7098
ENSPTRG00000003111,ENSG00000241794,49.0588
ENSPTRG00000003112,ENSG00000260313,48.5149
ENSPTRG00000020043,ENSG00000173621,48.188
ENSPTRG00000003113,ENSG00000173621,47.4178
ENSPTRG00000017063,ENSG00000064989,48.4644
ENSPTRG00000017063,ENSG00000064989,48.4644
ENSPTRG00000003115,ENSG00000173237,47.2818
ENSPTRG00000020044,ENSG00000184611,49.3328
ENSPTRG00000031254,ENSG00000198673,49.187
ENSPTRG00000018942,ENSG00000064933,48.5349
ENSPTRG00000012467,ENSG00000261456,43.6338
ENSPTRG00000012467,ENSG00000261456,47.3886
ENSPTRG00000018943,ENSG00000115145,49.0671
ENSPTRG00000000076,ENSG00000077232,49.7842
ENSPTRG00000005670,ENSG00000138449,49.789
ENSPTRG00000000078,ENSG00000260789,48.6371
ENSPTRG00000005671,ENSG00000115841,49.3656
ENSPTRG00000017062,ENSG00000144366,48.228
ENSPTRG00000041973,ENSG00000143418,47.4131
ENSPTRG00000003117,ENSG00000260789,48.4848
ENSPTRG00000000079,ENSG00000163131,48.3744
ENSPTRG00000003118,ENSG00000257961,46.3876
ENSPTRG00000000081,ENSG00000263079,47.983
ENSPTRG00000000082,ENSG00000260789,47.4847
ENSPTRG00000000084,ENSG00000163159,48.642
ENSPTRG00000020045,ENSG00000261577,48.5845
ENSPTRG00000023120,ENSG00000163918,48.5953
ENSPTRG00000018944,ENSG00000115145,48.3528
ENSPTRG00000041763,ENSG00000262773,49.1007
ENSPTRG00000041716,ENSG00000262773,49.0408
ENSPTRG00000041052,ENSG00000213953,50
ENSPTRG00000039529,ENSG00000173914,48.4762
ENSPTRG00000039529,ENSG00000138449,49.5935
ENSPTRG00000020046,ENSG00000172830,48.6737
ENSPTRG00000041720,ENSG00000175482,48.0874
ENSPTRG00000020047,ENSG00000261236,48.6291
ENSPTRG00000041899,ENSG00000187939,47.4836
ENSPTRG00000024080,ENSG00000263141,48.5537
ENSPTRG00000040807,ENSG00000187939,47.4836
ENSPTRG00000000085,ENSG00000187238,47.0968
ENSPTRG00000000085,ENSG00000090539,48.5957
ENSPTRG00000042336,ENSG00000123297,48.434
ENSPTRG00000042266,ENSG00000173914,48.2857
ENSPTRG00000042266,ENSG00000143442,50
ENSPTRG00000034540,ENSG00000104825,46.4995
ENSPTRG00000005677,ENSG00000143412,49.1772
ENSPTRG00000039167,ENSG00000260119,50.3333
ENSPTRG00000022505,ENSG00000259858,48.9429
ENSPTRG00000040418,ENSG00000143375,48.9177
ENSPTRG00000026567,ENSG00000113966,48.6776
ENSPTRG00000005679,ENSG00000091140,48.4595
ENSPTRG00000022504,ENSG00000262249,48.2361
ENSPTRG00000001027,ENSG00000260287,48.8399
ENSPTRG00000001027,ENSG00000260287,48.758
ENSPTRG00000000088,ENSG00000261297,47.4971
ENSPTRG00000020048,ENSG00000260789,47.6902
ENSPTRG00000022503,ENSG00000143442,49.3256
ENSPTRG00000005680,ENSG00000115904,48.8544
ENSPTRG00000020049,ENSG00000203782,47.5313
ENSPTRG00000017057,ENSG00000143889,48.4899
ENSPTRG00000017057,ENSG00000143889,48.3729
ENSPTRG00000020050,ENSG00000260716,48.0958
ENSPTRG00000018945,ENSG00000003509,47.211
ENSPTRG00000034469,ENSG00000135454,47.7193
ENSPTRG00000017056,ENSG00000143889,48.7966
ENSPTRG00000018946,ENSG00000138386,48.5569
ENSPTRG00000041209,ENSG00000073803,48.6373
ENSPTRG00000003120,ENSG00000260665,47.481
ENSPTRG00000034402,ENSG00000123297,49.115
ENSPTRG00000003121,ENSG00000261678,46.8937
ENSPTRG00000017055,ENSG00000061987,49.3726
ENSPTRG00000020051,ENSG00000173992,47.6669
ENSPTRG00000013795,ENSG00000105835,48.4875
ENSPTRG00000000112,ENSG00000248643,49.1567
ENSPTRG00000041849,ENSG00000187068,49.0888
ENSPTRG00000003161,ENSG00000175634,47.1976
