gorilla_gorilla,pongo_abelii
ENSGGOG00000002340,ENSPPYG00000019676,46.8672
ENSGGOG00000027730,ENSPPYG00000020743,46.1538
ENSGGOG00000006116,ENSPPYG00000020721,48.3146
ENSGGOG00000014428,ENSPPYG00000018353,46.6997
ENSGGOG00000025651,ENSPPYG00000018317,50.3704
ENSGGOG00000027010,ENSPPYG00000020338,50.1832
ENSGGOG00000024315,ENSPPYG00000019247,47.9598
ENSGGOG00000016094,ENSPPYG00000017492,47.8355
ENSGGOG00000022407,ENSPPYG00000019676,45.7421
ENSGGOG00000025778,ENSPPYG00000017575,46.8553
ENSGGOG00000023141,ENSPPYG00000020050,48.433
ENSGGOG00000005185,ENSPPYG00000019247,48.3465
ENSGGOG00000028018,ENSPPYG00000019930,48.0519
ENSGGOG00000027785,ENSPPYG00000019924,45.697
ENSGGOG00000022572,ENSPPYG00000019850,46.283
ENSGGOG00000016327,ENSPPYG00000017575,44.3366
ENSGGOG00000023005,ENSPPYG00000020258,46.2327
ENSGGOG00000011794,ENSPPYG00000019676,45.9677
ENSGGOG00000023773,ENSPPYG00000020823,48.2587
ENSGGOG00000014762,ENSPPYG00000019988,47.4039
ENSGGOG00000002702,ENSPPYG00000019842,49.2509
ENSGGOG00000022868,ENSPPYG00000018659,48.2456
ENSGGOG00000026391,ENSPPYG00000020220,47.0588
ENSGGOG00000014359,ENSPPYG00000019992,41.8554
ENSGGOG00000028166,ENSPPYG00000018069,43.2258
ENSGGOG00000025700,ENSPPYG00000020258,46.4245
ENSGGOG00000027649,ENSPPYG00000017575,40.8696
ENSGGOG00000023415,ENSPPYG00000019992,37.1124
ENSGGOG00000025253,ENSPPYG00000019992,36.3152
ENSGGOG00000012044,ENSPPYG00000018069,45.3333
ENSGGOG00000024194,ENSPPYG00000020904,48.4816
ENSGGOG00000002506,ENSPPYG00000019992,36.9399
ENSGGOG00000024783,ENSPPYG00000019247,48.4925
ENSGGOG00000025602,ENSPPYG00000018689,47.8632
ENSGGOG00000025806,ENSPPYG00000018133,39.7679
ENSGGOG00000006645,ENSPPYG00000018069,43.871
ENSGGOG00000000849,ENSPPYG00000018123,46.3682
ENSGGOG00000013031,ENSPPYG00000019169,47.8894
ENSGGOG00000010451,ENSPPYG00000018069,46.2222
ENSGGOG00000028288,ENSPPYG00000017563,48.5612
ENSGGOG00000006710,ENSPPYG00000018931,48.1567
ENSGGOG00000006703,ENSPPYG00000019986,46.0317
ENSGGOG00000023290,ENSPPYG00000018921,45.7958
ENSGGOG00000004805,ENSPPYG00000019620,48.2375
ENSGGOG00000007966,ENSPPYG00000018919,47.7855
ENSGGOG00000028585,ENSPPYG00000017575,46.0317
ENSGGOG00000027984,ENSPPYG00000017754,47.1409
ENSGGOG00000027378,ENSPPYG00000017575,47.0721
ENSGGOG00000025613,ENSPPYG00000017575,45.8333
ENSGGOG00000026726,ENSPPYG00000020350,47.9675
ENSGGOG00000022623,ENSPPYG00000019247,48.3983
ENSGGOG00000025668,ENSPPYG00000020102,48.7896
ENSGGOG00000028563,ENSPPYG00000017575,46.6667
ENSGGOG00000022555,ENSPPYG00000017575,45.9877
ENSGGOG00000024743,ENSPPYG00000018603,120.833
ENSGGOG00000022427,ENSPPYG00000017575,46.7593
ENSGGOG00000028282,ENSPPYG00000018133,39.6514
ENSGGOG00000023952,ENSPPYG00000019882,40.5145
ENSGGOG00000023837,ENSPPYG00000017575,46.2585
ENSGGOG00000027931,ENSPPYG00000019247,48.1909
ENSGGOG00000028522,ENSPPYG00000018921,45.8824
ENSGGOG00000022346,ENSPPYG00000017651,49.721
ENSGGOG00000026675,ENSPPYG00000019247,48.2536
ENSGGOG00000022938,ENSPPYG00000017575,47.4747
ENSGGOG00000000641,ENSPPYG00000017575,45.082
ENSGGOG00000025199,ENSPPYG00000020102,45.2991
ENSGGOG00000024293,ENSPPYG00000017446,47.9062
ENSGGOG00000007454,ENSPPYG00000020751,47.8355
ENSGGOG00000027906,ENSPPYG00000018439,3.09278
ENSGGOG00000022911,ENSPPYG00000020346,48.2201
ENSGGOG00000016003,ENSPPYG00000020286,55.5556
ENSGGOG00000011132,ENSPPYG00000020324,47.3849
ENSGGOG00000022252,ENSPPYG00000018619,48.5944
ENSGGOG00000022170,ENSPPYG00000019576,34.3983
ENSGGOG00000009331,ENSPPYG00000018879,8.74317
ENSGGOG00000026025,ENSPPYG00000020593,49.1228
ENSGGOG00000023296,ENSPPYG00000017575,46.5465
ENSGGOG00000022578,ENSPPYG00000019944,49.0316
ENSGGOG00000022441,ENSPPYG00000019189,47.9351
ENSGGOG00000002214,ENSPPYG00000018211,43.9153
ENSGGOG00000024719,ENSPPYG00000019958,48.2201
ENSGGOG00000027476,ENSPPYG00000019361,46.5228
ENSGGOG00000025722,ENSPPYG00000017575,45.5471
ENSGGOG00000013318,ENSPPYG00000019101,49.0586
ENSGGOG00000010829,ENSPPYG00000018545,47.2062
ENSGGOG00000028215,ENSPPYG00000019151,48.2906
ENSGGOG00000028594,ENSPPYG00000019151,50.6667
ENSGGOG00000023453,ENSPPYG00000020886,48.5463
ENSGGOG00000023012,ENSPPYG00000019461,40.3077
ENSGGOG00000007127,ENSPPYG00000017575,44.8179
ENSGGOG00000026046,ENSPPYG00000017575,49.5652
ENSGGOG00000012913,ENSPPYG00000020078,49.1582
ENSGGOG00000027363,ENSPPYG00000018296,48.0392
ENSGGOG00000025022,ENSPPYG00000020920,48.7654
ENSGGOG00000009153,ENSPPYG00000019247,49.6454
ENSGGOG00000025340,ENSPPYG00000017969,48.9573
ENSGGOG00000005874,ENSPPYG00000017987,47.5327
ENSGGOG00000016192,ENSPPYG00000019265,47.7789
ENSGGOG00000016192,ENSPPYG00000019265,47.3908
ENSGGOG00000016192,ENSPPYG00000019247,47.8873
ENSGGOG00000015834,ENSPPYG00000020693,48.8818
ENSGGOG00000024071,ENSPPYG00000020515,48.4848
ENSGGOG00000012526,ENSPPYG00000018411,48.6204
ENSGGOG00000025858,ENSPPYG00000019576,37.6858
ENSGGOG00000010526,ENSPPYG00000019882,48.6911
ENSGGOG00000024882,ENSPPYG00000020160,51.1111
ENSGGOG00000025093,ENSPPYG00000017575,47.3039
ENSGGOG00000014070,ENSPPYG00000017722,48.3683
ENSGGOG00000005282,ENSPPYG00000020282,49.3017
ENSGGOG00000022131,ENSPPYG00000017575,47.8495
ENSGGOG00000012288,ENSPPYG00000017541,49.1562
ENSGGOG00000015749,ENSPPYG00000019179,48.9199
ENSGGOG00000002314,ENSPPYG00000019800,49.1199
ENSGGOG00000009494,ENSPPYG00000019762,46.706
ENSGGOG00000007312,ENSPPYG00000018759,49.5298
ENSGGOG00000013493,ENSPPYG00000020880,21.5455
ENSGGOG00000024850,ENSPPYG00000018815,48.5202
ENSGGOG00000023668,ENSPPYG00000018399,6.79406
ENSGGOG00000022382,ENSPPYG00000020304,48.9758
ENSGGOG00000012313,ENSPPYG00000018723,49.5038
ENSGGOG00000012313,ENSPPYG00000020868,49.0123
ENSGGOG00000013046,ENSPPYG00000020290,49.2185
ENSGGOG00000006754,ENSPPYG00000019401,47.7861
ENSGGOG00000015717,ENSPPYG00000020258,46.777
ENSGGOG00000008634,ENSPPYG00000019519,47.8905
ENSGGOG00000001712,ENSPPYG00000017635,26.1333
ENSGGOG00000001712,ENSPPYG00000017635,25.6564
ENSGGOG00000010930,ENSPPYG00000020224,49.3023
ENSGGOG00000007841,ENSPPYG00000019620,48.1588
ENSGGOG00000022136,ENSPPYG00000019471,47.8755
ENSGGOG00000022136,ENSPPYG00000019247,46.9345
ENSGGOG00000025393,ENSPPYG00000018669,10.4167
ENSGGOG00000016723,ENSPPYG00000018153,47.9386
ENSGGOG00000010228,ENSPPYG00000019692,40.3922
ENSGGOG00000004414,ENSPPYG00000018987,49.4138
ENSGGOG00000004414,ENSPPYG00000018987,49.5606
ENSGGOG00000024270,ENSPPYG00000019960,29.8573
ENSGGOG00000014343,ENSPPYG00000020258,44.2688
ENSGGOG00000014343,ENSPPYG00000019988,44.9931
ENSGGOG00000002249,ENSPPYG00000018815,48.7053
ENSGGOG00000009561,ENSPPYG00000018573,49.4955
ENSGGOG00000009561,ENSPPYG00000018573,49.4744
ENSGGOG00000016654,ENSPPYG00000017541,37.4359
ENSGGOG00000011998,ENSPPYG00000019770,47.9277
ENSGGOG00000011998,ENSPPYG00000019770,47.9826
ENSGGOG00000023876,ENSPPYG00000020864,47.8682
ENSGGOG00000004582,ENSPPYG00000017945,49.8807
ENSGGOG00000004582,ENSPPYG00000019874,49.2847
ENSGGOG00000012559,ENSPPYG00000020258,47.1687
ENSGGOG00000001312,ENSPPYG00000019325,48.8441
ENSGGOG00000010913,ENSPPYG00000018981,47.7667
ENSGGOG00000003736,ENSPPYG00000017530,47.3249
ENSGGOG00000009530,ENSPPYG00000020631,49.2101
ENSGGOG00000026899,ENSPPYG00000019798,45.4887
ENSGGOG00000026899,ENSPPYG00000018939,45.7064
ENSGGOG00000023227,ENSPPYG00000019970,34.7531
ENSGGOG00000003731,ENSPPYG00000019247,47.956
ENSGGOG00000008020,ENSPPYG00000018467,47.9141
ENSGGOG00000008020,ENSPPYG00000018185,48.1893
ENSGGOG00000005746,ENSPPYG00000020860,48.259
ENSGGOG00000005746,ENSPPYG00000020860,48.1153
ENSGGOG00000001069,ENSPPYG00000019333,48.7906
ENSGGOG00000008052,ENSPPYG00000018019,48.7568
ENSGGOG00000013589,ENSPPYG00000019089,47.8741
ENSGGOG00000014752,ENSPPYG00000020747,49.6078
ENSGGOG00000034932,ENSPPYG00000017653,48.344
ENSGGOG00000002578,ENSPPYG00000020801,49.1691
ENSGGOG00000006311,ENSPPYG00000018985,48.5931
ENSGGOG00000006311,ENSPPYG00000019674,49.2447
ENSGGOG00000002309,ENSPPYG00000018561,48.2781
ENSGGOG00000016306,ENSPPYG00000019487,49.3081
ENSGGOG00000024790,ENSPPYG00000017575,44.0678
ENSGGOG00000014989,ENSPPYG00000018635,49.3588
ENSGGOG00000014989,ENSPPYG00000020302,49.1585
ENSGGOG00000006837,ENSPPYG00000020828,48.2931
ENSGGOG00000025378,ENSPPYG00000020553,47.7395
ENSGGOG00000008342,ENSPPYG00000020236,48.4581
ENSGGOG00000001091,ENSPPYG00000019736,47.7352
ENSGGOG00000001091,ENSPPYG00000019736,47.6617
ENSGGOG00000006504,ENSPPYG00000018195,48.0519
ENSGGOG00000023513,ENSPPYG00000017575,46.2366
ENSGGOG00000024432,ENSPPYG00000018815,48.4044
ENSGGOG00000014326,ENSPPYG00000019507,20.2088
ENSGGOG00000014326,ENSPPYG00000019507,30.1508
ENSGGOG00000012522,ENSPPYG00000017825,48.5101
ENSGGOG00000012522,ENSPPYG00000019309,48.8332
ENSGGOG00000004131,ENSPPYG00000017808,48.8307
ENSGGOG00000027201,ENSPPYG00000019247,47.7238
ENSGGOG00000010362,ENSPPYG00000019305,49.1136
ENSGGOG00000010362,ENSPPYG00000020491,48.5202
ENSGGOG00000000304,ENSPPYG00000020330,48.9066
ENSGGOG00000000304,ENSPPYG00000019988,48.2737
ENSGGOG00000021952,ENSPPYG00000017575,45.1149
ENSGGOG00000003136,ENSPPYG00000018181,47.7015
ENSGGOG00000003136,ENSPPYG00000020274,47.4233
ENSGGOG00000025400,ENSPPYG00000020882,48.1919
ENSGGOG00000025400,ENSPPYG00000020882,48.2349
ENSGGOG00000013834,ENSPPYG00000018939,47.4957
ENSGGOG00000013834,ENSPPYG00000019790,48.7527
ENSGGOG00000009668,ENSPPYG00000017430,48.6212
ENSGGOG00000009668,ENSPPYG00000019630,48.5229
ENSGGOG00000003259,ENSPPYG00000020258,45.4383
ENSGGOG00000003259,ENSPPYG00000020258,45.6929
ENSGGOG00000023870,ENSPPYG00000020860,47.7174
ENSGGOG00000023870,ENSPPYG00000020860,47.5059
ENSGGOG00000023870,ENSPPYG00000018165,46.0722
ENSGGOG00000027838,ENSPPYG00000019704,48.2587
ENSGGOG00000027137,ENSPPYG00000018593,47.746
ENSGGOG00000027137,ENSPPYG00000020848,46.6165
ENSGGOG00000012466,ENSPPYG00000019946,45.9495
ENSGGOG00000012466,ENSPPYG00000018258,40.4412
ENSGGOG00000004537,ENSPPYG00000019732,46.7626
ENSGGOG00000006828,ENSPPYG00000019247,48.5038
ENSGGOG00000015666,ENSPPYG00000019988,47.1746
ENSGGOG00000016631,ENSPPYG00000017404,48.705
ENSGGOG00000016631,ENSPPYG00000019988,47.406
ENSGGOG00000012817,ENSPPYG00000020170,49.1554
ENSGGOG00000003776,ENSPPYG00000020032,49.9265
ENSGGOG00000013708,ENSPPYG00000020258,47.8881
ENSGGOG00000009450,ENSPPYG00000018157,47.6419
ENSGGOG00000009450,ENSPPYG00000018157,47.6386
ENSGGOG00000010255,ENSPPYG00000019537,49.0143
ENSGGOG00000014394,ENSPPYG00000019868,30.3333
ENSGGOG00000010848,ENSPPYG00000018185,47.9568
ENSGGOG00000005921,ENSPPYG00000019535,49.453
ENSGGOG00000001478,ENSPPYG00000019598,48.432
ENSGGOG00000005882,ENSPPYG00000018240,49.0153
ENSGGOG00000026926,ENSPPYG00000017808,48.4315
ENSGGOG00000028054,ENSPPYG00000017670,3.2199
ENSGGOG00000012401,ENSPPYG00000019247,47.5107
ENSGGOG00000012401,ENSPPYG00000019247,47.6543
ENSGGOG00000004676,ENSPPYG00000019247,49.0058
ENSGGOG00000006838,ENSPPYG00000018989,29.8701
ENSGGOG00000010959,ENSPPYG00000019788,49.8754
ENSGGOG00000002206,ENSPPYG00000018217,46.4286
ENSGGOG00000001326,ENSPPYG00000020509,49.0427
ENSGGOG00000001326,ENSPPYG00000020501,48.6742
ENSGGOG00000007029,ENSPPYG00000018867,48.5459
ENSGGOG00000028322,ENSPPYG00000017575,46.9526
ENSGGOG00000012834,ENSPPYG00000020032,49.6087
ENSGGOG00000028007,ENSPPYG00000017672,47.3261
ENSGGOG00000028007,ENSPPYG00000017672,19.6875
ENSGGOG00000027332,ENSPPYG00000019299,49.0305
ENSGGOG00000017143,ENSPPYG00000018043,1.66113
ENSGGOG00000026269,ENSPPYG00000019976,48.503
ENSGGOG00000001070,ENSPPYG00000017949,49.6124
ENSGGOG00000001070,ENSPPYG00000017949,49.623
ENSGGOG00000014852,ENSPPYG00000017933,49.0204
ENSGGOG00000000842,ENSPPYG00000020188,49.0526
ENSGGOG00000003331,ENSPPYG00000019774,48.532
ENSGGOG00000006202,ENSPPYG00000019377,5.24237
ENSGGOG00000021956,ENSPPYG00000020070,49.0141
ENSGGOG00000021956,ENSPPYG00000020868,48.5325
ENSGGOG00000025079,ENSPPYG00000017530,48.8842
ENSGGOG00000025079,ENSPPYG00000019666,42.9952
ENSGGOG00000004995,ENSPPYG00000019988,46.3087
ENSGGOG00000001083,ENSPPYG00000018593,45.7751
ENSGGOG00000001083,ENSPPYG00000019826,45.9212
ENSGGOG00000025646,ENSPPYG00000020914,47.4178
ENSGGOG00000015635,ENSPPYG00000020046,47.1002
ENSGGOG00000025652,ENSPPYG00000018719,56.8627
ENSGGOG00000004169,ENSPPYG00000020699,50.5949
ENSGGOG00000004169,ENSPPYG00000019880,48.4569
ENSGGOG00000010082,ENSPPYG00000020605,48.7187
ENSGGOG00000010082,ENSPPYG00000020605,48.8211
ENSGGOG00000016381,ENSPPYG00000019988,46.1832
ENSGGOG00000027377,ENSPPYG00000019423,48.6499
ENSGGOG00000004273,ENSPPYG00000020481,48.8064
ENSGGOG00000008606,ENSPPYG00000019668,46.3953
ENSGGOG00000010257,ENSPPYG00000019309,48.7692
ENSGGOG00000000513,ENSPPYG00000020631,49.226
ENSGGOG00000000513,ENSPPYG00000017462,48.1319
ENSGGOG00000016735,ENSPPYG00000019245,48.7767
ENSGGOG00000006624,ENSPPYG00000019694,47.447
ENSGGOG00000006624,ENSPPYG00000019804,47.7165
ENSGGOG00000006624,ENSPPYG00000018917,47.6826
ENSGGOG00000006624,ENSPPYG00000017987,46.57
ENSGGOG00000006624,ENSPPYG00000020258,48.1546
ENSGGOG00000006624,ENSPPYG00000019988,47.4132
ENSGGOG00000006624,ENSPPYG00000019694,47.3154
ENSGGOG00000000082,ENSPPYG00000018119,21.167
ENSGGOG00000000082,ENSPPYG00000018119,19.3843
ENSGGOG00000005168,ENSPPYG00000019676,47.5634
ENSGGOG00000012922,ENSPPYG00000018621,49.1216
ENSGGOG00000012922,ENSPPYG00000020781,49.028
ENSGGOG00000001404,ENSPPYG00000017818,48.0222
ENSGGOG00000015319,ENSPPYG00000020258,47.7099
ENSGGOG00000015319,ENSPPYG00000018049,47.2103
ENSGGOG00000034939,ENSPPYG00000019399,49.007
ENSGGOG00000008718,ENSPPYG00000019956,49.1977
ENSGGOG00000010925,ENSPPYG00000020136,48.7165
ENSGGOG00000016173,ENSPPYG00000020258,46.888
ENSGGOG00000015441,ENSPPYG00000019674,47.912
ENSGGOG00000005563,ENSPPYG00000017530,48.9604
ENSGGOG00000005563,ENSPPYG00000017530,48.9765
ENSGGOG00000017107,ENSPPYG00000018925,49.2671
ENSGGOG00000024843,ENSPPYG00000019676,46.4567
ENSGGOG00000025351,ENSPPYG00000019323,49.7972
ENSGGOG00000025351,ENSPPYG00000019247,49.2754
ENSGGOG00000009223,ENSPPYG00000019265,48.5318
ENSGGOG00000027616,ENSPPYG00000019305,49.2928
ENSGGOG00000027616,ENSPPYG00000019305,49.3835
ENSGGOG00000003361,ENSPPYG00000018055,49.0247
ENSGGOG00000008125,ENSPPYG00000019616,49.2571
ENSGGOG00000008125,ENSPPYG00000017581,49.0185
ENSGGOG00000024612,ENSPPYG00000019694,48.855
ENSGGOG00000009905,ENSPPYG00000018069,48.5714
ENSGGOG00000011722,ENSPPYG00000017716,48.6869
ENSGGOG00000007667,ENSPPYG00000019093,48.3974
ENSGGOG00000003533,ENSPPYG00000019201,48.3143
ENSGGOG00000003533,ENSPPYG00000019201,48.0823
ENSGGOG00000008196,ENSPPYG00000017933,48.4607
ENSGGOG00000008196,ENSPPYG00000018809,48.1998
ENSGGOG00000027577,ENSPPYG00000019838,48.3622
ENSGGOG00000001431,ENSPPYG00000018773,49.5364
ENSGGOG00000022325,ENSPPYG00000017575,44.5455
ENSGGOG00000025069,ENSPPYG00000020541,49.7615
ENSGGOG00000025069,ENSPPYG00000020330,49.7672
ENSGGOG00000009778,ENSPPYG00000019946,48.1611
ENSGGOG00000015236,ENSPPYG00000018053,49.6594
ENSGGOG00000011546,ENSPPYG00000017470,47.1074
ENSGGOG00000005626,ENSPPYG00000020342,46.9295
ENSGGOG00000005626,ENSPPYG00000020088,47.5029
ENSGGOG00000014937,ENSPPYG00000019734,48.3832
ENSGGOG00000010545,ENSPPYG00000018387,2.97977
ENSGGOG00000004730,ENSPPYG00000018177,47.7621
ENSGGOG00000006436,ENSPPYG00000019870,48.9219
ENSGGOG00000006436,ENSPPYG00000019870,48.914
ENSGGOG00000015307,ENSPPYG00000018513,48.12
ENSGGOG00000015307,ENSPPYG00000018973,48.3133
ENSGGOG00000010993,ENSPPYG00000018635,49.3269
ENSGGOG00000015979,ENSPPYG00000019281,48.9211
ENSGGOG00000011054,ENSPPYG00000019734,49.4433
ENSGGOG00000023887,ENSPPYG00000020607,49.1961
ENSGGOG00000000118,ENSPPYG00000018469,48.5097
ENSGGOG00000014572,ENSPPYG00000020320,48.9691
ENSGGOG00000014572,ENSPPYG00000018925,49.4069
ENSGGOG00000012898,ENSPPYG00000020605,48.9781
ENSGGOG00000015193,ENSPPYG00000019946,48.3871
ENSGGOG00000015734,ENSPPYG00000018857,49.5127
ENSGGOG00000015734,ENSPPYG00000018857,49.2725
ENSGGOG00000007261,ENSPPYG00000017462,46.0843
ENSGGOG00000007261,ENSPPYG00000018923,46.8468
ENSGGOG00000028211,ENSPPYG00000020918,48.2587
ENSGGOG00000022524,ENSPPYG00000020840,48.8095
ENSGGOG00000022289,ENSPPYG00000019361,47.992
ENSGGOG00000025865,ENSPPYG00000020076,47.4835
ENSGGOG00000026142,ENSPPYG00000017555,42.1053
ENSGGOG00000015172,ENSPPYG00000017545,48.2116
ENSGGOG00000028534,ENSPPYG00000020032,49.336
ENSGGOG00000011399,ENSPPYG00000017372,46.6667
ENSGGOG00000007609,ENSPPYG00000020914,47.561
ENSGGOG00000007609,ENSPPYG00000017575,44.1667
ENSGGOG00000000301,ENSPPYG00000017575,44.7447
ENSGGOG00000006571,ENSPPYG00000020090,49.0725
ENSGGOG00000001407,ENSPPYG00000019115,48.5139
ENSGGOG00000001407,ENSPPYG00000019115,48.902
ENSGGOG00000027802,ENSPPYG00000017575,42.8205
ENSGGOG00000008282,ENSPPYG00000019247,48.0693
ENSGGOG00000013016,ENSPPYG00000019265,48.2831
ENSGGOG00000013016,ENSPPYG00000019137,48.3794
ENSGGOG00000014709,ENSPPYG00000019632,48.5174
ENSGGOG00000014709,ENSPPYG00000019247,48.1236
ENSGGOG00000022011,ENSPPYG00000018543,48.6358
ENSGGOG00000013533,ENSPPYG00000017859,49.3029
ENSGGOG00000013533,ENSPPYG00000017724,49.0165
ENSGGOG00000027092,ENSPPYG00000019243,48.8436
ENSGGOG00000016873,ENSPPYG00000020529,45.7978
ENSGGOG00000023161,ENSPPYG00000018719,59.2593
ENSGGOG00000016972,ENSPPYG00000018513,49.6896
ENSGGOG00000016972,ENSPPYG00000019770,47.7155
ENSGGOG00000013841,ENSPPYG00000020050,47.5336
ENSGGOG00000009204,ENSPPYG00000019247,47.9483
ENSGGOG00000004181,ENSPPYG00000019810,45.8443
ENSGGOG00000004616,ENSPPYG00000019736,49.0693
ENSGGOG00000002610,ENSPPYG00000018957,47.7735
ENSGGOG00000015265,ENSPPYG00000018527,47.4937
