gorilla_gorilla,pan_troglodytes
ENSGGOG00000000849,ENSPTRG00000000207,47.7612
ENSGGOG00000013031,ENSPTRG00000039445,45.706
ENSGGOG00000010451,ENSPTRG00000003379,49.2222
ENSGGOG00000028288,ENSPTRG00000014145,48.801
ENSGGOG00000006710,ENSPTRG00000007557,47.3118
ENSGGOG00000006703,ENSPTRG00000039081,45.5782
ENSGGOG00000023290,ENSPTRG00000041651,46.2462
ENSGGOG00000004805,ENSPTRG00000003184,47.1243
ENSGGOG00000007966,ENSPTRG00000042298,48.7179
ENSGGOG00000028585,ENSPTRG00000021728,49.4709
ENSGGOG00000027984,ENSPTRG00000003174,47.1409
ENSGGOG00000027378,ENSPTRG00000021855,48.4234
ENSGGOG00000025613,ENSPTRG00000034369,49.2188
ENSGGOG00000026726,ENSPTRG00000039206,47.561
ENSGGOG00000022623,ENSPTRG00000020011,48.9177
ENSGGOG00000025668,ENSPTRG00000028792,48.4171
ENSGGOG00000028563,ENSPTRG00000028812,50.2564
ENSGGOG00000022555,ENSPTRG00000034369,48.7654
ENSGGOG00000024743,ENSPTRG00000039305,108.333
ENSGGOG00000022427,ENSPTRG00000021728,48.3796
ENSGGOG00000028282,ENSPTRG00000003249,44.9891
ENSGGOG00000023952,ENSPTRG00000003320,43.0868
ENSGGOG00000023837,ENSPTRG00000013903,49.6599
ENSGGOG00000027931,ENSPTRG00000016929,50.1155
ENSGGOG00000028522,ENSPTRG00000039445,46.7974
ENSGGOG00000022346,ENSPTRG00000004557,49.8732
ENSGGOG00000026675,ENSPTRG00000007525,49.2238
ENSGGOG00000022938,ENSPTRG00000034369,46.9697
ENSGGOG00000000641,ENSPTRG00000005728,44.5355
ENSGGOG00000025199,ENSPTRG00000031328,48.2906
ENSGGOG00000024293,ENSPTRG00000021637,47.9062
ENSGGOG00000007454,ENSPTRG00000042298,47.8355
ENSGGOG00000027906,ENSPTRG00000042298,46.3918
ENSGGOG00000022911,ENSPTRG00000021728,46.9256
ENSGGOG00000016003,ENSPTRG00000039305,55.5556
ENSGGOG00000011132,ENSPTRG00000007643,46.6527
ENSGGOG00000022252,ENSPTRG00000039292,49.7992
ENSGGOG00000022170,ENSPTRG00000003320,43.131
ENSGGOG00000009331,ENSPTRG00000041491,49.1803
ENSGGOG00000026025,ENSPTRG00000041916,51.462
ENSGGOG00000023296,ENSPTRG00000034369,48.9489
ENSGGOG00000022578,ENSPTRG00000016965,48.9297
ENSGGOG00000022441,ENSPTRG00000016726,48.0826
ENSGGOG00000002214,ENSPTRG00000003249,47.7954
ENSGGOG00000024719,ENSPTRG00000042298,46.2783
ENSGGOG00000027476,ENSPTRG00000042077,48.6811
ENSGGOG00000025722,ENSPTRG00000022785,48.0916
ENSGGOG00000013318,ENSPTRG00000000064,48.9017
ENSGGOG00000010829,ENSPTRG00000028321,48.5549
ENSGGOG00000028215,ENSPTRG00000028611,47.8632
ENSGGOG00000028594,ENSPTRG00000016969,52
ENSGGOG00000023453,ENSPTRG00000014186,48.8844
ENSGGOG00000023012,ENSPTRG00000003320,40.9231
ENSGGOG00000007127,ENSPTRG00000041916,50.1401
ENSGGOG00000026046,ENSPTRG00000042104,50.4348
ENSGGOG00000012913,ENSPTRG00000041209,49.4949
ENSGGOG00000027363,ENSPTRG00000022785,48.0392
ENSGGOG00000025022,ENSPTRG00000040132,49.3827
ENSGGOG00000009153,ENSPTRG00000013939,49.409
ENSGGOG00000025340,ENSPTRG00000003141,49.4538
ENSGGOG00000005874,ENSPTRG00000007589,47.432
ENSGGOG00000016192,ENSPTRG00000017039,47.9855
ENSGGOG00000016192,ENSPTRG00000017039,48.1363
ENSGGOG00000016192,ENSPTRG00000016929,47.8873
ENSGGOG00000015834,ENSPTRG00000034337,49.2013
ENSGGOG00000024071,ENSPTRG00000030816,49.2424
ENSGGOG00000012526,ENSPTRG00000018877,48.3979
ENSGGOG00000025858,ENSPTRG00000003249,46.4968
ENSGGOG00000010526,ENSPTRG00000023556,49.0401
ENSGGOG00000024882,ENSPTRG00000041011,50.2222
ENSGGOG00000025093,ENSPTRG00000028812,48.7745
ENSGGOG00000014070,ENSPTRG00000020996,48.8928
ENSGGOG00000005282,ENSPTRG00000018855,49.2368
ENSGGOG00000022131,ENSPTRG00000042077,49.4624
ENSGGOG00000012288,ENSPTRG00000021829,49.374
ENSGGOG00000015749,ENSPTRG00000018919,49.1741
ENSGGOG00000002314,ENSPTRG00000014067,48.4493
ENSGGOG00000009494,ENSPTRG00000000207,47.9843
ENSGGOG00000007312,ENSPTRG00000014119,49.7388
ENSGGOG00000013493,ENSPTRG00000020050,47.5152
ENSGGOG00000024850,ENSPTRG00000013821,49.0284
ENSGGOG00000023668,ENSPTRG00000042077,48.62
ENSGGOG00000022382,ENSPTRG00000017052,48.4171
ENSGGOG00000012313,ENSPTRG00000021673,49.387
ENSGGOG00000012313,ENSPTRG00000014145,49.2593
ENSGGOG00000013046,ENSPTRG00000007716,48.483
ENSGGOG00000006754,ENSPTRG00000018985,48.7637
ENSGGOG00000015717,ENSPTRG00000000091,47.3474
ENSGGOG00000008634,ENSPTRG00000007607,48.1125
ENSGGOG00000001712,ENSPTRG00000019084,10.6981
ENSGGOG00000001712,ENSPTRG00000019931,48.5289
ENSGGOG00000010930,ENSPTRG00000034369,48.8372
ENSGGOG00000007841,ENSPTRG00000003184,47.9287
ENSGGOG00000022136,ENSPTRG00000022504,48.1149
ENSGGOG00000022136,ENSPTRG00000042501,48.203
ENSGGOG00000025393,ENSPTRG00000028316,48.7981
ENSGGOG00000016723,ENSPTRG00000003128,48.0345
ENSGGOG00000010228,ENSPTRG00000020049,48.4034
ENSGGOG00000004414,ENSPTRG00000014642,49.3943
ENSGGOG00000004414,ENSPTRG00000033718,49.4825
ENSGGOG00000024270,ENSPTRG00000017013,48.2986
ENSGGOG00000014343,ENSPTRG00000031045,45.1722
ENSGGOG00000014343,ENSPTRG00000028773,45.4047
ENSGGOG00000002249,ENSPTRG00000019083,48.8634
ENSGGOG00000009561,ENSPTRG00000017055,49.43
ENSGGOG00000009561,ENSPTRG00000023686,49.5067
ENSGGOG00000016654,ENSPTRG00000009893,37.3077
ENSGGOG00000011998,ENSPTRG00000003297,48.7248
ENSGGOG00000011998,ENSPTRG00000007650,48.5823
ENSGGOG00000023876,ENSPTRG00000028745,47.7713
ENSGGOG00000004582,ENSPTRG00000016942,49.4033
ENSGGOG00000004582,ENSPTRG00000009890,49.6078
ENSGGOG00000012559,ENSPTRG00000003178,47.3438
ENSGGOG00000001312,ENSPTRG00000019025,48.661
ENSGGOG00000010913,ENSPTRG00000003282,1.05097
ENSGGOG00000003736,ENSPTRG00000018880,45.0057
ENSGGOG00000009530,ENSPTRG00000000096,49.6197
ENSGGOG00000026899,ENSPTRG00000039445,45.7393
ENSGGOG00000026899,ENSPTRG00000040153,39.4275
ENSGGOG00000023227,ENSPTRG00000009893,1.04938
ENSGGOG00000003731,ENSPTRG00000039778,48.4277
ENSGGOG00000008020,ENSPTRG00000016698,47.2256
ENSGGOG00000008020,ENSPTRG00000003121,47.8513
ENSGGOG00000005746,ENSPTRG00000007602,47.923
ENSGGOG00000005746,ENSPTRG00000018876,47.7985
ENSGGOG00000001069,ENSPTRG00000017083,49.2252
ENSGGOG00000008052,ENSPTRG00000016949,48.973
ENSGGOG00000013589,ENSPTRG00000041720,48.0442
ENSGGOG00000014752,ENSPTRG00000016721,49.5098
ENSGGOG00000034932,ENSPTRG00000005745,48.6111
ENSGGOG00000002578,ENSPTRG00000016981,49.2775
ENSGGOG00000006311,ENSPTRG00000007651,48.1061
ENSGGOG00000006311,ENSPTRG00000007651,48.5901
ENSGGOG00000002309,ENSPTRG00000016914,0.909682
ENSGGOG00000016306,ENSPTRG00000013919,49.1104
ENSGGOG00000024790,ENSPTRG00000013904,50.565
ENSGGOG00000014989,ENSPTRG00000013916,48.7997
ENSGGOG00000014989,ENSPTRG00000023331,49.0802
ENSGGOG00000006837,ENSPTRG00000005861,48.6117
ENSGGOG00000025378,ENSPTRG00000005861,48.1543
ENSGGOG00000008342,ENSPTRG00000007626,47.4302
ENSGGOG00000001091,ENSPTRG00000007588,47.1738
ENSGGOG00000001091,ENSPTRG00000007588,47.2239
ENSGGOG00000006504,ENSPTRG00000016923,48.3766
ENSGGOG00000023513,ENSPTRG00000013904,48.6559
ENSGGOG00000024432,ENSPTRG00000040740,48.3686
ENSGGOG00000014326,ENSPTRG00000007529,48.4713
ENSGGOG00000014326,ENSPTRG00000003282,48.9531
ENSGGOG00000012522,ENSPTRG00000005766,48.6935
ENSGGOG00000012522,ENSPTRG00000005680,48.9656
ENSGGOG00000004131,ENSPTRG00000017067,48.4097
ENSGGOG00000027201,ENSPTRG00000028788,48.9378
ENSGGOG00000010362,ENSPTRG00000013912,48.6805
ENSGGOG00000010362,ENSPTRG00000017038,48.8206
ENSGGOG00000000304,ENSPTRG00000019134,48.9463
ENSGGOG00000000304,ENSPTRG00000016691,48.5876
ENSGGOG00000021952,ENSPTRG00000013904,47.4138
ENSGGOG00000003136,ENSPTRG00000000091,47.8637
ENSGGOG00000003136,ENSPTRG00000007555,47.8865
ENSGGOG00000025400,ENSPTRG00000007596,47.8339
ENSGGOG00000025400,ENSPTRG00000007671,47.9004
ENSGGOG00000013834,ENSPTRG00000033843,46.7185
ENSGGOG00000013834,ENSPTRG00000003123,48.6985
ENSGGOG00000009668,ENSPTRG00000018876,48.3309
ENSGGOG00000009668,ENSPTRG00000018876,48.3383
ENSGGOG00000003259,ENSPTRG00000033888,46.1538
ENSGGOG00000003259,ENSPTRG00000033888,45.8801
ENSGGOG00000023870,ENSPTRG00000018855,47.0843
ENSGGOG00000023870,ENSPTRG00000018855,46.9969
ENSGGOG00000023870,ENSPTRG00000003166,46.603
ENSGGOG00000027838,ENSPTRG00000009856,48.3582
ENSGGOG00000027137,ENSPTRG00000033888,47.5556
ENSGGOG00000027137,ENSPTRG00000020082,47.1178
ENSGGOG00000012466,ENSPTRG00000039445,45.4183
ENSGGOG00000012466,ENSPTRG00000014062,47.7941
ENSGGOG00000004537,ENSPTRG00000018858,48.2014
ENSGGOG00000006828,ENSPTRG00000018979,48.7822
ENSGGOG00000015666,ENSPTRG00000033888,47.6825
ENSGGOG00000016631,ENSPTRG00000000017,48.8739
ENSGGOG00000016631,ENSPTRG00000004577,47.7302
ENSGGOG00000012817,ENSPTRG00000005726,48.4696
ENSGGOG00000003776,ENSPTRG00000017019,49.2796
ENSGGOG00000013708,ENSPTRG00000023021,47.6769
ENSGGOG00000009450,ENSPTRG00000018877,47.3443
ENSGGOG00000009450,ENSPTRG00000007645,47.707
ENSGGOG00000010255,ENSPTRG00000000238,47.5678
ENSGGOG00000014394,ENSPTRG00000022785,49.3333
ENSGGOG00000010848,ENSPTRG00000004572,1.64396
ENSGGOG00000005921,ENSPTRG00000021659,49.1247
ENSGGOG00000001478,ENSPTRG00000007545,48.1953
ENSGGOG00000005882,ENSPTRG00000014030,49.2341
ENSGGOG00000026926,ENSPTRG00000009858,48.6004
ENSGGOG00000028054,ENSPTRG00000019046,1.71972
ENSGGOG00000012401,ENSPTRG00000042501,49.0043
ENSGGOG00000012401,ENSPTRG00000021833,49.5473
ENSGGOG00000004676,ENSPTRG00000013892,49.6472
ENSGGOG00000006838,ENSPTRG00000019931,45.5211
ENSGGOG00000010959,ENSPTRG00000018865,49.5987
ENSGGOG00000002206,ENSPTRG00000031045,47.0238
ENSGGOG00000001326,ENSPTRG00000017054,49.3373
ENSGGOG00000001326,ENSPTRG00000003249,49.1477
ENSGGOG00000007029,ENSPTRG00000018934,48.7786
ENSGGOG00000028322,ENSPTRG00000021728,47.8555
ENSGGOG00000012834,ENSPTRG00000018964,49.4582
ENSGGOG00000028007,ENSPTRG00000019043,38.9967
ENSGGOG00000028007,ENSPTRG00000003184,47.3125
ENSGGOG00000027332,ENSPTRG00000040645,49.2151
ENSGGOG00000017143,ENSPTRG00000007628,47.619
ENSGGOG00000026269,ENSPTRG00000042298,48.7026
ENSGGOG00000001070,ENSPTRG00000018935,48.9882
ENSGGOG00000001070,ENSPTRG00000018935,49.1033
ENSGGOG00000014852,ENSPTRG00000016905,48.3673
ENSGGOG00000000842,ENSPTRG00000040561,49.8947
ENSGGOG00000003331,ENSPTRG00000007610,48.3986
ENSGGOG00000006202,ENSPTRG00000019004,48.474
ENSGGOG00000021956,ENSPTRG00000003130,49.5775
ENSGGOG00000021956,ENSPTRG00000042362,48.7421
ENSGGOG00000025079,ENSPTRG00000016989,48.8842
ENSGGOG00000025079,ENSPTRG00000021813,48.913
ENSGGOG00000004995,ENSPTRG00000003184,46.3087
ENSGGOG00000001083,ENSPTRG00000028773,45.7086
ENSGGOG00000001083,ENSPTRG00000028773,45.8509
ENSGGOG00000025646,ENSPTRG00000005783,48.8263
ENSGGOG00000015635,ENSPTRG00000014175,20.5624
ENSGGOG00000025652,ENSPTRG00000039305,52.9412
ENSGGOG00000004169,ENSPTRG00000016891,50.0626
ENSGGOG00000004169,ENSPTRG00000018875,47.6152
ENSGGOG00000010082,ENSPTRG00000021744,48.6635
ENSGGOG00000010082,ENSPTRG00000013798,48.5246
ENSGGOG00000016381,ENSPTRG00000007536,47.7099
ENSGGOG00000027377,ENSPTRG00000003309,48.7438
ENSGGOG00000004273,ENSPTRG00000021759,49.2927
ENSGGOG00000008606,ENSPTRG00000003118,47.9156
ENSGGOG00000010257,ENSPTRG00000009857,48.4659
ENSGGOG00000000513,ENSPTRG00000014586,49.2879
ENSGGOG00000000513,ENSPTRG00000000035,48.3516
ENSGGOG00000016735,ENSPTRG00000017054,48.8808
ENSGGOG00000006624,ENSPTRG00000007557,47.7612
ENSGGOG00000006624,ENSPTRG00000042466,47.874
ENSGGOG00000006624,ENSPTRG00000042132,47.447
ENSGGOG00000006624,ENSPTRG00000014117,47.1498
ENSGGOG00000006624,ENSPTRG00000000017,47.7509
ENSGGOG00000006624,ENSPTRG00000003184,46.7583
ENSGGOG00000006624,ENSPTRG00000033843,47.5671
ENSGGOG00000000082,ENSPTRG00000003290,47.6332
ENSGGOG00000000082,ENSPTRG00000003107,48.1865
ENSGGOG00000005168,ENSPTRG00000003172,48.538
ENSGGOG00000012922,ENSPTRG00000005794,49.0747
ENSGGOG00000012922,ENSPTRG00000005794,48.9569
ENSGGOG00000001404,ENSPTRG00000028788,48.9244
ENSGGOG00000015319,ENSPTRG00000007608,47.3828
ENSGGOG00000015319,ENSPTRG00000007607,47.2103
ENSGGOG00000034939,ENSPTRG00000000017,48.4702
ENSGGOG00000008718,ENSPTRG00000000140,49.4702
ENSGGOG00000010925,ENSPTRG00000003326,47.7881
ENSGGOG00000016173,ENSPTRG00000003184,47.7178
ENSGGOG00000015441,ENSPTRG00000003118,48.0467
ENSGGOG00000005563,ENSPTRG00000020084,49.2647
ENSGGOG00000005563,ENSPTRG00000020084,49.2068
ENSGGOG00000017107,ENSPTRG00000000241,49.1429
ENSGGOG00000024843,ENSPTRG00000014062,46.7192
ENSGGOG00000025351,ENSPTRG00000007702,49.3915
ENSGGOG00000025351,ENSPTRG00000014186,49.7795
ENSGGOG00000009223,ENSPTRG00000009893,49.1725
ENSGGOG00000027616,ENSPTRG00000009857,48.789
ENSGGOG00000027616,ENSPTRG00000009857,48.7481
ENSGGOG00000003361,ENSPTRG00000014161,49.0247
ENSGGOG00000008125,ENSPTRG00000014156,50
ENSGGOG00000008125,ENSPTRG00000004634,49.5381
ENSGGOG00000024612,ENSPTRG00000007548,48.3461
ENSGGOG00000009905,ENSPTRG00000003245,49.1964
ENSGGOG00000011722,ENSPTRG00000023886,49.0101
ENSGGOG00000007667,ENSPTRG00000014080,48.2372
ENSGGOG00000003533,ENSPTRG00000016993,48.4095
ENSGGOG00000003533,ENSPTRG00000016993,48.4631
ENSGGOG00000008196,ENSPTRG00000040740,48.4245
ENSGGOG00000008196,ENSPTRG00000018937,48.1223
ENSGGOG00000027577,ENSPTRG00000028731,48.5549
ENSGGOG00000001431,ENSPTRG00000019000,49.1992
ENSGGOG00000022325,ENSPTRG00000042089,47.8788
ENSGGOG00000025069,ENSPTRG00000004572,49.3641
ENSGGOG00000025069,ENSPTRG00000003212,49.3017
ENSGGOG00000009778,ENSPTRG00000031328,49.7373
ENSGGOG00000015236,ENSPTRG00000000186,49.516
ENSGGOG00000011546,ENSPTRG00000034369,48.2094
ENSGGOG00000005626,ENSPTRG00000014084,46.6155
ENSGGOG00000005626,ENSPTRG00000000055,46.7673
ENSGGOG00000014937,ENSPTRG00000014047,48.1437
ENSGGOG00000010545,ENSPTRG00000020020,47.5396
ENSGGOG00000004730,ENSPTRG00000014033,47.9093
ENSGGOG00000006436,ENSPTRG00000003113,49.1259
ENSGGOG00000006436,ENSPTRG00000003113,49.0298
ENSGGOG00000015307,ENSPTRG00000033718,47.7609
ENSGGOG00000015307,ENSPTRG00000033718,48.012
ENSGGOG00000010993,ENSPTRG00000023886,49.2521
ENSGGOG00000015979,ENSPTRG00000005696,48.8035
ENSGGOG00000011054,ENSPTRG00000014047,49.1959
ENSGGOG00000023887,ENSPTRG00000042362,49.4105
ENSGGOG00000000118,ENSPTRG00000020015,48.3504
ENSGGOG00000014572,ENSPTRG00000013929,48.7898
ENSGGOG00000014572,ENSPTRG00000016722,49.3296
ENSGGOG00000012898,ENSPTRG00000016991,48.4956
ENSGGOG00000015193,ENSPTRG00000014644,47.9263
ENSGGOG00000015734,ENSPTRG00000005681,48.8683
ENSGGOG00000015734,ENSPTRG00000013793,48.6202
ENSGGOG00000007261,ENSPTRG00000007643,48.0924
ENSGGOG00000007261,ENSPTRG00000039445,47.8764
ENSGGOG00000028211,ENSPTRG00000019003,48.3831
ENSGGOG00000022524,ENSPTRG00000021833,48.8946
ENSGGOG00000022289,ENSPTRG00000031446,46.988
ENSGGOG00000025865,ENSPTRG00000007542,47.0768
ENSGGOG00000026142,ENSPTRG00000019953,49.1228
ENSGGOG00000015172,ENSPTRG00000000202,13.0479
ENSGGOG00000028534,ENSPTRG00000019047,49.3072
ENSGGOG00000011399,ENSPTRG00000029512,39.0476
ENSGGOG00000007609,ENSPTRG00000041491,49.187
ENSGGOG00000007609,ENSPTRG00000031451,48.0556
ENSGGOG00000000301,ENSPTRG00000022785,46.8468
ENSGGOG00000006571,ENSPTRG00000000239,48.5666
ENSGGOG00000001407,ENSPTRG00000007542,47.8589
ENSGGOG00000001407,ENSPTRG00000003326,48.4199
ENSGGOG00000027802,ENSPTRG00000034369,50.2564
ENSGGOG00000008282,ENSPTRG00000013847,49.3302
ENSGGOG00000013016,ENSPTRG00000013797,48.9699
ENSGGOG00000013016,ENSPTRG00000020996,48.7395
ENSGGOG00000014709,ENSPTRG00000003289,48.8753
ENSGGOG00000014709,ENSPTRG00000007607,48.1236
ENSGGOG00000022011,ENSPTRG00000003217,49.3476
ENSGGOG00000013533,ENSPTRG00000003384,49.2067
ENSGGOG00000013533,ENSPTRG00000018991,49.1739
ENSGGOG00000027092,ENSPTRG00000016961,48.1583
ENSGGOG00000016873,ENSPTRG00000003184,46.7113
ENSGGOG00000023161,ENSPTRG00000039305,57.4074
ENSGGOG00000016972,ENSPTRG00000000241,49.7966
ENSGGOG00000016972,ENSPTRG00000000017,47.6116
ENSGGOG00000013841,ENSPTRG00000028760,47.9821
ENSGGOG00000009204,ENSPTRG00000007584,48.0243
ENSGGOG00000004181,ENSPTRG00000003128,46.1942
ENSGGOG00000004616,ENSPTRG00000014642,48.6337
ENSGGOG00000002610,ENSPTRG00000007544,47.7251
