gorilla_gorilla,macaca_mulatta
ENSGGOG00000028309,ENSMMUG00000004152,46.988
ENSGGOG00000025976,ENSMMUG00000020044,48.4848
ENSGGOG00000008985,ENSMMUG00000008388,48.7784
ENSGGOG00000008066,ENSMMUG00000032543,44.6759
ENSGGOG00000003934,ENSMMUG00000007583,49.4048
ENSGGOG00000027008,ENSMMUG00000022137,2.63158
ENSGGOG00000023130,ENSMMUG00000018837,14.955
ENSGGOG00000026823,ENSMMUG00000032377,50.5747
ENSGGOG00000002363,ENSMMUG00000022140,2.90102
ENSGGOG00000008587,ENSMMUG00000022224,49.0045
ENSGGOG00000007706,ENSMMUG00000018435,46.7157
ENSGGOG00000026808,ENSMMUG00000008624,48.4064
ENSGGOG00000026720,ENSMMUG00000022137,2.92398
ENSGGOG00000023195,ENSMMUG00000023424,50
ENSGGOG00000023483,ENSMMUG00000005616,44.5736
ENSGGOG00000006159,ENSMMUG00000019534,48.9642
ENSGGOG00000028272,ENSMMUG00000017335,8.29228
ENSGGOG00000025805,ENSMMUG00000032492,48.915
ENSGGOG00000028260,ENSMMUG00000019176,49.8168
ENSGGOG00000027536,ENSMMUG00000004658,48.538
ENSGGOG00000024660,ENSMMUG00000032441,48.5826
ENSGGOG00000026261,ENSMMUG00000018837,15.3153
ENSGGOG00000023583,ENSMMUG00000013213,45.914
ENSGGOG00000024057,ENSMMUG00000021463,49.2958
ENSGGOG00000026794,ENSMMUG00000011519,48.381
ENSGGOG00000002340,ENSMMUG00000002729,48.6216
ENSGGOG00000027730,ENSMMUG00000032497,51.2821
ENSGGOG00000006116,ENSMMUG00000002493,48.8764
ENSGGOG00000014428,ENSMMUG00000032455,46.6997
ENSGGOG00000025651,ENSMMUG00000004051,48.1481
ENSGGOG00000027010,ENSMMUG00000032538,49.4505
ENSGGOG00000024315,ENSMMUG00000008624,48.5248
ENSGGOG00000016094,ENSMMUG00000011519,1.94805
ENSGGOG00000022407,ENSMMUG00000032354,23.601
ENSGGOG00000025778,ENSMMUG00000032519,50.3145
ENSGGOG00000023141,ENSMMUG00000021739,51.1396
ENSGGOG00000005185,ENSMMUG00000008335,48.8189
ENSGGOG00000028018,ENSMMUG00000004152,49.7835
ENSGGOG00000027785,ENSMMUG00000008760,46.0606
ENSGGOG00000022572,ENSMMUG00000032357,47.2422
ENSGGOG00000016327,ENSMMUG00000032514,47.5728
ENSGGOG00000023005,ENSMMUG00000005304,46.1724
ENSGGOG00000011794,ENSMMUG00000007583,49.7312
ENSGGOG00000023773,ENSMMUG00000002859,48.2587
ENSGGOG00000014762,ENSMMUG00000009050,48.3479
ENSGGOG00000002702,ENSMMUG00000004187,48.5019
ENSGGOG00000022868,ENSMMUG00000010250,45.614
ENSGGOG00000026391,ENSMMUG00000032314,51.9608
ENSGGOG00000014359,ENSMMUG00000013213,47.5728
ENSGGOG00000028166,ENSMMUG00000032506,49.4624
ENSGGOG00000025700,ENSMMUG00000005304,46.6551
ENSGGOG00000027649,ENSMMUG00000032458,47.8261
ENSGGOG00000023415,ENSMMUG00000013213,47.3837
ENSGGOG00000025253,ENSMMUG00000013213,47.4973
ENSGGOG00000012044,ENSMMUG00000009801,48.6667
ENSGGOG00000024194,ENSMMUG00000000719,48.59
ENSGGOG00000002506,ENSMMUG00000013213,49.1803
ENSGGOG00000024783,ENSMMUG00000018807,48.325
ENSGGOG00000025602,ENSMMUG00000015878,49.1453
ENSGGOG00000025806,ENSMMUG00000013213,46.9409
ENSGGOG00000006645,ENSMMUG00000000719,49.3548
ENSGGOG00000000849,ENSMMUG00000016681,47.2637
ENSGGOG00000013031,ENSMMUG00000008622,47.4527
ENSGGOG00000010451,ENSMMUG00000002134,49.6667
ENSGGOG00000028288,ENSMMUG00000011371,30.4556
ENSGGOG00000006710,ENSMMUG00000013590,47.6959
ENSGGOG00000006703,ENSMMUG00000032543,46.712
ENSGGOG00000023290,ENSMMUG00000008622,48.3483
ENSGGOG00000004805,ENSMMUG00000005304,48.0519
ENSGGOG00000007966,ENSMMUG00000032543,46.8531
ENSGGOG00000028585,ENSMMUG00000032434,11.6402
ENSGGOG00000027984,ENSMMUG00000032310,48.2566
ENSGGOG00000027378,ENSMMUG00000008108,48.6486
ENSGGOG00000025613,ENSMMUG00000032507,48.4375
ENSGGOG00000026726,ENSMMUG00000023059,47.9675
ENSGGOG00000022623,ENSMMUG00000001019,47.7056
ENSGGOG00000025668,ENSMMUG00000032378,48.0447
ENSGGOG00000028563,ENSMMUG00000010585,50
ENSGGOG00000022555,ENSMMUG00000032367,49.3827
ENSGGOG00000024743,ENSMMUG00000032533,145.833
ENSGGOG00000022427,ENSMMUG00000032525,48.1481
ENSGGOG00000028282,ENSMMUG00000013213,47.4946
ENSGGOG00000023952,ENSMMUG00000013213,45.7663
ENSGGOG00000023837,ENSMMUG00000018439,50.1134
ENSGGOG00000027931,ENSMMUG00000004154,49.3457
ENSGGOG00000028522,ENSMMUG00000008760,47.3203
ENSGGOG00000022346,ENSMMUG00000014050,49.8732
ENSGGOG00000026675,ENSMMUG00000013931,49.4825
ENSGGOG00000022938,ENSMMUG00000032357,48.2323
ENSGGOG00000000641,ENSMMUG00000006919,25.9563
ENSGGOG00000025199,ENSMMUG00000013415,47.6496
ENSGGOG00000024293,ENSMMUG00000012130,48.4087
ENSGGOG00000007454,ENSMMUG00000032542,48.0519
ENSGGOG00000027906,ENSMMUG00000032536,46.0481
ENSGGOG00000022911,ENSMMUG00000032417,18.7702
ENSGGOG00000016003,ENSMMUG00000032533,53.9683
ENSGGOG00000011132,ENSMMUG00000016469,46.4435
ENSGGOG00000022252,ENSMMUG00000012711,49.3976
ENSGGOG00000022170,ENSMMUG00000013213,46.7519
ENSGGOG00000009331,ENSMMUG00000018997,51.9126
ENSGGOG00000026025,ENSMMUG00000004658,47.9532
ENSGGOG00000023296,ENSMMUG00000032435,49.2492
ENSGGOG00000022578,ENSMMUG00000023726,48.0122
ENSGGOG00000022441,ENSMMUG00000000856,47.9351
ENSGGOG00000002214,ENSMMUG00000016681,48.2363
ENSGGOG00000024719,ENSMMUG00000000673,48.2201
ENSGGOG00000027476,ENSMMUG00000020513,48.2014
ENSGGOG00000025722,ENSMMUG00000032470,48.3461
ENSGGOG00000013318,ENSMMUG00000032316,49.0063
ENSGGOG00000010829,ENSMMUG00000008945,49.1329
ENSGGOG00000028215,ENSMMUG00000032539,48.2906
ENSGGOG00000028594,ENSMMUG00000018997,49.3333
ENSGGOG00000023453,ENSMMUG00000017288,48.5463
ENSGGOG00000023012,ENSMMUG00000013213,45.2308
ENSGGOG00000007127,ENSMMUG00000002986,49.8599
ENSGGOG00000026046,ENSMMUG00000001689,49.8551
ENSGGOG00000012913,ENSMMUG00000032447,48.3165
ENSGGOG00000027363,ENSMMUG00000012073,49.6732
ENSGGOG00000025022,ENSMMUG00000016298,48.1481
ENSGGOG00000009153,ENSMMUG00000015096,48.8574
ENSGGOG00000025340,ENSMMUG00000017406,49.4538
ENSGGOG00000005874,ENSMMUG00000001612,47.5327
ENSGGOG00000016192,ENSMMUG00000004633,48.3471
ENSGGOG00000016192,ENSMMUG00000032446,47.9233
ENSGGOG00000016192,ENSMMUG00000032341,48.0438
ENSGGOG00000015834,ENSMMUG00000018590,48.8818
ENSGGOG00000024071,ENSMMUG00000023059,47.3485
ENSGGOG00000012526,ENSMMUG00000000286,48.5314
ENSGGOG00000025858,ENSMMUG00000013213,46.0722
ENSGGOG00000010526,ENSMMUG00000032391,48.7784
ENSGGOG00000024882,ENSMMUG00000012711,47.5556
ENSGGOG00000025093,ENSMMUG00000014161,48.7745
ENSGGOG00000014070,ENSMMUG00000014935,48.31
ENSGGOG00000005282,ENSMMUG00000003974,49.1393
ENSGGOG00000022131,ENSMMUG00000002729,49.1935
ENSGGOG00000012288,ENSMMUG00000004045,48.2852
ENSGGOG00000015749,ENSMMUG00000001663,48.8776
ENSGGOG00000002314,ENSMMUG00000017243,48.2816
ENSGGOG00000009494,ENSMMUG00000001612,48.1809
ENSGGOG00000007312,ENSMMUG00000016610,48.2759
ENSGGOG00000013493,ENSMMUG00000005507,18.3182
ENSGGOG00000024850,ENSMMUG00000003049,48.8789
ENSGGOG00000023668,ENSMMUG00000002548,49.0446
ENSGGOG00000022382,ENSMMUG00000002986,48.7896
ENSGGOG00000012313,ENSMMUG00000004498,49.7957
ENSGGOG00000012313,ENSMMUG00000011744,49.0123
ENSGGOG00000013046,ENSMMUG00000020695,49.433
ENSGGOG00000006754,ENSMMUG00000014235,48.1886
ENSGGOG00000015717,ENSMMUG00000005304,46.7199
ENSGGOG00000008634,ENSMMUG00000005498,48.1125
ENSGGOG00000001712,ENSMMUG00000003317,48.6627
ENSGGOG00000001712,ENSMMUG00000007668,48.7188
ENSGGOG00000010930,ENSMMUG00000016216,48.6822
ENSGGOG00000007841,ENSMMUG00000015706,48.6191
ENSGGOG00000022136,ENSMMUG00000032512,47.6361
ENSGGOG00000022136,ENSMMUG00000010914,48.2734
ENSGGOG00000025393,ENSMMUG00000022081,48.5577
ENSGGOG00000016723,ENSMMUG00000001019,47.8428
ENSGGOG00000010228,ENSMMUG00000010471,48.7395
ENSGGOG00000004414,ENSMMUG00000014916,49.6678
ENSGGOG00000004414,ENSMMUG00000014916,49.7364
ENSGGOG00000024270,ENSMMUG00000018769,48.6279
ENSGGOG00000014343,ENSMMUG00000005304,45.0593
ENSGGOG00000014343,ENSMMUG00000005304,45.3361
ENSGGOG00000002249,ENSMMUG00000011497,48.8436
ENSGGOG00000009561,ENSMMUG00000000466,49.7248
ENSGGOG00000009561,ENSMMUG00000000466,49.6743
ENSGGOG00000016654,ENSMMUG00000008566,38.2051
ENSGGOG00000011998,ENSMMUG00000023099,47.6089
ENSGGOG00000011998,ENSMMUG00000023099,47.2192
ENSGGOG00000023876,ENSMMUG00000001612,47.6744
ENSGGOG00000004582,ENSMMUG00000004382,48.8067
ENSGGOG00000004582,ENSMMUG00000032510,49.4232
ENSGGOG00000012559,ENSMMUG00000005304,46.9936
ENSGGOG00000001312,ENSMMUG00000012987,8.85786
ENSGGOG00000010913,ENSMMUG00000002592,48.3973
ENSGGOG00000003736,ENSMMUG00000010404,47.8301
ENSGGOG00000009530,ENSMMUG00000014916,49.4636
ENSGGOG00000026899,ENSMMUG00000008760,46.2406
ENSGGOG00000026899,ENSMMUG00000009476,46.4451
ENSGGOG00000023227,ENSMMUG00000013327,35.8025
ENSGGOG00000003731,ENSMMUG00000003374,48.5849
ENSGGOG00000008020,ENSMMUG00000010617,48.2787
ENSGGOG00000008020,ENSMMUG00000017290,47.9961
ENSGGOG00000005746,ENSMMUG00000000323,48.2896
ENSGGOG00000005746,ENSMMUG00000007514,48.4004
ENSGGOG00000001069,ENSMMUG00000003745,48.7906
ENSGGOG00000008052,ENSMMUG00000004408,48.8649
ENSGGOG00000013589,ENSMMUG00000005505,47.8741
ENSGGOG00000014752,ENSMMUG00000014606,49.5833
ENSGGOG00000034932,ENSMMUG00000012711,16.6667
ENSGGOG00000002578,ENSMMUG00000013667,49.2775
ENSGGOG00000006311,ENSMMUG00000015951,48.8095
ENSGGOG00000006311,ENSMMUG00000003302,49.0937
ENSGGOG00000002309,ENSMMUG00000022663,49.2528
ENSGGOG00000016306,ENSMMUG00000002134,49.3928
ENSGGOG00000024790,ENSMMUG00000019525,50.8475
ENSGGOG00000014989,ENSMMUG00000022097,49.0628
ENSGGOG00000014989,ENSMMUG00000013603,48.3757
ENSGGOG00000006837,ENSMMUG00000021412,48.7938
ENSGGOG00000025378,ENSMMUG00000019580,47.3248
ENSGGOG00000008342,ENSMMUG00000009015,48.3113
ENSGGOG00000001091,ENSMMUG00000006193,47.9481
ENSGGOG00000001091,ENSMMUG00000000286,47.9801
ENSGGOG00000006504,ENSMMUG00000002210,48.3766
ENSGGOG00000023513,ENSMMUG00000032507,49.7312
ENSGGOG00000024432,ENSMMUG00000007601,49.0857
ENSGGOG00000014326,ENSMMUG00000017277,49.1051
ENSGGOG00000014326,ENSMMUG00000011474,48.3668
ENSGGOG00000012522,ENSMMUG00000022574,48.6935
ENSGGOG00000012522,ENSMMUG00000022574,48.6594
ENSGGOG00000004131,ENSMMUG00000014606,49.0645
ENSGGOG00000027201,ENSMMUG00000004046,49.3171
ENSGGOG00000010362,ENSMMUG00000013753,48.9927
ENSGGOG00000010362,ENSMMUG00000013753,48.6315
ENSGGOG00000000304,ENSMMUG00000012739,48.9861
ENSGGOG00000000304,ENSMMUG00000017288,47.7715
ENSGGOG00000021952,ENSMMUG00000019525,48.8506
ENSGGOG00000003136,ENSMMUG00000010580,40.6165
ENSGGOG00000003136,ENSMMUG00000010580,38.9693
ENSGGOG00000025400,ENSMMUG00000009015,48.3709
ENSGGOG00000025400,ENSMMUG00000009015,48.0491
ENSGGOG00000013834,ENSMMUG00000032492,47.0639
ENSGGOG00000013834,ENSMMUG00000012775,48.7527
ENSGGOG00000009668,ENSMMUG00000012743,48.6212
ENSGGOG00000009668,ENSMMUG00000012743,48.6706
ENSGGOG00000003259,ENSMMUG00000005304,45.4383
ENSGGOG00000003259,ENSMMUG00000005304,45.6305
ENSGGOG00000023870,ENSMMUG00000007514,48.2839
ENSGGOG00000023870,ENSMMUG00000009151,48.5579
ENSGGOG00000023870,ENSMMUG00000019534,46.8153
ENSGGOG00000027838,ENSMMUG00000021478,47.8607
ENSGGOG00000027137,ENSMMUG00000023021,47.6825
ENSGGOG00000027137,ENSMMUG00000010585,46.2824
ENSGGOG00000012466,ENSMMUG00000022138,46.7463
ENSGGOG00000012466,ENSMMUG00000010618,48.2843
ENSGGOG00000004537,ENSMMUG00000022138,48.3213
ENSGGOG00000006828,ENSMMUG00000011507,48.2951
ENSGGOG00000015666,ENSMMUG00000013179,48.0635
ENSGGOG00000016631,ENSMMUG00000018895,48.9302
ENSGGOG00000016631,ENSMMUG00000010402,48.3139
ENSGGOG00000012817,ENSMMUG00000014254,48.8543
ENSGGOG00000003776,ENSMMUG00000019432,49.5443
ENSGGOG00000013708,ENSMMUG00000005304,48.2049
ENSGGOG00000009450,ENSMMUG00000012746,47.5275
ENSGGOG00000009450,ENSMMUG00000000286,46.9313
ENSGGOG00000010255,ENSMMUG00000003368,48.7839
ENSGGOG00000014394,ENSMMUG00000018066,50
ENSGGOG00000010848,ENSMMUG00000018703,48.0507
ENSGGOG00000005921,ENSMMUG00000000551,50
ENSGGOG00000001478,ENSMMUG00000000323,48.1657
ENSGGOG00000005882,ENSMMUG00000023574,48.7965
ENSGGOG00000026926,ENSMMUG00000016674,48.3832
ENSGGOG00000028054,ENSMMUG00000004744,48.7377
ENSGGOG00000012401,ENSMMUG00000014935,48.3642
ENSGGOG00000012401,ENSMMUG00000007515,48.4774
ENSGGOG00000004676,ENSMMUG00000016681,43.8743
ENSGGOG00000006838,ENSMMUG00000010404,45.1881
ENSGGOG00000010959,ENSMMUG00000000323,49.3496
ENSGGOG00000002206,ENSMMUG00000013179,47.0238
ENSGGOG00000001326,ENSMMUG00000022001,48.8463
ENSGGOG00000001326,ENSMMUG00000022638,50
ENSGGOG00000007029,ENSMMUG00000032322,48.7398
ENSGGOG00000028322,ENSMMUG00000014161,48.0813
ENSGGOG00000012834,ENSMMUG00000004274,49.5485
ENSGGOG00000028007,ENSMMUG00000009050,48.5092
ENSGGOG00000028007,ENSMMUG00000008624,48.25
ENSGGOG00000027332,ENSMMUG00000032408,48.4765
ENSGGOG00000017143,ENSMMUG00000017405,47.9513
ENSGGOG00000026269,ENSMMUG00000032542,49.1018
ENSGGOG00000001070,ENSMMUG00000005264,49.6929
ENSGGOG00000001070,ENSMMUG00000012894,49.5517
ENSGGOG00000014852,ENSMMUG00000012622,48.8571
ENSGGOG00000000842,ENSMMUG00000008209,49.4737
ENSGGOG00000003331,ENSMMUG00000007162,48.8879
ENSGGOG00000006202,ENSMMUG00000015609,48.2944
ENSGGOG00000021956,ENSMMUG00000032390,49.2958
ENSGGOG00000021956,ENSMMUG00000001620,47.9036
ENSGGOG00000025079,ENSMMUG00000006377,49.203
ENSGGOG00000025079,ENSMMUG00000021412,48.9936
ENSGGOG00000004995,ENSMMUG00000005304,47.3154
ENSGGOG00000001083,ENSMMUG00000013179,45.509
ENSGGOG00000001083,ENSMMUG00000013179,45.9916
ENSGGOG00000025646,ENSMMUG00000018997,47.8873
ENSGGOG00000015635,ENSMMUG00000009476,46.6608
ENSGGOG00000025652,ENSMMUG00000032533,60.7843
ENSGGOG00000004169,ENSMMUG00000012894,50.2713
ENSGGOG00000004169,ENSMMUG00000010617,48.6172
ENSGGOG00000010082,ENSMMUG00000011498,49.2284
ENSGGOG00000010082,ENSMMUG00000011498,49.1458
ENSGGOG00000016381,ENSMMUG00000015706,47.7099
ENSGGOG00000027377,ENSMMUG00000019410,48.9082
ENSGGOG00000004273,ENSMMUG00000009249,49.0274
ENSGGOG00000008606,ENSMMUG00000017277,48.308
ENSGGOG00000010257,ENSMMUG00000022097,48.4838
ENSGGOG00000000513,ENSMMUG00000016492,49.4943
ENSGGOG00000000513,ENSMMUG00000021851,48.022
ENSGGOG00000016735,ENSMMUG00000023574,49.037
ENSGGOG00000006624,ENSMMUG00000009476,47.9969
ENSGGOG00000006624,ENSMMUG00000009476,47.874
ENSGGOG00000006624,ENSMMUG00000003561,48.2325
ENSGGOG00000006624,ENSMMUG00000032492,47.2464
ENSGGOG00000006624,ENSMMUG00000002023,48.2122
ENSGGOG00000006624,ENSMMUG00000004960,48.0026
ENSGGOG00000006624,ENSMMUG00000009476,47.3154
ENSGGOG00000000082,ENSMMUG00000007514,48.4073
ENSGGOG00000000082,ENSMMUG00000007514,48.5218
ENSGGOG00000005168,ENSMMUG00000032498,48.1481
ENSGGOG00000012922,ENSMMUG00000019383,48.7234
ENSGGOG00000012922,ENSMMUG00000019383,48.6486
ENSGGOG00000001404,ENSMMUG00000010402,49.2713
ENSGGOG00000015319,ENSMMUG00000005304,47.6554
ENSGGOG00000015319,ENSMMUG00000013708,47.9971
ENSGGOG00000034939,ENSMMUG00000006192,48.7923
ENSGGOG00000008718,ENSMMUG00000010404,49.1674
ENSGGOG00000010925,ENSMMUG00000012744,49.1535
ENSGGOG00000016173,ENSMMUG00000005304,46.888
ENSGGOG00000015441,ENSMMUG00000009013,48.0018
ENSGGOG00000005563,ENSMMUG00000022399,49.4168
ENSGGOG00000005563,ENSMMUG00000006377,49.3603
ENSGGOG00000017107,ENSMMUG00000008751,49.3913
ENSGGOG00000024843,ENSMMUG00000010585,47.2441
ENSGGOG00000025351,ENSMMUG00000014506,49.1379
ENSGGOG00000025351,ENSMMUG00000022873,49.5274
ENSGGOG00000009223,ENSMMUG00000002447,48.7453
ENSGGOG00000027616,ENSMMUG00000022097,48.8181
ENSGGOG00000027616,ENSMMUG00000022097,48.7481
ENSGGOG00000003361,ENSMMUG00000005453,48.5046
ENSGGOG00000008125,ENSMMUG00000019054,44.9714
ENSGGOG00000008125,ENSMMUG00000019054,46.0739
ENSGGOG00000024612,ENSMMUG00000015264,49.0246
ENSGGOG00000009905,ENSMMUG00000013678,49.1071
ENSGGOG00000011722,ENSMMUG00000003136,48.7273
ENSGGOG00000007667,ENSMMUG00000016216,49.0385
ENSGGOG00000003533,ENSMMUG00000022574,47.7841
ENSGGOG00000003533,ENSMMUG00000022574,47.6452
ENSGGOG00000008196,ENSMMUG00000013603,48.6418
ENSGGOG00000008196,ENSMMUG00000012849,48.1611
ENSGGOG00000027577,ENSMMUG00000013607,48.7476
ENSGGOG00000001431,ENSMMUG00000011154,49.6488
ENSGGOG00000022325,ENSMMUG00000007584,48.4848
ENSGGOG00000025069,ENSMMUG00000013162,49.3641
ENSGGOG00000025069,ENSMMUG00000032316,49.8603
ENSGGOG00000009778,ENSMMUG00000032454,50.613
ENSGGOG00000015236,ENSMMUG00000020201,49.9462
ENSGGOG00000011546,ENSMMUG00000007583,47.3829
ENSGGOG00000005626,ENSMMUG00000008623,46.9993
ENSGGOG00000005626,ENSMMUG00000012739,47.7352
ENSGGOG00000014937,ENSMMUG00000011466,48.8623
ENSGGOG00000010545,ENSMMUG00000012899,48.7151
ENSGGOG00000004730,ENSMMUG00000000323,47.5854
ENSGGOG00000006436,ENSMMUG00000016290,49.2133
ENSGGOG00000006436,ENSMMUG00000016290,49.2326
ENSGGOG00000015307,ENSMMUG00000000286,48.1622
ENSGGOG00000015307,ENSMMUG00000000286,48.6546
ENSGGOG00000010993,ENSMMUG00000019663,49.1773
ENSGGOG00000015979,ENSMMUG00000018844,48.4111
ENSGGOG00000011054,ENSMMUG00000012739,49.1134
ENSGGOG00000023887,ENSMMUG00000032315,49.6249
ENSGGOG00000000118,ENSMMUG00000016674,48.8055
ENSGGOG00000014572,ENSMMUG00000016110,49.0139
ENSGGOG00000014572,ENSMMUG00000011104,49.278
ENSGGOG00000012898,ENSMMUG00000022574,49.0917
ENSGGOG00000015193,ENSMMUG00000001612,48.8479
ENSGGOG00000015734,ENSMMUG00000003317,49.4027
ENSGGOG00000015734,ENSMMUG00000023016,49.3394
ENSGGOG00000007261,ENSMMUG00000032486,47.8916
ENSGGOG00000007261,ENSMMUG00000004010,48.0051
ENSGGOG00000028211,ENSMMUG00000022081,48.0514
ENSGGOG00000022524,ENSMMUG00000001017,27.8912
ENSGGOG00000022289,ENSMMUG00000004187,48.1928
ENSGGOG00000025865,ENSMMUG00000017277,47.4835
ENSGGOG00000026142,ENSMMUG00000018480,50
ENSGGOG00000015172,ENSMMUG00000004198,49.5718
ENSGGOG00000028534,ENSMMUG00000023060,49.2783
ENSGGOG00000011399,ENSMMUG00000018997,50
ENSGGOG00000007609,ENSMMUG00000032536,50.4065
ENSGGOG00000007609,ENSMMUG00000019420,49.7222
ENSGGOG00000000301,ENSMMUG00000001093,49.5495
ENSGGOG00000006571,ENSMMUG00000017276,48.398
ENSGGOG00000001407,ENSMMUG00000032316,48.0101
ENSGGOG00000001407,ENSMMUG00000032572,48.4199
ENSGGOG00000027802,ENSMMUG00000032496,49.2308
ENSGGOG00000008282,ENSMMUG00000020743,48.9362
ENSGGOG00000013016,ENSMMUG00000012702,49.0755
ENSGGOG00000013016,ENSMMUG00000012772,48.9796
ENSGGOG00000014709,ENSMMUG00000017277,49.0798
ENSGGOG00000014709,ENSMMUG00000013708,48.4915
ENSGGOG00000022011,ENSMMUG00000020530,48.5172
ENSGGOG00000013533,ENSMMUG00000022704,49.1827
ENSGGOG00000013533,ENSMMUG00000010227,49.2001
ENSGGOG00000027092,ENSMMUG00000012987,48.0726
ENSGGOG00000016873,ENSMMUG00000019338,46.6504
ENSGGOG00000023161,ENSMMUG00000032533,62.963
ENSGGOG00000016972,ENSMMUG00000000286,50.1606
ENSGGOG00000016972,ENSMMUG00000018435,48.3385
ENSGGOG00000013841,ENSMMUG00000013938,46.7862
ENSGGOG00000009204,ENSMMUG00000023021,48.7842
ENSGGOG00000004181,ENSMMUG00000009476,45.1444
ENSGGOG00000004616,ENSMMUG00000006193,49.1485
ENSGGOG00000002610,ENSMMUG00000018703,48.8867
