gorilla_gorilla,homo_sapiens
ENSGGOG00000014428,ENSG00000263079,47.6898
ENSGGOG00000025651,ENSG00000138068,56.2963
ENSGGOG00000027010,ENSG00000187238,50.9158
ENSGGOG00000024315,ENSG00000196504,48.3365
ENSGGOG00000016094,ENSG00000175182,49.2424
ENSGGOG00000022407,ENSG00000187238,47.2019
ENSGGOG00000025778,ENSG00000187238,49.0566
ENSGGOG00000023141,ENSG00000198695,44.8718
ENSGGOG00000005185,ENSG00000136541,49.2126
ENSGGOG00000028018,ENSG00000156931,50.2165
ENSGGOG00000027785,ENSG00000261042,46.303
ENSGGOG00000022572,ENSG00000143450,48.4412
ENSGGOG00000016327,ENSG00000226894,48.8673
ENSGGOG00000023005,ENSG00000260155,47.4985
ENSGGOG00000011794,ENSG00000187238,47.043
ENSGGOG00000023773,ENSG00000163157,48.2587
ENSGGOG00000014762,ENSG00000172932,48.4154
ENSGGOG00000002702,ENSG00000135454,49.0637
ENSGGOG00000022868,ENSG00000143442,50.8772
ENSGGOG00000026391,ENSG00000231145,62.7451
ENSGGOG00000014359,ENSG00000231192,43.3657
ENSGGOG00000028166,ENSG00000262525,1.50538
ENSGGOG00000025700,ENSG00000257961,47.5779
ENSGGOG00000027649,ENSG00000257370,49.5652
ENSGGOG00000023415,ENSG00000230178,40.407
ENSGGOG00000025253,ENSG00000230178,41.2141
ENSGGOG00000012044,ENSG00000262393,12.5556
ENSGGOG00000024194,ENSG00000159352,48.8069
ENSGGOG00000002506,ENSG00000230178,40.8743
ENSGGOG00000024783,ENSG00000189056,48.66
ENSGGOG00000025602,ENSG00000228253,49.1453
ENSGGOG00000025806,ENSG00000196578,44.6203
ENSGGOG00000006645,ENSG00000262525,17.2043
ENSGGOG00000000849,ENSG00000198854,48.3582
ENSGGOG00000013031,ENSG00000260155,16.3028
ENSGGOG00000010451,ENSG00000261993,12.4444
ENSGGOG00000028288,ENSG00000260717,49.1607
ENSGGOG00000006710,ENSG00000172932,47.6959
ENSGGOG00000006703,ENSG00000255738,47.1655
ENSGGOG00000023290,ENSG00000172531,46.6967
ENSGGOG00000004805,ENSG00000175182,48.6085
ENSGGOG00000007966,ENSG00000145012,49.6503
ENSGGOG00000028585,ENSG00000187238,48.9418
ENSGGOG00000027984,ENSG00000261236,47.5593
ENSGGOG00000027378,ENSG00000198130,48.8739
ENSGGOG00000025613,ENSG00000187238,48.4375
ENSGGOG00000026726,ENSG00000169469,50
ENSGGOG00000022623,ENSG00000198854,48.5714
ENSGGOG00000025668,ENSG00000227268,1.30354
ENSGGOG00000028563,ENSG00000228804,50
ENSGGOG00000022555,ENSG00000018699,49.6914
ENSGGOG00000024743,ENSG00000231145,125
ENSGGOG00000022427,ENSG00000255738,49.3056
ENSGGOG00000028282,ENSG00000196578,40.8497
ENSGGOG00000023952,ENSG00000196578,40.6217
ENSGGOG00000023837,ENSG00000257448,49.2063
ENSGGOG00000027931,ENSG00000075790,49.1917
ENSGGOG00000028522,ENSG00000262972,47.0588
ENSGGOG00000022346,ENSG00000136560,49.2136
ENSGGOG00000026675,ENSG00000203783,49.7413
ENSGGOG00000022938,ENSG00000105835,48.7374
ENSGGOG00000000641,ENSG00000090520,50.2732
ENSGGOG00000025199,ENSG00000172155,48.2906
ENSGGOG00000024293,ENSG00000178796,48.2412
ENSGGOG00000007454,ENSG00000143375,48.2684
ENSGGOG00000027906,ENSG00000185962,49.4845
ENSGGOG00000022911,ENSG00000154175,50.1618
ENSGGOG00000016003,ENSG00000213953,57.1429
ENSGGOG00000011132,ENSG00000263138,47.4895
ENSGGOG00000022252,ENSG00000228253,51.4056
ENSGGOG00000022170,ENSG00000233412,43.344
ENSGGOG00000009331,ENSG00000138068,53.0055
ENSGGOG00000026025,ENSG00000138068,53.2164
ENSGGOG00000023296,ENSG00000187238,47.1471
ENSGGOG00000022578,ENSG00000143363,48.318
ENSGGOG00000022441,ENSG00000143379,47.9351
ENSGGOG00000002214,ENSG00000198854,47.9718
ENSGGOG00000024719,ENSG00000168542,49.1909
ENSGGOG00000027476,ENSG00000228804,48.6811
ENSGGOG00000025722,ENSG00000118997,48.6005
ENSGGOG00000013318,ENSG00000260164,49.0063
ENSGGOG00000010829,ENSG00000135454,47.9769
ENSGGOG00000028215,ENSG00000169469,48.7179
ENSGGOG00000028594,ENSG00000138068,51.5556
ENSGGOG00000023453,ENSG00000262872,46.0446
ENSGGOG00000023012,ENSG00000206536,41.3333
ENSGGOG00000007127,ENSG00000169474,50.4202
ENSGGOG00000026046,ENSG00000138449,51.0145
ENSGGOG00000012913,ENSG00000143442,49.1582
ENSGGOG00000027363,ENSG00000260873,50.6536
ENSGGOG00000025022,ENSG00000138068,55.5556
ENSGGOG00000009153,ENSG00000261323,49.409
ENSGGOG00000025340,ENSG00000163216,49.3545
ENSGGOG00000005874,ENSG00000263138,47.5327
ENSGGOG00000016192,ENSG00000261893,44.7314
ENSGGOG00000016192,ENSG00000261893,44.4622
ENSGGOG00000016192,ENSG00000262770,48.5133
ENSGGOG00000015834,ENSG00000173933,49.0948
ENSGGOG00000024071,ENSG00000169469,50.7576
ENSGGOG00000012526,ENSG00000172508,48.2198
ENSGGOG00000025858,ENSG00000231192,44.0552
ENSGGOG00000010526,ENSG00000173914,49.3019
ENSGGOG00000024882,ENSG00000228253,45.7778
ENSGGOG00000025093,ENSG00000257814,49.7549
ENSGGOG00000014070,ENSG00000115841,49.0093
ENSGGOG00000005282,ENSG00000143365,49.2368
ENSGGOG00000022131,ENSG00000169474,49.4624
ENSGGOG00000012288,ENSG00000262327,48.9929
ENSGGOG00000015749,ENSG00000119787,48.8352
ENSGGOG00000002314,ENSG00000187939,49.3713
ENSGGOG00000009494,ENSG00000135454,48.0826
ENSGGOG00000007312,ENSG00000115841,49.3208
ENSGGOG00000013493,ENSG00000260383,47.5606
ENSGGOG00000024850,ENSG00000162980,48.3707
ENSGGOG00000023668,ENSG00000258664,49.4692
ENSGGOG00000022382,ENSG00000178796,48.2309
ENSGGOG00000012313,ENSG00000262606,49.7957
ENSGGOG00000012313,ENSG00000115271,49.0123
ENSGGOG00000013046,ENSG00000260178,48.9733
ENSGGOG00000006754,ENSG00000064933,48.1024
ENSGGOG00000015717,ENSG00000261698,47.8038
ENSGGOG00000008634,ENSG00000172531,45.0777
ENSGGOG00000001712,ENSG00000036054,48.6854
ENSGGOG00000001712,ENSG00000064933,48.2126
ENSGGOG00000010930,ENSG00000196504,49.3023
ENSGGOG00000007841,ENSG00000173020,48.6191
ENSGGOG00000022136,ENSG00000115841,48.0551
ENSGGOG00000022136,ENSG00000128699,48.4848
ENSGGOG00000025393,ENSG00000153237,49.0385
ENSGGOG00000016723,ENSG00000258865,48.3221
ENSGGOG00000010228,ENSG00000261508,48.5154
ENSGGOG00000004414,ENSG00000173599,49.3552
ENSGGOG00000004414,ENSG00000173599,49.5216
ENSGGOG00000024270,ENSG00000119787,48.2986
ENSGGOG00000014343,ENSG00000260155,45.6804
ENSGGOG00000014343,ENSG00000261678,46.5706
ENSGGOG00000002249,ENSG00000263141,49.1599
ENSGGOG00000009561,ENSG00000118997,49.1876
ENSGGOG00000009561,ENSG00000118997,49.3132
ENSGGOG00000016654,ENSG00000262578,35.3846
ENSGGOG00000011998,ENSG00000143367,48.406
ENSGGOG00000011998,ENSG00000259919,48.9095
ENSGGOG00000023876,ENSG00000163216,47.4806
ENSGGOG00000004582,ENSG00000136560,49.2442
ENSGGOG00000004582,ENSG00000091140,49.377
ENSGGOG00000012559,ENSG00000173621,47.4022
ENSGGOG00000001312,ENSG00000136536,48.7297
ENSGGOG00000010913,ENSG00000261587,48.4498
ENSGGOG00000003736,ENSG00000259816,47.0953
ENSGGOG00000009530,ENSG00000260245,49.7562
ENSGGOG00000026899,ENSG00000172531,47.3684
ENSGGOG00000026899,ENSG00000261577,47.6454
ENSGGOG00000023227,ENSG00000262578,31.8519
ENSGGOG00000003731,ENSG00000263250,48.3491
ENSGGOG00000008020,ENSG00000261132,47.8736
ENSGGOG00000008020,ENSG00000173227,48.0444
ENSGGOG00000005746,ENSG00000257339,48.0147
ENSGGOG00000005746,ENSG00000238035,48.0836
ENSGGOG00000001069,ENSG00000135241,48.9985
ENSGGOG00000008052,ENSG00000080822,47.7838
ENSGGOG00000013589,ENSG00000128536,48.4694
ENSGGOG00000014752,ENSG00000144366,49.6569
ENSGGOG00000034932,ENSG00000115271,48.1838
ENSGGOG00000002578,ENSG00000174206,48.8801
ENSGGOG00000006311,ENSG00000175182,48.5931
ENSGGOG00000006311,ENSG00000143409,49.3454
ENSGGOG00000002309,ENSG00000262145,48.1481
ENSGGOG00000016306,ENSG00000105856,49.534
ENSGGOG00000024790,ENSG00000263040,49.7175
ENSGGOG00000014989,ENSG00000153237,48.997
ENSGGOG00000014989,ENSG00000115252,48.8845
ENSGGOG00000006837,ENSG00000138386,48.4297
ENSGGOG00000025378,ENSG00000118600,48.5691
ENSGGOG00000008342,ENSG00000143418,47.8708
ENSGGOG00000001091,ENSG00000260716,47.1351
ENSGGOG00000001091,ENSG00000260716,47.4826
ENSGGOG00000006504,ENSG00000261378,48.3766
ENSGGOG00000023513,ENSG00000185962,49.4624
ENSGGOG00000024432,ENSG00000064933,48.9781
ENSGGOG00000014326,ENSG00000143365,48.8069
ENSGGOG00000014326,ENSG00000261967,49.1625
ENSGGOG00000012522,ENSG00000118997,48.6094
ENSGGOG00000012522,ENSG00000061987,48.949
ENSGGOG00000004131,ENSG00000136536,49.2049
ENSGGOG00000027201,ENSG00000196504,49.393
ENSGGOG00000010362,ENSG00000061987,48.9726
ENSGGOG00000010362,ENSG00000144366,48.8095
ENSGGOG00000000304,ENSG00000163207,48.4692
ENSGGOG00000000304,ENSG00000159352,49.2781
ENSGGOG00000021952,ENSG00000260873,47.7011
ENSGGOG00000003136,ENSG00000260320,46.9984
ENSGGOG00000003136,ENSG00000260320,47.5391
ENSGGOG00000025400,ENSG00000261236,48.1203
ENSGGOG00000025400,ENSG00000261297,47.8261
ENSGGOG00000013834,ENSG00000261587,47.323
ENSGGOG00000013834,ENSG00000166148,48.59
ENSGGOG00000009668,ENSG00000174669,48.1858
ENSGGOG00000009668,ENSG00000260789,48.3752
ENSGGOG00000003259,ENSG00000261678,46.3924
ENSGGOG00000003259,ENSG00000261678,46.1923
ENSGGOG00000023870,ENSG00000261967,45.2183
ENSGGOG00000023870,ENSG00000261967,45.0288
ENSGGOG00000023870,ENSG00000260596,47.6645
ENSGGOG00000027838,ENSG00000123297,48.5572
ENSGGOG00000027137,ENSG00000261678,48.3175
ENSGGOG00000027137,ENSG00000260313,47.5355
ENSGGOG00000012466,ENSG00000261587,47.2776
ENSGGOG00000012466,ENSG00000196805,48.0392
ENSGGOG00000004537,ENSG00000169474,48.0815
ENSGGOG00000006828,ENSG00000262249,48.4342
ENSGGOG00000015666,ENSG00000260376,47.4921
ENSGGOG00000016631,ENSG00000263290,48.8176
ENSGGOG00000016631,ENSG00000261417,48.703
ENSGGOG00000012817,ENSG00000128641,49.5401
ENSGGOG00000003776,ENSG00000261163,49.3384
ENSGGOG00000013708,ENSG00000260596,48.0465
ENSGGOG00000009450,ENSG00000090539,47.8938
ENSGGOG00000009450,ENSG00000263310,47.3876
ENSGGOG00000010255,ENSG00000259956,49.3472
ENSGGOG00000014394,ENSG00000138068,49.3333
ENSGGOG00000010848,ENSG00000173621,47.4401
ENSGGOG00000005921,ENSG00000136560,49.1247
ENSGGOG00000001478,ENSG00000172830,47.8107
ENSGGOG00000005882,ENSG00000091137,48.7965
ENSGGOG00000026926,ENSG00000144366,48.4556
ENSGGOG00000028054,ENSG00000261236,49.1767
ENSGGOG00000012401,ENSG00000266093,49.0043
ENSGGOG00000012401,ENSG00000163209,48.9712
ENSGGOG00000004676,ENSG00000154165,49.4548
ENSGGOG00000006838,ENSG00000262562,45.7875
ENSGGOG00000010959,ENSG00000172508,49.6263
ENSGGOG00000002206,ENSG00000260155,46.6071
ENSGGOG00000001326,ENSG00000262742,48.7973
ENSGGOG00000001326,ENSG00000206536,48.2008
ENSGGOG00000007029,ENSG00000105865,48.7398
ENSGGOG00000028322,ENSG00000080822,49.4357
ENSGGOG00000012834,ENSG00000073803,49.7893
ENSGGOG00000028007,ENSG00000261042,48.0833
ENSGGOG00000028007,ENSG00000175182,48.0625
ENSGGOG00000027332,ENSG00000233412,48.4765
ENSGGOG00000017143,ENSG00000115415,47.7298
ENSGGOG00000026269,ENSG00000172155,48.7026
ENSGGOG00000001070,ENSG00000061987,49.2097
ENSGGOG00000001070,ENSG00000182389,49.3784
ENSGGOG00000014852,ENSG00000143452,48.9388
ENSGGOG00000000842,ENSG00000163216,49.2632
ENSGGOG00000003331,ENSG00000135454,49.1103
ENSGGOG00000006202,ENSG00000115841,48.0072
ENSGGOG00000021956,ENSG00000123297,48.2629
ENSGGOG00000021956,ENSG00000143390,48.6373
ENSGGOG00000025079,ENSG00000257679,48.9904
ENSGGOG00000025079,ENSG00000115252,49.0338
ENSGGOG00000004995,ENSG00000260376,47.1141
ENSGGOG00000001083,ENSG00000261678,45.8417
ENSGGOG00000001083,ENSG00000260376,46.8354
ENSGGOG00000025646,ENSG00000156931,49.2958
ENSGGOG00000015635,ENSG00000261155,47.0123
ENSGGOG00000025652,ENSG00000213953,58.8235
ENSGGOG00000004169,ENSG00000115808,50.2505
ENSGGOG00000004169,ENSG00000261297,48.1363
ENSGGOG00000010082,ENSG00000262022,48.7049
ENSGGOG00000010082,ENSG00000262022,48.5529
ENSGGOG00000016381,ENSG00000260789,47.8372
ENSGGOG00000027377,ENSG00000233280,1.03311
ENSGGOG00000004273,ENSG00000143536,49.0716
ENSGGOG00000008606,ENSG00000261539,47.6704
ENSGGOG00000010257,ENSG00000143520,48.9832
ENSGGOG00000000513,ENSG00000105851,49.6594
ENSGGOG00000000513,ENSG00000135454,47.5824
ENSGGOG00000016735,ENSG00000136560,48.9849
ENSGGOG00000006624,ENSG00000260789,46.9756
ENSGGOG00000006624,ENSG00000260789,46.8504
ENSGGOG00000006624,ENSG00000260789,47.2899
ENSGGOG00000006624,ENSG00000261155,47.2464
ENSGGOG00000006624,ENSG00000260873,48.3276
ENSGGOG00000006624,ENSG00000261933,48.592
ENSGGOG00000006624,ENSG00000260789,46.7282
ENSGGOG00000000082,ENSG00000172830,48.05
ENSGGOG00000000082,ENSG00000257961,47.9427
ENSGGOG00000005168,ENSG00000244057,47.9532
ENSGGOG00000012922,ENSG00000115267,49.0747
ENSGGOG00000012922,ENSG00000115267,49.0043
ENSGGOG00000001404,ENSG00000143436,48.855
ENSGGOG00000015319,ENSG00000173621,48.0916
ENSGGOG00000015319,ENSG00000238035,47.6395
ENSGGOG00000034939,ENSG00000153237,49.4364
ENSGGOG00000008718,ENSG00000168386,48.7436
ENSGGOG00000010925,ENSG00000113966,49.0989
ENSGGOG00000016173,ENSG00000173653,48.1921
ENSGGOG00000015441,ENSG00000260383,47.6426
ENSGGOG00000005563,ENSG00000135241,49.0365
ENSGGOG00000005563,ENSG00000135241,48.9765
ENSGGOG00000017107,ENSG00000261577,48.9441
ENSGGOG00000024843,ENSG00000257436,48.294
ENSGGOG00000025351,ENSG00000260150,49.8986
ENSGGOG00000025351,ENSG00000266093,49.9055
ENSGGOG00000009223,ENSG00000055332,48.6919
ENSGGOG00000027616,ENSG00000123636,48.8084
ENSGGOG00000027616,ENSG00000123636,49.1369
ENSGGOG00000003361,ENSG00000157005,48.2445
ENSGGOG00000008125,ENSG00000115165,49.5429
ENSGGOG00000008125,ENSG00000175182,49.4226
ENSGGOG00000024612,ENSG00000187939,48.6853
ENSGGOG00000009905,ENSG00000128536,49.9107
ENSGGOG00000011722,ENSG00000261698,49.3333
ENSGGOG00000007667,ENSG00000173156,48.8782
ENSGGOG00000003533,ENSG00000061987,49.1843
ENSGGOG00000003533,ENSG00000054219,49.0694
ENSGGOG00000008196,ENSG00000136536,48.678
ENSGGOG00000008196,ENSG00000091140,48.3546
ENSGGOG00000027577,ENSG00000264886,48.5549
ENSGGOG00000001431,ENSG00000182134,49.5364
ENSGGOG00000022325,ENSG00000018699,50.303
ENSGGOG00000025069,ENSG00000163207,49.1653
ENSGGOG00000025069,ENSG00000143536,49.7207
ENSGGOG00000009778,ENSG00000261539,47.986
ENSGGOG00000015236,ENSG00000259919,50.0538
ENSGGOG00000011546,ENSG00000172155,33.0579
ENSGGOG00000005626,ENSG00000257961,46.7202
ENSGGOG00000005626,ENSG00000261297,47.4255
ENSGGOG00000014937,ENSG00000261297,48.2236
ENSGGOG00000010545,ENSG00000257679,48.1684
ENSGGOG00000004730,ENSG00000172508,48.3804
ENSGGOG00000006436,ENSG00000260220,49.5047
ENSGGOG00000006436,ENSG00000260220,49.3774
ENSGGOG00000015307,ENSG00000263310,47.7186
ENSGGOG00000015307,ENSG00000263310,48.2932
ENSGGOG00000010993,ENSG00000163207,49.0651
ENSGGOG00000015979,ENSG00000065548,48.6465
ENSGGOG00000011054,ENSG00000261132,49.4021
ENSGGOG00000023887,ENSG00000163216,49.3033
ENSGGOG00000000118,ENSG00000144366,48.1684
ENSGGOG00000014572,ENSG00000260164,48.9915
ENSGGOG00000014572,ENSG00000143442,49.5616
ENSGGOG00000012898,ENSG00000115145,48.6517
ENSGGOG00000015193,ENSG00000172531,47.4654
ENSGGOG00000015734,ENSG00000138061,48.6639
ENSGGOG00000015734,ENSG00000061676,48.7874
ENSGGOG00000007261,ENSG00000263138,47.7912
ENSGGOG00000007261,ENSG00000262972,47.2329
ENSGGOG00000028211,ENSG00000091140,48.4245
ENSGGOG00000022524,ENSG00000163157,47.619
ENSGGOG00000022289,ENSG00000263079,48.7952
ENSGGOG00000025865,ENSG00000261539,47.1784
ENSGGOG00000026142,ENSG00000138068,58.7719
ENSGGOG00000015172,ENSG00000263304,47.6574
ENSGGOG00000028534,ENSG00000091136,49.3072
ENSGGOG00000011399,ENSG00000138068,53.3333
ENSGGOG00000007609,ENSG00000143442,49.5935
ENSGGOG00000007609,ENSG00000196950,48.8889
ENSGGOG00000000301,ENSG00000260873,49.5495
ENSGGOG00000006571,ENSG00000163209,48.5666
ENSGGOG00000001407,ENSG00000173621,48.2116
ENSGGOG00000001407,ENSG00000173653,48.3664
ENSGGOG00000027802,ENSG00000257814,50.2564
ENSGGOG00000008282,ENSG00000262249,47.6753
ENSGGOG00000013016,ENSG00000115267,49.1812
ENSGGOG00000013016,ENSG00000115841,48.5594
ENSGGOG00000014709,ENSG00000145192,49.2843
ENSGGOG00000014709,ENSG00000261577,48.2708
ENSGGOG00000022011,ENSG00000073803,48.9917
ENSGGOG00000013533,ENSG00000152133,49.399
ENSGGOG00000013533,ENSG00000144395,49.5673
ENSGGOG00000027092,ENSG00000138434,48.5866
ENSGGOG00000016873,ENSG00000173992,47.8685
ENSGGOG00000023161,ENSG00000231145,53.7037
ENSGGOG00000016972,ENSG00000263310,50.1177
ENSGGOG00000016972,ENSG00000175463,48.5462
ENSGGOG00000013841,ENSG00000123427,47.8326
ENSGGOG00000009204,ENSG00000159527,48.6322
ENSGGOG00000004181,ENSG00000258865,47.0691
ENSGGOG00000004616,ENSG00000261125,48.9901
ENSGGOG00000002610,ENSG00000175463,48.4995
ENSGGOG00000015265,ENSG00000262969,48.7469
ENSGGOG00000015265,ENSG00000172830,49.4031
ENSGGOG00000009504,ENSG00000196504,49.3417
ENSGGOG00000011379,ENSG00000144339,48.6635
ENSGGOG00000012953,ENSG00000261473,48.5398
ENSGGOG00000012953,ENSG00000261473,48.5398
ENSGGOG00000012129,ENSG00000078098,49.852
ENSGGOG00000016537,ENSG00000173933,48.2161
ENSGGOG00000016537,ENSG00000163156,48.6355
ENSGGOG00000016102,ENSG00000263040,49.2205
ENSGGOG00000013267,ENSG00000115828,48.5153
ENSGGOG00000015683,ENSG00000260952,48.7899
ENSGGOG00000015683,ENSG00000119787,47.2749
ENSGGOG00000002484,ENSG00000162999,49.2553
ENSGGOG00000000242,ENSG00000261893,49.0581
ENSGGOG00000016206,ENSG00000080200,1.39992
ENSGGOG00000016206,ENSG00000153237,48.9909
ENSGGOG00000010445,ENSG00000262742,49.2375
ENSGGOG00000028407,ENSG00000143452,48.3395
ENSGGOG00000002197,ENSG00000262037,49.2335
ENSGGOG00000002197,ENSG00000119787,49.3939
ENSGGOG00000005769,ENSG00000115841,48.492
ENSGGOG00000027112,ENSG00000143442,54.8523
ENSGGOG00000022587,ENSG00000231145,65.625
ENSGGOG00000024272,ENSG00000163157,48.3721
ENSGGOG00000011774,ENSG00000144290,49.2913
ENSGGOG00000002353,ENSG00000090534,48.3532
ENSGGOG00000002353,ENSG00000260789,48.6616
ENSGGOG00000011369,ENSG00000143416,48.9233
ENSGGOG00000009880,ENSG00000163207,47.5216
ENSGGOG00000009880,ENSG00000144395,49.082
ENSGGOG00000004058,ENSG00000163154,48.2493
ENSGGOG00000011428,ENSG00000259919,48.4782
ENSGGOG00000001490,ENSG00000135655,48.6919
ENSGGOG00000028613,ENSG00000143416,47.8752
ENSGGOG00000005224,ENSG00000263310,47.3147
ENSGGOG00000005224,ENSG00000263310,47.4652
ENSGGOG00000027541,ENSG00000008282,48.6378
ENSGGOG00000003560,ENSG00000260383,48.4863
ENSGGOG00000014816,ENSG00000115904,48.997
ENSGGOG00000014816,ENSG00000091129,49.5094
ENSGGOG00000012775,ENSG00000172830,48.3704
ENSGGOG00000012775,ENSG00000172830,47.8711
ENSGGOG00000027171,ENSG00000136536,48.2642
ENSGGOG00000027171,ENSG00000115825,48.4245
ENSGGOG00000011467,ENSG00000260596,48.1421
ENSGGOG00000027530,ENSG00000064989,49.0048
ENSGGOG00000009976,ENSG00000260178,48.612
ENSGGOG00000005557,ENSG00000136560,49.8504
ENSGGOG00000022833,ENSG00000261678,46.8293
ENSGGOG00000014436,ENSG00000135655,48.5412
ENSGGOG00000000700,ENSG00000263138,48.9173
ENSGGOG00000000700,ENSG00000239306,49.0126
ENSGGOG00000000700,ENSG00000224153,48.9066
ENSGGOG00000000700,ENSG00000261297,47.6831
ENSGGOG00000000700,ENSG00000186226,48.5632
ENSGGOG00000000700,ENSG00000224153,48.9237
