macaca_mulatta,gorilla_gorilla
ENSMMUG00000004328,ENSGGOG00000016685,48.5127
ENSMMUG00000014451,ENSGGOG00000009913,49.7237
ENSMMUG00000014451,ENSGGOG00000014572,49.3953
ENSMMUG00000017276,ENSGGOG00000008556,49.1376
ENSMMUG00000017276,ENSGGOG00000005564,48.5613
ENSMMUG00000017276,ENSGGOG00000009223,48.6763
ENSMMUG00000017276,ENSGGOG00000017084,48.6536
ENSMMUG00000017276,ENSGGOG00000012466,48.0573
ENSMMUG00000003302,ENSGGOG00000007457,49.0302
ENSMMUG00000003302,ENSGGOG00000028442,48.8759
ENSMMUG00000003302,ENSGGOG00000028132,48.453
ENSMMUG00000003302,ENSGGOG00000028132,48.4742
ENSMMUG00000003302,ENSGGOG00000007886,47.7891
ENSMMUG00000017662,ENSGGOG00000024815,49.3267
ENSMMUG00000032547,ENSGGOG00000026142,45.1852
ENSMMUG00000020530,ENSGGOG00000005399,48.5393
ENSMMUG00000020530,ENSGGOG00000005440,47.1853
ENSMMUG00000020530,ENSGGOG00000006566,48.6226
ENSMMUG00000020530,ENSGGOG00000022789,38.7649
ENSMMUG00000020529,ENSGGOG00000005440,45.0241
ENSMMUG00000009320,ENSGGOG00000022969,36.729
ENSMMUG00000009322,ENSGGOG00000006443,45.7715
ENSMMUG00000020108,ENSGGOG00000022216,48.1481
ENSMMUG00000020108,ENSGGOG00000022216,48.0138
ENSMMUG00000000457,ENSGGOG00000003981,48.9688
ENSMMUG00000018782,ENSGGOG00000015683,48.1598
ENSMMUG00000018782,ENSGGOG00000015683,48.265
ENSMMUG00000018777,ENSGGOG00000010311,49.0498
ENSMMUG00000018777,ENSGGOG00000015882,48.5699
ENSMMUG00000018777,ENSGGOG00000024850,48.65
ENSMMUG00000018777,ENSGGOG00000015683,49.1176
ENSMMUG00000007514,ENSGGOG00000010848,47.6766
ENSMMUG00000018687,ENSGGOG00000025658,50.5462
ENSMMUG00000018784,ENSGGOG00000015371,48.9218
ENSMMUG00000018785,ENSGGOG00000023328,48.6664
ENSMMUG00000018785,ENSGGOG00000026860,48.7314
ENSMMUG00000018688,ENSGGOG00000034932,48.788
ENSMMUG00000018688,ENSGGOG00000022666,50.0605
ENSMMUG00000003932,ENSGGOG00000021956,48.2065
ENSMMUG00000004985,ENSGGOG00000011818,48.744
ENSMMUG00000018791,ENSGGOG00000015441,48.511
ENSMMUG00000000443,ENSGGOG00000014663,49.577
ENSMMUG00000008247,ENSGGOG00000010255,49.6832
ENSMMUG00000006862,ENSGGOG00000012303,49.519
ENSMMUG00000006862,ENSGGOG00000009450,49.4635
ENSMMUG00000006862,ENSGGOG00000010587,49.6211
ENSMMUG00000006862,ENSGGOG00000016587,49.6002
ENSMMUG00000006862,ENSGGOG00000028132,49.0413
ENSMMUG00000008250,ENSGGOG00000028052,48.6486
ENSMMUG00000008306,ENSGGOG00000011132,48.6758
ENSMMUG00000008306,ENSGGOG00000009720,47.933
ENSMMUG00000032545,ENSGGOG00000013094,49.5098
ENSMMUG00000021677,ENSGGOG00000026796,48.3483
ENSMMUG00000032544,ENSGGOG00000007800,49.1429
ENSMMUG00000011310,ENSGGOG00000001712,49.7789
ENSMMUG00000011310,ENSGGOG00000013768,50.0247
ENSMMUG00000011310,ENSGGOG00000005746,49.3979
ENSMMUG00000011310,ENSGGOG00000010587,49.2125
ENSMMUG00000018997,ENSGGOG00000023110,48.2759
ENSMMUG00000006863,ENSGGOG00000028284,48.8095
ENSMMUG00000006863,ENSGGOG00000021937,48.8889
ENSMMUG00000006863,ENSGGOG00000008039,48.5566
ENSMMUG00000032543,ENSGGOG00000024012,47.2
ENSMMUG00000032543,ENSGGOG00000024012,46.8254
ENSMMUG00000011379,ENSGGOG00000025841,5.44662
ENSMMUG00000017377,ENSGGOG00000011951,48.4568
ENSMMUG00000017378,ENSGGOG00000016631,49.0909
ENSMMUG00000022210,ENSGGOG00000014859,47.2441
ENSMMUG00000022210,ENSGGOG00000024012,47.3958
ENSMMUG00000018194,ENSGGOG00000025511,49.6327
ENSMMUG00000018193,ENSGGOG00000022789,49.2866
ENSMMUG00000032542,ENSGGOG00000024012,47.2441
ENSMMUG00000032542,ENSGGOG00000025820,47.6562
ENSMMUG00000006864,ENSGGOG00000023227,48.289
ENSMMUG00000006864,ENSGGOG00000016654,48.2495
ENSMMUG00000006864,ENSGGOG00000009780,48.8512
ENSMMUG00000018191,ENSGGOG00000022673,49.1921
ENSMMUG00000018191,ENSGGOG00000012401,49.195
ENSMMUG00000018191,ENSGGOG00000028132,48.7598
ENSMMUG00000006866,ENSGGOG00000027137,47.8854
ENSMMUG00000006866,ENSGGOG00000008066,45.5556
ENSMMUG00000018844,ENSGGOG00000011467,47.633
ENSMMUG00000018844,ENSGGOG00000005564,49.0544
ENSMMUG00000032541,ENSGGOG00000026068,11.4458
ENSMMUG00000023561,ENSGGOG00000022123,49.2717
ENSMMUG00000032540,ENSGGOG00000025386,35.8586
ENSMMUG00000014553,ENSGGOG00000008196,49.2219
ENSMMUG00000000128,ENSGGOG00000028419,48.7333
ENSMMUG00000000128,ENSGGOG00000028272,48.7492
ENSMMUG00000000128,ENSGGOG00000028272,48.8168
ENSMMUG00000012475,ENSGGOG00000008053,49.3874
ENSMMUG00000006191,ENSGGOG00000027980,48.3041
ENSMMUG00000017016,ENSGGOG00000022961,48.8695
ENSMMUG00000032539,ENSGGOG00000025386,42.0513
ENSMMUG00000008503,ENSGGOG00000022961,48.434
ENSMMUG00000004997,ENSGGOG00000000713,49.4415
ENSMMUG00000004997,ENSGGOG00000004616,49.7498
ENSMMUG00000004997,ENSGGOG00000004616,49.7335
ENSMMUG00000006192,ENSGGOG00000008039,48.8563
ENSMMUG00000006192,ENSGGOG00000012302,48.8801
ENSMMUG00000004010,ENSGGOG00000015441,48.7152
ENSMMUG00000004010,ENSGGOG00000013793,47.4576
ENSMMUG00000032538,ENSGGOG00000022923,46.5021
ENSMMUG00000012796,ENSGGOG00000027838,49.0095
ENSMMUG00000011037,ENSGGOG00000023598,49.3969
ENSMMUG00000006193,ENSGGOG00000009450,48.5199
ENSMMUG00000006193,ENSGGOG00000001828,47.8197
ENSMMUG00000003561,ENSGGOG00000027867,44.4782
ENSMMUG00000006194,ENSGGOG00000005168,48.8263
ENSMMUG00000003562,ENSGGOG00000022613,48.8172
ENSMMUG00000003562,ENSGGOG00000027179,49.3659
ENSMMUG00000016290,ENSGGOG00000034992,49.1356
ENSMMUG00000016290,ENSGGOG00000034992,48.8889
ENSMMUG00000016290,ENSGGOG00000034992,48.6916
ENSMMUG00000016290,ENSGGOG00000034992,48.08
ENSMMUG00000016290,ENSGGOG00000034992,48.5685
ENSMMUG00000016290,ENSGGOG00000001828,47.3759
ENSMMUG00000003566,ENSGGOG00000023773,48.7277
ENSMMUG00000003566,ENSGGOG00000006205,47.7855
ENSMMUG00000032537,ENSGGOG00000012401,49.193
ENSMMUG00000003570,ENSGGOG00000023598,49.1172
ENSMMUG00000016291,ENSGGOG00000028529,49.1968
ENSMMUG00000032536,ENSGGOG00000023445,48.1481
ENSMMUG00000013635,ENSGGOG00000011191,48.6155
ENSMMUG00000020179,ENSGGOG00000006838,49.6785
ENSMMUG00000020179,ENSGGOG00000006838,49.4493
ENSMMUG00000020179,ENSGGOG00000002618,48.6486
ENSMMUG00000013993,ENSGGOG00000034932,48.6745
ENSMMUG00000003896,ENSGGOG00000014989,50.1158
ENSMMUG00000003896,ENSGGOG00000014989,49.8986
ENSMMUG00000003896,ENSGGOG00000012775,49.0798
ENSMMUG00000003896,ENSGGOG00000015441,49.0559
ENSMMUG00000003896,ENSGGOG00000007457,49.3163
ENSMMUG00000003896,ENSGGOG00000003136,49.372
ENSMMUG00000003124,ENSGGOG00000022011,49.241
ENSMMUG00000008256,ENSGGOG00000025009,49.0931
ENSMMUG00000008256,ENSGGOG00000008319,47.3134
ENSMMUG00000008256,ENSGGOG00000025199,46.6179
ENSMMUG00000011473,ENSGGOG00000001828,48.0583
ENSMMUG00000011473,ENSGGOG00000027640,47.4806
ENSMMUG00000017243,ENSGGOG00000008435,47.2987
ENSMMUG00000017246,ENSGGOG00000023870,49.0644
ENSMMUG00000017246,ENSGGOG00000023870,48.6308
ENSMMUG00000017246,ENSGGOG00000016631,48.5159
ENSMMUG00000017246,ENSGGOG00000013533,50.0522
ENSMMUG00000009689,ENSGGOG00000004655,48.4375
ENSMMUG00000002689,ENSGGOG00000009223,49.5301
ENSMMUG00000010252,ENSGGOG00000013768,48.8181
ENSMMUG00000032534,ENSGGOG00000027300,48.4375
ENSMMUG00000011345,ENSGGOG00000026674,48.5417
ENSMMUG00000002742,ENSGGOG00000016631,48.491
ENSMMUG00000004498,ENSGGOG00000008587,49.4303
ENSMMUG00000004498,ENSGGOG00000022673,49.3023
ENSMMUG00000004498,ENSGGOG00000026223,48.9576
ENSMMUG00000014254,ENSGGOG00000012517,49.0822
ENSMMUG00000014255,ENSGGOG00000006202,48.4984
ENSMMUG00000014255,ENSGGOG00000003066,48.9526
ENSMMUG00000014256,ENSGGOG00000024994,2.16667
ENSMMUG00000032533,ENSGGOG00000025390,55.5556
ENSMMUG00000032532,ENSGGOG00000027300,49.4792
ENSMMUG00000014258,ENSGGOG00000015683,49.0471
ENSMMUG00000014258,ENSGGOG00000006202,48.4952
ENSMMUG00000014258,ENSGGOG00000026143,48.4234
ENSMMUG00000015952,ENSGGOG00000009382,49.3033
ENSMMUG00000015952,ENSGGOG00000022524,48.7869
ENSMMUG00000009370,ENSGGOG00000027065,49.0366
ENSMMUG00000022615,ENSGGOG00000026846,49.1468
ENSMMUG00000015951,ENSGGOG00000005923,48.0804
ENSMMUG00000010999,ENSGGOG00000026860,48.4686
ENSMMUG00000022616,ENSGGOG00000034921,49.124
ENSMMUG00000018480,ENSGGOG00000027804,50
ENSMMUG00000022618,ENSGGOG00000024271,48.3498
ENSMMUG00000022619,ENSGGOG00000024790,48.2993
ENSMMUG00000022619,ENSGGOG00000024790,48.046
ENSMMUG00000007816,ENSGGOG00000026860,48.417
ENSMMUG00000007816,ENSGGOG00000024652,48.9346
ENSMMUG00000019410,ENSGGOG00000013768,48.9391
ENSMMUG00000019410,ENSGGOG00000014989,49.2361
ENSMMUG00000019410,ENSGGOG00000006754,48.7524
ENSMMUG00000032529,ENSGGOG00000027703,47.7273
ENSMMUG00000032528,ENSGGOG00000014404,13.9535
ENSMMUG00000015704,ENSGGOG00000002206,47.2356
ENSMMUG00000020898,ENSGGOG00000027980,47.7778
ENSMMUG00000012770,ENSGGOG00000004181,47.8739
ENSMMUG00000001760,ENSGGOG00000026860,49.1353
ENSMMUG00000001760,ENSGGOG00000012401,49.0437
ENSMMUG00000018837,ENSGGOG00000022551,49.3469
ENSMMUG00000018837,ENSGGOG00000022551,49.2364
ENSMMUG00000018837,ENSGGOG00000023866,49.3841
ENSMMUG00000018837,ENSGGOG00000023130,37.5862
ENSMMUG00000018837,ENSGGOG00000023130,13.28
ENSMMUG00000019415,ENSGGOG00000014852,48.9482
ENSMMUG00000019415,ENSGGOG00000006828,48.533
ENSMMUG00000019415,ENSGGOG00000026223,49.4261
ENSMMUG00000018839,ENSGGOG00000025576,48.1322
ENSMMUG00000013595,ENSGGOG00000023282,49.4895
ENSMMUG00000013595,ENSGGOG00000024792,48.4767
ENSMMUG00000019054,ENSGGOG00000008125,45.6232
ENSMMUG00000003482,ENSGGOG00000007029,48.91
ENSMMUG00000003482,ENSGGOG00000015345,49.1538
ENSMMUG00000003040,ENSGGOG00000015649,48.4092
ENSMMUG00000003040,ENSGGOG00000015649,48.8535
ENSMMUG00000017839,ENSGGOG00000034921,49.0853
ENSMMUG00000017839,ENSGGOG00000028211,48.8912
ENSMMUG00000003041,ENSGGOG00000034992,48.1208
ENSMMUG00000003041,ENSGGOG00000015626,48.7444
ENSMMUG00000003041,ENSGGOG00000026860,48.8827
ENSMMUG00000017842,ENSGGOG00000024432,49.3535
ENSMMUG00000009049,ENSGGOG00000005564,48.5714
ENSMMUG00000020152,ENSGGOG00000025219,48.2828
ENSMMUG00000009050,ENSGGOG00000001083,47.757
ENSMMUG00000009050,ENSGGOG00000001083,48.1549
ENSMMUG00000009050,ENSGGOG00000001083,47.6898
ENSMMUG00000009050,ENSGGOG00000005227,47.9354
ENSMMUG00000009050,ENSGGOG00000001083,48.3636
ENSMMUG00000009050,ENSGGOG00000023870,48.6853
ENSMMUG00000004858,ENSGGOG00000024808,47.7825
ENSMMUG00000015736,ENSGGOG00000026674,49.0741
ENSMMUG00000015736,ENSGGOG00000024050,48.6249
ENSMMUG00000015737,ENSGGOG00000022961,49.1886
ENSMMUG00000015737,ENSGGOG00000008196,49.0275
ENSMMUG00000015738,ENSGGOG00000005769,49.3702
ENSMMUG00000015740,ENSGGOG00000022578,49.2418
ENSMMUG00000009051,ENSGGOG00000034992,47.7996
ENSMMUG00000017998,ENSGGOG00000025386,41.9244
ENSMMUG00000014047,ENSGGOG00000013205,49.2153
ENSMMUG00000014047,ENSGGOG00000013205,49.141
ENSMMUG00000000719,ENSGGOG00000016645,49.7396
ENSMMUG00000012078,ENSGGOG00000022895,48.84
ENSMMUG00000017288,ENSGGOG00000001305,48.534
ENSMMUG00000014048,ENSGGOG00000028211,49.0325
ENSMMUG00000014048,ENSGGOG00000024432,49.1656
ENSMMUG00000017289,ENSGGOG00000023245,48.5333
ENSMMUG00000017290,ENSGGOG00000022833,47.2771
ENSMMUG00000022472,ENSGGOG00000022659,49.1699
ENSMMUG00000022472,ENSGGOG00000025576,49.2126
ENSMMUG00000022001,ENSGGOG00000016192,48.7759
ENSMMUG00000014050,ENSGGOG00000007800,49.0171
ENSMMUG00000003127,ENSGGOG00000006205,49.0385
ENSMMUG00000018334,ENSGGOG00000002250,49.0054
ENSMMUG00000014052,ENSGGOG00000024019,49.2377
ENSMMUG00000014052,ENSGGOG00000001916,49.0515
ENSMMUG00000023652,ENSGGOG00000008196,48.8699
ENSMMUG00000032527,ENSGGOG00000025386,31.3253
ENSMMUG00000004914,ENSGGOG00000025529,48.8613
ENSMMUG00000014054,ENSGGOG00000001828,49.0972
ENSMMUG00000004218,ENSGGOG00000022766,48
ENSMMUG00000013999,ENSGGOG00000013768,49.5483
ENSMMUG00000014055,ENSGGOG00000005564,48.7833
ENSMMUG00000014055,ENSGGOG00000025722,48.8323
ENSMMUG00000023688,ENSGGOG00000022619,47.553
ENSMMUG00000023689,ENSGGOG00000000247,6.92008
ENSMMUG00000010157,ENSGGOG00000024978,21.9849
ENSMMUG00000032526,ENSGGOG00000027536,48.2456
ENSMMUG00000003136,ENSGGOG00000022262,47.9241
ENSMMUG00000003136,ENSGGOG00000022517,47.1193
ENSMMUG00000012368,ENSGGOG00000022555,48.9899
ENSMMUG00000004797,ENSGGOG00000007800,48.9259
ENSMMUG00000004797,ENSGGOG00000007800,49.0374
ENSMMUG00000004797,ENSGGOG00000024351,48.3461
ENSMMUG00000010911,ENSGGOG00000010070,48.3347
ENSMMUG00000010911,ENSGGOG00000010070,48.3727
ENSMMUG00000010911,ENSGGOG00000010070,48.8666
ENSMMUG00000010911,ENSGGOG00000003797,48.3516
ENSMMUG00000004798,ENSGGOG00000025529,49.2274
ENSMMUG00000016237,ENSGGOG00000016296,48.9435
ENSMMUG00000010913,ENSGGOG00000025576,49.0196
