macaca_mulatta,homo_sapiens
ENSMMUG00000010726,ENSG00000162980,48.5091
ENSMMUG00000022097,ENSG00000123636,49.0543
ENSMMUG00000022097,ENSG00000123636,48.9247
ENSMMUG00000022097,ENSG00000262942,48.8591
ENSMMUG00000022095,ENSG00000262771,48.4634
ENSMMUG00000022095,ENSG00000163002,48.4888
ENSMMUG00000022130,ENSG00000261371,48.8889
ENSMMUG00000015761,ENSG00000260383,48.8866
ENSMMUG00000032568,ENSG00000143556,48.8215
ENSMMUG00000003993,ENSG00000073803,49.6078
ENSMMUG00000000768,ENSG00000143393,49.3548
ENSMMUG00000000890,ENSG00000113966,48.7835
ENSMMUG00000011408,ENSG00000143416,49.0462
ENSMMUG00000011404,ENSG00000143536,48.5632
ENSMMUG00000011404,ENSG00000135407,47.9751
ENSMMUG00000014506,ENSG00000144366,49.0589
ENSMMUG00000014506,ENSG00000144366,49.2593
ENSMMUG00000000212,ENSG00000091129,49.2264
ENSMMUG00000016302,ENSG00000115368,49.4541
ENSMMUG00000016302,ENSG00000115841,49.2286
ENSMMUG00000032565,ENSG00000263079,49.1018
ENSMMUG00000021463,ENSG00000257370,19.4175
ENSMMUG00000019418,ENSG00000144395,49.1989
ENSMMUG00000019418,ENSG00000182898,49.1885
ENSMMUG00000022005,ENSG00000136560,49.1753
ENSMMUG00000001471,ENSG00000257961,48.6708
ENSMMUG00000001471,ENSG00000173227,49.1414
ENSMMUG00000005086,ENSG00000166148,49.3394
ENSMMUG00000005086,ENSG00000144366,49.2977
ENSMMUG00000005086,ENSG00000262327,49.5027
ENSMMUG00000005086,ENSG00000188452,49.077
ENSMMUG00000013752,ENSG00000163882,48.6068
ENSMMUG00000019893,ENSG00000196754,49.3095
ENSMMUG00000019893,ENSG00000128641,48.5523
ENSMMUG00000019892,ENSG00000260130,45.534
ENSMMUG00000019892,ENSG00000260130,45.5247
ENSMMUG00000019892,ENSG00000260130,42.8774
ENSMMUG00000017548,ENSG00000168542,49.7414
ENSMMUG00000017546,ENSG00000090539,48.8604
ENSMMUG00000017546,ENSG00000172531,47.5593
ENSMMUG00000005461,ENSG00000064933,48.5756
ENSMMUG00000005461,ENSG00000115816,49.1703
ENSMMUG00000005175,ENSG00000115415,48.3597
ENSMMUG00000018952,ENSG00000262942,47.6413
ENSMMUG00000018950,ENSG00000262622,48.8022
ENSMMUG00000018950,ENSG00000115159,48.9112
ENSMMUG00000013904,ENSG00000257370,20.462
ENSMMUG00000021265,ENSG00000144395,47.9651
ENSMMUG00000021265,ENSG00000115760,48.2301
ENSMMUG00000016216,ENSG00000263079,48.5019
ENSMMUG00000004054,ENSG00000075790,48.5325
ENSMMUG00000004051,ENSG00000115875,48.3707
ENSMMUG00000004051,ENSG00000213953,60.8333
ENSMMUG00000004051,ENSG00000143436,48.3871
ENSMMUG00000004046,ENSG00000143436,49.4326
ENSMMUG00000004046,ENSG00000241399,48.384
ENSMMUG00000004046,ENSG00000135655,47.4747
ENSMMUG00000004045,ENSG00000143452,48.5271
ENSMMUG00000004045,ENSG00000262773,48.6751
ENSMMUG00000004045,ENSG00000128699,48.9782
ENSMMUG00000012130,ENSG00000260873,48.5549
ENSMMUG00000004663,ENSG00000114480,49.4579
ENSMMUG00000004662,ENSG00000143452,48.3548
ENSMMUG00000004660,ENSG00000008282,48.1065
ENSMMUG00000004660,ENSG00000143376,48.8744
ENSMMUG00000004656,ENSG00000144395,48.288
ENSMMUG00000004658,ENSG00000138068,50
ENSMMUG00000003974,ENSG00000119787,49.2676
ENSMMUG00000003974,ENSG00000260164,49.2189
ENSMMUG00000003974,ENSG00000163207,48.7591
ENSMMUG00000009164,ENSG00000143556,48.6486
ENSMMUG00000008305,ENSG00000159516,49.0196
ENSMMUG00000012987,ENSG00000135241,48.8406
ENSMMUG00000012987,ENSG00000144366,48.8057
ENSMMUG00000003992,ENSG00000163331,48.2818
ENSMMUG00000004382,ENSG00000115267,47.9219
ENSMMUG00000004382,ENSG00000113966,48.1828
ENSMMUG00000007695,ENSG00000259816,48.4163
ENSMMUG00000010227,ENSG00000136536,48.3284
ENSMMUG00000032561,ENSG00000257370,25.6667
ENSMMUG00000010944,ENSG00000260155,48.2604
ENSMMUG00000001477,ENSG00000156931,53.4247
ENSMMUG00000009669,ENSG00000262037,49.004
ENSMMUG00000012715,ENSG00000075790,48.1749
ENSMMUG00000005125,ENSG00000143393,48.5762
ENSMMUG00000032559,ENSG00000235156,48.5166
ENSMMUG00000032558,ENSG00000138068,47.9798
ENSMMUG00000021478,ENSG00000262771,48.7085
ENSMMUG00000021480,ENSG00000119787,48.8101
ENSMMUG00000021484,ENSG00000260164,49.4227
ENSMMUG00000020328,ENSG00000261587,48.948
ENSMMUG00000020328,ENSG00000262969,48.8806
ENSMMUG00000004321,ENSG00000173020,47.9021
ENSMMUG00000004321,ENSG00000143520,49.1741
ENSMMUG00000004321,ENSG00000233280,49.0242
ENSMMUG00000004321,ENSG00000233280,49.0114
ENSMMUG00000004321,ENSG00000168386,49.1667
ENSMMUG00000004343,ENSG00000262111,49.2829
ENSMMUG00000004346,ENSG00000146776,48.9051
ENSMMUG00000004346,ENSG00000146776,49.3711
ENSMMUG00000004346,ENSG00000262942,49.0859
ENSMMUG00000004346,ENSG00000262942,49.0628
ENSMMUG00000004350,ENSG00000262840,49.0184
ENSMMUG00000004350,ENSG00000168386,48.5724
ENSMMUG00000004350,ENSG00000005249,48.8603
ENSMMUG00000032557,ENSG00000257370,19.281
ENSMMUG00000004664,ENSG00000113966,48.4691
ENSMMUG00000015065,ENSG00000259991,48.5163
ENSMMUG00000032556,ENSG00000257370,29.9065
ENSMMUG00000000207,ENSG00000261297,48.2853
ENSMMUG00000008600,ENSG00000164597,49.079
ENSMMUG00000008600,ENSG00000164597,48.9981
ENSMMUG00000018059,ENSG00000136541,48.4687
ENSMMUG00000018059,ENSG00000136541,48.616
ENSMMUG00000018066,ENSG00000261125,49.7312
ENSMMUG00000018066,ENSG00000138068,50.4167
ENSMMUG00000016190,ENSG00000262101,48.7339
ENSMMUG00000004595,ENSG00000113966,49.5972
ENSMMUG00000004595,ENSG00000115828,49.4823
ENSMMUG00000014934,ENSG00000075790,49.0183
ENSMMUG00000014934,ENSG00000150722,48.951
ENSMMUG00000014934,ENSG00000143546,48.554
ENSMMUG00000011801,ENSG00000143452,48.282
ENSMMUG00000011801,ENSG00000115841,48.7952
ENSMMUG00000032555,ENSG00000189362,49.1968
ENSMMUG00000008614,ENSG00000184575,49.1892
ENSMMUG00000008614,ENSG00000143452,49.3292
ENSMMUG00000015178,ENSG00000263042,49.0782
ENSMMUG00000032554,ENSG00000169474,49.8551
ENSMMUG00000032553,ENSG00000163209,49.2063
ENSMMUG00000007668,ENSG00000138381,48.8095
ENSMMUG00000007668,ENSG00000091140,48.8677
ENSMMUG00000011687,ENSG00000138381,48.7066
ENSMMUG00000011687,ENSG00000138381,48.5456
ENSMMUG00000011690,ENSG00000144339,49.1249
ENSMMUG00000011690,ENSG00000135241,49.1035
ENSMMUG00000011690,ENSG00000064933,48.8704
ENSMMUG00000022703,ENSG00000003436,48.8528
ENSMMUG00000022704,ENSG00000262742,49.2214
ENSMMUG00000021094,ENSG00000153237,49.1667
ENSMMUG00000021095,ENSG00000168386,48.7562
ENSMMUG00000016673,ENSG00000263249,48.0769
ENSMMUG00000016674,ENSG00000153237,48.5637
ENSMMUG00000016674,ENSG00000143452,48.3491
ENSMMUG00000016674,ENSG00000144395,49.1539
ENSMMUG00000006733,ENSG00000003436,48.9933
ENSMMUG00000018006,ENSG00000135241,48.531
ENSMMUG00000032550,ENSG00000257370,27.2436
ENSMMUG00000016707,ENSG00000144366,46.1701
ENSMMUG00000012849,ENSG00000115271,48.6353
ENSMMUG00000012849,ENSG00000143452,47.5616
ENSMMUG00000023019,ENSG00000262942,49.0233
ENSMMUG00000023020,ENSG00000266093,49.8
ENSMMUG00000008190,ENSG00000262599,49.2322
ENSMMUG00000008190,ENSG00000203782,47.9339
ENSMMUG00000004328,ENSG00000064933,48.0961
ENSMMUG00000004328,ENSG00000143452,48.1627
ENSMMUG00000014451,ENSG00000196935,49.5444
ENSMMUG00000014451,ENSG00000154175,49.5508
ENSMMUG00000017276,ENSG00000151689,48.946
ENSMMUG00000017276,ENSG00000262773,48.4604
ENSMMUG00000017276,ENSG00000143536,48.6763
ENSMMUG00000017276,ENSG00000182134,48.3341
ENSMMUG00000017276,ENSG00000260770,48.6708
ENSMMUG00000003302,ENSG00000266326,11.1863
ENSMMUG00000003302,ENSG00000266326,3.86119
ENSMMUG00000003302,ENSG00000266326,31.2901
ENSMMUG00000003302,ENSG00000266326,30.9272
ENSMMUG00000003302,ENSG00000266093,6.12245
ENSMMUG00000017662,ENSG00000128694,49.2882
ENSMMUG00000032547,ENSG00000138068,54.8148
ENSMMUG00000020530,ENSG00000163154,48.764
ENSMMUG00000020530,ENSG00000262562,44.097
ENSMMUG00000020530,ENSG00000163209,48.2094
ENSMMUG00000020530,ENSG00000263255,47.0238
ENSMMUG00000020529,ENSG00000260513,44.7611
ENSMMUG00000009320,ENSG00000262249,42.4116
ENSMMUG00000009322,ENSG00000263255,48.4183
ENSMMUG00000020108,ENSG00000073849,48.1481
ENSMMUG00000020108,ENSG00000073849,49.2228
ENSMMUG00000000457,ENSG00000115841,48.2616
ENSMMUG00000018782,ENSG00000119787,48.265
ENSMMUG00000018782,ENSG00000119787,48.265
ENSMMUG00000018777,ENSG00000188452,48.9985
ENSMMUG00000018777,ENSG00000153237,48.9407
ENSMMUG00000018777,ENSG00000152133,49.1803
ENSMMUG00000018777,ENSG00000123297,48.6275
ENSMMUG00000007514,ENSG00000261236,47.6388
ENSMMUG00000018687,ENSG00000224153,50.3476
ENSMMUG00000018784,ENSG00000156976,48.6074
ENSMMUG00000018785,ENSG00000091140,48.2799
ENSMMUG00000018785,ENSG00000091140,48.8189
ENSMMUG00000018688,ENSG00000262742,49.0084
ENSMMUG00000018688,ENSG00000260164,49.0931
ENSMMUG00000003932,ENSG00000261577,48.3815
ENSMMUG00000004985,ENSG00000260320,48.8509
ENSMMUG00000018791,ENSG00000260384,48.4718
ENSMMUG00000000443,ENSG00000143416,49.577
ENSMMUG00000008247,ENSG00000173898,49.8365
ENSMMUG00000006862,ENSG00000123612,49.3506
ENSMMUG00000006862,ENSG00000261125,49.7111
ENSMMUG00000006862,ENSG00000182134,49.3904
ENSMMUG00000006862,ENSG00000260130,49.6487
ENSMMUG00000006862,ENSG00000173933,48.9831
ENSMMUG00000008250,ENSG00000260178,48.3912
ENSMMUG00000008306,ENSG00000261155,48.4932
ENSMMUG00000008306,ENSG00000143418,48.0447
ENSMMUG00000032545,ENSG00000138068,52.451
ENSMMUG00000021677,ENSG00000163898,50.1502
ENSMMUG00000032544,ENSG00000177990,49.0794
ENSMMUG00000011310,ENSG00000154175,49.4657
ENSMMUG00000011310,ENSG00000113916,49.6548
ENSMMUG00000011310,ENSG00000073803,49.4514
ENSMMUG00000011310,ENSG00000262666,49.5982
ENSMMUG00000018997,ENSG00000138068,51.1494
ENSMMUG00000006863,ENSG00000151689,48.1151
ENSMMUG00000006863,ENSG00000153250,48.4541
ENSMMUG00000006863,ENSG00000188452,48.4988
ENSMMUG00000032543,ENSG00000255738,49.8667
ENSMMUG00000032543,ENSG00000255738,49.4709
ENSMMUG00000011379,ENSG00000264886,49.4553
ENSMMUG00000017377,ENSG00000135407,49.0741
ENSMMUG00000017378,ENSG00000143416,48.9807
ENSMMUG00000022210,ENSG00000255738,49.3438
ENSMMUG00000022210,ENSG00000255738,48.9583
ENSMMUG00000018194,ENSG00000143363,49.4229
ENSMMUG00000018193,ENSG00000262622,49.2218
ENSMMUG00000032542,ENSG00000255738,49.3438
ENSMMUG00000032542,ENSG00000255738,48.4375
ENSMMUG00000006864,ENSG00000091129,48.5606
ENSMMUG00000006864,ENSG00000262684,48.6324
ENSMMUG00000006864,ENSG00000115165,49.2341
ENSMMUG00000018191,ENSG00000263304,49.1323
ENSMMUG00000018191,ENSG00000163141,49.672
ENSMMUG00000018191,ENSG00000163157,49.1833
ENSMMUG00000006866,ENSG00000260789,47.8854
ENSMMUG00000006866,ENSG00000263079,47.4074
ENSMMUG00000018844,ENSG00000003509,48.3651
ENSMMUG00000018844,ENSG00000262684,49.341
ENSMMUG00000032541,ENSG00000189362,49.1968
ENSMMUG00000023561,ENSG00000136514,49.3219
ENSMMUG00000032540,ENSG00000138068,50.5051
ENSMMUG00000014553,ENSG00000064933,48.6806
ENSMMUG00000000128,ENSG00000163157,48.8667
ENSMMUG00000000128,ENSG00000153237,48.8168
ENSMMUG00000000128,ENSG00000163157,48.6815
ENSMMUG00000012475,ENSG00000260717,49.2931
ENSMMUG00000006191,ENSG00000260789,48.7719
ENSMMUG00000017016,ENSG00000144366,48.7667
ENSMMUG00000032539,ENSG00000138068,50.2564
ENSMMUG00000008503,ENSG00000064933,48.5327
ENSMMUG00000004997,ENSG00000163918,49.5003
ENSMMUG00000004997,ENSG00000257374,49.4108
ENSMMUG00000004997,ENSG00000257374,49.4104
ENSMMUG00000006192,ENSG00000173653,48.7977
ENSMMUG00000006192,ENSG00000173653,49.0777
ENSMMUG00000004010,ENSG00000261236,48.4256
ENSMMUG00000004010,ENSG00000123427,48.4463
ENSMMUG00000032538,ENSG00000143442,49.7942
ENSMMUG00000012796,ENSG00000138068,48.7511
ENSMMUG00000011037,ENSG00000115165,49.6162
ENSMMUG00000006193,ENSG00000263310,47.3616
ENSMMUG00000006193,ENSG00000143416,48.4109
ENSMMUG00000003561,ENSG00000135454,46.8085
ENSMMUG00000006194,ENSG00000198673,49.1393
ENSMMUG00000003562,ENSG00000075790,49.1039
ENSMMUG00000003562,ENSG00000262826,49.0892
ENSMMUG00000016290,ENSG00000260178,48.9233
ENSMMUG00000016290,ENSG00000260178,48.7346
ENSMMUG00000016290,ENSG00000260178,48.972
ENSMMUG00000016290,ENSG00000260178,48.7899
ENSMMUG00000016290,ENSG00000259919,49.0798
ENSMMUG00000016290,ENSG00000175182,48.5106
ENSMMUG00000003566,ENSG00000173933,47.9644
ENSMMUG00000003566,ENSG00000136560,48.6014
ENSMMUG00000032537,ENSG00000065548,48.9123
ENSMMUG00000003570,ENSG00000123612,48.6356
ENSMMUG00000016291,ENSG00000263040,49.3976
ENSMMUG00000032536,ENSG00000138449,49.7942
ENSMMUG00000013635,ENSG00000173227,49.574
ENSMMUG00000020179,ENSG00000080819,49.1194
ENSMMUG00000020179,ENSG00000115170,48.9855
ENSMMUG00000020179,ENSG00000143450,49.1892
ENSMMUG00000013993,ENSG00000075790,48.4137
ENSMMUG00000003896,ENSG00000115808,49.8328
ENSMMUG00000003896,ENSG00000215853,49.7719
ENSMMUG00000003896,ENSG00000257961,49.182
ENSMMUG00000003896,ENSG00000182134,49.3101
ENSMMUG00000003896,ENSG00000146776,49.2722
ENSMMUG00000003896,ENSG00000260383,49.4686
ENSMMUG00000003124,ENSG00000075790,48.5769
ENSMMUG00000008256,ENSG00000262969,46.9166
ENSMMUG00000008256,ENSG00000153234,49.2537
ENSMMUG00000008256,ENSG00000263079,48.6289
ENSMMUG00000011473,ENSG00000080224,49.0985
ENSMMUG00000011473,ENSG00000163904,48.7403
ENSMMUG00000017243,ENSG00000135454,47.2987
ENSMMUG00000017246,ENSG00000182791,48.9543
ENSMMUG00000017246,ENSG00000260245,48.9604
ENSMMUG00000017246,ENSG00000173227,48.6182
ENSMMUG00000017246,ENSG00000260195,49.4462
ENSMMUG00000009689,ENSG00000163157,48.8932
ENSMMUG00000002689,ENSG00000114354,49.3421
ENSMMUG00000010252,ENSG00000262782,49.2764
ENSMMUG00000032534,ENSG00000156931,52.6042
ENSMMUG00000011345,ENSG00000173933,48.4375
ENSMMUG00000002742,ENSG00000260320,48.6445
ENSMMUG00000004498,ENSG00000091137,49.2132
ENSMMUG00000004498,ENSG00000091137,49.0116
ENSMMUG00000004498,ENSG00000260736,48.3825
ENSMMUG00000014254,ENSG00000135241,47.3863
ENSMMUG00000014255,ENSG00000172209,48.7362
ENSMMUG00000014255,ENSG00000064933,48.3056
ENSMMUG00000014256,ENSG00000111490,49.5
ENSMMUG00000032533,ENSG00000231145,55.5556
ENSMMUG00000032532,ENSG00000156931,47.9167
ENSMMUG00000014258,ENSG00000188010,48.0441
ENSMMUG00000014258,ENSG00000188738,48.4642
ENSMMUG00000014258,ENSG00000255738,50.4505
ENSMMUG00000015952,ENSG00000115165,49.0354
ENSMMUG00000015952,ENSG00000159352,49.0492
ENSMMUG00000009370,ENSG00000075790,48.4586
ENSMMUG00000022615,ENSG00000143452,48.6592
ENSMMUG00000015951,ENSG00000260789,48.2023
ENSMMUG00000010999,ENSG00000138386,48.6631
ENSMMUG00000022616,ENSG00000080200,49.1927
ENSMMUG00000018480,ENSG00000231145,59.8039
ENSMMUG00000022618,ENSG00000091129,48.1848
ENSMMUG00000022619,ENSG00000143398,48.7528
ENSMMUG00000022619,ENSG00000073803,48.7356
ENSMMUG00000007816,ENSG00000262908,48.8553
ENSMMUG00000007816,ENSG00000184220,49.5434
ENSMMUG00000019410,ENSG00000144395,48.2227
ENSMMUG00000019410,ENSG00000144395,48.8037
ENSMMUG00000019410,ENSG00000115267,48.8964
ENSMMUG00000032529,ENSG00000138068,57.5758
ENSMMUG00000032528,ENSG00000138068,59.6899
ENSMMUG00000015704,ENSG00000175463,48.3629
ENSMMUG00000020898,ENSG00000260789,47.8889
ENSMMUG00000012770,ENSG00000173156,48.5337
ENSMMUG00000001760,ENSG00000262942,49.1353
ENSMMUG00000001760,ENSG00000266093,49.2486
ENSMMUG00000018837,ENSG00000150722,49.0566
ENSMMUG00000018837,ENSG00000150722,48.9455
ENSMMUG00000018837,ENSG00000113966,48.7122
ENSMMUG00000018837,ENSG00000105856,48.2759
ENSMMUG00000018837,ENSG00000105856,48.48
ENSMMUG00000019415,ENSG00000143889,48.4474
ENSMMUG00000019415,ENSG00000115263,49.511
ENSMMUG00000019415,ENSG00000262145,49.3585
ENSMMUG00000018839,ENSG00000135655,48.8506
ENSMMUG00000013595,ENSG00000105865,49.3694
ENSMMUG00000013595,ENSG00000260313,48.8351
ENSMMUG00000019054,ENSG00000263290,49.1594
ENSMMUG00000003482,ENSG00000153237,49.0047
ENSMMUG00000003482,ENSG00000080224,49.0802
ENSMMUG00000003040,ENSG00000091137,48.6588
ENSMMUG00000003040,ENSG00000123612,48.6624
ENSMMUG00000017839,ENSG00000138381,48.7401
ENSMMUG00000017839,ENSG00000138381,48.856
ENSMMUG00000003041,ENSG00000260178,48.4099
ENSMMUG00000003041,ENSG00000128641,48.5095
ENSMMUG00000003041,ENSG00000143536,48.5568
ENSMMUG00000017842,ENSG00000064933,48.7859
ENSMMUG00000009049,ENSG00000262684,48.7912
ENSMMUG00000020152,ENSG00000264886,47.2727
ENSMMUG00000009050,ENSG00000260155,47.3027
ENSMMUG00000009050,ENSG00000260376,47.6104
ENSMMUG00000009050,ENSG00000261755,47.6348
ENSMMUG00000009050,ENSG00000261201,47.5165
ENSMMUG00000009050,ENSG00000261201,47.697
ENSMMUG00000009050,ENSG00000259919,47.7523
ENSMMUG00000004858,ENSG00000182134,48.6409
ENSMMUG00000015736,ENSG00000263138,48.8683
ENSMMUG00000015736,ENSG00000163216,48.1848
ENSMMUG00000015737,ENSG00000162980,48.629
ENSMMUG00000015737,ENSG00000198673,48.9604
ENSMMUG00000015738,ENSG00000143452,48.9826
ENSMMUG00000015740,ENSG00000257339,49.4014
ENSMMUG00000009051,ENSG00000261236,48.172
ENSMMUG00000017998,ENSG00000257370,26.8041
ENSMMUG00000014047,ENSG00000257211,48.9738
ENSMMUG00000014047,ENSG00000036054,48.7415
ENSMMUG00000000719,ENSG00000156931,48.5677
ENSMMUG00000012078,ENSG00000049323,48.1074
ENSMMUG00000017288,ENSG00000163157,48.3025
ENSMMUG00000014048,ENSG00000153237,48.7373
ENSMMUG00000014048,ENSG00000064933,48.8875
ENSMMUG00000017289,ENSG00000260873,50.6667
ENSMMUG00000017290,ENSG00000260789,47.5763
ENSMMUG00000022472,ENSG00000163002,48.7867
ENSMMUG00000022472,ENSG00000136560,48.6877
ENSMMUG00000022001,ENSG00000144395,48.7759
ENSMMUG00000014050,ENSG00000262606,49.0171
ENSMMUG00000003127,ENSG00000151689,48.8248
ENSMMUG00000018334,ENSG00000143376,49.126
ENSMMUG00000014052,ENSG00000159377,49.0583
ENSMMUG00000014052,ENSG00000259808,48.645
ENSMMUG00000023652,ENSG00000143889,48.6561
ENSMMUG00000032527,ENSG00000256219,51.8072
ENSMMUG00000004914,ENSG00000128641,49.6894
ENSMMUG00000014054,ENSG00000266093,49.7222
ENSMMUG00000004218,ENSG00000168386,48.7619
ENSMMUG00000013999,ENSG00000262826,49.2472
ENSMMUG00000014055,ENSG00000115904,48.8992
ENSMMUG00000014055,ENSG00000143375,50.3185
ENSMMUG00000023688,ENSG00000261323,48.5318
ENSMMUG00000023689,ENSG00000261155,48.4405
ENSMMUG00000010157,ENSG00000261042,47.8643
ENSMMUG00000032526,ENSG00000143442,50
ENSMMUG00000003136,ENSG00000260873,48.5392
ENSMMUG00000003136,ENSG00000163882,48.3539
ENSMMUG00000012368,ENSG00000226894,49.2424
ENSMMUG00000004797,ENSG00000091137,49.2481
ENSMMUG00000004797,ENSG00000113966,49.3205
ENSMMUG00000004797,ENSG00000163002,50.6361
ENSMMUG00000010911,ENSG00000136560,48.2535
ENSMMUG00000010911,ENSG00000136560,48.2913
ENSMMUG00000010911,ENSG00000262562,48.3092
ENSMMUG00000010911,ENSG00000115841,48.583
ENSMMUG00000004798,ENSG00000261300,50.1104
ENSMMUG00000016237,ENSG00000262942,49.0418
ENSMMUG00000010913,ENSG00000003436,48.4163
ENSMMUG00000016238,ENSG00000115271,48.6717
ENSMMUG00000016238,ENSG00000115267,49.3493
ENSMMUG00000016238,ENSG00000188452,48.564
ENSMMUG00000010914,ENSG00000262606,48.4112
ENSMMUG00000010914,ENSG00000138068,47.9784
ENSMMUG00000010914,ENSG00000128694,48.4848
ENSMMUG00000013356,ENSG00000198130,48.0064
ENSMMUG00000021599,ENSG00000144366,48.5675
ENSMMUG00000021598,ENSG00000136541,48.074
ENSMMUG00000012001,ENSG00000163207,49.2379
ENSMMUG00000012001,ENSG00000259801,49.5198
ENSMMUG00000012001,ENSG00000262942,49.5787
ENSMMUG00000012001,ENSG00000115165,49.3963
ENSMMUG00000010598,ENSG00000185306,48.7979
ENSMMUG00000010598,ENSG00000173020,48.9433
ENSMMUG00000032525,ENSG00000187238,48.1793
ENSMMUG00000012915,ENSG00000115267,49.1973
ENSMMUG00000012916,ENSG00000144395,49.3053
ENSMMUG00000012916,ENSG00000144290,49.198
ENSMMUG00000012894,ENSG00000197635,49.2647
ENSMMUG00000012894,ENSG00000091129,49.1797
ENSMMUG00000012894,ENSG00000054219,49.7631
ENSMMUG00000012899,ENSG00000198130,48.2759
ENSMMUG00000012899,ENSG00000080200,48.6923
ENSMMUG00000012918,ENSG00000260873,48.6772
ENSMMUG00000012918,ENSG00000136527,47.4667
ENSMMUG00000016110,ENSG00000073803,50.4893
ENSMMUG00000023218,ENSG00000187939,46.5167
ENSMMUG00000022568,ENSG00000151689,49.14
ENSMMUG00000001433,ENSG00000113905,49.39
ENSMMUG00000032522,ENSG00000198130,48.4444
ENSMMUG00000019969,ENSG00000115252,49.0694
ENSMMUG00000019969,ENSG00000257679,48.8648
ENSMMUG00000005084,ENSG00000144290,49.2086
ENSMMUG00000019974,ENSG00000262684,49.4144
ENSMMUG00000019974,ENSG00000115165,48.816
ENSMMUG00000032520,ENSG00000257370,27.4306
ENSMMUG00000005063,ENSG00000168386,49.6588
ENSMMUG00000032519,ENSG00000257370,49.5726
ENSMMUG00000019976,ENSG00000073803,49.5071
ENSMMUG00000005065,ENSG00000175215,48
ENSMMUG00000005066,ENSG00000136536,48.7189
ENSMMUG00000005066,ENSG00000064933,48.3619
ENSMMUG00000005066,ENSG00000091137,48.3305
ENSMMUG00000005066,ENSG00000113966,48.5895
ENSMMUG00000013971,ENSG00000138068,51.1111
ENSMMUG00000006616,ENSG00000257561,47.3039
ENSMMUG00000006616,ENSG00000105856,49.7145
ENSMMUG00000006616,ENSG00000136536,49.5208
ENSMMUG00000006616,ENSG00000007001,49.7763
ENSMMUG00000006616,ENSG00000257211,49.6487
ENSMMUG00000006616,ENSG00000115159,49.3014
ENSMMUG00000006616,ENSG00000163202,49.0741
ENSMMUG00000020513,ENSG00000262826,48.5022
ENSMMUG00000020513,ENSG00000143375,49.3827
