macaca_mulatta,pan_troglodytes
ENSMMUG00000022130,ENSPTRG00000028731,49.9259
ENSMMUG00000015761,ENSPTRG00000009854,26.6026
ENSMMUG00000032568,ENSPTRG00000021649,48.6532
ENSMMUG00000003993,ENSPTRG00000021690,49.4118
ENSMMUG00000000768,ENSPTRG00000009851,18.9623
ENSMMUG00000000890,ENSPTRG00000030824,49.3917
ENSMMUG00000011408,ENSPTRG00000021740,49.2972
ENSMMUG00000011404,ENSPTRG00000003199,49.4663
ENSMMUG00000011404,ENSPTRG00000009849,6.23053
ENSMMUG00000014506,ENSPTRG00000009847,47.7231
ENSMMUG00000014506,ENSPTRG00000009847,48.5185
ENSMMUG00000000212,ENSPTRG00000007683,49.3671
ENSMMUG00000016302,ENSPTRG00000009845,4.30806
ENSMMUG00000016302,ENSPTRG00000009845,23.2468
ENSMMUG00000032565,ENSPTRG00000031328,48.3034
ENSMMUG00000021463,ENSPTRG00000040289,48.2201
ENSMMUG00000019418,ENSPTRG00000009844,27.8729
ENSMMUG00000019418,ENSPTRG00000009844,24.3463
ENSMMUG00000022005,ENSPTRG00000029352,46.2984
ENSMMUG00000001471,ENSPTRG00000009839,20.1091
ENSMMUG00000001471,ENSPTRG00000000008,49.0404
ENSMMUG00000005086,ENSPTRG00000009838,18.75
ENSMMUG00000005086,ENSPTRG00000009838,29.1346
ENSMMUG00000005086,ENSPTRG00000009838,29.9923
ENSMMUG00000005086,ENSPTRG00000009838,16.4863
ENSMMUG00000013752,ENSPTRG00000009836,6.29515
ENSMMUG00000019893,ENSPTRG00000009835,4.95532
ENSMMUG00000019893,ENSPTRG00000009836,29.7327
ENSMMUG00000019892,ENSPTRG00000009834,3.2059
ENSMMUG00000019892,ENSPTRG00000009834,3.20645
ENSMMUG00000019892,ENSPTRG00000009834,15.5844
ENSMMUG00000017548,ENSPTRG00000009833,11.4828
ENSMMUG00000017546,ENSPTRG00000009832,10.9859
ENSMMUG00000017546,ENSPTRG00000041651,46.8619
ENSMMUG00000005461,ENSPTRG00000005794,48.9136
ENSMMUG00000005461,ENSPTRG00000009831,46.9741
ENSMMUG00000005175,ENSPTRG00000019121,48.9672
ENSMMUG00000018952,ENSPTRG00000009829,3.2695
ENSMMUG00000018950,ENSPTRG00000017086,49.0075
ENSMMUG00000018950,ENSPTRG00000005728,49.0787
ENSMMUG00000013904,ENSPTRG00000029128,48.8449
ENSMMUG00000021265,ENSPTRG00000016949,49.1279
ENSMMUG00000021265,ENSPTRG00000028817,47.9351
ENSMMUG00000016216,ENSPTRG00000031314,46.8165
ENSMMUG00000004054,ENSPTRG00000007612,48.0221
ENSMMUG00000004051,ENSPTRG00000039391,48.3707
ENSMMUG00000004051,ENSPTRG00000013839,50
ENSMMUG00000004051,ENSPTRG00000000070,48.4848
ENSMMUG00000004046,ENSPTRG00000009822,17.5177
ENSMMUG00000004046,ENSPTRG00000009822,39.5437
ENSMMUG00000004046,ENSPTRG00000007663,48.0519
ENSMMUG00000004045,ENSPTRG00000009893,48.1654
ENSMMUG00000004045,ENSPTRG00000020996,48.2143
ENSMMUG00000004045,ENSPTRG00000000242,48.7667
ENSMMUG00000012130,ENSPTRG00000028321,47.3988
ENSMMUG00000004663,ENSPTRG00000021662,48.8982
ENSMMUG00000004662,ENSPTRG00000003400,48.6409
ENSMMUG00000004660,ENSPTRG00000019038,48.5564
ENSMMUG00000004660,ENSPTRG00000016929,47.6398
ENSMMUG00000004656,ENSPTRG00000019025,48.5398
ENSMMUG00000004658,ENSPTRG00000040333,50
ENSMMUG00000003974,ENSPTRG00000009847,49.534
ENSMMUG00000003974,ENSPTRG00000007645,49.2617
ENSMMUG00000003974,ENSPTRG00000018889,48.4918
ENSMMUG00000009164,ENSPTRG00000028731,49.3694
ENSMMUG00000008305,ENSPTRG00000028817,49.7738
ENSMMUG00000012987,ENSPTRG00000017015,48.8197
ENSMMUG00000012987,ENSPTRG00000017015,48.6981
ENSMMUG00000003992,ENSPTRG00000031254,49.1409
ENSMMUG00000004382,ENSPTRG00000013874,48.3225
ENSMMUG00000004382,ENSPTRG00000005745,48.1278
ENSMMUG00000007695,ENSPTRG00000005728,47.9638
ENSMMUG00000010227,ENSPTRG00000016931,48.6263
ENSMMUG00000032561,ENSPTRG00000013842,49.3333
ENSMMUG00000010944,ENSPTRG00000031045,46.0157
ENSMMUG00000001477,ENSPTRG00000040740,52.968
ENSMMUG00000009669,ENSPTRG00000023331,48.5613
ENSMMUG00000012715,ENSPTRG00000028288,48.3551
ENSMMUG00000005125,ENSPTRG00000000149,49.2462
ENSMMUG00000032559,ENSPTRG00000019963,49.9127
ENSMMUG00000032558,ENSPTRG00000041916,48.9899
ENSMMUG00000021478,ENSPTRG00000041256,48.5855
ENSMMUG00000021480,ENSPTRG00000017054,49.1015
ENSMMUG00000021484,ENSPTRG00000009860,49.4449
ENSMMUG00000020328,ENSPTRG00000007605,48.062
ENSMMUG00000020328,ENSPTRG00000007644,49.005
ENSMMUG00000004321,ENSPTRG00000014069,48.7762
ENSMMUG00000004321,ENSPTRG00000009849,48.5426
ENSMMUG00000004321,ENSPTRG00000014586,49.1401
ENSMMUG00000004321,ENSPTRG00000014586,49.1512
ENSMMUG00000004321,ENSPTRG00000017015,49.2276
ENSMMUG00000004343,ENSPTRG00000018919,49.2829
ENSMMUG00000004346,ENSPTRG00000041198,49.2701
ENSMMUG00000004346,ENSPTRG00000017088,49.4497
ENSMMUG00000004346,ENSPTRG00000005724,49.1773
ENSMMUG00000004346,ENSPTRG00000005724,48.5942
ENSMMUG00000004350,ENSPTRG00000030297,48.955
ENSMMUG00000004350,ENSPTRG00000009847,48.851
ENSMMUG00000004350,ENSPTRG00000019006,48.8019
ENSMMUG00000032557,ENSPTRG00000013903,50.6536
ENSMMUG00000004664,ENSPTRG00000016947,48.4691
ENSMMUG00000015065,ENSPTRG00000021779,48.5163
ENSMMUG00000032556,ENSPTRG00000039826,45.4829
ENSMMUG00000000207,ENSPTRG00000021659,47.7366
ENSMMUG00000008600,ENSPTRG00000021843,49.2427
ENSMMUG00000008600,ENSPTRG00000022489,49.2254
ENSMMUG00000018059,ENSPTRG00000003132,48.735
ENSMMUG00000018059,ENSPTRG00000003132,48.829
ENSMMUG00000018066,ENSPTRG00000034369,49.7312
ENSMMUG00000018066,ENSPTRG00000028850,48.75
ENSMMUG00000016190,ENSPTRG00000013785,48.9406
ENSMMUG00000004595,ENSPTRG00000020013,50.0575
ENSMMUG00000004595,ENSPTRG00000009884,49.7548
ENSMMUG00000014934,ENSPTRG00000000130,49.086
ENSMMUG00000014934,ENSPTRG00000013847,48.514
ENSMMUG00000014934,ENSPTRG00000021835,49.7717
ENSMMUG00000011801,ENSPTRG00000005861,47.8804
ENSMMUG00000011801,ENSPTRG00000022504,48.6145
ENSMMUG00000032555,ENSPTRG00000042298,49.1968
ENSMMUG00000008614,ENSPTRG00000020011,49.2793
ENSMMUG00000008614,ENSPTRG00000031433,49.3292
ENSMMUG00000015178,ENSPTRG00000016932,49.0003
ENSMMUG00000032554,ENSPTRG00000039101,48.1159
ENSMMUG00000032553,ENSPTRG00000007530,48.1481
ENSMMUG00000007668,ENSPTRG00000040740,48.6235
ENSMMUG00000007668,ENSPTRG00000023331,48.8677
ENSMMUG00000011687,ENSPTRG00000014564,48.8174
ENSMMUG00000011687,ENSPTRG00000023331,49.0173
ENSMMUG00000011690,ENSPTRG00000019025,49.2195
ENSMMUG00000011690,ENSPTRG00000019025,49.247
ENSMMUG00000011690,ENSPTRG00000009829,48.9497
ENSMMUG00000022703,ENSPTRG00000017079,48.4518
ENSMMUG00000022704,ENSPTRG00000020084,48.7208
ENSMMUG00000021094,ENSPTRG00000016950,49.3333
ENSMMUG00000021095,ENSPTRG00000016887,49.1659
ENSMMUG00000016673,ENSPTRG00000003137,49.359
ENSMMUG00000016674,ENSPTRG00000017028,48.4282
ENSMMUG00000016674,ENSPTRG00000020028,49.1038
ENSMMUG00000016674,ENSPTRG00000005774,48.6704
ENSMMUG00000006733,ENSPTRG00000034337,49.1051
ENSMMUG00000018006,ENSPTRG00000020084,48.6645
ENSMMUG00000032550,ENSPTRG00000039826,47.1154
ENSMMUG00000016707,ENSPTRG00000000131,46.3814
ENSMMUG00000012849,ENSPTRG00000003383,47.6497
ENSMMUG00000012849,ENSPTRG00000017054,48.2376
ENSMMUG00000023019,ENSPTRG00000017054,49.0698
ENSMMUG00000023020,ENSPTRG00000021796,49.1333
ENSMMUG00000008190,ENSPTRG00000023597,48.7203
ENSMMUG00000008190,ENSPTRG00000014178,48.3471
ENSMMUG00000004328,ENSPTRG00000013916,48.1647
ENSMMUG00000004328,ENSPTRG00000023331,48.2065
ENSMMUG00000014451,ENSPTRG00000021802,49.6191
ENSMMUG00000014451,ENSPTRG00000020009,48.9979
ENSMMUG00000017276,ENSPTRG00000016999,48.7926
ENSMMUG00000017276,ENSPTRG00000021829,48.5109
ENSMMUG00000017276,ENSPTRG00000003212,48.4629
ENSMMUG00000017276,ENSPTRG00000000275,48.4254
ENSMMUG00000017276,ENSPTRG00000031314,47.8528
ENSMMUG00000003302,ENSPTRG00000016685,48.8498
ENSMMUG00000003302,ENSPTRG00000000131,49.1202
ENSMMUG00000003302,ENSPTRG00000029352,48.5114
ENSMMUG00000003302,ENSPTRG00000029352,48.7089
ENSMMUG00000003302,ENSPTRG00000007713,48.6395
ENSMMUG00000017662,ENSPTRG00000005859,49.4806
ENSMMUG00000032547,ENSPTRG00000013839,51.8519
ENSMMUG00000020530,ENSPTRG00000042501,49.0637
ENSMMUG00000020530,ENSPTRG00000018919,45.9734
ENSMMUG00000020530,ENSPTRG00000016726,49.0358
ENSMMUG00000020530,ENSPTRG00000041924,41.2946
ENSMMUG00000020529,ENSPTRG00000018919,44.498
ENSMMUG00000009320,ENSPTRG00000021842,39.2931
ENSMMUG00000009322,ENSPTRG00000021842,46.417
ENSMMUG00000020108,ENSPTRG00000019141,48.9899
ENSMMUG00000020108,ENSPTRG00000003175,48.532
ENSMMUG00000000457,ENSPTRG00000019057,48.7331
ENSMMUG00000018782,ENSPTRG00000013817,49.3165
ENSMMUG00000018782,ENSPTRG00000013817,49.3165
ENSMMUG00000018777,ENSPTRG00000013797,48.4335
ENSMMUG00000018777,ENSPTRG00000013797,48.5169
ENSMMUG00000018777,ENSPTRG00000017067,48.3848
ENSMMUG00000018777,ENSPTRG00000018980,49.7059
ENSMMUG00000007514,ENSPTRG00000022861,47.3744
ENSMMUG00000018687,ENSPTRG00000028324,29.9901
ENSMMUG00000018784,ENSPTRG00000018951,49.2363
ENSMMUG00000018785,ENSPTRG00000014564,48.5891
ENSMMUG00000018785,ENSPTRG00000009890,49.0376
ENSMMUG00000018688,ENSPTRG00000023871,33.8034
ENSMMUG00000018688,ENSPTRG00000014119,50.3023
ENSMMUG00000003932,ENSPTRG00000000070,48.5564
ENSMMUG00000004985,ENSPTRG00000021627,36.2373
ENSMMUG00000018791,ENSPTRG00000040196,48.6677
ENSMMUG00000000443,ENSPTRG00000021630,37.5635
ENSMMUG00000008247,ENSPTRG00000042614,23.5336
ENSMMUG00000006862,ENSPTRG00000019102,48.9899
ENSMMUG00000006862,ENSPTRG00000000120,49.5047
ENSMMUG00000006862,ENSPTRG00000018855,49.1598
ENSMMUG00000006862,ENSPTRG00000014649,49.5275
ENSMMUG00000006862,ENSPTRG00000017047,49.2156
ENSMMUG00000008250,ENSPTRG00000040047,48.906
ENSMMUG00000008306,ENSPTRG00000022476,15.0685
ENSMMUG00000008306,ENSPTRG00000022476,25.1397
ENSMMUG00000032545,ENSPTRG00000041367,49.0196
ENSMMUG00000021677,ENSPTRG00000019962,48.6486
ENSMMUG00000032544,ENSPTRG00000019057,48.5714
ENSMMUG00000011310,ENSPTRG00000021635,8.17981
ENSMMUG00000011310,ENSPTRG00000021635,44.2061
ENSMMUG00000011310,ENSPTRG00000014635,49.5585
ENSMMUG00000011310,ENSPTRG00000003188,49.5661
ENSMMUG00000018997,ENSPTRG00000041367,46.5517
ENSMMUG00000006863,ENSPTRG00000007541,49.1071
ENSMMUG00000006863,ENSPTRG00000016892,48.6957
ENSMMUG00000006863,ENSPTRG00000009822,48.5566
ENSMMUG00000032543,ENSPTRG00000028792,23.7333
ENSMMUG00000032543,ENSPTRG00000028792,22.7513
ENSMMUG00000011379,ENSPTRG00000028794,48.8017
ENSMMUG00000017377,ENSPTRG00000028731,49.3827
ENSMMUG00000017378,ENSPTRG00000021630,41.5427
ENSMMUG00000022210,ENSPTRG00000028792,24.6719
ENSMMUG00000022210,ENSPTRG00000028792,23.6979
ENSMMUG00000018194,ENSPTRG00000013876,49.6327
ENSMMUG00000018193,ENSPTRG00000028817,49.2866
ENSMMUG00000032542,ENSPTRG00000028792,29.1339
ENSMMUG00000032542,ENSPTRG00000028792,27.0833
ENSMMUG00000006864,ENSPTRG00000009893,48.1803
ENSMMUG00000006864,ENSPTRG00000007694,48.6871
ENSMMUG00000006864,ENSPTRG00000017082,48.9606
ENSMMUG00000018191,ENSPTRG00000012467,49.1323
ENSMMUG00000018191,ENSPTRG00000021752,49.3143
ENSMMUG00000018191,ENSPTRG00000003401,49.0018
ENSMMUG00000006866,ENSPTRG00000014077,47.1351
ENSMMUG00000006866,ENSPTRG00000000081,47.2222
ENSMMUG00000018844,ENSPTRG00000016956,48.5603
ENSMMUG00000018844,ENSPTRG00000021668,47.6218
ENSMMUG00000032541,ENSPTRG00000028731,49.1968
ENSMMUG00000023561,ENSPTRG00000013874,48.8699
ENSMMUG00000032540,ENSPTRG00000041367,49.4949
ENSMMUG00000014553,ENSPTRG00000019931,48.816
ENSMMUG00000000128,ENSPTRG00000041789,42.1333
ENSMMUG00000000128,ENSPTRG00000041789,43.002
ENSMMUG00000000128,ENSPTRG00000041789,43.2049
ENSMMUG00000012475,ENSPTRG00000019106,49.4816
ENSMMUG00000006191,ENSPTRG00000022475,48.2456
ENSMMUG00000017016,ENSPTRG00000017028,48.6125
ENSMMUG00000032539,ENSPTRG00000041367,49.7436
ENSMMUG00000008503,ENSPTRG00000019025,48.508
ENSMMUG00000004997,ENSPTRG00000003316,49.5003
ENSMMUG00000004997,ENSPTRG00000013936,49.5077
ENSMMUG00000004997,ENSPTRG00000013936,49.5397
ENSMMUG00000006192,ENSPTRG00000000017,48.563
ENSMMUG00000006192,ENSPTRG00000000034,48.6166
ENSMMUG00000004010,ENSPTRG00000018889,48.4618
ENSMMUG00000004010,ENSPTRG00000034369,48.3051
ENSMMUG00000032538,ENSPTRG00000013918,48.1481
ENSMMUG00000012796,ENSPTRG00000040529,48.6649
ENSMMUG00000011037,ENSPTRG00000017005,49.2873
ENSMMUG00000006193,ENSPTRG00000007645,47.1471
ENSMMUG00000006193,ENSPTRG00000003184,48.0414
ENSMMUG00000003561,ENSPTRG00000007672,44.8835
ENSMMUG00000006194,ENSPTRG00000034369,48.5133
ENSMMUG00000003562,ENSPTRG00000014579,48.6738
ENSMMUG00000003562,ENSPTRG00000009860,48.8587
ENSMMUG00000016290,ENSPTRG00000021653,21.5044
ENSMMUG00000016290,ENSPTRG00000021653,20.1235
ENSMMUG00000016290,ENSPTRG00000021653,20
ENSMMUG00000016290,ENSPTRG00000021653,24.5886
ENSMMUG00000016290,ENSPTRG00000021653,34.6626
ENSMMUG00000016290,ENSPTRG00000016691,47.5177
ENSMMUG00000003566,ENSPTRG00000017013,48.7277
ENSMMUG00000003566,ENSPTRG00000000124,48.6014
ENSMMUG00000032537,ENSPTRG00000005789,48.7018
ENSMMUG00000003570,ENSPTRG00000019114,49.1172
ENSMMUG00000016291,ENSPTRG00000019956,50.2008
ENSMMUG00000032536,ENSPTRG00000029512,48.9712
ENSMMUG00000013635,ENSPTRG00000021655,37.0607
ENSMMUG00000020179,ENSPTRG00000021656,11.4901
ENSMMUG00000020179,ENSPTRG00000021656,8.26087
ENSMMUG00000020179,ENSPTRG00000034369,47.8378
ENSMMUG00000013993,ENSPTRG00000016908,48.7179
ENSMMUG00000003896,ENSPTRG00000021658,44.4816
ENSMMUG00000003896,ENSPTRG00000021658,43.4364
ENSMMUG00000003896,ENSPTRG00000021658,3.06748
ENSMMUG00000003896,ENSPTRG00000021658,15.9041
ENSMMUG00000003896,ENSPTRG00000021658,40.0088
ENSMMUG00000003896,ENSPTRG00000021834,49.2271
ENSMMUG00000003124,ENSPTRG00000013817,48.5769
ENSMMUG00000008256,ENSPTRG00000021659,11.2455
ENSMMUG00000008256,ENSPTRG00000021659,10
ENSMMUG00000008256,ENSPTRG00000021659,12.0658
ENSMMUG00000011473,ENSPTRG00000042501,48.7517
ENSMMUG00000011473,ENSPTRG00000020011,47.7713
ENSMMUG00000017243,ENSPTRG00000029528,48.42
ENSMMUG00000017246,ENSPTRG00000024081,48.8442
ENSMMUG00000017246,ENSPTRG00000000152,48.8337
ENSMMUG00000017246,ENSPTRG00000000031,48.4135
ENSMMUG00000017246,ENSPTRG00000021663,49.0282
ENSMMUG00000009689,ENSPTRG00000003184,48.5026
ENSMMUG00000002689,ENSPTRG00000021662,8.92857
ENSMMUG00000010252,ENSPTRG00000021663,6.05403
ENSMMUG00000032534,ENSPTRG00000005783,48.9583
ENSMMUG00000011345,ENSPTRG00000000125,49.0625
ENSMMUG00000002742,ENSPTRG00000014593,48.5422
ENSMMUG00000004498,ENSPTRG00000019120,49.3218
ENSMMUG00000004498,ENSPTRG00000019057,49.4186
ENSMMUG00000004498,ENSPTRG00000003385,49.1733
ENSMMUG00000014254,ENSPTRG00000021667,47.8651
ENSMMUG00000014255,ENSPTRG00000021667,34.8201
ENSMMUG00000014255,ENSPTRG00000021667,32.1319
ENSMMUG00000014256,ENSPTRG00000028317,4.83333
ENSMMUG00000032533,ENSPTRG00000039305,46.2963
ENSMMUG00000032532,ENSPTRG00000032577,52.0833
ENSMMUG00000014258,ENSPTRG00000021668,33.7011
ENSMMUG00000014258,ENSPTRG00000028302,48.8675
ENSMMUG00000014258,ENSPTRG00000021728,48.6486
ENSMMUG00000015952,ENSPTRG00000039663,49.1961
ENSMMUG00000015952,ENSPTRG00000016998,48.6557
ENSMMUG00000009370,ENSPTRG00000028316,11.4644
ENSMMUG00000022615,ENSPTRG00000023831,22.3306
ENSMMUG00000015951,ENSPTRG00000000008,47.7148
ENSMMUG00000010999,ENSPTRG00000017039,48.6631
ENSMMUG00000022616,ENSPTRG00000004554,49.1927
ENSMMUG00000018480,ENSPTRG00000013839,50.9804
ENSMMUG00000022618,ENSPTRG00000034469,48.1848
ENSMMUG00000022619,ENSPTRG00000021674,45.3515
ENSMMUG00000022619,ENSPTRG00000021674,45.977
ENSMMUG00000007816,ENSPTRG00000017054,48.6118
ENSMMUG00000007816,ENSPTRG00000028292,48.7062
ENSMMUG00000019410,ENSPTRG00000021675,4.9876
ENSMMUG00000019410,ENSPTRG00000021675,9.51283
ENSMMUG00000019410,ENSPTRG00000021675,28.239
ENSMMUG00000032529,ENSPTRG00000033976,53.7879
ENSMMUG00000032528,ENSPTRG00000019953,51.938
ENSMMUG00000015704,ENSPTRG00000007687,46.8062
ENSMMUG00000020898,ENSPTRG00000007595,47.7222
ENSMMUG00000012770,ENSPTRG00000000009,47.9472
ENSMMUG00000001760,ENSPTRG00000005724,49.0466
ENSMMUG00000001760,ENSPTRG00000021702,49.3852
ENSMMUG00000018837,ENSPTRG00000016990,48.984
ENSMMUG00000018837,ENSPTRG00000016990,48.9455
ENSMMUG00000018837,ENSPTRG00000018954,48.3763
ENSMMUG00000018837,ENSPTRG00000040452,48.9655
ENSMMUG00000018837,ENSPTRG00000028817,49.92
ENSMMUG00000019415,ENSPTRG00000019004,48.8147
ENSMMUG00000019415,ENSPTRG00000021676,38.0807
ENSMMUG00000019415,ENSPTRG00000018979,49.0885
ENSMMUG00000018839,ENSPTRG00000028817,48.9943
ENSMMUG00000013595,ENSPTRG00000013886,49.4294
ENSMMUG00000013595,ENSPTRG00000007592,48.9247
ENSMMUG00000019054,ENSPTRG00000000091,48.2319
ENSMMUG00000003482,ENSPTRG00000021679,11.09
ENSMMUG00000003482,ENSPTRG00000028316,48.5651
ENSMMUG00000003040,ENSPTRG00000005789,48.3468
ENSMMUG00000003040,ENSPTRG00000005789,48.7898
ENSMMUG00000017839,ENSPTRG00000021680,6.86918
ENSMMUG00000017839,ENSPTRG00000021680,8.72932
ENSMMUG00000003041,ENSPTRG00000014662,48.5384
ENSMMUG00000003041,ENSPTRG00000007588,48.4192
ENSMMUG00000003041,ENSPTRG00000003282,48.9292
ENSMMUG00000017842,ENSPTRG00000021681,4.25733
ENSMMUG00000009049,ENSPTRG00000003400,48.4615
ENSMMUG00000020152,ENSPTRG00000041209,49.2929
ENSMMUG00000009050,ENSPTRG00000003178,47.757
ENSMMUG00000009050,ENSPTRG00000003178,47.7919
ENSMMUG00000009050,ENSPTRG00000000017,47.7998
ENSMMUG00000009050,ENSPTRG00000000017,47.9952
ENSMMUG00000009050,ENSPTRG00000000062,47.5152
ENSMMUG00000009050,ENSPTRG00000034540,47.0738
ENSMMUG00000004858,ENSPTRG00000034469,48.2117
ENSMMUG00000015736,ENSPTRG00000021683,28.2922
ENSMMUG00000015736,ENSPTRG00000021683,29.923
ENSMMUG00000015737,ENSPTRG00000021684,5.20425
ENSMMUG00000015737,ENSPTRG00000021684,25.6539
ENSMMUG00000015738,ENSPTRG00000021685,4.16667
ENSMMUG00000015740,ENSPTRG00000021686,23.6233
ENSMMUG00000009051,ENSPTRG00000018855,47.9012
ENSMMUG00000017998,ENSPTRG00000031031,49.4845
ENSMMUG00000014047,ENSPTRG00000021687,35.9759
ENSMMUG00000014047,ENSPTRG00000021687,36.4363
ENSMMUG00000000719,ENSPTRG00000041256,48.5677
ENSMMUG00000012078,ENSPTRG00000019432,48.5958
ENSMMUG00000017288,ENSPTRG00000003258,48.9198
ENSMMUG00000014048,ENSPTRG00000021688,17.35
ENSMMUG00000014048,ENSPTRG00000021688,9.70334
ENSMMUG00000017289,ENSPTRG00000039167,48.2667
ENSMMUG00000017290,ENSPTRG00000000017,46.1999
ENSMMUG00000022472,ENSPTRG00000016726,49.0421
ENSMMUG00000022472,ENSPTRG00000028731,48.8189
ENSMMUG00000022001,ENSPTRG00000019057,48.5876
ENSMMUG00000014050,ENSPTRG00000018998,49.1439
ENSMMUG00000003127,ENSPTRG00000000124,48.6111
ENSMMUG00000018334,ENSPTRG00000030822,48.6438
ENSMMUG00000014052,ENSPTRG00000021692,12.1973
ENSMMUG00000014052,ENSPTRG00000000101,48.6902
ENSMMUG00000023652,ENSPTRG00000021706,49.0226
ENSMMUG00000032527,ENSPTRG00000032585,37.751
ENSMMUG00000004914,ENSPTRG00000021855,49.2754
ENSMMUG00000014054,ENSPTRG00000021693,12.9167
ENSMMUG00000004218,ENSPTRG00000005728,48.5714
ENSMMUG00000013999,ENSPTRG00000017044,49.4093
ENSMMUG00000014055,ENSPTRG00000005745,48.4936
ENSMMUG00000014055,ENSPTRG00000019963,50.1062
ENSMMUG00000023688,ENSPTRG00000041382,48.6949
ENSMMUG00000023689,ENSPTRG00000007589,48.9279
ENSMMUG00000010157,ENSPTRG00000007627,47.8643
ENSMMUG00000032526,ENSPTRG00000039206,50
ENSMMUG00000003136,ENSPTRG00000016742,48.488
ENSMMUG00000003136,ENSPTRG00000007547,47.7366
ENSMMUG00000012368,ENSPTRG00000029512,47.7273
ENSMMUG00000004797,ENSPTRG00000021698,24.4361
ENSMMUG00000004797,ENSPTRG00000021698,30.6908
ENSMMUG00000004797,ENSPTRG00000042089,49.3639
ENSMMUG00000010911,ENSPTRG00000018937,48.1722
ENSMMUG00000010911,ENSPTRG00000018937,48.1692
ENSMMUG00000010911,ENSPTRG00000009829,48.5693
ENSMMUG00000010911,ENSPTRG00000009893,48.6408
ENSMMUG00000004798,ENSPTRG00000021699,3.53201
ENSMMUG00000016237,ENSPTRG00000007702,48.8943
ENSMMUG00000010913,ENSPTRG00000028817,49.0196
