macaca_mulatta,pongo_abelii
ENSMMUG00000021484,ENSPPYG00000018641,49.6004
ENSMMUG00000020328,ENSPPYG00000017702,48.062
ENSMMUG00000020328,ENSPPYG00000017494,48.6318
ENSMMUG00000004321,ENSPPYG00000019620,48.7762
ENSMMUG00000004321,ENSPPYG00000019305,49.5336
ENSMMUG00000004321,ENSPPYG00000020631,48.9275
ENSMMUG00000004321,ENSPPYG00000020631,48.7717
ENSMMUG00000004321,ENSPPYG00000019205,49.0854
ENSMMUG00000004343,ENSPPYG00000019339,48.8918
ENSMMUG00000004346,ENSPPYG00000019247,47.5912
ENSMMUG00000004346,ENSPPYG00000019247,47.2484
ENSMMUG00000004346,ENSPPYG00000017730,48.5375
ENSMMUG00000004346,ENSPPYG00000017730,48.5942
ENSMMUG00000004350,ENSPPYG00000019395,48.7017
ENSMMUG00000004350,ENSPPYG00000017871,48.7813
ENSMMUG00000004350,ENSPPYG00000017939,48.5681
ENSMMUG00000032557,ENSPPYG00000018225,27.451
ENSMMUG00000004664,ENSPPYG00000019247,48.2736
ENSMMUG00000015065,ENSPPYG00000019247,47.4036
ENSMMUG00000032556,ENSPPYG00000018225,24.6106
ENSMMUG00000000207,ENSPPYG00000020122,47.7366
ENSMMUG00000008600,ENSPPYG00000018873,49.3041
ENSMMUG00000008600,ENSPPYG00000019325,49.3287
ENSMMUG00000018059,ENSPPYG00000019247,48.1358
ENSMMUG00000018059,ENSPPYG00000019247,47.9063
ENSMMUG00000018066,ENSPPYG00000017575,44.086
ENSMMUG00000018066,ENSPPYG00000020068,49.1667
ENSMMUG00000016190,ENSPPYG00000020519,48.7339
ENSMMUG00000004595,ENSPPYG00000017480,49.8849
ENSMMUG00000004595,ENSPPYG00000020679,49.8638
ENSMMUG00000014934,ENSPPYG00000020404,49.086
ENSMMUG00000014934,ENSPPYG00000018274,48.8636
ENSMMUG00000014934,ENSPPYG00000019760,49.1629
ENSMMUG00000011801,ENSPPYG00000019159,48.5498
ENSMMUG00000011801,ENSPPYG00000019511,48.5542
ENSMMUG00000032555,ENSPPYG00000017690,13.0522
ENSMMUG00000008614,ENSPPYG00000019247,48.4685
ENSMMUG00000008614,ENSPPYG00000020144,49.1228
ENSMMUG00000015178,ENSPPYG00000017871,48.9483
ENSMMUG00000032554,ENSPPYG00000020346,48.1159
ENSMMUG00000032553,ENSPPYG00000020012,47.2663
ENSMMUG00000007668,ENSPPYG00000020483,48.9955
ENSMMUG00000007668,ENSPPYG00000020302,48.8677
ENSMMUG00000011687,ENSPPYG00000018445,48.9653
ENSMMUG00000011687,ENSPPYG00000018445,48.7814
ENSMMUG00000011690,ENSPPYG00000019451,49.0539
ENSMMUG00000011690,ENSPPYG00000019451,48.9123
ENSMMUG00000011690,ENSPPYG00000020212,48.7911
ENSMMUG00000022703,ENSPPYG00000019205,49.0978
ENSMMUG00000022704,ENSPPYG00000020527,49.0823
ENSMMUG00000021094,ENSPPYG00000018317,48.9333
ENSMMUG00000021095,ENSPPYG00000018787,48.8147
ENSMMUG00000016673,ENSPPYG00000019073,48.8782
ENSMMUG00000016674,ENSPPYG00000018617,48.8889
ENSMMUG00000016674,ENSPPYG00000019265,49.5283
ENSMMUG00000016674,ENSPPYG00000019247,47.8646
ENSMMUG00000006733,ENSPPYG00000019053,4.25056
ENSMMUG00000018006,ENSPPYG00000018575,48.7447
ENSMMUG00000032550,ENSPPYG00000018225,23.0769
ENSMMUG00000016707,ENSPPYG00000017821,47.5964
ENSMMUG00000012849,ENSPPYG00000017933,48.7111
ENSMMUG00000012849,ENSPPYG00000019265,48.4307
ENSMMUG00000023019,ENSPPYG00000019179,48.6512
ENSMMUG00000023020,ENSPPYG00000019247,48.6667
ENSMMUG00000008190,ENSPPYG00000018957,49.1391
ENSMMUG00000008190,ENSPPYG00000019988,47.5207
ENSMMUG00000004328,ENSPPYG00000017692,48.6449
ENSMMUG00000004328,ENSPPYG00000019511,47.7253
ENSMMUG00000014451,ENSPPYG00000019295,49.4249
ENSMMUG00000014451,ENSPPYG00000020270,48.9979
ENSMMUG00000017276,ENSPPYG00000020523,48.6393
ENSMMUG00000017276,ENSPPYG00000017881,48.4604
ENSMMUG00000017276,ENSPPYG00000020523,48.5909
ENSMMUG00000017276,ENSPPYG00000019159,48.471
ENSMMUG00000017276,ENSPPYG00000018919,49.0798
ENSMMUG00000003302,ENSPPYG00000020222,48.8047
ENSMMUG00000003302,ENSPPYG00000020222,48.3871
ENSMMUG00000003302,ENSPPYG00000017955,48.3946
ENSMMUG00000003302,ENSPPYG00000017955,48.4155
ENSMMUG00000003302,ENSPPYG00000020226,48.3844
ENSMMUG00000017662,ENSPPYG00000017933,49.6345
ENSMMUG00000032547,ENSPPYG00000018302,22.963
ENSMMUG00000020530,ENSPPYG00000019247,46.2921
ENSMMUG00000020530,ENSPPYG00000018989,45.3088
ENSMMUG00000020530,ENSPPYG00000020924,48.2094
ENSMMUG00000020530,ENSPPYG00000019511,39.3601
ENSMMUG00000020529,ENSPPYG00000018997,44.235
ENSMMUG00000009320,ENSPPYG00000019511,38.115
ENSMMUG00000009322,ENSPPYG00000019511,46.6753
ENSMMUG00000020108,ENSPPYG00000019716,48.8215
ENSMMUG00000020108,ENSPPYG00000019716,48.3592
ENSMMUG00000000457,ENSPPYG00000019437,46.376
ENSMMUG00000018782,ENSPPYG00000020497,48.7907
ENSMMUG00000018782,ENSPPYG00000020497,48.8959
ENSMMUG00000018777,ENSPPYG00000019265,47.9199
ENSMMUG00000018777,ENSPPYG00000019265,48.0932
ENSMMUG00000018777,ENSPPYG00000019451,49.0598
ENSMMUG00000018777,ENSPPYG00000017510,48.7255
ENSMMUG00000007514,ENSPPYG00000020088,23.4227
ENSMMUG00000018687,ENSPPYG00000020090,42.999
ENSMMUG00000018784,ENSPPYG00000018587,49.1465
ENSMMUG00000018785,ENSPPYG00000020513,48.6278
ENSMMUG00000018785,ENSPPYG00000019065,48.8626
ENSMMUG00000018688,ENSPPYG00000020587,49.2287
ENSMMUG00000018688,ENSPPYG00000019960,50.0605
ENSMMUG00000003932,ENSPPYG00000020092,35.8705
ENSMMUG00000004985,ENSPPYG00000020094,5.66542
ENSMMUG00000018791,ENSPPYG00000019734,48.6285
ENSMMUG00000000443,ENSPPYG00000020096,5.52735
ENSMMUG00000008247,ENSPPYG00000020098,19.1907
ENSMMUG00000006862,ENSPPYG00000018449,48.9418
ENSMMUG00000006862,ENSPPYG00000017549,49.7317
ENSMMUG00000006862,ENSPPYG00000018549,49.4234
ENSMMUG00000006862,ENSPPYG00000020438,49.7213
ENSMMUG00000006862,ENSPPYG00000017881,49.0413
ENSMMUG00000008250,ENSPPYG00000019692,17.3745
ENSMMUG00000008306,ENSPPYG00000019273,41.0959
ENSMMUG00000008306,ENSPPYG00000018165,48.2682
ENSMMUG00000032545,ENSPPYG00000017372,50
ENSMMUG00000021677,ENSPPYG00000017575,44.1441
ENSMMUG00000032544,ENSPPYG00000019247,48.6984
ENSMMUG00000011310,ENSPPYG00000020448,46.8312
ENSMMUG00000011310,ENSPPYG00000020448,39.3491
ENSMMUG00000011310,ENSPPYG00000020448,45.7319
ENSMMUG00000011310,ENSPPYG00000020448,39.6014
ENSMMUG00000018997,ENSPPYG00000020653,46.5517
ENSMMUG00000006863,ENSPPYG00000019802,48.6111
ENSMMUG00000006863,ENSPPYG00000019259,48.5507
ENSMMUG00000006863,ENSPPYG00000019988,49.4804
ENSMMUG00000032543,ENSPPYG00000020110,38.6667
ENSMMUG00000032543,ENSPPYG00000020110,38.0952
ENSMMUG00000011379,ENSPPYG00000020104,5.01089
ENSMMUG00000017377,ENSPPYG00000019760,48.6111
ENSMMUG00000017378,ENSPPYG00000020106,17.2452
ENSMMUG00000022210,ENSPPYG00000020110,39.6325
ENSMMUG00000022210,ENSPPYG00000020110,39.0625
ENSMMUG00000018194,ENSPPYG00000019990,49.6327
ENSMMUG00000018193,ENSPPYG00000019247,48.8327
ENSMMUG00000032542,ENSPPYG00000020110,39.895
ENSMMUG00000032542,ENSPPYG00000020110,39.0625
ENSMMUG00000006864,ENSPPYG00000020410,48.5062
ENSMMUG00000006864,ENSPPYG00000020749,48.4683
ENSMMUG00000006864,ENSPPYG00000018871,48.7965
ENSMMUG00000018191,ENSPPYG00000020308,48.9527
ENSMMUG00000018191,ENSPPYG00000017480,49.0161
ENSMMUG00000018191,ENSPPYG00000019247,48.6993
ENSMMUG00000006866,ENSPPYG00000020886,47.3397
ENSMMUG00000006866,ENSPPYG00000018545,46.1111
ENSMMUG00000018844,ENSPPYG00000019265,48.9507
ENSMMUG00000018844,ENSPPYG00000017955,49.2264
ENSMMUG00000032541,ENSPPYG00000017690,13.4538
ENSMMUG00000023561,ENSPPYG00000017653,49.0206
ENSMMUG00000032540,ENSPPYG00000020930,47.9798
ENSMMUG00000014553,ENSPPYG00000018447,49.0528
ENSMMUG00000000128,ENSPPYG00000019247,47.3333
ENSMMUG00000000128,ENSPPYG00000019247,47.1941
ENSMMUG00000000128,ENSPPYG00000019247,47.1941
ENSMMUG00000012475,ENSPPYG00000020681,49.2931
ENSMMUG00000006191,ENSPPYG00000019988,47.7778
ENSMMUG00000017016,ENSPPYG00000017530,48.8181
ENSMMUG00000032539,ENSPPYG00000020100,49.7436
ENSMMUG00000008503,ENSPPYG00000019451,48.434
ENSMMUG00000004997,ENSPPYG00000020679,49.3239
ENSMMUG00000004997,ENSPPYG00000018967,49.9274
ENSMMUG00000004997,ENSPPYG00000018967,49.9435
ENSMMUG00000006192,ENSPPYG00000018985,48.2698
ENSMMUG00000006192,ENSPPYG00000019247,48.3531
ENSMMUG00000004010,ENSPPYG00000018105,48.3894
ENSMMUG00000004010,ENSPPYG00000020468,48.1638
ENSMMUG00000032538,ENSPPYG00000017804,47.7366
ENSMMUG00000012796,ENSPPYG00000019247,47.4591
ENSMMUG00000011037,ENSPPYG00000019439,49.6711
ENSMMUG00000006193,ENSPPYG00000020116,9.84556
ENSMMUG00000006193,ENSPPYG00000019728,47.4501
ENSMMUG00000003561,ENSPPYG00000018123,44.9848
ENSMMUG00000006194,ENSPPYG00000018771,49.2958
ENSMMUG00000003562,ENSPPYG00000019247,47.6703
ENSMMUG00000003562,ENSPPYG00000020422,49.2045
ENSMMUG00000016290,ENSPPYG00000017603,48.9839
ENSMMUG00000016290,ENSPPYG00000019812,49.0123
ENSMMUG00000016290,ENSPPYG00000020860,49.1589
ENSMMUG00000016290,ENSPPYG00000020860,48.3382
ENSMMUG00000016290,ENSPPYG00000020860,48.5344
ENSMMUG00000016290,ENSPPYG00000019988,46.4539
ENSMMUG00000003566,ENSPPYG00000018709,48.3461
ENSMMUG00000003566,ENSPPYG00000018671,48.6014
ENSMMUG00000032537,ENSPPYG00000019247,47.5789
ENSMMUG00000003570,ENSPPYG00000017651,48.9032
ENSMMUG00000016291,ENSPPYG00000020022,49.3976
ENSMMUG00000032536,ENSPPYG00000020350,47.7366
ENSMMUG00000013635,ENSPPYG00000019399,48.4026
ENSMMUG00000020179,ENSPPYG00000018609,49.343
ENSMMUG00000020179,ENSPPYG00000020519,48.8696
ENSMMUG00000020179,ENSPPYG00000017575,44.0541
ENSMMUG00000013993,ENSPPYG00000018809,48.8483
ENSMMUG00000003896,ENSPPYG00000019257,49.627
ENSMMUG00000003896,ENSPPYG00000019257,50.0253
ENSMMUG00000003896,ENSPPYG00000020860,48.5685
ENSMMUG00000003896,ENSPPYG00000019714,49.6006
ENSMMUG00000003896,ENSPPYG00000017452,48.9634
ENSMMUG00000003896,ENSPPYG00000019551,48.744
ENSMMUG00000003124,ENSPPYG00000019515,48.482
ENSMMUG00000008256,ENSPPYG00000020122,25.7557
ENSMMUG00000008256,ENSPPYG00000020122,17.9104
ENSMMUG00000008256,ENSPPYG00000020122,13.1627
ENSMMUG00000011473,ENSPPYG00000019247,48.1969
ENSMMUG00000011473,ENSPPYG00000020838,47.8682
ENSMMUG00000017243,ENSPPYG00000017577,48.1142
ENSMMUG00000017246,ENSPPYG00000019832,48.7067
ENSMMUG00000017246,ENSPPYG00000019832,48.6815
ENSMMUG00000017246,ENSPPYG00000018915,47.7994
ENSMMUG00000017246,ENSPPYG00000020124,49.0282
ENSMMUG00000009689,ENSPPYG00000020244,48.4375
ENSMMUG00000002689,ENSPPYG00000020481,49.1541
ENSMMUG00000010252,ENSPPYG00000020124,6.17463
ENSMMUG00000032534,ENSPPYG00000019720,49.4792
ENSMMUG00000011345,ENSPPYG00000017756,24.2708
ENSMMUG00000002742,ENSPPYG00000018969,48.2353
ENSMMUG00000004498,ENSPPYG00000017738,49.2132
ENSMMUG00000004498,ENSPPYG00000018611,49.3023
ENSMMUG00000004498,ENSPPYG00000019247,47.6636
ENSMMUG00000014254,ENSPPYG00000018815,49.0822
ENSMMUG00000014255,ENSPPYG00000020126,9.27743
ENSMMUG00000014255,ENSPPYG00000020126,6.0382
ENSMMUG00000014256,ENSPPYG00000020104,49.8333
ENSMMUG00000032533,ENSPPYG00000018603,57.4074
ENSMMUG00000032532,ENSPPYG00000018077,50.5208
ENSMMUG00000014258,ENSPPYG00000020112,43.8315
ENSMMUG00000014258,ENSPPYG00000019377,48.3711
ENSMMUG00000014258,ENSPPYG00000020128,19.5946
ENSMMUG00000015952,ENSPPYG00000017883,49.089
ENSMMUG00000015952,ENSPPYG00000019988,48.8525
ENSMMUG00000009370,ENSPPYG00000018589,48.2659
ENSMMUG00000022615,ENSPPYG00000018823,48.5617
ENSMMUG00000015951,ENSPPYG00000019988,47.1664
ENSMMUG00000010999,ENSPPYG00000019265,49.0034
ENSMMUG00000022616,ENSPPYG00000017639,49.1584
ENSMMUG00000018480,ENSPPYG00000018337,48.0392
ENSMMUG00000022618,ENSPPYG00000020725,46.3696
ENSMMUG00000022619,ENSPPYG00000017575,45.805
ENSMMUG00000022619,ENSPPYG00000017575,44.5977
ENSMMUG00000007816,ENSPPYG00000019265,48.3195
ENSMMUG00000007816,ENSPPYG00000019247,46.8037
ENSMMUG00000019410,ENSPPYG00000020134,22.2926
ENSMMUG00000019410,ENSPPYG00000020134,25.5693
ENSMMUG00000019410,ENSPPYG00000020134,33.2054
ENSMMUG00000032529,ENSPPYG00000020922,50
ENSMMUG00000032528,ENSPPYG00000020922,37.9845
ENSMMUG00000015704,ENSPPYG00000018969,47.2356
ENSMMUG00000020898,ENSPPYG00000018981,47.3889
ENSMMUG00000012770,ENSPPYG00000018965,47.5073
ENSMMUG00000001760,ENSPPYG00000020222,48.8692
ENSMMUG00000001760,ENSPPYG00000019247,47.7459
ENSMMUG00000018837,ENSPPYG00000019247,47.4601
ENSMMUG00000018837,ENSPPYG00000019247,47.4182
ENSMMUG00000018837,ENSPPYG00000020531,48.9362
ENSMMUG00000018837,ENSPPYG00000020292,48.7356
ENSMMUG00000018837,ENSPPYG00000020128,48.48
ENSMMUG00000019415,ENSPPYG00000018631,48.9816
ENSMMUG00000019415,ENSPPYG00000019654,49.3888
ENSMMUG00000019415,ENSPPYG00000019247,49.156
ENSMMUG00000018839,ENSPPYG00000020505,47.9885
ENSMMUG00000013595,ENSPPYG00000020136,10.6306
ENSMMUG00000013595,ENSPPYG00000020136,47.2222
ENSMMUG00000019054,ENSPPYG00000019988,48.9855
ENSMMUG00000003482,ENSPPYG00000020659,49.5103
ENSMMUG00000003482,ENSPPYG00000019247,48.05
ENSMMUG00000003040,ENSPPYG00000019247,47.723
ENSMMUG00000003040,ENSPPYG00000019247,47.3248
ENSMMUG00000017839,ENSPPYG00000020138,13.4967
ENSMMUG00000017839,ENSPPYG00000020138,11.8268
ENSMMUG00000003041,ENSPPYG00000019626,48.442
ENSMMUG00000003041,ENSPPYG00000020631,48.6902
ENSMMUG00000003041,ENSPPYG00000020154,48.8827
ENSMMUG00000017842,ENSPPYG00000019231,48.439
ENSMMUG00000009049,ENSPPYG00000020679,49.2308
ENSMMUG00000020152,ENSPPYG00000017575,47.2727
ENSMMUG00000009050,ENSPPYG00000018915,47.1323
ENSMMUG00000009050,ENSPPYG00000019988,46.703
ENSMMUG00000009050,ENSPPYG00000018915,47.1947
ENSMMUG00000009050,ENSPPYG00000018981,47.696
ENSMMUG00000009050,ENSPPYG00000019988,47.2727
ENSMMUG00000009050,ENSPPYG00000019640,48.0068
ENSMMUG00000004858,ENSPPYG00000019093,48.6409
ENSMMUG00000015736,ENSPPYG00000020850,48.7654
ENSMMUG00000015736,ENSPPYG00000018165,48.4048
ENSMMUG00000015737,ENSPPYG00000020142,6.43537
ENSMMUG00000015737,ENSPPYG00000020142,21.6968
ENSMMUG00000015738,ENSPPYG00000018645,48.9826
ENSMMUG00000015740,ENSPPYG00000020144,31.2849
ENSMMUG00000009051,ENSPPYG00000019812,48.0366
ENSMMUG00000017998,ENSPPYG00000018225,27.1478
ENSMMUG00000014047,ENSPPYG00000017682,49.1348
ENSMMUG00000014047,ENSPPYG00000017682,48.9812
ENSMMUG00000000719,ENSPPYG00000017911,47.6562
ENSMMUG00000012078,ENSPPYG00000018995,48.2295
ENSMMUG00000017288,ENSPPYG00000019728,48.1481
ENSMMUG00000014048,ENSPPYG00000020146,27.55
ENSMMUG00000014048,ENSPPYG00000020146,20.4883
ENSMMUG00000017289,ENSPPYG00000018300,6.13333
ENSMMUG00000017290,ENSPPYG00000019988,46.7983
ENSMMUG00000022472,ENSPPYG00000020609,48.4036
ENSMMUG00000022472,ENSPPYG00000017937,48.1627
ENSMMUG00000022001,ENSPPYG00000019247,47.9598
ENSMMUG00000014050,ENSPPYG00000019511,49.0171
ENSMMUG00000003127,ENSPPYG00000018831,48.8248
ENSMMUG00000018334,ENSPPYG00000017656,48.5835
ENSMMUG00000014052,ENSPPYG00000020721,48.8789
ENSMMUG00000014052,ENSPPYG00000020815,48.9612
ENSMMUG00000023652,ENSPPYG00000020162,48.5644
ENSMMUG00000032527,ENSPPYG00000017734,38.5542
ENSMMUG00000004914,ENSPPYG00000018347,47.205
ENSMMUG00000014054,ENSPPYG00000020150,2.77778
ENSMMUG00000004218,ENSPPYG00000018907,48.381
ENSMMUG00000013999,ENSPPYG00000019125,48.9924
ENSMMUG00000014055,ENSPPYG00000017955,48.9571
ENSMMUG00000014055,ENSPPYG00000017823,47.7707
ENSMMUG00000023688,ENSPPYG00000019247,47.1452
ENSMMUG00000023689,ENSPPYG00000020214,33.3333
ENSMMUG00000010157,ENSPPYG00000020842,48.4925
ENSMMUG00000032526,ENSPPYG00000020677,48.6842
ENSMMUG00000003136,ENSPPYG00000019259,47.6679
ENSMMUG00000003136,ENSPPYG00000019678,48.0453
ENSMMUG00000012368,ENSPPYG00000017575,46.2121
ENSMMUG00000004797,ENSPPYG00000020154,24.7583
ENSMMUG00000004797,ENSPPYG00000020154,30.974
ENSMMUG00000004797,ENSPPYG00000017575,43.257
ENSMMUG00000010911,ENSPPYG00000017714,48.1316
ENSMMUG00000010911,ENSPPYG00000017714,48.1286
ENSMMUG00000010911,ENSPPYG00000017903,49.0152
ENSMMUG00000010911,ENSPPYG00000017955,48.1203
ENSMMUG00000004798,ENSPPYG00000017575,46.3576
ENSMMUG00000016237,ENSPPYG00000019970,48.5995
ENSMMUG00000010913,ENSPPYG00000020505,47.9638
