pongo_abelii,pan_troglodytes
ENSPPYG00000020878,ENSPTRG00000021620,48.9139
ENSPPYG00000020876,ENSPTRG00000000017,47.7246
ENSPPYG00000020876,ENSPTRG00000017018,47.4403
ENSPPYG00000020876,ENSPTRG00000028611,49.789
ENSPPYG00000020874,ENSPTRG00000007663,48.58
ENSPPYG00000020874,ENSPTRG00000007683,48.6312
ENSPPYG00000020870,ENSPTRG00000003123,48.3473
ENSPPYG00000020868,ENSPTRG00000030841,47.8632
ENSPPYG00000020866,ENSPTRG00000016691,48.4302
ENSPPYG00000020866,ENSPTRG00000016691,48.3915
ENSPPYG00000020864,ENSPTRG00000004015,45.6743
ENSPPYG00000020862,ENSPTRG00000007558,45.5896
ENSPPYG00000020860,ENSPTRG00000007671,46.2238
ENSPPYG00000020858,ENSPTRG00000007645,48.3034
ENSPPYG00000020858,ENSPTRG00000000152,48.1275
ENSPPYG00000020858,ENSPTRG00000023452,48.1423
ENSPPYG00000020856,ENSPTRG00000013918,46.7043
ENSPPYG00000020856,ENSPTRG00000013918,47.1264
ENSPPYG00000020854,ENSPTRG00000000017,47.0899
ENSPPYG00000020852,ENSPTRG00000020062,46.7886
ENSPPYG00000020850,ENSPTRG00000030841,48.5714
ENSPPYG00000020850,ENSPTRG00000041690,49.101
ENSPPYG00000020848,ENSPTRG00000000207,46.5032
ENSPPYG00000020846,ENSPTRG00000013941,48.4848
ENSPPYG00000020844,ENSPTRG00000007643,47.5219
ENSPPYG00000020842,ENSPTRG00000041651,44.5851
ENSPPYG00000020840,ENSPTRG00000003166,48.503
ENSPPYG00000020838,ENSPTRG00000003161,48.818
ENSPPYG00000020836,ENSPTRG00000034540,47.0833
ENSPPYG00000020834,ENSPTRG00000014579,48.7877
ENSPPYG00000020832,ENSPTRG00000042377,48.6486
ENSPPYG00000020830,ENSPTRG00000007589,47.7249
ENSPPYG00000020828,ENSPTRG00000013920,48.6139
ENSPPYG00000020825,ENSPTRG00000007582,48.6373
ENSPPYG00000020823,ENSPTRG00000014080,48.0072
ENSPPYG00000020821,ENSPTRG00000016919,49.1817
ENSPPYG00000020819,ENSPTRG00000003140,47.4893
ENSPPYG00000020817,ENSPTRG00000018865,48.6517
ENSPPYG00000020817,ENSPTRG00000007545,48.8459
ENSPPYG00000020815,ENSPTRG00000009893,48.8449
ENSPPYG00000020815,ENSPTRG00000009893,48.7859
ENSPPYG00000020813,ENSPTRG00000028731,48.6275
ENSPPYG00000020811,ENSPTRG00000040752,48.218
ENSPPYG00000020809,ENSPTRG00000013847,49.0028
ENSPPYG00000020803,ENSPTRG00000003172,48.6275
ENSPPYG00000020801,ENSPTRG00000018952,49.2903
ENSPPYG00000020799,ENSPTRG00000007623,49.6528
ENSPPYG00000020797,ENSPTRG00000016913,48.8215
ENSPPYG00000020797,ENSPTRG00000016913,48.8438
ENSPPYG00000020795,ENSPTRG00000018949,49.2514
ENSPPYG00000020793,ENSPTRG00000005710,48.5839
ENSPPYG00000020791,ENSPTRG00000039819,49.0446
ENSPPYG00000020789,ENSPTRG00000017053,50.1425
ENSPPYG00000020783,ENSPTRG00000039445,47.4453
ENSPPYG00000020781,ENSPTRG00000005873,48.6614
ENSPPYG00000020779,ENSPTRG00000042501,49.062
ENSPPYG00000020779,ENSPTRG00000005743,49.4759
ENSPPYG00000020777,ENSPTRG00000017039,48.8407
ENSPPYG00000020775,ENSPTRG00000019000,48.7485
ENSPPYG00000020773,ENSPTRG00000014049,48.622
ENSPPYG00000020771,ENSPTRG00000039119,42.1
ENSPPYG00000020769,ENSPTRG00000009876,49.4586
ENSPPYG00000020767,ENSPTRG00000028611,49.1228
ENSPPYG00000020765,ENSPTRG00000003351,48.8064
ENSPPYG00000020765,ENSPTRG00000003351,48.735
ENSPPYG00000020763,ENSPTRG00000014558,49.1831
ENSPPYG00000020763,ENSPTRG00000013792,49.075
ENSPPYG00000020761,ENSPTRG00000017023,48.6271
ENSPPYG00000020761,ENSPTRG00000005863,48.7527
ENSPPYG00000020761,ENSPTRG00000017023,48.8927
ENSPPYG00000020759,ENSPTRG00000022519,48.8803
ENSPPYG00000020759,ENSPTRG00000022519,49.0583
ENSPPYG00000020757,ENSPTRG00000018985,48.8156
ENSPPYG00000020755,ENSPTRG00000000102,49.2567
ENSPPYG00000020753,ENSPTRG00000000100,49.1329
ENSPPYG00000020751,ENSPTRG00000039977,46.8468
ENSPPYG00000020749,ENSPTRG00000041924,45.2794
ENSPPYG00000020747,ENSPTRG00000019931,47.8089
ENSPPYG00000020747,ENSPTRG00000021649,48.9731
ENSPPYG00000020745,ENSPTRG00000041259,54.4444
ENSPPYG00000020743,ENSPTRG00000040132,44.2308
ENSPPYG00000020741,ENSPTRG00000007626,47.2613
ENSPPYG00000020739,ENSPTRG00000042077,47.549
ENSPPYG00000020737,ENSPTRG00000019956,49.1124
ENSPPYG00000020735,ENSPTRG00000014626,48.0438
ENSPPYG00000020733,ENSPTRG00000021649,48.4018
ENSPPYG00000020731,ENSPTRG00000034312,47.3206
ENSPPYG00000020729,ENSPTRG00000007702,48.9573
ENSPPYG00000020729,ENSPTRG00000030824,48.7009
ENSPPYG00000020727,ENSPTRG00000014628,48.7434
ENSPPYG00000020725,ENSPTRG00000034469,42.4408
ENSPPYG00000020723,ENSPTRG00000028288,48.951
ENSPPYG00000020721,ENSPTRG00000022836,46.9214
ENSPPYG00000020719,ENSPTRG00000003299,49.4495
ENSPPYG00000020719,ENSPTRG00000000200,49.1131
ENSPPYG00000020717,ENSPTRG00000003166,48.4634
ENSPPYG00000020715,ENSPTRG00000005845,37.194
ENSPPYG00000020713,ENSPTRG00000034469,46.9188
ENSPPYG00000020711,ENSPTRG00000003121,47.741
ENSPPYG00000020709,ENSPTRG00000003351,48.0019
ENSPPYG00000020707,ENSPTRG00000042466,48.21
ENSPPYG00000020705,ENSPTRG00000042077,49.3225
ENSPPYG00000020703,ENSPTRG00000005794,48.5417
ENSPPYG00000020703,ENSPTRG00000014565,49.1602
ENSPPYG00000020701,ENSPTRG00000004015,49.1639
ENSPPYG00000020699,ENSPTRG00000022487,49.1685
ENSPPYG00000020697,ENSPTRG00000018991,48.3776
ENSPPYG00000020695,ENSPTRG00000017083,49.1127
ENSPPYG00000020693,ENSPTRG00000019121,48.855
ENSPPYG00000020691,ENSPTRG00000018858,47.8311
ENSPPYG00000020689,ENSPTRG00000016949,48.3804
ENSPPYG00000020687,ENSPTRG00000019951,49.6337
ENSPPYG00000020685,ENSPTRG00000003229,48.824
ENSPPYG00000020685,ENSPTRG00000021677,48.1742
ENSPPYG00000020683,ENSPTRG00000003310,49.1443
ENSPPYG00000020681,ENSPTRG00000003161,48.1481
ENSPPYG00000020679,ENSPTRG00000009859,48.4463
ENSPPYG00000020677,ENSPTRG00000038649,50.2347
ENSPPYG00000020675,ENSPTRG00000003166,49.5984
ENSPPYG00000020673,ENSPTRG00000034273,49.0965
ENSPPYG00000020671,ENSPTRG00000004550,48.5625
ENSPPYG00000020669,ENSPTRG00000000125,48.6065
ENSPPYG00000020667,ENSPTRG00000039529,48.6651
ENSPPYG00000020665,ENSPTRG00000016939,49.0555
ENSPPYG00000020663,ENSPTRG00000014094,47.807
ENSPPYG00000020661,ENSPTRG00000016914,48.6146
ENSPPYG00000020659,ENSPTRG00000014564,48.7265
ENSPPYG00000020657,ENSPTRG00000041916,48.4058
ENSPPYG00000020655,ENSPTRG00000029128,45.5471
ENSPPYG00000020653,ENSPTRG00000013839,49.2754
ENSPPYG00000020651,ENSPTRG00000022501,49.4949
ENSPPYG00000020649,ENSPTRG00000021725,48.4405
ENSPPYG00000020647,ENSPTRG00000016691,46.4968
ENSPPYG00000020645,ENSPTRG00000028653,48.3815
ENSPPYG00000020643,ENSPTRG00000019963,47.9381
ENSPPYG00000020641,ENSPTRG00000028315,49.0811
ENSPPYG00000020639,ENSPTRG00000028815,47.9167
ENSPPYG00000020637,ENSPTRG00000021725,49.3549
ENSPPYG00000020635,ENSPTRG00000041322,48.9467
ENSPPYG00000020633,ENSPTRG00000013791,49.5299
ENSPPYG00000020631,ENSPTRG00000016672,48.2841
ENSPPYG00000020629,ENSPTRG00000017069,48.8424
ENSPPYG00000020629,ENSPTRG00000019963,49.6051
ENSPPYG00000020627,ENSPTRG00000017069,48.6128
ENSPPYG00000020625,ENSPTRG00000005861,48.413
ENSPPYG00000020623,ENSPTRG00000016696,48.7586
ENSPPYG00000020621,ENSPTRG00000000124,49.2473
ENSPPYG00000020619,ENSPTRG00000021813,48.961
ENSPPYG00000020617,ENSPTRG00000014606,49.3986
ENSPPYG00000020615,ENSPTRG00000003257,48.8338
ENSPPYG00000020613,ENSPTRG00000021781,49.1049
ENSPPYG00000020611,ENSPTRG00000013809,48.6822
ENSPPYG00000020609,ENSPTRG00000005857,48.4388
ENSPPYG00000020609,ENSPTRG00000013870,48.9439
ENSPPYG00000020609,ENSPTRG00000013809,49.9232
ENSPPYG00000020607,ENSPTRG00000028742,48.4848
ENSPPYG00000020605,ENSPTRG00000017083,48.4997
ENSPPYG00000020603,ENSPTRG00000016989,48.5596
ENSPPYG00000020603,ENSPTRG00000022523,48.3422
ENSPPYG00000020601,ENSPTRG00000017088,48.9583
ENSPPYG00000020599,ENSPTRG00000016880,48.9289
ENSPPYG00000020597,ENSPTRG00000021829,48.6657
ENSPPYG00000020595,ENSPTRG00000003232,48.329
ENSPPYG00000020593,ENSPTRG00000041916,47.1014
ENSPPYG00000020591,ENSPTRG00000019004,49.0316
ENSPPYG00000020589,ENSPTRG00000040367,49.7041
ENSPPYG00000020587,ENSPTRG00000017054,48.7138
ENSPPYG00000020585,ENSPTRG00000021637,46.7662
ENSPPYG00000020583,ENSPTRG00000004015,47.482
ENSPPYG00000020581,ENSPTRG00000022785,47.619
ENSPPYG00000020579,ENSPTRG00000040442,48.8449
ENSPPYG00000020577,ENSPTRG00000021637,46.6989
ENSPPYG00000020575,ENSPTRG00000031426,49.5955
ENSPPYG00000020573,ENSPTRG00000019960,48.4127
ENSPPYG00000020571,ENSPTRG00000005783,48.4848
ENSPPYG00000020569,ENSPTRG00000007696,49.1193
ENSPPYG00000020567,ENSPTRG00000018980,49.3014
ENSPPYG00000020565,ENSPTRG00000021693,49.2776
ENSPPYG00000020561,ENSPTRG00000009893,48.5294
ENSPPYG00000020561,ENSPTRG00000019106,48.1279
ENSPPYG00000020559,ENSPTRG00000007526,48.9102
ENSPPYG00000020557,ENSPTRG00000042377,49.1694
ENSPPYG00000020555,ENSPTRG00000014151,49.2151
ENSPPYG00000020553,ENSPTRG00000013829,48.8715
ENSPPYG00000020551,ENSPTRG00000042266,47.619
ENSPPYG00000020549,ENSPTRG00000014058,49.503
ENSPPYG00000020547,ENSPTRG00000021803,49.1413
ENSPPYG00000020545,ENSPTRG00000000068,47.7257
ENSPPYG00000020545,ENSPTRG00000014072,46.986
ENSPPYG00000020543,ENSPTRG00000034101,39.6688
ENSPPYG00000020541,ENSPTRG00000005684,48.9837
ENSPPYG00000020539,ENSPTRG00000021796,44.7783
ENSPPYG00000020537,ENSPTRG00000028653,49.386
ENSPPYG00000020535,ENSPTRG00000028817,49.3225
ENSPPYG00000020533,ENSPTRG00000032577,51.0204
ENSPPYG00000020531,ENSPTRG00000041256,46.0509
ENSPPYG00000020529,ENSPTRG00000003258,47.8612
ENSPPYG00000020527,ENSPTRG00000005712,48.7589
ENSPPYG00000020527,ENSPTRG00000005712,48.7508
ENSPPYG00000020527,ENSPTRG00000018926,49.0356
ENSPPYG00000020527,ENSPTRG00000019931,48.603
ENSPPYG00000020525,ENSPTRG00000040625,48.2477
ENSPPYG00000020525,ENSPTRG00000040625,48.2477
ENSPPYG00000020523,ENSPTRG00000014040,48.7001
ENSPPYG00000020521,ENSPTRG00000041322,48.3889
ENSPPYG00000020521,ENSPTRG00000041322,48.0977
ENSPPYG00000020519,ENSPTRG00000019004,48.3595
ENSPPYG00000020519,ENSPTRG00000021829,48.6395
ENSPPYG00000020517,ENSPTRG00000018905,48.0247
ENSPPYG00000020515,ENSPTRG00000039804,33.7607
ENSPPYG00000020513,ENSPTRG00000021714,48.5906
ENSPPYG00000020511,ENSPTRG00000003172,47.5634
ENSPPYG00000020509,ENSPTRG00000022504,48.0527
ENSPPYG00000020507,ENSPTRG00000017083,48.976
ENSPPYG00000020505,ENSPTRG00000021649,48.6532
ENSPPYG00000020503,ENSPTRG00000040047,49.3687
ENSPPYG00000020501,ENSPTRG00000003249,48.7255
ENSPPYG00000020497,ENSPTRG00000013897,49.4709
ENSPPYG00000020495,ENSPTRG00000023210,48.6565
ENSPPYG00000020495,ENSPTRG00000021782,48.8171
ENSPPYG00000020493,ENSPTRG00000017066,49.3902
ENSPPYG00000020493,ENSPTRG00000034337,48.8962
ENSPPYG00000020491,ENSPTRG00000016993,48.5326
ENSPPYG00000020491,ENSPTRG00000016993,48.5234
ENSPPYG00000020491,ENSPTRG00000016993,48.5053
ENSPPYG00000020491,ENSPTRG00000016993,48.3695
ENSPPYG00000020489,ENSPTRG00000003107,48.643
ENSPPYG00000020487,ENSPTRG00000040148,47.5827
ENSPPYG00000020485,ENSPTRG00000040561,49.0138
ENSPPYG00000020483,ENSPTRG00000016905,48.8269
ENSPPYG00000020481,ENSPTRG00000000123,48.0533
ENSPPYG00000020474,ENSPTRG00000017695,48.2639
ENSPPYG00000020472,ENSPTRG00000016687,48.1871
ENSPPYG00000020470,ENSPTRG00000018954,49.2344
ENSPPYG00000020468,ENSPTRG00000000239,48.0929
ENSPPYG00000020466,ENSPTRG00000034221,48.75
ENSPPYG00000020464,ENSPTRG00000016687,48.6381
ENSPPYG00000020462,ENSPTRG00000022470,25.4355
ENSPPYG00000020460,ENSPTRG00000021734,49.4813
ENSPPYG00000020458,ENSPTRG00000034540,46.6383
ENSPPYG00000020456,ENSPTRG00000022488,48.7733
ENSPPYG00000020456,ENSPTRG00000022488,48.8346
ENSPPYG00000020454,ENSPTRG00000000149,47.963
ENSPPYG00000020452,ENSPTRG00000022526,48.7709
ENSPPYG00000020450,ENSPTRG00000000152,48.1851
ENSPPYG00000020448,ENSPTRG00000007703,49.0701
ENSPPYG00000020448,ENSPTRG00000014072,48.5669
ENSPPYG00000020448,ENSPTRG00000033940,48.3715
ENSPPYG00000020446,ENSPTRG00000014600,49.4077
ENSPPYG00000020444,ENSPTRG00000014049,47.1111
ENSPPYG00000020442,ENSPTRG00000000017,48.3871
ENSPPYG00000020440,ENSPTRG00000014053,49.5839
ENSPPYG00000020440,ENSPTRG00000014053,49.6121
ENSPPYG00000020438,ENSPTRG00000005873,48.8659
ENSPPYG00000020436,ENSPTRG00000042326,49.8016
ENSPPYG00000020434,ENSPTRG00000039445,46.7128
ENSPPYG00000020432,ENSPTRG00000014067,48.4694
ENSPPYG00000020430,ENSPTRG00000041722,48.659
ENSPPYG00000020428,ENSPTRG00000013929,48.4781
ENSPPYG00000020426,ENSPTRG00000028288,49.5641
ENSPPYG00000020424,ENSPTRG00000042362,48.5893
ENSPPYG00000020422,ENSPTRG00000000090,48.9868
ENSPPYG00000020420,ENSPTRG00000013839,53.0303
ENSPPYG00000020418,ENSPTRG00000003184,45.7163
ENSPPYG00000020416,ENSPTRG00000018919,48.7047
ENSPPYG00000020414,ENSPTRG00000020020,38.4397
ENSPPYG00000020412,ENSPTRG00000016680,49.1988
ENSPPYG00000020410,ENSPTRG00000014134,48.6005
ENSPPYG00000020408,ENSPTRG00000020062,47.6725
ENSPPYG00000020406,ENSPTRG00000019120,49.3433
ENSPPYG00000020404,ENSPTRG00000016914,48.8221
ENSPPYG00000020402,ENSPTRG00000039053,49.7585
ENSPPYG00000020400,ENSPTRG00000042466,48.4305
ENSPPYG00000020398,ENSPTRG00000016898,48.9778
ENSPPYG00000020396,ENSPTRG00000042362,48.1838
ENSPPYG00000020394,ENSPTRG00000014080,48.6364
ENSPPYG00000020392,ENSPTRG00000028290,48.3483
ENSPPYG00000020390,ENSPTRG00000013904,49.5652
ENSPPYG00000020388,ENSPTRG00000003160,48.4907
ENSPPYG00000020386,ENSPTRG00000003365,48.7783
ENSPPYG00000020386,ENSPTRG00000003365,48.7371
ENSPPYG00000020384,ENSPTRG00000007703,48.9378
ENSPPYG00000020382,ENSPTRG00000007540,47.8863
ENSPPYG00000020380,ENSPTRG00000014609,48.8001
ENSPPYG00000020380,ENSPTRG00000014586,48.8876
ENSPPYG00000020378,ENSPTRG00000007641,48.4754
ENSPPYG00000020376,ENSPTRG00000004015,48.2277
ENSPPYG00000020374,ENSPTRG00000013872,49.5556
ENSPPYG00000020372,ENSPTRG00000000152,48.4611
ENSPPYG00000020372,ENSPTRG00000007716,48.2949
ENSPPYG00000020370,ENSPTRG00000013935,47.9751
ENSPPYG00000020368,ENSPTRG00000005670,48.0122
ENSPPYG00000020366,ENSPTRG00000021857,12.7072
ENSPPYG00000020364,ENSPTRG00000005670,47.0238
ENSPPYG00000020362,ENSPTRG00000039826,48.3871
ENSPPYG00000020360,ENSPTRG00000034402,49.3847
ENSPPYG00000020360,ENSPTRG00000034402,49.31
ENSPPYG00000020358,ENSPTRG00000031314,47.1888
ENSPPYG00000020356,ENSPTRG00000003184,46.4238
ENSPPYG00000020354,ENSPTRG00000023556,48.731
ENSPPYG00000020352,ENSPTRG00000023779,49.0123
ENSPPYG00000020350,ENSPTRG00000041491,47.8873
ENSPPYG00000020348,ENSPTRG00000023120,49.2424
ENSPPYG00000020346,ENSPTRG00000028290,46.6019
ENSPPYG00000020344,ENSPTRG00000042298,48.394
ENSPPYG00000020342,ENSPTRG00000020062,47.476
ENSPPYG00000020340,ENSPTRG00000023886,46.96
ENSPPYG00000020338,ENSPTRG00000007565,49.4006
ENSPPYG00000020338,ENSPTRG00000041491,47.6852
ENSPPYG00000020336,ENSPTRG00000003172,48.6641
ENSPPYG00000020334,ENSPTRG00000020082,48.099
ENSPPYG00000020332,ENSPTRG00000007606,48.0321
ENSPPYG00000020330,ENSPTRG00000021837,47.412
ENSPPYG00000020330,ENSPTRG00000007687,47.3602
ENSPPYG00000020330,ENSPTRG00000021837,47.4124
ENSPPYG00000020328,ENSPTRG00000018884,48.2188
ENSPPYG00000020326,ENSPTRG00000004015,48.0769
ENSPPYG00000020324,ENSPTRG00000014080,47.7444
ENSPPYG00000020322,ENSPTRG00000041651,45.3384
ENSPPYG00000020320,ENSPTRG00000000024,48.1054
ENSPPYG00000020318,ENSPTRG00000038829,49.6403
ENSPPYG00000020316,ENSPTRG00000007584,48.0899
ENSPPYG00000020314,ENSPTRG00000000131,48.9204
ENSPPYG00000020314,ENSPTRG00000003172,48.3122
ENSPPYG00000020312,ENSPTRG00000000017,47.132
ENSPPYG00000020310,ENSPTRG00000003184,47.2583
ENSPPYG00000020308,ENSPTRG00000003184,47.387
ENSPPYG00000020306,ENSPTRG00000021857,6.87831
ENSPPYG00000020304,ENSPTRG00000031446,47.9167
ENSPPYG00000020302,ENSPTRG00000023331,0.704935
ENSPPYG00000020300,ENSPTRG00000021851,30.0901
ENSPPYG00000020298,ENSPTRG00000021849,9.79866
ENSPPYG00000020296,ENSPTRG00000003138,48.0283
ENSPPYG00000020294,ENSPTRG00000017695,49.8246
ENSPPYG00000020292,ENSPTRG00000041256,47.4412
ENSPPYG00000020290,ENSPTRG00000007708,48.0663
ENSPPYG00000020290,ENSPTRG00000000055,48.022
ENSPPYG00000020290,ENSPTRG00000000055,48.1646
ENSPPYG00000020286,ENSPTRG00000032576,55.5556
ENSPPYG00000020284,ENSPTRG00000021836,21.1391
ENSPPYG00000020282,ENSPTRG00000021834,34.6683
ENSPPYG00000020280,ENSPTRG00000021833,8.92688
ENSPPYG00000020278,ENSPTRG00000039206,48.8095
ENSPPYG00000020276,ENSPTRG00000021829,40.6029
ENSPPYG00000020274,ENSPTRG00000034133,48.0169
ENSPPYG00000020270,ENSPTRG00000021823,18.4216
ENSPPYG00000020270,ENSPTRG00000019963,48.6842
ENSPPYG00000020268,ENSPTRG00000000124,48.7179
ENSPPYG00000020266,ENSPTRG00000021820,4.2258
ENSPPYG00000020264,ENSPTRG00000014195,48.239
ENSPPYG00000020264,ENSPTRG00000021762,49.6719
ENSPPYG00000020262,ENSPTRG00000033746,49.5895
ENSPPYG00000020260,ENSPTRG00000028736,48.7314
ENSPPYG00000020258,ENSPTRG00000003184,44.26
ENSPPYG00000020256,ENSPTRG00000005680,49.1066
ENSPPYG00000020256,ENSPTRG00000022501,48.2122
ENSPPYG00000020256,ENSPTRG00000041256,48.8
ENSPPYG00000020254,ENSPTRG00000021805,17.5476
ENSPPYG00000020252,ENSPTRG00000031451,47.2222
ENSPPYG00000020250,ENSPTRG00000021802,11.9199
ENSPPYG00000020248,ENSPTRG00000003172,47.7011
ENSPPYG00000020246,ENSPTRG00000021799,20.3756
ENSPPYG00000020244,ENSPTRG00000021796,10.3672
ENSPPYG00000020242,ENSPTRG00000040442,50
ENSPPYG00000020240,ENSPTRG00000034101,48.92
ENSPPYG00000020238,ENSPTRG00000021790,32.2249
ENSPPYG00000020236,ENSPTRG00000003389,46.8124
ENSPPYG00000020234,ENSPTRG00000028298,20.9192
ENSPPYG00000020232,ENSPTRG00000014062,48.5632
ENSPPYG00000020230,ENSPTRG00000019963,50.2058
ENSPPYG00000020228,ENSPTRG00000016929,49.1228
ENSPPYG00000020226,ENSPTRG00000013876,48.6154
ENSPPYG00000020224,ENSPTRG00000030841,48.7179
ENSPPYG00000020222,ENSPTRG00000014654,48.7558
ENSPPYG00000020222,ENSPTRG00000021711,48.8115
ENSPPYG00000020222,ENSPTRG00000014573,49.0515
ENSPPYG00000020222,ENSPTRG00000005775,49.0375
ENSPPYG00000020222,ENSPTRG00000005775,49.012
ENSPPYG00000020222,ENSPTRG00000040452,49.37
ENSPPYG00000020220,ENSPTRG00000019953,49.5238
ENSPPYG00000020218,ENSPTRG00000014572,48.7158
ENSPPYG00000020218,ENSPTRG00000014565,48.9761
ENSPPYG00000020216,ENSPTRG00000021767,44.1614
ENSPPYG00000020214,ENSPTRG00000042362,49.3756
ENSPPYG00000020212,ENSPTRG00000021762,37.3084
ENSPPYG00000020212,ENSPTRG00000039529,48.688
ENSPPYG00000020212,ENSPTRG00000021762,0.839695
ENSPPYG00000020210,ENSPTRG00000014565,48.9049
ENSPPYG00000020208,ENSPTRG00000034369,49.5305
ENSPPYG00000020206,ENSPTRG00000023556,28.9809
ENSPPYG00000020204,ENSPTRG00000040148,19.6133
ENSPPYG00000020202,ENSPTRG00000007643,47.0917
ENSPPYG00000020200,ENSPTRG00000021753,25.4754
ENSPPYG00000020198,ENSPTRG00000021750,14.4963
ENSPPYG00000020196,ENSPTRG00000040033,50.4505
ENSPPYG00000020194,ENSPTRG00000028737,48.1786
ENSPPYG00000020192,ENSPTRG00000034312,49.049
ENSPPYG00000020190,ENSPTRG00000021741,3.485
ENSPPYG00000020188,ENSPTRG00000021804,48.2843
ENSPPYG00000020184,ENSPTRG00000028817,48.9045
ENSPPYG00000020182,ENSPTRG00000005687,49.1429
ENSPPYG00000020180,ENSPTRG00000021734,7.08383
ENSPPYG00000020180,ENSPTRG00000021734,7.08383
ENSPPYG00000020178,ENSPTRG00000021731,28.5147
ENSPPYG00000020178,ENSPTRG00000021731,37.7358
ENSPPYG00000020176,ENSPTRG00000021728,20.9195
ENSPPYG00000020176,ENSPTRG00000021728,23.2394
ENSPPYG00000020174,ENSPTRG00000021725,32.1629
ENSPPYG00000020172,ENSPTRG00000022605,27.5602
ENSPPYG00000020170,ENSPTRG00000021716,35.4881
ENSPPYG00000020170,ENSPTRG00000021716,36.0881
ENSPPYG00000020170,ENSPTRG00000021716,36.7119
ENSPPYG00000020168,ENSPTRG00000021714,39.6174
ENSPPYG00000020166,ENSPTRG00000021711,10.582
ENSPPYG00000020164,ENSPTRG00000021708,11.6813
ENSPPYG00000020162,ENSPTRG00000021706,3.90868
ENSPPYG00000020162,ENSPTRG00000021706,6.83274
ENSPPYG00000020160,ENSPTRG00000041011,49.5495
ENSPPYG00000020158,ENSPTRG00000021702,9.84195
ENSPPYG00000020158,ENSPTRG00000021702,2.03922
ENSPPYG00000020156,ENSPTRG00000021700,8.87556
ENSPPYG00000020154,ENSPTRG00000021698,30.4373
ENSPPYG00000020152,ENSPTRG00000021696,49.1985
ENSPPYG00000020150,ENSPTRG00000021693,10.9255
ENSPPYG00000020148,ENSPTRG00000028731,47.9592
ENSPPYG00000020146,ENSPTRG00000021688,15.5762
ENSPPYG00000020144,ENSPTRG00000021686,34.0206
ENSPPYG00000020142,ENSPTRG00000021684,5.37296
ENSPPYG00000020140,ENSPTRG00000021682,9.71731
ENSPPYG00000020138,ENSPTRG00000021680,18.2383
ENSPPYG00000020136,ENSPTRG00000021919,48.8239
ENSPPYG00000020134,ENSPTRG00000021675,27.8819
ENSPPYG00000020132,ENSPTRG00000034312,48.9583
ENSPPYG00000020130,ENSPTRG00000034369,47.7612
ENSPPYG00000020128,ENSPTRG00000021649,42.3154
ENSPPYG00000020126,ENSPTRG00000021667,36.0525
ENSPPYG00000020124,ENSPTRG00000021663,0.831444
ENSPPYG00000020122,ENSPTRG00000021659,13.1068
ENSPPYG00000020122,ENSPTRG00000021659,13.1313
ENSPPYG00000020120,ENSPTRG00000021657,13.5068
ENSPPYG00000020120,ENSPTRG00000032577,47.2727
ENSPPYG00000020118,ENSPTRG00000021790,49.6893
ENSPPYG00000020116,ENSPTRG00000007645,47.3511
ENSPPYG00000020112,ENSPTRG00000041256,42.3937
ENSPPYG00000020110,ENSPTRG00000042298,49.3056
ENSPPYG00000020108,ENSPTRG00000014564,49.0196
ENSPPYG00000020106,ENSPTRG00000021627,44.4667
ENSPPYG00000020104,ENSPTRG00000028812,49.2375
ENSPPYG00000020102,ENSPTRG00000014062,48.062
