pongo_abelii,macaca_mulatta
ENSPPYG00000020707,ENSMMUG00000012739,47.7327
ENSPPYG00000020705,ENSMMUG00000002548,2.71003
ENSPPYG00000020703,ENSMMUG00000008818,22.0391
ENSPPYG00000020703,ENSMMUG00000008818,2.19638
ENSPPYG00000020701,ENSMMUG00000017464,6.24303
ENSPPYG00000020699,ENSMMUG00000007587,3.0203
ENSPPYG00000020697,ENSMMUG00000004328,48.6189
ENSPPYG00000020695,ENSMMUG00000003745,19.0357
ENSPPYG00000020693,ENSMMUG00000005347,48.3461
ENSPPYG00000020691,ENSMMUG00000012619,14.726
ENSPPYG00000020689,ENSMMUG00000021739,48.9028
ENSPPYG00000020687,ENSMMUG00000001114,48.3516
ENSPPYG00000020685,ENSMMUG00000001484,5.83942
ENSPPYG00000020685,ENSMMUG00000012899,49.4184
ENSPPYG00000020683,ENSMMUG00000011074,8.40465
ENSPPYG00000020681,ENSMMUG00000032357,11.6898
ENSPPYG00000020679,ENSMMUG00000012382,22.8814
ENSPPYG00000020677,ENSMMUG00000032503,6.57277
ENSPPYG00000020675,ENSMMUG00000001687,46.2851
ENSPPYG00000020673,ENSMMUG00000017669,4.34448
ENSPPYG00000020671,ENSMMUG00000022667,13.875
ENSPPYG00000020669,ENSMMUG00000022663,42.4749
ENSPPYG00000020667,ENSMMUG00000014935,48.36
ENSPPYG00000020665,ENSMMUG00000019533,4.20475
ENSPPYG00000020663,ENSMMUG00000016431,8.46491
ENSPPYG00000020661,ENSMMUG00000007312,49.1184
ENSPPYG00000020659,ENSMMUG00000011497,13.5843
ENSPPYG00000020657,ENSMMUG00000032363,10.1449
ENSPPYG00000020655,ENSMMUG00000015191,35.369
ENSPPYG00000020653,ENSMMUG00000032547,53.6232
ENSPPYG00000020651,ENSMMUG00000010913,49.3687
ENSPPYG00000020649,ENSMMUG00000006377,2.98895
ENSPPYG00000020647,ENSMMUG00000013708,47.4876
ENSPPYG00000020645,ENSMMUG00000022224,18.5477
ENSPPYG00000020643,ENSMMUG00000000856,8.24742
ENSPPYG00000020641,ENSMMUG00000000903,29.8378
ENSPPYG00000020639,ENSMMUG00000019525,47.9167
ENSPPYG00000020637,ENSMMUG00000002134,49.2949
ENSPPYG00000020635,ENSMMUG00000019577,48.6369
ENSPPYG00000020633,ENSMMUG00000016666,37.8632
ENSPPYG00000020631,ENSMMUG00000001307,28.8937
ENSPPYG00000020629,ENSMMUG00000002209,49.3859
ENSPPYG00000020629,ENSMMUG00000023423,47.0774
ENSPPYG00000020627,ENSMMUG00000004188,2.89855
ENSPPYG00000020625,ENSMMUG00000013204,7.87465
ENSPPYG00000020623,ENSMMUG00000019167,13.233
ENSPPYG00000020621,ENSMMUG00000007218,6.88172
ENSPPYG00000020619,ENSMMUG00000007190,13.4632
ENSPPYG00000020617,ENSMMUG00000007189,6.61512
ENSPPYG00000020615,ENSMMUG00000005632,20.6025
ENSPPYG00000020613,ENSMMUG00000008207,2.65985
ENSPPYG00000020611,ENSMMUG00000023174,17.3643
ENSPPYG00000020609,ENSMMUG00000023172,33.5468
ENSPPYG00000020609,ENSMMUG00000023172,2.71575
ENSPPYG00000020609,ENSMMUG00000023172,44.7005
ENSPPYG00000020607,ENSMMUG00000009740,47.619
ENSPPYG00000020605,ENSMMUG00000021413,39.9544
ENSPPYG00000020603,ENSMMUG00000014606,3.11446
ENSPPYG00000020603,ENSMMUG00000014606,5.9893
ENSPPYG00000020601,ENSMMUG00000003266,16.6667
ENSPPYG00000020599,ENSMMUG00000009043,48.329
ENSPPYG00000020597,ENSMMUG00000006683,1.98933
ENSPPYG00000020595,ENSMMUG00000005692,48.5861
ENSPPYG00000020593,ENSMMUG00000015878,2.17391
ENSPPYG00000020591,ENSMMUG00000021198,30.581
ENSPPYG00000020589,ENSMMUG00000006112,49.3097
ENSPPYG00000020587,ENSMMUG00000006111,1.50054
ENSPPYG00000020585,ENSMMUG00000012130,48.7562
ENSPPYG00000020583,ENSMMUG00000011623,26.4988
ENSPPYG00000020581,ENSMMUG00000004152,46.9841
ENSPPYG00000020579,ENSMMUG00000004152,43.8944
ENSPPYG00000020577,ENSMMUG00000017359,47.9871
ENSPPYG00000020575,ENSMMUG00000004150,7.36246
ENSPPYG00000020573,ENSMMUG00000010727,44.709
ENSPPYG00000020571,ENSMMUG00000032497,51.0101
ENSPPYG00000020569,ENSMMUG00000009970,22.8977
ENSPPYG00000020567,ENSMMUG00000032391,32.0359
ENSPPYG00000020565,ENSMMUG00000032391,21.001
ENSPPYG00000020561,ENSMMUG00000002151,23.6928
ENSPPYG00000020561,ENSMMUG00000002151,36.2557
ENSPPYG00000020559,ENSMMUG00000013948,48.4848
ENSPPYG00000020557,ENSMMUG00000032394,2.32558
ENSPPYG00000020555,ENSMMUG00000023606,3.3241
ENSPPYG00000020553,ENSMMUG00000019580,5.25174
ENSPPYG00000020551,ENSMMUG00000014062,47.9592
ENSPPYG00000020549,ENSMMUG00000021579,3.70865
ENSPPYG00000020547,ENSMMUG00000007601,4.53545
ENSPPYG00000020545,ENSMMUG00000010394,39.3177
ENSPPYG00000020545,ENSMMUG00000010394,37.8443
ENSPPYG00000020543,ENSMMUG00000011079,49.1721
ENSPPYG00000020541,ENSMMUG00000013008,3.15041
ENSPPYG00000020539,ENSMMUG00000008210,4.72103
ENSPPYG00000020537,ENSMMUG00000008212,15.3509
ENSPPYG00000020535,ENSMMUG00000032374,48.2385
ENSPPYG00000020533,ENSMMUG00000032528,51.7007
ENSPPYG00000020531,ENSMMUG00000000379,7.49665
ENSPPYG00000020529,ENSMMUG00000019338,15.7385
ENSPPYG00000020527,ENSMMUG00000012777,15.7134
ENSPPYG00000020527,ENSMMUG00000012777,15.7289
ENSPPYG00000020527,ENSMMUG00000012777,9.05045
ENSPPYG00000020527,ENSMMUG00000012777,4.2885
ENSPPYG00000020525,ENSMMUG00000009258,25.4673
ENSPPYG00000020525,ENSMMUG00000009258,25.4673
ENSPPYG00000020523,ENSMMUG00000019383,7.05664
ENSPPYG00000020521,ENSMMUG00000016777,2.33333
ENSPPYG00000020521,ENSMMUG00000016777,2.38501
ENSPPYG00000020519,ENSMMUG00000013604,32.3466
ENSPPYG00000020519,ENSMMUG00000013604,11.678
ENSPPYG00000020517,ENSMMUG00000004336,13.3951
ENSPPYG00000020515,ENSMMUG00000032534,46.5812
ENSPPYG00000020513,ENSMMUG00000020532,14.7204
ENSPPYG00000020511,ENSMMUG00000032405,2.14425
ENSPPYG00000020509,ENSMMUG00000003485,48.0527
ENSPPYG00000020507,ENSMMUG00000010763,14.2657
ENSPPYG00000020505,ENSMMUG00000014258,48.4848
ENSPPYG00000020503,ENSMMUG00000004046,48.9899
ENSPPYG00000020501,ENSMMUG00000032441,49.0196
ENSPPYG00000020497,ENSMMUG00000009336,47.619
ENSPPYG00000020495,ENSMMUG00000012957,49.034
ENSPPYG00000020495,ENSMMUG00000007234,48.6999
ENSPPYG00000020493,ENSMMUG00000014407,18.7282
ENSPPYG00000020493,ENSMMUG00000014407,18.7638
ENSPPYG00000020491,ENSMMUG00000022574,28.5137
ENSPPYG00000020491,ENSMMUG00000022574,27.4132
ENSPPYG00000020491,ENSMMUG00000022574,29.9509
ENSPPYG00000020491,ENSMMUG00000022574,29.5948
ENSPPYG00000020489,ENSMMUG00000007487,3.61865
ENSPPYG00000020487,ENSMMUG00000023635,45.4835
ENSPPYG00000020485,ENSMMUG00000005498,49.211
ENSPPYG00000020483,ENSMMUG00000015619,6.33023
ENSPPYG00000020481,ENSMMUG00000009249,1.49333
ENSPPYG00000020474,ENSMMUG00000032538,48.9583
ENSPPYG00000020472,ENSMMUG00000013449,4.44444
ENSPPYG00000020470,ENSMMUG00000021739,48.2921
ENSPPYG00000020468,ENSMMUG00000009740,0.995025
ENSPPYG00000020466,ENSMMUG00000018469,47.5
ENSPPYG00000020464,ENSMMUG00000007592,43.061
ENSPPYG00000020462,ENSMMUG00000003295,4.41347
ENSPPYG00000020460,ENSMMUG00000012956,31.8465
ENSPPYG00000020458,ENSMMUG00000005026,46.6383
ENSPPYG00000020456,ENSMMUG00000017728,48.8649
ENSPPYG00000020456,ENSMMUG00000002209,48.8897
ENSPPYG00000020454,ENSMMUG00000010580,43.5185
ENSPPYG00000020452,ENSMMUG00000020479,22.9105
ENSPPYG00000020450,ENSMMUG00000000667,7.9499
ENSPPYG00000020448,ENSMMUG00000011310,40.6624
ENSPPYG00000020448,ENSMMUG00000007162,48.0173
ENSPPYG00000020448,ENSMMUG00000007162,47.9694
ENSPPYG00000020446,ENSMMUG00000017795,4.45993
ENSPPYG00000020444,ENSMMUG00000032429,28.963
ENSPPYG00000020442,ENSMMUG00000003274,22.3118
ENSPPYG00000020440,ENSMMUG00000013948,3.62344
ENSPPYG00000020440,ENSMMUG00000013948,1.99224
ENSPPYG00000020438,ENSMMUG00000013940,22.8539
ENSPPYG00000020436,ENSMMUG00000013930,12.5
ENSPPYG00000020434,ENSMMUG00000017757,4.49827
ENSPPYG00000020432,ENSMMUG00000017753,1.70068
ENSPPYG00000020430,ENSMMUG00000032557,46.5517
ENSPPYG00000020428,ENSMMUG00000015291,5.92622
ENSPPYG00000020426,ENSMMUG00000018366,1.28684
ENSPPYG00000020424,ENSMMUG00000015031,3.34378
ENSPPYG00000020422,ENSMMUG00000002805,4.81645
ENSPPYG00000020420,ENSMMUG00000032528,52.2727
ENSPPYG00000020418,ENSMMUG00000009476,47.4442
ENSPPYG00000020416,ENSMMUG00000012261,1.64076
ENSPPYG00000020414,ENSMMUG00000004274,27.0922
ENSPPYG00000020412,ENSMMUG00000004309,30.2077
ENSPPYG00000020410,ENSMMUG00000016233,20.229
ENSPPYG00000020408,ENSMMUG00000004920,7.10723
ENSPPYG00000020406,ENSMMUG00000016725,27.7674
ENSPPYG00000020404,ENSMMUG00000016045,8.69212
ENSPPYG00000020402,ENSMMUG00000032534,51.6908
ENSPPYG00000020400,ENSMMUG00000014678,22.9447
ENSPPYG00000020398,ENSMMUG00000017635,0.888889
ENSPPYG00000020396,ENSMMUG00000022472,49.1453
ENSPPYG00000020394,ENSMMUG00000002333,47.7273
ENSPPYG00000020392,ENSMMUG00000018052,21.9219
ENSPPYG00000020390,ENSMMUG00000020044,48.9855
ENSPPYG00000020388,ENSMMUG00000008428,28.8375
ENSPPYG00000020386,ENSMMUG00000008422,7.9638
ENSPPYG00000020386,ENSMMUG00000008422,7.34331
ENSPPYG00000020384,ENSMMUG00000007339,7.31707
ENSPPYG00000020382,ENSMMUG00000012613,32.1206
ENSPPYG00000020380,ENSMMUG00000005433,3.39333
ENSPPYG00000020380,ENSMMUG00000005433,3.39367
ENSPPYG00000020378,ENSMMUG00000008751,23.1116
ENSPPYG00000020376,ENSMMUG00000009296,4.83351
ENSPPYG00000020374,ENSMMUG00000007587,49.7333
ENSPPYG00000020372,ENSMMUG00000020553,11.5023
ENSPPYG00000020372,ENSMMUG00000020553,30.5069
ENSPPYG00000020370,ENSMMUG00000021851,3.11526
ENSPPYG00000020368,ENSMMUG00000002333,29.9694
ENSPPYG00000020366,ENSMMUG00000020044,13.9963
ENSPPYG00000020364,ENSMMUG00000002333,27.6786
ENSPPYG00000020362,ENSMMUG00000032420,48.6559
ENSPPYG00000020360,ENSMMUG00000012702,48.9032
ENSPPYG00000020360,ENSMMUG00000016364,48.9384
ENSPPYG00000020358,ENSMMUG00000032454,3.01205
ENSPPYG00000020356,ENSMMUG00000014033,6.47773
ENSPPYG00000020354,ENSMMUG00000017358,4.14552
ENSPPYG00000020352,ENSMMUG00000019533,48.9658
ENSPPYG00000020350,ENSMMUG00000023059,6.10329
ENSPPYG00000020348,ENSMMUG00000001138,39.2677
ENSPPYG00000020346,ENSMMUG00000010324,39.1586
ENSPPYG00000020344,ENSMMUG00000002333,11.349
ENSPPYG00000020342,ENSMMUG00000008625,41.3016
ENSPPYG00000020340,ENSMMUG00000008623,26.72
ENSPPYG00000020338,ENSMMUG00000023025,4.13394
ENSPPYG00000020338,ENSMMUG00000018997,49.0741
ENSPPYG00000020336,ENSMMUG00000032447,49.0458
ENSPPYG00000020334,ENSMMUG00000020557,40.7604
ENSPPYG00000020332,ENSMMUG00000009476,48.3534
ENSPPYG00000020330,ENSMMUG00000020059,36.0248
ENSPPYG00000020330,ENSMMUG00000020059,35.9213
ENSPPYG00000020330,ENSMMUG00000020059,39.1764
ENSPPYG00000020328,ENSMMUG00000019663,48.7913
ENSPPYG00000020326,ENSMMUG00000001612,48.1838
ENSPPYG00000020324,ENSMMUG00000004548,29.198
ENSPPYG00000020322,ENSMMUG00000016469,34.2273
ENSPPYG00000020320,ENSMMUG00000016465,4.86826
ENSPPYG00000020318,ENSMMUG00000007505,2.15827
ENSPPYG00000020316,ENSMMUG00000019767,19.7004
ENSPPYG00000020314,ENSMMUG00000004439,23.3189
ENSPPYG00000020314,ENSMMUG00000018336,47.2574
ENSPPYG00000020312,ENSMMUG00000018335,28.4632
ENSPPYG00000020310,ENSMMUG00000018895,5.98846
ENSPPYG00000020308,ENSMMUG00000016975,36.7232
ENSPPYG00000020306,ENSMMUG00000019164,8.99471
ENSPPYG00000020304,ENSMMUG00000000810,47.7083
ENSPPYG00000020302,ENSMMUG00000014066,1.76234
ENSPPYG00000020300,ENSMMUG00000018535,6.12613
ENSPPYG00000020298,ENSMMUG00000032465,15.2349
ENSPPYG00000020296,ENSMMUG00000011420,34.4456
ENSPPYG00000020294,ENSMMUG00000010250,48.7719
ENSPPYG00000020292,ENSMMUG00000021984,47.9945
ENSPPYG00000020290,ENSMMUG00000016608,23.7937
ENSPPYG00000020290,ENSMMUG00000016608,24.7985
ENSPPYG00000020290,ENSMMUG00000016608,26.2514
ENSPPYG00000020286,ENSMMUG00000032314,56.9444
ENSPPYG00000020284,ENSMMUG00000017422,25.1917
ENSPPYG00000020282,ENSMMUG00000004744,48.6246
ENSPPYG00000020280,ENSMMUG00000023018,1.80437
ENSPPYG00000020278,ENSMMUG00000012711,49.6032
ENSPPYG00000020276,ENSMMUG00000006396,44.4734
ENSPPYG00000020274,ENSMMUG00000010580,37.8903
ENSPPYG00000020270,ENSMMUG00000003317,17.4811
ENSPPYG00000020270,ENSMMUG00000006378,48.538
ENSPPYG00000020268,ENSMMUG00000003505,8.33333
ENSPPYG00000020266,ENSMMUG00000016391,11.6052
ENSPPYG00000020264,ENSMMUG00000022873,48.9937
ENSPPYG00000020264,ENSMMUG00000019489,47.5066
ENSPPYG00000020262,ENSMMUG00000022734,6.07553
ENSPPYG00000020260,ENSMMUG00000022583,10.5862
ENSPPYG00000020258,ENSMMUG00000005304,5.5325
ENSPPYG00000020256,ENSMMUG00000013753,35.4273
ENSPPYG00000020256,ENSMMUG00000009877,48.6736
ENSPPYG00000020256,ENSMMUG00000016254,48.5333
ENSPPYG00000020254,ENSMMUG00000007593,49.1426
ENSPPYG00000020252,ENSMMUG00000032538,48.7654
ENSPPYG00000020250,ENSMMUG00000005292,8.93991
ENSPPYG00000020248,ENSMMUG00000004187,47.8927
ENSPPYG00000020246,ENSMMUG00000013493,33.0516
ENSPPYG00000020244,ENSMMUG00000013135,28.4377
ENSPPYG00000020242,ENSMMUG00000005351,27.9661
ENSPPYG00000020240,ENSMMUG00000004178,40.6888
ENSPPYG00000020238,ENSMMUG00000005026,47.7435
ENSPPYG00000020236,ENSMMUG00000018157,17.3042
ENSPPYG00000020234,ENSMMUG00000011104,18.1271
ENSPPYG00000020232,ENSMMUG00000018052,47.9885
ENSPPYG00000020230,ENSMMUG00000001465,10.9053
ENSPPYG00000020228,ENSMMUG00000002447,17.8947
ENSPPYG00000020226,ENSMMUG00000022257,28.8205
ENSPPYG00000020224,ENSMMUG00000032498,48.7179
ENSPPYG00000020222,ENSMMUG00000019345,6.67214
ENSPPYG00000020222,ENSMMUG00000019345,6.74406
ENSPPYG00000020222,ENSMMUG00000003302,48.6721
ENSPPYG00000020222,ENSMMUG00000019345,5.15796
ENSPPYG00000020222,ENSMMUG00000019345,5.06002
ENSPPYG00000020222,ENSMMUG00000016254,48.6827
ENSPPYG00000020220,ENSMMUG00000018480,50.4762
ENSPPYG00000020218,ENSMMUG00000022281,48.7158
ENSPPYG00000020218,ENSMMUG00000021298,48.428
ENSPPYG00000020216,ENSMMUG00000012775,10.5449
ENSPPYG00000020214,ENSMMUG00000022849,31.1239
ENSPPYG00000020212,ENSMMUG00000001663,1.43678
ENSPPYG00000020212,ENSMMUG00000032445,47.5219
ENSPPYG00000020212,ENSMMUG00000001464,48.4733
ENSPPYG00000020210,ENSMMUG00000003918,48.6649
ENSPPYG00000020208,ENSMMUG00000032420,49.5305
ENSPPYG00000020206,ENSMMUG00000000295,48.7261
ENSPPYG00000020204,ENSMMUG00000021348,39.6869
ENSPPYG00000020202,ENSMMUG00000032486,45.6376
ENSPPYG00000020200,ENSMMUG00000018433,20.6757
ENSPPYG00000020198,ENSMMUG00000012819,6.14251
ENSPPYG00000020196,ENSMMUG00000032558,50.4505
ENSPPYG00000020194,ENSMMUG00000006979,24.9706
ENSPPYG00000020192,ENSMMUG00000007515,48.7487
ENSPPYG00000020190,ENSMMUG00000008335,3.19458
ENSPPYG00000020188,ENSMMUG00000021366,15.8088
ENSPPYG00000020184,ENSMMUG00000003250,8.99844
ENSPPYG00000020182,ENSMMUG00000020392,3.61905
ENSPPYG00000020180,ENSMMUG00000014250,9.32704
ENSPPYG00000020180,ENSMMUG00000014250,9.32704
ENSPPYG00000020178,ENSMMUG00000007500,28.2029
ENSPPYG00000020178,ENSMMUG00000013603,48.7814
ENSPPYG00000020176,ENSMMUG00000000193,5.05747
ENSPPYG00000020176,ENSMMUG00000000193,2.11268
ENSPPYG00000020174,ENSMMUG00000014935,48.1742
ENSPPYG00000020172,ENSMMUG00000017339,37.3658
ENSPPYG00000020170,ENSMMUG00000020515,35.2495
ENSPPYG00000020170,ENSMMUG00000020515,35.4339
ENSPPYG00000020170,ENSMMUG00000020515,35.5736
ENSPPYG00000020168,ENSMMUG00000005066,10.2261
ENSPPYG00000020166,ENSMMUG00000005063,22.5198
ENSPPYG00000020164,ENSMMUG00000019969,10.3045
ENSPPYG00000020162,ENSMMUG00000012899,7.3331
ENSPPYG00000020162,ENSMMUG00000012899,4.7331
ENSPPYG00000020160,ENSMMUG00000032491,47.2973
ENSPPYG00000020158,ENSMMUG00000016238,38.6494
ENSPPYG00000020158,ENSMMUG00000021413,48.8627
ENSPPYG00000020156,ENSMMUG00000014235,48.9355
ENSPPYG00000020154,ENSMMUG00000004797,26.1783
ENSPPYG00000020152,ENSMMUG00000023688,37.3687
ENSPPYG00000020150,ENSMMUG00000014054,2.78358
ENSPPYG00000020148,ENSMMUG00000017015,49.1497
ENSPPYG00000020146,ENSMMUG00000014048,18.1495
ENSPPYG00000020144,ENSMMUG00000015740,44.9026
ENSPPYG00000020142,ENSMMUG00000015737,6.57331
ENSPPYG00000020140,ENSMMUG00000007345,48.8221
ENSPPYG00000020138,ENSMMUG00000017839,13.0384
ENSPPYG00000020136,ENSMMUG00000013595,11.2524
ENSPPYG00000020134,ENSMMUG00000019410,28.0903
ENSPPYG00000020132,ENSMMUG00000007515,48.2008
ENSPPYG00000020130,ENSMMUG00000002986,48.5075
ENSPPYG00000020128,ENSMMUG00000014258,17.3653
ENSPPYG00000020126,ENSMMUG00000014255,6.26999
ENSPPYG00000020124,ENSMMUG00000010252,6.44999
ENSPPYG00000020122,ENSMMUG00000008256,15.3722
ENSPPYG00000020122,ENSMMUG00000008256,12.1212
ENSPPYG00000020120,ENSMMUG00000032439,48.9467
ENSPPYG00000020120,ENSMMUG00000032547,50.9091
ENSPPYG00000020118,ENSMMUG00000006967,49.5937
ENSPPYG00000020116,ENSMMUG00000006193,9.46197
ENSPPYG00000020112,ENSMMUG00000001687,44.6309
ENSPPYG00000020110,ENSMMUG00000032536,47.9167
ENSPPYG00000020108,ENSMMUG00000021853,49.1597
ENSPPYG00000020106,ENSMMUG00000017378,15.6735
ENSPPYG00000020104,ENSMMUG00000011379,5.01089
