pongo_abelii,gorilla_gorilla
ENSPPYG00000020749,ENSGGOG00000006443,45.5363
ENSPPYG00000020747,ENSGGOG00000006838,48.2958
ENSPPYG00000020747,ENSGGOG00000007376,45.3397
ENSPPYG00000020745,ENSGGOG00000023346,51.1111
ENSPPYG00000020743,ENSGGOG00000012194,46.1538
ENSPPYG00000020741,ENSGGOG00000027604,46.3224
ENSPPYG00000020739,ENSGGOG00000011546,47.0588
ENSPPYG00000020737,ENSGGOG00000012493,47.14
ENSPPYG00000020735,ENSGGOG00000012231,48.6698
ENSPPYG00000020733,ENSGGOG00000024958,48.2496
ENSPPYG00000020731,ENSGGOG00000005564,48.3197
ENSPPYG00000020729,ENSGGOG00000026860,49.1943
ENSPPYG00000020729,ENSGGOG00000026119,48.7009
ENSPPYG00000020727,ENSGGOG00000028272,48.2804
ENSPPYG00000020725,ENSGGOG00000004553,46.0838
ENSPPYG00000020723,ENSGGOG00000009671,49.0909
ENSPPYG00000020721,ENSGGOG00000027225,41.2951
ENSPPYG00000020719,ENSGGOG00000003499,49.3523
ENSPPYG00000020719,ENSGGOG00000013279,49.2609
ENSPPYG00000020717,ENSGGOG00000006384,49.8818
ENSPPYG00000020715,ENSGGOG00000012297,49.8117
ENSPPYG00000020713,ENSGGOG00000012076,47.1989
ENSPPYG00000020711,ENSGGOG00000002206,48.0422
ENSPPYG00000020709,ENSGGOG00000010311,49.0253
ENSPPYG00000020707,ENSGGOG00000023804,47.8123
ENSPPYG00000020705,ENSGGOG00000024455,43.6314
ENSPPYG00000020703,ENSGGOG00000006754,49.0997
ENSPPYG00000020703,ENSGGOG00000014852,49.0633
ENSPPYG00000020701,ENSGGOG00000012466,49.2754
ENSPPYG00000020699,ENSGGOG00000011659,35.9746
ENSPPYG00000020697,ENSGGOG00000022961,48.163
ENSPPYG00000020695,ENSGGOG00000026836,48.826
ENSPPYG00000020693,ENSGGOG00000022666,48.0916
ENSPPYG00000020691,ENSGGOG00000027867,46.4612
ENSPPYG00000020689,ENSGGOG00000025511,48.7983
ENSPPYG00000020687,ENSGGOG00000010351,48.5348
ENSPPYG00000020685,ENSGGOG00000015011,48.9862
ENSPPYG00000020685,ENSGGOG00000025049,49.7701
ENSPPYG00000020683,ENSGGOG00000008196,49.2359
ENSPPYG00000020681,ENSGGOG00000013031,48.2639
ENSPPYG00000020679,ENSGGOG00000005082,49.7175
ENSPPYG00000020677,ENSGGOG00000025280,48.3568
ENSPPYG00000020675,ENSGGOG00000028133,49.2972
ENSPPYG00000020673,ENSGGOG00000008323,49.1349
ENSPPYG00000020671,ENSGGOG00000022257,49.125
ENSPPYG00000020669,ENSGGOG00000015406,47.9376
ENSPPYG00000020667,ENSGGOG00000023401,2.82227
ENSPPYG00000020665,ENSGGOG00000016427,49.5734
ENSPPYG00000020663,ENSGGOG00000027936,48.9035
ENSPPYG00000020661,ENSGGOG00000002699,48.3627
ENSPPYG00000020659,ENSGGOG00000028211,49.0218
ENSPPYG00000020657,ENSGGOG00000023000,48.1159
ENSPPYG00000020655,ENSGGOG00000025666,33.8422
ENSPPYG00000020653,ENSGGOG00000022293,48.5507
ENSPPYG00000020651,ENSGGOG00000007560,49.7475
ENSPPYG00000020649,ENSGGOG00000034921,48.7329
ENSPPYG00000020647,ENSGGOG00000027642,46.8507
ENSPPYG00000020645,ENSGGOG00000002837,48.294
ENSPPYG00000020643,ENSGGOG00000028422,4.46735
ENSPPYG00000020641,ENSGGOG00000003262,48.7568
ENSPPYG00000020639,ENSGGOG00000028250,45.2381
ENSPPYG00000020637,ENSGGOG00000024666,49.625
ENSPPYG00000020635,ENSGGOG00000022673,49.0706
ENSPPYG00000020633,ENSGGOG00000001916,49.6154
ENSPPYG00000020631,ENSGGOG00000005746,48.6921
ENSPPYG00000020629,ENSGGOG00000026926,49.1846
ENSPPYG00000020629,ENSGGOG00000027411,49.1311
ENSPPYG00000020627,ENSGGOG00000023474,48.7164
ENSPPYG00000020625,ENSGGOG00000028407,49.1362
ENSPPYG00000020623,ENSGGOG00000016587,49.0491
ENSPPYG00000020621,ENSGGOG00000025529,48.8172
ENSPPYG00000020619,ENSGGOG00000010070,48.961
ENSPPYG00000020617,ENSGGOG00000012044,48.7113
ENSPPYG00000020615,ENSGGOG00000003136,49.0282
ENSPPYG00000020613,ENSGGOG00000023282,49.6675
ENSPPYG00000020611,ENSGGOG00000022322,48.3721
ENSPPYG00000020609,ENSGGOG00000027838,48.9191
ENSPPYG00000020609,ENSGGOG00000007800,48.5818
ENSPPYG00000020609,ENSGGOG00000025833,48.5407
ENSPPYG00000020607,ENSGGOG00000024674,43.7229
ENSPPYG00000020605,ENSGGOG00000001822,48.6928
ENSPPYG00000020603,ENSGGOG00000022961,48.5596
ENSPPYG00000020603,ENSGGOG00000022961,48.5561
ENSPPYG00000020601,ENSGGOG00000005564,48.7981
ENSPPYG00000020599,ENSGGOG00000006645,48.7575
ENSPPYG00000020597,ENSGGOG00000010311,48.3746
ENSPPYG00000020595,ENSGGOG00000027838,48.2434
ENSPPYG00000020593,ENSGGOG00000014404,38.4058
ENSPPYG00000020591,ENSGGOG00000014852,49.3374
ENSPPYG00000020589,ENSGGOG00000025064,46.5483
ENSPPYG00000020587,ENSGGOG00000016542,48.4459
ENSPPYG00000020585,ENSGGOG00000023316,49.4196
ENSPPYG00000020583,ENSGGOG00000026664,27.3381
ENSPPYG00000020581,ENSGGOG00000027112,46.0317
ENSPPYG00000020579,ENSGGOG00000027112,48.1848
ENSPPYG00000020577,ENSGGOG00000023316,48.4702
ENSPPYG00000020575,ENSGGOG00000007312,49.2718
ENSPPYG00000020573,ENSGGOG00000028434,46.8254
ENSPPYG00000020571,ENSGGOG00000022923,47.4747
ENSPPYG00000020569,ENSGGOG00000008196,49.0057
ENSPPYG00000020567,ENSGGOG00000005409,48.9022
ENSPPYG00000020565,ENSGGOG00000026860,49.0712
ENSPPYG00000020561,ENSGGOG00000023227,48.5294
ENSPPYG00000020561,ENSGGOG00000008053,48.3105
ENSPPYG00000020559,ENSGGOG00000016381,48.857
ENSPPYG00000020557,ENSGGOG00000007560,49.6124
ENSPPYG00000020555,ENSGGOG00000023870,48.0148
ENSPPYG00000020553,ENSGGOG00000016192,48.5243
ENSPPYG00000020551,ENSGGOG00000025078,47.9592
ENSPPYG00000020549,ENSGGOG00000014837,50.0223
ENSPPYG00000020547,ENSGGOG00000027844,48.6129
ENSPPYG00000020545,ENSGGOG00000015749,49.4831
ENSPPYG00000020545,ENSGGOG00000010070,49.3014
ENSPPYG00000020543,ENSGGOG00000023036,49.1721
ENSPPYG00000020541,ENSGGOG00000027137,48.6789
ENSPPYG00000020539,ENSGGOG00000001305,48.4263
ENSPPYG00000020537,ENSGGOG00000026990,49.6491
ENSPPYG00000020535,ENSGGOG00000027903,49.458
ENSPPYG00000020533,ENSGGOG00000026391,49.6599
ENSPPYG00000020531,ENSGGOG00000007804,46.3186
ENSPPYG00000020529,ENSGGOG00000028419,17.9177
ENSPPYG00000020527,ENSGGOG00000011379,49.2338
ENSPPYG00000020527,ENSGGOG00000011379,49.2939
ENSPPYG00000020527,ENSGGOG00000008718,48.7883
ENSPPYG00000020527,ENSGGOG00000014989,48.5055
ENSPPYG00000020525,ENSGGOG00000002075,49.0654
ENSPPYG00000020525,ENSGGOG00000002075,49.0654
ENSPPYG00000020523,ENSGGOG00000017084,48.468
ENSPPYG00000020521,ENSGGOG00000004058,46.2778
ENSPPYG00000020521,ENSGGOG00000004058,45.9966
ENSPPYG00000020519,ENSGGOG00000028211,48.7518
ENSPPYG00000020519,ENSGGOG00000003797,48.5261
ENSPPYG00000020517,ENSGGOG00000028132,48.7037
ENSPPYG00000020515,ENSGGOG00000026100,47.0085
ENSPPYG00000020513,ENSGGOG00000026860,48.7248
ENSPPYG00000020511,ENSGGOG00000026613,46.5887
ENSPPYG00000020509,ENSGGOG00000006828,48.74
ENSPPYG00000020507,ENSGGOG00000014223,49.3261
ENSPPYG00000020505,ENSGGOG00000025841,47.9798
ENSPPYG00000020503,ENSGGOG00000002996,48.7374
ENSPPYG00000020501,ENSGGOG00000028282,48.3333
ENSPPYG00000020497,ENSGGOG00000027903,48.1481
ENSPPYG00000020495,ENSGGOG00000012100,49.1006
ENSPPYG00000020495,ENSGGOG00000025049,48.981
ENSPPYG00000020493,ENSGGOG00000008053,48.6934
ENSPPYG00000020493,ENSGGOG00000009949,49.4481
ENSPPYG00000020491,ENSGGOG00000027092,48.923
ENSPPYG00000020491,ENSGGOG00000027092,48.7558
ENSPPYG00000020491,ENSGGOG00000027092,48.6596
ENSPPYG00000020491,ENSGGOG00000027092,48.656
ENSPPYG00000020489,ENSGGOG00000007620,48.7474
ENSPPYG00000020487,ENSGGOG00000004206,2.22646
ENSPPYG00000020485,ENSGGOG00000023583,48.2249
ENSPPYG00000020483,ENSGGOG00000001882,48.7826
ENSPPYG00000020481,ENSGGOG00000009780,48.2667
ENSPPYG00000020474,ENSGGOG00000022771,47.9167
ENSPPYG00000020472,ENSGGOG00000003617,48.538
ENSPPYG00000020470,ENSGGOG00000006954,49.47
ENSPPYG00000020468,ENSGGOG00000025267,47.7612
ENSPPYG00000020466,ENSGGOG00000027262,48.75
ENSPPYG00000020464,ENSGGOG00000027633,48.7678
ENSPPYG00000020462,ENSGGOG00000002110,49.1289
ENSPPYG00000020460,ENSGGOG00000024389,50
ENSPPYG00000020458,ENSGGOG00000016452,45.9574
ENSPPYG00000020456,ENSGGOG00000001712,48.7184
ENSPPYG00000020456,ENSGGOG00000001712,48.7979
ENSPPYG00000020454,ENSGGOG00000023870,47.3148
ENSPPYG00000020452,ENSGGOG00000027785,48.5742
ENSPPYG00000020450,ENSGGOG00000016587,48.4918
ENSPPYG00000020448,ENSGGOG00000016587,48.9936
ENSPPYG00000020448,ENSGGOG00000008020,48.6847
ENSPPYG00000020448,ENSGGOG00000008020,48.6932
ENSPPYG00000020446,ENSGGOG00000005680,49.6167
ENSPPYG00000020444,ENSGGOG00000027642,48.0741
ENSPPYG00000020442,ENSGGOG00000004805,48.7097
ENSPPYG00000020440,ENSGGOG00000003712,49.7226
ENSPPYG00000020440,ENSGGOG00000003712,49.8061
ENSPPYG00000020438,ENSGGOG00000023870,48.6362
ENSPPYG00000020436,ENSGGOG00000022107,49.3056
ENSPPYG00000020434,ENSGGOG00000027867,46.8281
ENSPPYG00000020432,ENSGGOG00000000247,48.2143
ENSPPYG00000020430,ENSGGOG00000025666,42.9119
ENSPPYG00000020428,ENSGGOG00000009450,48.5184
ENSPPYG00000020426,ENSGGOG00000000614,49.3566
ENSPPYG00000020424,ENSGGOG00000007261,47.2309
ENSPPYG00000020422,ENSGGOG00000028054,49.0162
ENSPPYG00000020420,ENSGGOG00000027128,46.9697
ENSPPYG00000020418,ENSGGOG00000010879,46.1483
ENSPPYG00000020416,ENSGGOG00000006311,49.3523
ENSPPYG00000020414,ENSGGOG00000024315,49.3617
ENSPPYG00000020412,ENSGGOG00000010993,49.4659
ENSPPYG00000020410,ENSGGOG00000008634,48.7913
ENSPPYG00000020408,ENSGGOG00000014406,48.1712
ENSPPYG00000020406,ENSGGOG00000010577,49.2183
ENSPPYG00000020404,ENSGGOG00000022578,49.3095
ENSPPYG00000020402,ENSGGOG00000025880,48.7923
ENSPPYG00000020400,ENSGGOG00000024652,48.7294
ENSPPYG00000020398,ENSGGOG00000013412,48.9778
ENSPPYG00000020396,ENSGGOG00000022328,48.8248
ENSPPYG00000020394,ENSGGOG00000007667,48.1818
ENSPPYG00000020392,ENSGGOG00000028328,47.7477
ENSPPYG00000020390,ENSGGOG00000022491,48.4058
ENSPPYG00000020388,ENSGGOG00000004655,47.6557
ENSPPYG00000020386,ENSGGOG00000024364,46.6063
ENSPPYG00000020386,ENSGGOG00000024364,45.6969
ENSPPYG00000020384,ENSGGOG00000005746,47.3905
ENSPPYG00000020382,ENSGGOG00000010848,48.3021
ENSPPYG00000020380,ENSGGOG00000012676,49.1376
ENSPPYG00000020380,ENSGGOG00000012676,49.1327
ENSPPYG00000020378,ENSGGOG00000034992,48.614
ENSPPYG00000020376,ENSGGOG00000011472,47.9055
ENSPPYG00000020374,ENSGGOG00000003533,49.8275
ENSPPYG00000020372,ENSGGOG00000004730,48.0438
ENSPPYG00000020372,ENSGGOG00000012775,48.7865
ENSPPYG00000020370,ENSGGOG00000027411,48.2866
ENSPPYG00000020368,ENSGGOG00000027906,48.0122
ENSPPYG00000020366,ENSGGOG00000028368,47.698
ENSPPYG00000020364,ENSGGOG00000022896,46.4286
ENSPPYG00000020362,ENSGGOG00000026812,48.6559
ENSPPYG00000020360,ENSGGOG00000016542,49.1172
ENSPPYG00000020360,ENSGGOG00000016542,49.0977
ENSPPYG00000020358,ENSGGOG00000027653,43.3735
ENSPPYG00000020356,ENSGGOG00000008248,4.92578
ENSPPYG00000020354,ENSGGOG00000024197,48.6464
ENSPPYG00000020352,ENSGGOG00000006754,49.082
ENSPPYG00000020350,ENSGGOG00000025361,46.0094
ENSPPYG00000020348,ENSGGOG00000027201,49.1793
ENSPPYG00000020346,ENSGGOG00000023483,44.9838
ENSPPYG00000020344,ENSGGOG00000025201,48.8223
ENSPPYG00000020342,ENSGGOG00000014406,47.4343
ENSPPYG00000020340,ENSGGOG00000014406,47.56
ENSPPYG00000020338,ENSGGOG00000008606,49.5659
ENSPPYG00000020338,ENSGGOG00000026823,48.6111
ENSPPYG00000020336,ENSGGOG00000023355,48.4733
ENSPPYG00000020334,ENSGGOG00000013846,48.0106
ENSPPYG00000020332,ENSGGOG00000027808,47.9518
ENSPPYG00000020330,ENSGGOG00000016381,47.3085
ENSPPYG00000020330,ENSGGOG00000016381,47.2567
ENSPPYG00000020330,ENSGGOG00000014663,47.1898
ENSPPYG00000020328,ENSGGOG00000008892,48.3461
ENSPPYG00000020326,ENSGGOG00000012466,48.1838
ENSPPYG00000020324,ENSGGOG00000024272,47.3684
ENSPPYG00000020322,ENSGGOG00000016493,44.189
ENSPPYG00000020320,ENSGGOG00000016587,48.3061
ENSPPYG00000020318,ENSGGOG00000026525,49.6403
ENSPPYG00000020316,ENSGGOG00000009275,48.2397
ENSPPYG00000020314,ENSGGOG00000013717,49.1055
ENSPPYG00000020314,ENSGGOG00000027959,47.4684
ENSPPYG00000020312,ENSGGOG00000023005,47.6732
ENSPPYG00000020310,ENSGGOG00000005680,47.4026
ENSPPYG00000020308,ENSGGOG00000003700,47.6695
ENSPPYG00000020306,ENSGGOG00000025219,47.619
ENSPPYG00000020304,ENSGGOG00000005433,47.0833
ENSPPYG00000020302,ENSGGOG00000026860,41.6415
ENSPPYG00000020300,ENSGGOG00000012231,48.1081
ENSPPYG00000020298,ENSGGOG00000004655,47.2483
ENSPPYG00000020296,ENSGGOG00000003499,48.4665
ENSPPYG00000020294,ENSGGOG00000005784,2.10526
ENSPPYG00000020292,ENSGGOG00000027923,48.5477
ENSPPYG00000020290,ENSGGOG00000003079,48.2873
ENSPPYG00000020290,ENSGGOG00000008323,48.3516
ENSPPYG00000020290,ENSGGOG00000028007,48.3871
ENSPPYG00000020286,ENSGGOG00000016003,48.6111
ENSPPYG00000020284,ENSGGOG00000027785,48.6309
ENSPPYG00000020282,ENSGGOG00000027936,48.2605
ENSPPYG00000020280,ENSGGOG00000015683,47.6733
ENSPPYG00000020278,ENSGGOG00000022473,5.15873
ENSPPYG00000020276,ENSGGOG00000006838,48.716
ENSPPYG00000020274,ENSGGOG00000014663,39.4937
ENSPPYG00000020270,ENSGGOG00000026926,49.1311
ENSPPYG00000020270,ENSGGOG00000028067,48.0994
ENSPPYG00000020268,ENSGGOG00000014682,37.1795
ENSPPYG00000020266,ENSGGOG00000008196,49.2904
ENSPPYG00000020264,ENSGGOG00000025261,48.7421
ENSPPYG00000020264,ENSGGOG00000007836,49.8688
ENSPPYG00000020262,ENSGGOG00000026301,48.4401
ENSPPYG00000020260,ENSGGOG00000006116,48.2065
ENSPPYG00000020258,ENSGGOG00000010879,44.26
ENSPPYG00000020256,ENSGGOG00000010362,49.2764
ENSPPYG00000020256,ENSGGOG00000007560,49.1349
ENSPPYG00000020256,ENSGGOG00000027171,49.0667
ENSPPYG00000020254,ENSGGOG00000016306,49.1426
ENSPPYG00000020252,ENSGGOG00000024646,46.6049
ENSPPYG00000020250,ENSGGOG00000004414,49.4056
ENSPPYG00000020248,ENSGGOG00000008611,47.5096
ENSPPYG00000020246,ENSGGOG00000027005,48.7324
ENSPPYG00000020244,ENSGGOG00000004655,47.9482
ENSPPYG00000020242,ENSGGOG00000009003,23.4463
ENSPPYG00000020240,ENSGGOG00000028469,49.3287
ENSPPYG00000020238,ENSGGOG00000004181,48.3769
ENSPPYG00000020236,ENSGGOG00000027411,6.19308
ENSPPYG00000020234,ENSGGOG00000002610,48.4107
ENSPPYG00000020232,ENSGGOG00000027150,45.977
ENSPPYG00000020230,ENSGGOG00000028050,49.7942
ENSPPYG00000020228,ENSGGOG00000022789,49.2632
ENSPPYG00000020226,ENSGGOG00000022284,33.8462
ENSPPYG00000020224,ENSGGOG00000024581,48.1685
ENSPPYG00000020222,ENSGGOG00000001418,48.9472
ENSPPYG00000020222,ENSGGOG00000001418,48.8668
ENSPPYG00000020222,ENSGGOG00000008587,48.9973
ENSPPYG00000020222,ENSGGOG00000010362,49.0006
ENSPPYG00000020222,ENSGGOG00000010362,48.9843
ENSPPYG00000020222,ENSGGOG00000007560,48.6827
ENSPPYG00000020220,ENSGGOG00000026391,45.7143
ENSPPYG00000020218,ENSGGOG00000022961,48.9644
ENSPPYG00000020218,ENSGGOG00000022961,48.3127
ENSPPYG00000020216,ENSGGOG00000010879,46.7091
ENSPPYG00000020214,ENSGGOG00000005399,11.0471
ENSPPYG00000020212,ENSGGOG00000009780,48.5632
ENSPPYG00000020212,ENSGGOG00000012314,47.5219
ENSPPYG00000020212,ENSGGOG00000005564,49.084
ENSPPYG00000020210,ENSGGOG00000006202,49.505
ENSPPYG00000020208,ENSGGOG00000023163,49.061
ENSPPYG00000020206,ENSGGOG00000026645,27.1762
ENSPPYG00000020204,ENSGGOG00000022284,38.1215
ENSPPYG00000020202,ENSGGOG00000027867,44.1834
ENSPPYG00000020200,ENSGGOG00000026836,49.1231
ENSPPYG00000020198,ENSGGOG00000027838,49.0581
ENSPPYG00000020196,ENSGGOG00000026337,48.1982
ENSPPYG00000020194,ENSGGOG00000008196,49.8237
ENSPPYG00000020192,ENSGGOG00000027065,48.7487
ENSPPYG00000020190,ENSGGOG00000024270,48.1123
ENSPPYG00000020188,ENSGGOG00000010632,48.0392
ENSPPYG00000020184,ENSGGOG00000015011,48.9828
ENSPPYG00000020182,ENSGGOG00000024270,48.8571
ENSPPYG00000020180,ENSGGOG00000006954,49.4687
ENSPPYG00000020180,ENSGGOG00000006954,49.4687
ENSPPYG00000020178,ENSGGOG00000013768,15.9864
ENSPPYG00000020178,ENSGGOG00000013768,29.6384
ENSPPYG00000020176,ENSGGOG00000026143,46.8966
ENSPPYG00000020176,ENSGGOG00000026143,47.4178
ENSPPYG00000020174,ENSGGOG00000016685,47.8933
ENSPPYG00000020172,ENSGGOG00000001418,49.2892
ENSPPYG00000020170,ENSGGOG00000025079,49.2408
ENSPPYG00000020170,ENSGGOG00000025079,49.1278
ENSPPYG00000020170,ENSGGOG00000025079,49.19
ENSPPYG00000020168,ENSGGOG00000028211,49.0783
ENSPPYG00000020166,ENSGGOG00000010587,49.4709
ENSPPYG00000020164,ENSGGOG00000013541,49.103
ENSPPYG00000020162,ENSGGOG00000006837,49.1871
ENSPPYG00000020162,ENSGGOG00000006837,49.0036
ENSPPYG00000020160,ENSGGOG00000022186,2.7027
ENSPPYG00000020158,ENSGGOG00000026223,48.7787
ENSPPYG00000020158,ENSGGOG00000016615,49.1765
ENSPPYG00000020156,ENSGGOG00000008196,49.4453
ENSPPYG00000020154,ENSGGOG00000022136,48.8927
ENSPPYG00000020152,ENSGGOG00000028442,49.3643
ENSPPYG00000020150,ENSGGOG00000001828,49.2693
ENSPPYG00000020148,ENSGGOG00000023689,47.2789
ENSPPYG00000020146,ENSGGOG00000022961,48.7271
ENSPPYG00000020144,ENSGGOG00000002110,49.1409
ENSPPYG00000020142,ENSGGOG00000006202,49.014
ENSPPYG00000020140,ENSGGOG00000022925,48.8221
ENSPPYG00000020138,ENSGGOG00000027844,48.9329
ENSPPYG00000020136,ENSGGOG00000003710,49.3325
ENSPPYG00000020134,ENSGGOG00000028211,48.5764
ENSPPYG00000020132,ENSGGOG00000028133,48.3902
ENSPPYG00000020130,ENSGGOG00000022649,46.5174
ENSPPYG00000020128,ENSGGOG00000028529,48.503
ENSPPYG00000020126,ENSGGOG00000014989,49.1683
ENSPPYG00000020124,ENSGGOG00000013768,49.2063
ENSPPYG00000020122,ENSGGOG00000008319,46.6019
ENSPPYG00000020122,ENSGGOG00000025199,46.8013
ENSPPYG00000020120,ENSGGOG00000024272,48.6989
ENSPPYG00000020120,ENSGGOG00000022561,46.6667
ENSPPYG00000020118,ENSGGOG00000012303,49.3786
ENSPPYG00000020116,ENSGGOG00000009450,47.7221
ENSPPYG00000020112,ENSGGOG00000026982,47.9866
ENSPPYG00000020110,ENSGGOG00000028309,45.4861
ENSPPYG00000020108,ENSGGOG00000027541,49.0196
ENSPPYG00000020106,ENSGGOG00000002811,49.0736
ENSPPYG00000020104,ENSGGOG00000025841,1.96078
