pongo_abelii,homo_sapiens
ENSPPYG00000020709,ENSG00000260150,48.7817
ENSPPYG00000020707,ENSG00000260789,47.7327
ENSPPYG00000020705,ENSG00000185962,47.6965
ENSPPYG00000020703,ENSG00000183735,48.3388
ENSPPYG00000020703,ENSG00000262840,48.5465
ENSPPYG00000020701,ENSG00000197084,48.7179
ENSPPYG00000020699,ENSG00000138411,49.144
ENSPPYG00000020697,ENSG00000144395,48.6189
ENSPPYG00000020695,ENSG00000105835,49.292
ENSPPYG00000020693,ENSG00000263042,48.6005
ENSPPYG00000020691,ENSG00000175482,48.0594
ENSPPYG00000020689,ENSG00000262773,48.2759
ENSPPYG00000020687,ENSG00000143889,48.5348
ENSPPYG00000020685,ENSG00000144366,49.3917
ENSPPYG00000020685,ENSG00000064225,47.2004
ENSPPYG00000020683,ENSG00000128641,48.8998
ENSPPYG00000020681,ENSG00000197084,48.1481
ENSPPYG00000020679,ENSG00000153237,48.3757
ENSPPYG00000020677,ENSG00000156931,52.1127
ENSPPYG00000020675,ENSG00000135655,49.3976
ENSPPYG00000020673,ENSG00000151689,49.2887
ENSPPYG00000020671,ENSG00000113966,49.25
ENSPPYG00000020669,ENSG00000144810,48.7179
ENSPPYG00000020667,ENSG00000262771,49.0465
ENSPPYG00000020665,ENSG00000128536,49.482
ENSPPYG00000020663,ENSG00000143367,48.5526
ENSPPYG00000020661,ENSG00000075790,48.5306
ENSPPYG00000020659,ENSG00000064933,48.5419
ENSPPYG00000020657,ENSG00000212907,48.6957
ENSPPYG00000020655,ENSG00000257370,35.1145
ENSPPYG00000020653,ENSG00000138068,53.6232
ENSPPYG00000020651,ENSG00000115875,49.6212
ENSPPYG00000020649,ENSG00000153237,48.3106
ENSPPYG00000020647,ENSG00000260789,46.6384
ENSPPYG00000020645,ENSG00000138068,48.4689
ENSPPYG00000020643,ENSG00000003509,48.11
ENSPPYG00000020641,ENSG00000049323,48.8649
ENSPPYG00000020639,ENSG00000226894,48.5119
ENSPPYG00000020637,ENSG00000064933,49.3849
ENSPPYG00000020635,ENSG00000265969,49.2565
ENSPPYG00000020633,ENSG00000119787,49.0598
ENSPPYG00000020631,ENSG00000260245,48.3561
ENSPPYG00000020629,ENSG00000177990,49.3054
ENSPPYG00000020629,ENSG00000151690,48.6572
ENSPPYG00000020627,ENSG00000036054,48.8613
ENSPPYG00000020625,ENSG00000008282,48.0514
ENSPPYG00000020623,ENSG00000172932,49.234
ENSPPYG00000020621,ENSG00000263040,49.2473
ENSPPYG00000020619,ENSG00000091140,48.8312
ENSPPYG00000020617,ENSG00000128536,49.2268
ENSPPYG00000020615,ENSG00000182134,49.3683
ENSPPYG00000020613,ENSG00000115267,48.9514
ENSPPYG00000020611,ENSG00000184220,48.062
ENSPPYG00000020609,ENSG00000128536,49.2394
ENSPPYG00000020609,ENSG00000113966,49.1249
ENSPPYG00000020609,ENSG00000111490,48.2335
ENSPPYG00000020607,ENSG00000261042,47.3304
ENSPPYG00000020605,ENSG00000135655,48.2541
ENSPPYG00000020603,ENSG00000144366,48.3
ENSPPYG00000020603,ENSG00000153237,48.4759
ENSPPYG00000020601,ENSG00000196504,49.2788
ENSPPYG00000020599,ENSG00000136536,48.2434
ENSPPYG00000020597,ENSG00000262942,48.6172
ENSPPYG00000020595,ENSG00000128536,48.4147
ENSPPYG00000020593,ENSG00000138068,55.7971
ENSPPYG00000020591,ENSG00000064933,49.0316
ENSPPYG00000020589,ENSG00000196754,49.7041
ENSPPYG00000020587,ENSG00000261846,49.3569
ENSPPYG00000020585,ENSG00000163157,49.4196
ENSPPYG00000020583,ENSG00000262972,47.9616
ENSPPYG00000020581,ENSG00000163898,51.4286
ENSPPYG00000020579,ENSG00000260119,52.1452
ENSPPYG00000020577,ENSG00000163157,48.3092
ENSPPYG00000020575,ENSG00000262037,49.11
ENSPPYG00000020573,ENSG00000187238,49.7354
ENSPPYG00000020571,ENSG00000138068,45.4545
ENSPPYG00000020569,ENSG00000119787,49.2614
ENSPPYG00000020567,ENSG00000064225,48.8024
ENSPPYG00000020565,ENSG00000143409,48.968
ENSPPYG00000020561,ENSG00000259741,48.5294
ENSPPYG00000020561,ENSG00000075790,47.8539
ENSPPYG00000020559,ENSG00000115267,49.0165
ENSPPYG00000020557,ENSG00000159352,48.6157
ENSPPYG00000020555,ENSG00000260736,48.8458
ENSPPYG00000020553,ENSG00000075790,48.7847
ENSPPYG00000020551,ENSG00000185962,50.3401
ENSPPYG00000020549,ENSG00000263138,49.4734
ENSPPYG00000020547,ENSG00000115841,48.8771
ENSPPYG00000020545,ENSG00000163141,47.5879
ENSPPYG00000020545,ENSG00000163141,46.9461
ENSPPYG00000020543,ENSG00000196734,49.1721
ENSPPYG00000020541,ENSG00000175463,48.628
ENSPPYG00000020539,ENSG00000163154,48.0687
ENSPPYG00000020537,ENSG00000198130,49.2105
ENSPPYG00000020535,ENSG00000123636,48.2385
ENSPPYG00000020533,ENSG00000138068,50.3401
ENSPPYG00000020531,ENSG00000123636,48.1928
ENSPPYG00000020529,ENSG00000263250,48.1033
ENSPPYG00000020527,ENSG00000144395,48.9747
ENSPPYG00000020527,ENSG00000168386,48.9898
ENSPPYG00000020527,ENSG00000168386,48.64
ENSPPYG00000020527,ENSG00000105856,48.473
ENSPPYG00000020525,ENSG00000260557,48.2477
ENSPPYG00000020525,ENSG00000260557,48.2477
ENSPPYG00000020523,ENSG00000115252,48.7465
ENSPPYG00000020521,ENSG00000163918,49
ENSPPYG00000020521,ENSG00000196504,49.1198
ENSPPYG00000020519,ENSG00000262562,48.2525
ENSPPYG00000020519,ENSG00000153237,48.2993
ENSPPYG00000020517,ENSG00000163157,48.1481
ENSPPYG00000020515,ENSG00000169469,48.2906
ENSPPYG00000020513,ENSG00000143452,48.6353
ENSPPYG00000020511,ENSG00000263163,48.1481
ENSPPYG00000020509,ENSG00000115841,47.8236
ENSPPYG00000020507,ENSG00000156931,49.2036
ENSPPYG00000020505,ENSG00000136560,48.3165
ENSPPYG00000020503,ENSG00000113790,48.9899
ENSPPYG00000020501,ENSG00000260717,48.8235
ENSPPYG00000020497,ENSG00000061987,48.6772
ENSPPYG00000020495,ENSG00000144395,48.7453
ENSPPYG00000020495,ENSG00000135241,48.9342
ENSPPYG00000020493,ENSG00000260952,48.6934
ENSPPYG00000020493,ENSG00000003436,48.6755
ENSPPYG00000020491,ENSG00000091129,49.3942
ENSPPYG00000020491,ENSG00000115825,49.6172
ENSPPYG00000020491,ENSG00000262022,49.5018
ENSPPYG00000020491,ENSG00000115825,49.5293
ENSPPYG00000020489,ENSG00000144339,48.817
ENSPPYG00000020487,ENSG00000163157,48.9186
ENSPPYG00000020485,ENSG00000241399,49.1124
ENSPPYG00000020483,ENSG00000091140,49.0483
ENSPPYG00000020481,ENSG00000081320,48.9067
ENSPPYG00000020474,ENSG00000163898,49.6528
ENSPPYG00000020472,ENSG00000261230,48.655
ENSPPYG00000020470,ENSG00000136560,48.6455
ENSPPYG00000020468,ENSG00000260195,47.927
ENSPPYG00000020466,ENSG00000138449,47.9167
ENSPPYG00000020464,ENSG00000115825,48.6381
ENSPPYG00000020462,ENSG00000213139,48.7805
ENSPPYG00000020460,ENSG00000105879,48.8589
ENSPPYG00000020458,ENSG00000261577,47.6596
ENSPPYG00000020456,ENSG00000138386,48.7917
ENSPPYG00000020456,ENSG00000138386,48.8163
ENSPPYG00000020454,ENSG00000258518,48.1481
ENSPPYG00000020452,ENSG00000263138,48.3776
ENSPPYG00000020450,ENSG00000090539,48.6452
ENSPPYG00000020448,ENSG00000261577,49.0191
ENSPPYG00000020448,ENSG00000172830,48.4884
ENSPPYG00000020448,ENSG00000172830,48.4117
ENSPPYG00000020446,ENSG00000238035,49.7561
ENSPPYG00000020444,ENSG00000090534,48.0741
ENSPPYG00000020442,ENSG00000173653,48.5484
ENSPPYG00000020440,ENSG00000257374,50.0867
ENSPPYG00000020440,ENSG00000143379,50.1939
ENSPPYG00000020438,ENSG00000168386,48.464
ENSPPYG00000020436,ENSG00000138068,50.0992
ENSPPYG00000020434,ENSG00000261236,47.6355
ENSPPYG00000020432,ENSG00000257339,48.2143
ENSPPYG00000020430,ENSG00000218739,42.1456
ENSPPYG00000020428,ENSG00000172508,48.0145
ENSPPYG00000020426,ENSG00000262872,49.232
ENSPPYG00000020424,ENSG00000262739,48.5893
ENSPPYG00000020422,ENSG00000135407,49.1924
ENSPPYG00000020420,ENSG00000138068,55.303
ENSPPYG00000020418,ENSG00000260665,46.7243
ENSPPYG00000020416,ENSG00000113916,48.8342
ENSPPYG00000020414,ENSG00000114354,49.5508
ENSPPYG00000020412,ENSG00000115170,50
ENSPPYG00000020410,ENSG00000261456,48.7277
ENSPPYG00000020408,ENSG00000261698,48.0881
ENSPPYG00000020406,ENSG00000163918,49.3433
ENSPPYG00000020404,ENSG00000196504,48.4972
ENSPPYG00000020402,ENSG00000138068,50.7246
ENSPPYG00000020400,ENSG00000260178,48.281
ENSPPYG00000020398,ENSG00000144366,49.3333
ENSPPYG00000020396,ENSG00000049323,49.1453
ENSPPYG00000020394,ENSG00000196154,47.7273
ENSPPYG00000020392,ENSG00000255738,43.5435
ENSPPYG00000020390,ENSG00000169474,51.0145
ENSPPYG00000020388,ENSG00000260789,49.0687
ENSPPYG00000020386,ENSG00000262355,48.6425
ENSPPYG00000020386,ENSG00000262355,48.5033
ENSPPYG00000020384,ENSG00000090539,48.9641
ENSPPYG00000020382,ENSG00000257961,48.1289
ENSPPYG00000020380,ENSG00000151687,48.7064
ENSPPYG00000020380,ENSG00000151687,48.6991
ENSPPYG00000020378,ENSG00000259919,49.0991
ENSPPYG00000020376,ENSG00000260178,47.7981
ENSPPYG00000020374,ENSG00000196504,50.0366
ENSPPYG00000020372,ENSG00000260220,48.8785
ENSPPYG00000020372,ENSG00000260119,48.8479
ENSPPYG00000020370,ENSG00000261631,47.9751
ENSPPYG00000020368,ENSG00000255738,34.8624
ENSPPYG00000020366,ENSG00000163157,48.8029
ENSPPYG00000020364,ENSG00000255738,30.9524
ENSPPYG00000020362,ENSG00000187238,48.6559
ENSPPYG00000020360,ENSG00000263255,49.2777
ENSPPYG00000020360,ENSG00000263255,49.0977
ENSPPYG00000020358,ENSG00000263079,47.1888
ENSPPYG00000020356,ENSG00000238035,47.3009
ENSPPYG00000020354,ENSG00000143418,49.577
ENSPPYG00000020352,ENSG00000168386,48.687
ENSPPYG00000020350,ENSG00000169469,51.6432
ENSPPYG00000020348,ENSG00000263304,48.8005
ENSPPYG00000020346,ENSG00000255738,46.6019
ENSPPYG00000020344,ENSG00000255738,29.1221
ENSPPYG00000020342,ENSG00000261042,47.7263
ENSPPYG00000020340,ENSG00000163207,46.76
ENSPPYG00000020338,ENSG00000163207,49.814
ENSPPYG00000020338,ENSG00000138449,52.7778
ENSPPYG00000020336,ENSG00000172155,49.2366
ENSPPYG00000020334,ENSG00000261577,48.0106
ENSPPYG00000020332,ENSG00000261577,48.0321
ENSPPYG00000020330,ENSG00000143367,48.706
ENSPPYG00000020330,ENSG00000173227,48.706
ENSPPYG00000020330,ENSG00000260789,48.1914
ENSPPYG00000020328,ENSG00000172830,47.9962
ENSPPYG00000020326,ENSG00000175182,46.688
ENSPPYG00000020324,ENSG00000260155,48.1203
ENSPPYG00000020322,ENSG00000262972,46.4879
ENSPPYG00000020320,ENSG00000114859,48.5822
ENSPPYG00000020318,ENSG00000163002,49.4005
ENSPPYG00000020316,ENSG00000175182,48.764
ENSPPYG00000020314,ENSG00000263304,47.2548
ENSPPYG00000020314,ENSG00000260770,48.7342
ENSPPYG00000020312,ENSG00000175463,48.2143
ENSPPYG00000020310,ENSG00000238035,47.7633
ENSPPYG00000020308,ENSG00000238035,47.8107
ENSPPYG00000020306,ENSG00000197364,49.2063
ENSPPYG00000020304,ENSG00000154175,47.9167
ENSPPYG00000020302,ENSG00000262942,40.8359
ENSPPYG00000020300,ENSG00000260873,48.2883
ENSPPYG00000020298,ENSG00000203782,47.8523
ENSPPYG00000020296,ENSG00000238035,48.2979
ENSPPYG00000020294,ENSG00000138449,48.7719
ENSPPYG00000020292,ENSG00000135655,47.9945
ENSPPYG00000020290,ENSG00000261236,47.9558
ENSPPYG00000020290,ENSG00000261236,48.2051
ENSPPYG00000020290,ENSG00000261236,48.0905
ENSPPYG00000020286,ENSG00000231145,55.5556
ENSPPYG00000020284,ENSG00000261587,48.6309
ENSPPYG00000020282,ENSG00000163207,48.7864
ENSPPYG00000020280,ENSG00000198130,48.2431
ENSPPYG00000020278,ENSG00000138068,51.1905
ENSPPYG00000020276,ENSG00000262562,42.3148
ENSPPYG00000020274,ENSG00000261577,47.7637
ENSPPYG00000020270,ENSG00000151687,49.1311
ENSPPYG00000020270,ENSG00000263040,47.9532
ENSPPYG00000020268,ENSG00000080822,48.9316
ENSPPYG00000020266,ENSG00000143889,48.6597
ENSPPYG00000020264,ENSG00000182389,48.7421
ENSPPYG00000020264,ENSG00000128699,49.7375
ENSPPYG00000020262,ENSG00000163002,48.9327
ENSPPYG00000020260,ENSG00000233412,47.944
ENSPPYG00000020258,ENSG00000261678,45.8506
ENSPPYG00000020256,ENSG00000061987,49.0905
ENSPPYG00000020256,ENSG00000262773,48.5582
ENSPPYG00000020256,ENSG00000135655,48
ENSPPYG00000020254,ENSG00000115808,49.26
ENSPPYG00000020252,ENSG00000168542,46.9136
ENSPPYG00000020250,ENSG00000143375,49.4219
ENSPPYG00000020248,ENSG00000260334,47.1264
ENSPPYG00000020246,ENSG00000144395,48.8263
ENSPPYG00000020244,ENSG00000143393,48.3801
ENSPPYG00000020242,ENSG00000154175,49.435
ENSPPYG00000020240,ENSG00000113966,49.6205
ENSPPYG00000020238,ENSG00000187939,48.1394
ENSPPYG00000020236,ENSG00000261539,46.2659
ENSPPYG00000020234,ENSG00000172830,48.6684
ENSPPYG00000020232,ENSG00000187238,48.5632
ENSPPYG00000020230,ENSG00000073803,49.3827
ENSPPYG00000020228,ENSG00000262327,49.5439
ENSPPYG00000020226,ENSG00000163904,48.4103
ENSPPYG00000020224,ENSG00000177990,48.1685
ENSPPYG00000020222,ENSG00000135407,48.9199
ENSPPYG00000020222,ENSG00000135407,48.9497
ENSPPYG00000020222,ENSG00000262249,48.9431
ENSPPYG00000020222,ENSG00000143520,48.9822
ENSPPYG00000020222,ENSG00000143520,49.0674
ENSPPYG00000020222,ENSG00000115825,48.6827
ENSPPYG00000020220,ENSG00000213953,57.1429
ENSPPYG00000020218,ENSG00000257679,48.633
ENSPPYG00000020218,ENSG00000119787,48.5723
ENSPPYG00000020216,ENSG00000203782,47.2045
ENSPPYG00000020214,ENSG00000154175,48.8953
ENSPPYG00000020212,ENSG00000262942,48.7548
ENSPPYG00000020212,ENSG00000226894,48.9796
ENSPPYG00000020212,ENSG00000262770,49.1603
ENSPPYG00000020210,ENSG00000177917,48.8449
ENSPPYG00000020208,ENSG00000226894,49.7653
ENSPPYG00000020206,ENSG00000197938,46.9214
ENSPPYG00000020204,ENSG00000261694,48.1584
ENSPPYG00000020202,ENSG00000261539,47.5391
ENSPPYG00000020200,ENSG00000135655,49.2893
ENSPPYG00000020198,ENSG00000143379,49.3857
ENSPPYG00000020196,ENSG00000143442,52.2523
ENSPPYG00000020194,ENSG00000143457,49.2949
ENSPPYG00000020192,ENSG00000115419,49.049
ENSPPYG00000020190,ENSG00000163209,48.9835
ENSPPYG00000020188,ENSG00000187699,47.6716
ENSPPYG00000020184,ENSG00000105879,45.3834
ENSPPYG00000020182,ENSG00000198130,48.7619
ENSPPYG00000020180,ENSG00000188010,48.6423
ENSPPYG00000020180,ENSG00000188010,48.6423
ENSPPYG00000020178,ENSG00000144395,49.1497
ENSPPYG00000020178,ENSG00000163898,49.1745
ENSPPYG00000020176,ENSG00000189362,49.4253
ENSPPYG00000020176,ENSG00000189362,50.2347
ENSPPYG00000020174,ENSG00000262942,48.3614
ENSPPYG00000020172,ENSG00000135407,49.3763
ENSPPYG00000020170,ENSG00000136536,49.1106
ENSPPYG00000020170,ENSG00000136536,49.106
ENSPPYG00000020170,ENSG00000136536,49.1243
ENSPPYG00000020168,ENSG00000163510,48.7304
ENSPPYG00000020166,ENSG00000073803,49.4048
ENSPPYG00000020164,ENSG00000173715,49.0196
ENSPPYG00000020162,ENSG00000143889,48.2532
ENSPPYG00000020162,ENSG00000143889,48.5765
ENSPPYG00000020160,ENSG00000156931,51.3514
ENSPPYG00000020158,ENSG00000266093,48.9943
ENSPPYG00000020158,ENSG00000138068,48.8627
ENSPPYG00000020156,ENSG00000188738,49.3253
ENSPPYG00000020154,ENSG00000081320,49.063
ENSPPYG00000020152,ENSG00000146776,49.2537
ENSPPYG00000020150,ENSG00000184220,49.8956
ENSPPYG00000020148,ENSG00000163209,49.3197
ENSPPYG00000020146,ENSG00000262742,48.6723
ENSPPYG00000020144,ENSG00000136560,48.9118
ENSPPYG00000020142,ENSG00000257679,48.6425
ENSPPYG00000020140,ENSG00000146776,49.4111
ENSPPYG00000020138,ENSG00000064933,48.5836
ENSPPYG00000020136,ENSG00000198471,49.4596
ENSPPYG00000020134,ENSG00000168386,48.1944
ENSPPYG00000020132,ENSG00000064933,48.3902
ENSPPYG00000020130,ENSG00000187238,49.5025
ENSPPYG00000020128,ENSG00000262742,49.1018
ENSPPYG00000020126,ENSG00000138381,48.8484
ENSPPYG00000020124,ENSG00000143393,49.3071
ENSPPYG00000020122,ENSG00000163209,47.411
ENSPPYG00000020122,ENSG00000163209,47.4747
ENSPPYG00000020120,ENSG00000114354,48.0793
ENSPPYG00000020120,ENSG00000138068,51.5152
ENSPPYG00000020118,ENSG00000260623,49.522
ENSPPYG00000020116,ENSG00000263310,47.1655
ENSPPYG00000020112,ENSG00000136560,49.1051
ENSPPYG00000020110,ENSG00000138449,48.2639
ENSPPYG00000020108,ENSG00000259896,49.1246
ENSPPYG00000020106,ENSG00000143416,47.972
ENSPPYG00000020104,ENSG00000198130,49.4553
ENSPPYG00000020102,ENSG00000260283,48.5788
ENSPPYG00000020100,ENSG00000138068,50.6944
ENSPPYG00000020098,ENSG00000128536,49.9878
ENSPPYG00000020096,ENSG00000263290,49.6334
ENSPPYG00000020094,ENSG00000260320,48.5405
ENSPPYG00000020092,ENSG00000175182,48.4127
ENSPPYG00000020090,ENSG00000261378,49.6296
ENSPPYG00000020090,ENSG00000255738,50
ENSPPYG00000020090,ENSG00000261042,49.2718
ENSPPYG00000020090,ENSG00000184220,50
ENSPPYG00000020088,ENSG00000260596,47.8657
ENSPPYG00000020086,ENSG00000115170,47.927
ENSPPYG00000020084,ENSG00000175463,48.1322
ENSPPYG00000020082,ENSG00000260789,47.7352
ENSPPYG00000020082,ENSG00000261678,48.0874
ENSPPYG00000020080,ENSG00000123636,49.0654
ENSPPYG00000020078,ENSG00000196754,49.7863
ENSPPYG00000020076,ENSG00000257961,47.3088
ENSPPYG00000020076,ENSG00000260789,46.6389
ENSPPYG00000020074,ENSG00000261587,46.6431
ENSPPYG00000020070,ENSG00000163216,48.3683
ENSPPYG00000020068,ENSG00000260164,48.9362
ENSPPYG00000020068,ENSG00000156931,51.0753
ENSPPYG00000020068,ENSG00000156931,51.3661
ENSPPYG00000020068,ENSG00000138068,56.2963
ENSPPYG00000020066,ENSG00000138068,52.381
ENSPPYG00000020062,ENSG00000143442,52.3148
ENSPPYG00000020060,ENSG00000196578,43.5979
ENSPPYG00000020056,ENSG00000138068,57.037
ENSPPYG00000020052,ENSG00000187238,46.3235
ENSPPYG00000020050,ENSG00000186226,46.0163
ENSPPYG00000020048,ENSG00000185962,50
ENSPPYG00000020046,ENSG00000175182,47.2309
ENSPPYG00000020044,ENSG00000175634,47.925
ENSPPYG00000020042,ENSG00000187699,49.6633
ENSPPYG00000020040,ENSG00000138068,51.8519
ENSPPYG00000020036,ENSG00000261456,12.0307
ENSPPYG00000020034,ENSG00000064933,48.9489
ENSPPYG00000020032,ENSG00000260703,48.9595
ENSPPYG00000020030,ENSG00000156931,50.6849
ENSPPYG00000020024,ENSG00000189362,49.5069
ENSPPYG00000020022,ENSG00000138449,49.354
ENSPPYG00000020014,ENSG00000175505,48.0999
ENSPPYG00000020012,ENSG00000263079,46.5447
ENSPPYG00000020010,ENSG00000260789,47.8632
ENSPPYG00000020008,ENSG00000231145,54.6667
ENSPPYG00000020006,ENSG00000259919,48.628
ENSPPYG00000020006,ENSG00000261297,49.1716
ENSPPYG00000020006,ENSG00000261297,48.8889
ENSPPYG00000020004,ENSG00000261539,46.595
ENSPPYG00000020002,ENSG00000169474,49.1667
ENSPPYG00000020000,ENSG00000212907,49.3827
ENSPPYG00000019998,ENSG00000260770,49.1111
ENSPPYG00000019996,ENSG00000138449,51.6667
ENSPPYG00000019994,ENSG00000255738,48.1752
ENSPPYG00000019992,ENSG00000230178,41.5598
ENSPPYG00000019990,ENSG00000159445,48.2759
ENSPPYG00000019988,ENSG00000261577,45.1116
